Time,Temperature,Mass fraction
[s],[K],[mg]
0,300.147,5.7491
3,300.148,5.7491
6,300.149,5.7484
9,300.149,5.7477
12,300.153,5.7492
15,300.16,5.749
18,300.177,5.7492
21,300.19,5.7492
24,300.22,5.7497
27,300.259,5.7499
30,300.309,5.7503
33,300.367,5.7509
36,300.443,5.7502
39,300.534,5.7514
42,300.643,5.7521
45,300.768,5.7504
48,300.91,5.7489
51,301.075,5.7495
54,301.26,5.7512
57,301.465,5.7522
60,301.697,5.7537
63,301.95,5.7522
66,302.227,5.7514
69,302.528,5.752
72,302.855,5.7514
75,303.205,5.7518
78,303.579,5.7504
81,303.981,5.7496
84,304.407,5.7515
87,304.857,5.7528
90,305.332,5.7532
93,305.834,5.753
96,306.348,5.7539
99,306.892,5.7541
102,307.452,5.7539
105,308.039,5.7524
108,308.642,5.7531
111,309.261,5.7535
114,309.899,5.7529
117,310.549,5.7524
120,311.218,5.7542
123,311.897,5.7537
126,312.589,5.7538
129,313.294,5.754
132,314.005,5.7551
135,314.728,5.7556
138,315.454,5.7543
141,316.19,5.7558
144,316.928,5.755
147,317.672,5.7545
150,318.42,5.7554
153,319.167,5.7562
156,319.915,5.7559
159,320.665,5.7566
162,321.417,5.7566
165,322.161,5.757
168,322.906,5.7561
171,323.65,5.7562
174,324.388,5.756
177,325.121,5.7553
180,325.849,5.7553
183,326.572,5.755
186,327.289,5.755
189,328.001,5.7563
192,328.705,5.7563
195,329.407,5.755
198,330.092,5.755
201,330.779,5.7563
204,331.452,5.7577
207,332.123,5.7577
210,332.786,5.7563
213,333.44,5.7563
216,334.083,5.7563
219,334.727,5.7563
222,335.357,5.7563
225,335.981,5.7563
228,336.6,5.7573
231,337.21,5.7573
234,337.812,5.7587
237,338.414,5.7573
240,339.005,5.7573
243,339.591,5.7573
246,340.166,5.756
249,340.74,5.7573
252,341.306,5.7587
255,341.869,5.7587
258,342.428,5.7573
261,342.979,5.7577
264,343.53,5.7587
267,344.072,5.7587
270,344.61,5.7597
273,345.146,5.7614
276,345.678,5.761
279,346.206,5.76
282,346.73,5.76
285,347.252,5.76
288,347.773,5.76
291,348.291,5.76
294,348.807,5.7614
297,349.317,5.76
300,349.83,5.7604
303,350.341,5.7597
306,350.85,5.7597
309,351.351,5.76
312,351.859,5.761
315,352.363,5.7624
318,352.866,5.761
321,353.37,5.761
324,353.869,5.761
327,354.372,5.761
330,354.868,5.761
333,355.37,5.761
336,355.866,5.7624
339,356.367,5.762
342,356.865,5.763
345,357.361,5.763
348,357.856,5.7624
351,358.355,5.7637
354,358.852,5.7634
357,359.348,5.7637
360,359.846,5.7637
363,360.344,5.7637
366,360.84,5.7637
369,361.339,5.7637
372,361.833,5.7629
375,362.327,5.7623
378,362.824,5.7636
381,363.321,5.7636
384,363.819,5.7636
387,364.316,5.765
390,364.811,5.765
393,365.303,5.7651
396,365.802,5.7637
399,366.298,5.7637
402,366.794,5.7637
405,367.287,5.7644
408,367.784,5.7637
411,368.279,5.7637
414,368.778,5.7624
417,369.274,5.7637
420,369.767,5.7627
423,370.263,5.7637
426,370.757,5.7637
429,371.252,5.7637
432,371.746,5.7651
435,372.242,5.7661
438,372.74,5.7664
441,373.231,5.7651
444,373.73,5.7651
447,374.223,5.7664
450,374.714,5.7651
453,375.21,5.7641
456,375.708,5.7637
459,376.199,5.7642
462,376.693,5.7653
465,377.188,5.7653
468,377.685,5.7653
471,378.177,5.7639
474,378.676,5.7626
477,379.171,5.7639
480,379.661,5.7649
483,380.158,5.7653
486,380.652,5.7653
489,381.149,5.766
492,381.643,5.7653
495,382.14,5.7653
498,382.634,5.766
501,383.129,5.7653
504,383.628,5.7653
507,384.123,5.7653
510,384.619,5.7646
513,385.116,5.7653
516,385.614,5.7639
519,386.11,5.7636
522,386.61,5.7633
525,387.105,5.7644
528,387.602,5.7657
531,388.103,5.7647
534,388.602,5.7657
537,389.104,5.7657
540,389.602,5.7644
543,390.1,5.7657
546,390.599,5.7671
549,391.099,5.7661
552,391.599,5.7671
555,392.099,5.7671
558,392.602,5.7657
561,393.105,5.7657
564,393.608,5.7657
567,394.108,5.7667
570,394.61,5.7671
573,395.111,5.7671
576,395.617,5.7671
579,396.119,5.7667
582,396.625,5.7671
585,397.127,5.7684
588,397.627,5.7684
591,398.135,5.7684
594,398.638,5.7684
597,399.142,5.7671
600,399.649,5.7664
603,400.153,5.7671
606,400.656,5.7657
609,401.15999,5.7664
612,401.66801,5.7657
615,402.17299,5.7657
618,402.67901,5.7644
621,403.184,5.7644
624,403.691,5.7665
627,404.197,5.7667
630,404.702,5.7674
633,405.208,5.7674
636,405.715,5.7661
639,406.219,5.7667
642,406.726,5.7661
645,407.23501,5.7654
648,407.74,5.7647
651,408.247,5.7647
654,408.75201,5.7647
657,409.258,5.7647
660,409.76501,5.7647
663,410.27199,5.7657
666,410.777,5.7647
669,411.282,5.7661
672,411.78901,5.7654
675,412.294,5.7661
678,412.80199,5.7671
681,413.30601,5.7661
684,413.814,5.7647
687,414.318,5.7647
690,414.824,5.7634
693,415.329,5.7644
696,415.836,5.7634
699,416.34099,5.7644
702,416.84501,5.7634
705,417.34901,5.7634
708,417.85799,5.762
711,418.36201,5.762
714,418.868,5.7624
717,419.368,5.762
720,419.874,5.762
723,420.378,5.763
726,420.88199,5.762
729,421.387,5.761
732,421.89001,5.7607
735,422.396,5.7607
738,422.89699,5.7607
741,423.40101,5.7607
744,423.90301,5.7594
747,424.405,5.7594
750,424.909,5.758
753,425.406,5.758
756,425.90999,5.7594
759,426.40999,5.7594
762,426.91199,5.758
765,427.415,5.7573
768,427.91401,5.7567
771,428.41601,5.7567
774,428.91801,5.756
777,429.415,5.756
780,429.917,5.7547
783,430.419,5.7537
786,430.917,5.7523
789,431.42,5.7513
792,431.919,5.751
795,432.42,5.751
798,432.92,5.7523
801,433.41601,5.7523
804,433.919,5.7523
807,434.417,5.751
810,434.919,5.7483
813,435.419,5.7496
816,435.919,5.7486
819,436.419,5.7486
822,436.91601,5.7496
825,437.41801,5.7496
828,437.91601,5.749
831,438.41401,5.7496
834,438.90999,5.7486
837,439.41199,5.7455
840,439.911,5.7442
843,440.40999,5.7438
846,440.911,5.7415
849,441.40999,5.7411
852,441.908,5.7401
855,442.408,5.7388
858,442.904,5.7388
861,443.405,5.7374
864,443.904,5.7374
867,444.398,5.7364
870,444.896,5.7364
873,445.396,5.7348
876,445.893,5.7331
879,446.395,5.7307
882,446.893,5.7287
885,447.39001,5.7267
888,447.89001,5.7254
891,448.387,5.724
894,448.88599,5.724
897,449.385,5.7217
900,449.881,5.7217
903,450.38,5.7203
906,450.878,5.719
909,451.376,5.7187
912,451.87301,5.716
915,452.37301,5.7133
918,452.872,5.713
921,453.37,5.711
924,453.866,5.7093
927,454.366,5.7079
930,454.866,5.7066
933,455.365,5.7045
936,455.864,5.7004
939,456.363,5.6957
942,456.86001,5.6957
945,457.35799,5.6957
948,457.857,5.6947
951,458.351,5.6931
954,458.85,5.6904
957,459.34901,5.689
960,459.84501,5.6875
963,460.344,5.6844
966,460.84501,5.683
969,461.34299,5.681
972,461.842,5.6768
975,462.339,5.6755
978,462.836,5.6742
981,463.33401,5.6726
984,463.833,5.6719
987,464.33201,5.6699
990,464.82999,5.6685
993,465.329,5.665
996,465.827,5.663
999,466.32599,5.6616
1002,466.824,5.6602
1005,467.323,5.6588
1008,467.82101,5.6575
1011,468.32,5.6562
1014,468.82,5.6519
1017,469.318,5.6492
1020,469.814,5.6479
1023,470.314,5.6479
1026,470.812,5.6452
1029,471.31299,5.6439
1032,471.809,5.6425
1035,472.309,5.6415
1038,472.80601,5.6398
1041,473.30601,5.6379
1044,473.803,5.6356
1047,474.30199,5.6339
1050,474.79999,5.6321
1053,475.301,5.6301
1056,475.799,5.6284
1059,476.299,5.6264
1062,476.796,5.6261
1065,477.295,5.6261
1068,477.792,5.6245
1071,478.28699,5.6231
1074,478.788,5.6217
1077,479.286,5.6204
1080,479.786,5.6177
1083,480.279,5.6164
1086,480.78,5.6137
1089,481.28,5.6123
1092,481.77601,5.611
1095,482.275,5.611
1098,482.77199,5.6097
1101,483.27,5.6083
1104,483.768,5.6063
1107,484.26501,5.6056
1110,484.76301,5.6043
1113,485.26,5.603
1116,485.758,5.6014
1119,486.255,5.5999
1122,486.753,5.5976
1125,487.251,5.5976
1128,487.75201,5.5973
1131,488.24801,5.5946
1134,488.745,5.5932
1137,489.243,5.5932
1140,489.74,5.5919
1143,490.236,5.5922
1146,490.738,5.5905
1149,491.23299,5.5892
1152,491.72899,5.5892
1155,492.227,5.5892
1158,492.726,5.5892
1161,493.22201,5.5892
1164,493.72201,5.5879
1167,494.221,5.5865
1170,494.71599,5.5865
1173,495.217,5.5865
1176,495.714,5.5862
1179,496.213,5.5848
1182,496.714,5.5848
1185,497.21,5.5848
1188,497.71,5.5848
1191,498.21,5.5838
1194,498.708,5.5835
1197,499.20701,5.5835
1200,499.706,5.5835
1203,500.202,5.5822
1206,500.70299,5.5822
1209,501.20299,5.5808
1212,501.702,5.5808
1215,502.20099,5.5808
1218,502.699,5.5808
1221,503.198,5.5808
1224,503.697,5.5812
1227,504.197,5.5808
1230,504.69601,5.5822
1233,505.19401,5.5822
1236,505.695,5.5808
1239,506.191,5.5795
1242,506.693,5.5781
1245,507.19201,5.5775
1248,507.69201,5.5771
1251,508.191,5.5786
1254,508.69401,5.5772
1257,509.19401,5.5772
1260,509.69401,5.5772
1263,510.191,5.5759
1266,510.68999,5.5759
1269,511.19201,5.5759
1272,511.691,5.5752
1275,512.18999,5.5752
1278,512.691,5.5759
1281,513.189,5.5752
1284,513.689,5.5752
1287,514.18799,5.5749
1290,514.687,5.5749
1293,515.185,5.5749
1296,515.687,5.5746
1299,516.187,5.5736
1302,516.686,5.5736
1305,517.184,5.5736
1308,517.684,5.5722
1311,518.18101,5.5732
1314,518.685,5.5719
1317,519.18101,5.5705
1320,519.682,5.5705
1323,520.18101,5.5705
1326,520.68,5.5705
1329,521.18,5.5692
1332,521.678,5.5689
1335,522.17901,5.5675
1338,522.678,5.5675
1341,523.178,5.5675
1344,523.67699,5.5675
1347,524.17699,5.5675
1350,524.67699,5.5675
1353,525.174,5.5675
1356,525.67499,5.5668
1359,526.174,5.5668
1362,526.672,5.5662
1365,527.172,5.5658
1368,527.671,5.5635
