Time,Temperature,Mass fraction
[s],[K],[mg]
0,300.339,5.1046
3,300.332,5.1059
6,300.327,5.1059
9,300.326,5.1059
12,300.323,5.1073
15,300.324,5.1064
18,300.333,5.1065
21,300.345,5.1066
24,300.365,5.1073
27,300.395,5.108
30,300.44,5.1084
33,300.494,5.1082
36,300.562,5.1074
39,300.649,5.1078
42,300.75,5.1099
45,300.867,5.1104
48,301.006,5.1095
51,301.165,5.1098
54,301.344,5.1101
57,301.543,5.1096
60,301.77,5.1108
63,302.014,5.1117
66,302.284,5.1114
69,302.582,5.1117
72,302.903,5.1129
75,303.247,5.1123
78,303.617,5.1131
81,304.013,5.1128
84,304.434,5.1134
87,304.878,5.1143
90,305.349,5.114
93,305.842,5.1149
96,306.356,5.1144
99,306.894,5.1157
102,307.455,5.1159
105,308.028,5.1151
108,308.631,5.1156
111,309.247,5.1174
114,309.882,5.1173
117,310.53,5.1177
120,311.195,5.1173
123,311.871,5.1154
126,312.56,5.1159
129,313.258,5.1162
132,313.966,5.116
135,314.688,5.1155
138,315.414,5.1172
141,316.145,5.1171
144,316.884,5.1187
147,317.627,5.1171
150,318.367,5.1179
153,319.114,5.1186
156,319.859,5.1174
159,320.605,5.1179
162,321.353,5.1187
165,322.096,5.1193
168,322.838,5.1191
171,323.576,5.1191
174,324.311,5.1184
177,325.048,5.1181
180,325.774,5.1207
183,326.494,5.1207
186,327.21,5.1193
189,327.917,5.118
192,328.624,5.1193
195,329.319,5.1203
198,330.012,5.1203
201,330.695,5.1197
204,331.371,5.1207
207,332.036,5.1203
210,332.702,5.1203
213,333.354,5.1207
216,334.001,5.122
219,334.639,5.1237
222,335.273,5.1247
225,335.898,5.1234
228,336.514,5.1247
231,337.129,5.1237
234,337.731,5.1234
237,338.33,5.1249
240,338.921,5.1249
243,339.511,5.1249
246,340.088,5.1259
249,340.662,5.1263
252,341.232,5.1263
255,341.795,5.1249
258,342.355,5.1253
261,342.908,5.1256
264,343.462,5.1263
267,344.005,5.1276
270,344.548,5.1289
273,345.085,5.1289
276,345.62,5.1289
279,346.15,5.1303
282,346.679,5.1303
285,347.202,5.1303
288,347.728,5.1316
291,348.245,5.1316
294,348.765,5.133
297,349.28,5.133
300,349.794,5.133
303,350.303,5.133
306,350.817,5.133
309,351.324,5.133
312,351.832,5.133
