Time,Mass,HRR,Back Surface Temperature 1,Back Surface Temperature 2
[s],[g],[kW/m2],[K],[K]
0,69.86,2.99878881,298.75,298.85
1,69.828937,3.129945476,298.75,298.85
2,69.852536,3.242512262,298.75,298.85
3,69.871079,3.436246429,298.75,298.85
4,69.832118,3.248055,298.85,298.85
5,69.780774,2.856808452,298.85,298.85
6,69.715652,2.51761619,298.95,298.95
7,69.672787,2.523028095,298.95,298.95
8,69.690232,0.952523929,298.95,298.95
9,69.708926,-4.17883119,298.95,298.95
10,69.669745,-8.791301905,298.95,299.05
11,69.637634,3.427375,299.05,299.05
12,69.475463,32.87964131,299.05,299.15
13,69.553752,84.84456333,299.15,299.25
14,69.692849,127.8052518,299.35,299.35
15,69.704245,187.7554669,299.55,299.35
16,69.655419,265.0672324,299.55,299.55
17,69.605291,360.2746974,299.85,300.75
18,69.484494,422.5335676,301.35,300.75
19,69.330867,488.8896285,302.05,301.75
20,69.137326,530.1502843,302.05,301.75
21,68.948485,583.6079046,302.75,302.65
22,68.724659,586.9530267,303.55,303.55
23,68.534543,610.5458781,304.65,304.55
24,68.311843,637.1345007,304.65,304.55
25,68.075634,662.2037125,305.85,305.65
26,67.854932,659.7770131,307.05,306.75
27,67.614211,668.9853594,308.35,308.05
28,67.380306,705.9095944,308.35,308.05
29,67.172369,701.628451,309.85,309.45
30,66.932696,712.6686518,311.45,310.85
31,66.687429,740.348564,313.05,312.35
32,66.44285,758.2025089,314.85,312.35
33,66.185333,719.4467154,314.85,313.95
34,65.90682,761.0090777,316.75,315.75
35,65.648576,788.9551757,318.55,317.45
36,65.386886,784.8799985,320.45,317.45
37,65.530452,750.5819327,320.45,319.25
38,65.030221,802.2683857,322.25,321.15
39,64.678866,792.0596164,324.35,323.25
40,64.377312,798.6203406,326.35,323.25
41,64.072368,770.6426813,326.35,325.15
42,63.850069,766.7330548,328.35,327.25
43,63.619077,758.1862855,330.45,329.25
44,63.336068,756.7966923,332.55,331.45
45,63.089923,762.354987,332.55,331.45
46,62.820206,759.0679835,334.55,333.65
47,62.564398,773.2567008,336.65,335.65
48,62.314032,760.1926464,338.95,337.95
49,62.027573,762.5227219,338.95,337.95
50,61.780726,788.7600969,341.25,340.15
51,61.500138,851.8561718,343.25,342.35
52,61.235758,811.3663045,345.45,344.65
53,60.970785,817.3896093,347.65,344.65
54,60.711915,759.0343244,347.65,346.95
55,60.441705,774.4060774,349.85,349.15
56,60.160822,766.0173776,352.25,351.55
57,59.898571,789.7857221,354.65,351.55
58,59.619696,812.7364161,354.65,353.75
59,59.359263,790.9528386,356.85,356.15
60,59.090757,847.0074995,359.05,358.45
61,58.821984,817.28234,361.35,358.45
62,58.54197,828.8066192,361.35,360.75
63,58.300185,822.3337546,363.75,363.05
64,58.027395,795.9851223,365.95,365.25
65,57.736513,823.8842104,368.25,367.65
66,57.474457,818.9761506,368.25,367.65
67,57.183018,797.7272532,370.65,369.95
68,56.913561,796.8930692,372.95,372.25
69,56.634069,846.1243601,375.25,374.55
70,56.36768,792.847575,375.25,374.55
71,56.094753,833.866792,377.65,376.75
72,55.82366,822.0753492,379.75,379.05
73,55.551712,827.7716288,382.15,381.15
74,55.255636,826.8212082,382.15,381.15
75,54.967101,854.7837138,384.45,383.45
76,54.685451,834.4364551,386.55,385.55
77,54.407431,855.2955877,388.55,387.65
78,54.132736,804.0480427,390.85,387.65
79,53.857342,791.6009569,390.85,389.75
80,53.592547,860.1365967,393.15,391.75
81,53.320382,823.5122024,395.25,393.95
82,53.029715,792.2087606,397.65,393.95
83,52.744679,800.9792536,397.65,396.25
84,52.431225,820.496752,399.85,398.55
85,52.120634,836.4181543,402.15,400.65
86,51.823841,840.0757855,404.35,400.65
87,51.554816,847.6355971,406.85,403.05
88,51.285297,916.5824396,406.85,405.45
89,50.988018,837.1687725,409.05,407.65
90,50.69738,807.125783,411.55,409.95
91,50.416708,862.2964252,413.85,409.95
92,50.126486,849.4677606,413.85,412.25
93,49.809836,876.0426821,416.25,414.55
94,49.527379,853.8266408,418.75,416.85
95,49.238709,824.4342921,420.95,416.85
