Time (s),MLR (g/m2/s),T Back (K),T Top (K)
0.00E+00,0.00E+00,2.93E+02,2.93E+02
1.00E+00,1.19E-10,2.93E+02,3.64E+02
2.00E+00,5.37E-09,2.93E+02,4.15E+02
3.05E+00,5.68E-08,2.93E+02,4.45E+02
4.05E+00,2.84E-07,2.93E+02,4.69E+02
5.05E+00,9.35E-07,2.93E+02,4.87E+02
6.05E+00,2.42E-06,2.93E+02,5.03E+02
7.05E+00,5.31E-06,2.93E+02,5.16E+02
8.05E+00,1.03E-05,2.93E+02,5.29E+02
9.05E+00,1.82E-05,2.93E+02,5.39E+02
1.00E+01,2.96E-05,2.93E+02,5.49E+02
1.10E+01,4.56E-05,2.93E+02,5.58E+02
1.20E+01,6.75E-05,2.93E+02,5.66E+02
1.30E+01,9.59E-05,2.93E+02,5.74E+02
1.40E+01,1.32E-04,2.93E+02,5.82E+02
1.50E+01,1.75E-04,2.93E+02,5.89E+02
1.60E+01,2.26E-04,2.93E+02,5.95E+02
1.70E+01,2.85E-04,2.93E+02,6.01E+02
1.80E+01,3.51E-04,2.93E+02,6.07E+02
1.90E+01,4.24E-04,2.93E+02,6.13E+02
2.00E+01,5.02E-04,2.93E+02,6.18E+02
2.10E+01,5.82E-04,2.93E+02,6.24E+02
2.20E+01,6.65E-04,2.93E+02,6.29E+02
2.30E+01,7.46E-04,2.93E+02,6.34E+02
2.40E+01,8.25E-04,2.93E+02,6.39E+02
2.50E+01,9.01E-04,2.93E+02,6.44E+02
2.60E+01,9.72E-04,2.93E+02,6.48E+02
2.70E+01,1.04E-03,2.93E+02,6.53E+02
2.80E+01,1.10E-03,2.93E+02,6.57E+02
2.90E+01,1.16E-03,2.93E+02,6.61E+02
3.00E+01,1.23E-03,2.93E+02,6.65E+02
3.10E+01,1.29E-03,2.93E+02,6.68E+02
3.20E+01,1.37E-03,2.93E+02,6.72E+02
3.30E+01,1.45E-03,2.93E+02,6.75E+02
3.40E+01,1.54E-03,2.93E+02,6.77E+02
3.50E+01,1.64E-03,2.93E+02,6.80E+02
3.60E+01,1.76E-03,2.93E+02,6.82E+02
3.70E+01,1.88E-03,2.93E+02,6.85E+02
3.81E+01,2.02E-03,2.93E+02,6.87E+02
3.91E+01,2.16E-03,2.93E+02,6.88E+02
4.01E+01,2.31E-03,2.93E+02,6.90E+02
4.11E+01,2.47E-03,2.93E+02,6.92E+02
4.21E+01,2.63E-03,2.93E+02,6.93E+02
4.31E+01,2.80E-03,2.93E+02,6.94E+02
4.41E+01,2.96E-03,2.93E+02,6.95E+02
4.51E+01,3.13E-03,2.93E+02,6.95E+02
4.61E+01,3.28E-03,2.93E+02,6.96E+02
4.71E+01,3.43E-03,2.93E+02,6.96E+02
4.81E+01,3.58E-03,2.93E+02,6.97E+02
4.91E+01,3.71E-03,2.93E+02,6.97E+02
5.01E+01,3.83E-03,2.93E+02,6.98E+02
5.11E+01,3.94E-03,2.93E+02,6.98E+02
5.21E+01,4.04E-03,2.94E+02,6.99E+02
5.31E+01,4.13E-03,2.94E+02,6.99E+02
5.41E+01,4.21E-03,2.94E+02,7.00E+02
5.51E+01,4.27E-03,2.94E+02,7.00E+02
5.61E+01,4.33E-03,2.94E+02,7.01E+02
5.71E+01,4.37E-03,2.94E+02,7.02E+02
5.81E+01,4.41E-03,2.94E+02,7.02E+02
5.91E+01,4.44E-03,2.94E+02,7.03E+02
6.01E+01,4.46E-03,2.94E+02,7.04E+02
6.11E+01,4.49E-03,2.94E+02,7.04E+02
6.21E+01,4.51E-03,2.94E+02,7.05E+02
6.31E+01,4.54E-03,2.94E+02,7.06E+02
6.41E+01,4.57E-03,2.94E+02,7.06E+02
6.51E+01,4.60E-03,2.95E+02,7.07E+02
6.61E+01,4.64E-03,2.95E+02,7.07E+02
6.71E+01,4.68E-03,2.95E+02,7.08E+02
6.81E+01,4.72E-03,2.95E+02,7.08E+02
6.91E+01,4.77E-03,2.95E+02,7.09E+02
7.01E+01,4.81E-03,2.95E+02,7.09E+02
7.11E+01,4.85E-03,2.95E+02,7.09E+02
7.21E+01,4.89E-03,2.95E+02,7.10E+02
7.31E+01,4.92E-03,2.96E+02,7.10E+02
7.41E+01,4.94E-03,2.96E+02,7.11E+02
7.51E+01,4.96E-03,2.96E+02,7.11E+02
7.61E+01,4.97E-03,2.96E+02,7.12E+02
7.71E+01,4.98E-03,2.96E+02,7.12E+02
7.81E+01,4.98E-03,2.96E+02,7.13E+02
7.91E+01,4.98E-03,2.97E+02,7.13E+02
8.01E+01,4.97E-03,2.97E+02,7.14E+02
8.11E+01,4.97E-03,2.97E+02,7.14E+02
8.21E+01,4.96E-03,2.97E+02,7.15E+02
8.31E+01,4.96E-03,2.97E+02,7.16E+02
8.41E+01,4.96E-03,2.97E+02,7.16E+02
8.51E+01,4.97E-03,2.98E+02,7.17E+02
8.61E+01,4.98E-03,2.98E+02,7.17E+02
8.71E+01,4.99E-03,2.98E+02,7.18E+02
8.81E+01,5.01E-03,2.98E+02,7.18E+02
8.91E+01,5.03E-03,2.99E+02,7.18E+02
9.01E+01,5.05E-03,2.99E+02,7.19E+02
9.11E+01,5.07E-03,2.99E+02,7.19E+02
9.21E+01,5.09E-03,2.99E+02,7.20E+02
9.31E+01,5.10E-03,3.00E+02,7.20E+02
9.41E+01,5.11E-03,3.00E+02,7.21E+02
9.51E+01,5.12E-03,3.00E+02,7.21E+02
9.61E+01,5.12E-03,3.00E+02,7.21E+02
9.71E+01,5.12E-03,3.01E+02,7.22E+02
9.81E+01,5.11E-03,3.01E+02,7.22E+02
9.91E+01,5.10E-03,3.01E+02,7.23E+02
1.00E+02,5.09E-03,3.01E+02,7.23E+02
1.01E+02,5.08E-03,3.02E+02,7.24E+02
1.02E+02,5.07E-03,3.02E+02,7.24E+02
1.03E+02,5.06E-03,3.02E+02,7.25E+02
1.04E+02,5.06E-03,3.03E+02,7.25E+02
1.05E+02,5.06E-03,3.03E+02,7.26E+02
1.06E+02,5.06E-03,3.03E+02,7.26E+02
1.07E+02,5.06E-03,3.04E+02,7.27E+02
1.08E+02,5.07E-03,3.04E+02,7.27E+02
1.09E+02,5.08E-03,3.04E+02,7.27E+02
1.10E+02,5.09E-03,3.04E+02,7.28E+02
1.11E+02,5.11E-03,3.05E+02,7.28E+02
1.12E+02,5.12E-03,3.05E+02,7.29E+02
1.13E+02,5.12E-03,3.05E+02,7.29E+02
1.14E+02,5.13E-03,3.06E+02,7.29E+02
1.15E+02,5.13E-03,3.06E+02,7.30E+02
1.16E+02,5.13E-03,3.06E+02,7.30E+02
1.17E+02,5.12E-03,3.07E+02,7.30E+02
1.18E+02,5.11E-03,3.07E+02,7.31E+02
1.19E+02,5.11E-03,3.08E+02,7.31E+02
1.20E+02,5.09E-03,3.08E+02,7.32E+02
1.21E+02,5.08E-03,3.08E+02,7.32E+02
1.22E+02,5.07E-03,3.09E+02,7.32E+02
1.23E+02,5.06E-03,3.09E+02,7.33E+02
1.24E+02,5.06E-03,3.09E+02,7.33E+02
1.25E+02,5.05E-03,3.10E+02,7.34E+02
1.26E+02,5.05E-03,3.10E+02,7.34E+02
1.27E+02,5.06E-03,3.10E+02,7.34E+02
1.28E+02,5.06E-03,3.11E+02,7.35E+02
1.29E+02,5.06E-03,3.11E+02,7.35E+02
1.30E+02,5.07E-03,3.12E+02,7.35E+02
1.31E+02,5.08E-03,3.12E+02,7.36E+02
1.32E+02,5.08E-03,3.12E+02,7.36E+02
1.33E+02,5.09E-03,3.13E+02,7.36E+02
1.34E+02,5.09E-03,3.13E+02,7.37E+02
1.35E+02,5.09E-03,3.14E+02,7.37E+02
1.36E+02,5.09E-03,3.14E+02,7.37E+02
1.37E+02,5.08E-03,3.14E+02,7.38E+02
1.38E+02,5.07E-03,3.15E+02,7.38E+02
1.39E+02,5.07E-03,3.15E+02,7.38E+02
1.40E+02,5.06E-03,3.16E+02,7.39E+02
1.41E+02,5.05E-03,3.16E+02,7.39E+02
1.42E+02,5.04E-03,3.16E+02,7.39E+02
1.43E+02,5.03E-03,3.17E+02,7.40E+02
1.44E+02,5.02E-03,3.17E+02,7.40E+02
1.45E+02,5.02E-03,3.18E+02,7.40E+02
1.46E+02,5.01E-03,3.18E+02,7.41E+02
1.47E+02,5.01E-03,3.18E+02,7.41E+02
1.48E+02,5.01E-03,3.19E+02,7.41E+02
1.49E+02,5.02E-03,3.19E+02,7.42E+02
1.50E+02,5.02E-03,3.20E+02,7.42E+02
1.51E+02,5.02E-03,3.20E+02,7.42E+02
1.52E+02,5.02E-03,3.21E+02,7.43E+02
1.53E+02,5.03E-03,3.21E+02,7.43E+02
1.54E+02,5.03E-03,3.21E+02,7.43E+02
1.55E+02,5.03E-03,3.22E+02,7.43E+02
1.56E+02,5.02E-03,3.22E+02,7.44E+02
1.57E+02,5.02E-03,3.23E+02,7.44E+02
1.58E+02,5.01E-03,3.23E+02,7.44E+02
1.59E+02,5.01E-03,3.24E+02,7.45E+02
1.60E+02,5.00E-03,3.24E+02,7.45E+02
1.61E+02,4.99E-03,3.24E+02,7.45E+02
1.62E+02,4.98E-03,3.25E+02,7.45E+02
1.63E+02,4.98E-03,3.25E+02,7.46E+02
1.64E+02,4.97E-03,3.26E+02,7.46E+02
1.65E+02,4.96E-03,3.26E+02,7.46E+02
1.66E+02,4.96E-03,3.27E+02,7.47E+02
1.67E+02,4.96E-03,3.27E+02,7.47E+02
1.68E+02,4.96E-03,3.28E+02,7.47E+02
1.69E+02,4.96E-03,3.28E+02,7.47E+02
1.70E+02,4.96E-03,3.29E+02,7.48E+02
1.71E+02,4.96E-03,3.29E+02,7.48E+02
1.72E+02,4.96E-03,3.29E+02,7.48E+02
1.73E+02,4.96E-03,3.30E+02,7.48E+02
1.74E+02,4.96E-03,3.30E+02,7.49E+02
1.75E+02,4.96E-03,3.31E+02,7.49E+02
1.76E+02,4.96E-03,3.31E+02,7.49E+02
1.77E+02,4.96E-03,3.32E+02,7.49E+02
1.78E+02,4.95E-03,3.32E+02,7.50E+02
1.79E+02,4.95E-03,3.33E+02,7.50E+02
1.80E+02,4.94E-03,3.33E+02,7.50E+02
1.81E+02,4.93E-03,3.34E+02,7.50E+02
1.82E+02,4.93E-03,3.34E+02,7.51E+02
1.83E+02,4.92E-03,3.34E+02,7.51E+02
1.84E+02,4.92E-03,3.35E+02,7.51E+02
1.85E+02,4.91E-03,3.35E+02,7.51E+02
1.86E+02,4.91E-03,3.36E+02,7.52E+02
1.87E+02,4.90E-03,3.36E+02,7.52E+02
1.88E+02,4.90E-03,3.37E+02,7.52E+02
1.89E+02,4.90E-03,3.37E+02,7.52E+02
1.90E+02,4.90E-03,3.38E+02,7.53E+02
1.91E+02,4.90E-03,3.38E+02,7.53E+02
1.92E+02,4.90E-03,3.39E+02,7.53E+02
1.93E+02,4.90E-03,3.39E+02,7.53E+02
1.94E+02,4.90E-03,3.40E+02,7.53E+02
1.95E+02,4.90E-03,3.40E+02,7.54E+02
1.96E+02,4.90E-03,3.41E+02,7.54E+02
1.97E+02,4.89E-03,3.41E+02,7.54E+02
1.98E+02,4.89E-03,3.41E+02,7.54E+02
1.99E+02,4.89E-03,3.42E+02,7.55E+02
2.00E+02,4.88E-03,3.42E+02,7.55E+02
2.01E+02,4.88E-03,3.43E+02,7.55E+02
2.02E+02,4.87E-03,3.43E+02,7.55E+02
