Time (s),MLR (g/m2/s),T Back (K),T Top (K)
0.00E+00,0.00E+00,2.93E+02,2.93E+02
1.00E+00,1.06E-08,2.93E+02,4.29E+02
2.00E+00,1.24E-06,2.93E+02,5.19E+02
3.05E+00,1.77E-05,2.93E+02,5.71E+02
4.05E+00,9.57E-05,2.93E+02,6.08E+02
5.05E+00,3.10E-04,2.93E+02,6.37E+02
6.05E+00,7.36E-04,2.93E+02,6.62E+02
7.05E+00,1.39E-03,2.93E+02,6.85E+02
8.05E+00,2.14E-03,2.93E+02,7.07E+02
9.05E+00,2.79E-03,2.93E+02,7.29E+02
1.00E+01,3.44E-03,2.93E+02,7.47E+02
1.10E+01,4.67E-03,2.93E+02,7.58E+02
1.20E+01,6.64E-03,2.93E+02,7.62E+02
1.30E+01,8.47E-03,2.93E+02,7.61E+02
1.40E+01,9.68E-03,2.93E+02,7.61E+02
1.50E+01,1.04E-02,2.93E+02,7.63E+02
1.60E+01,1.08E-02,2.93E+02,7.67E+02
1.70E+01,1.12E-02,2.93E+02,7.73E+02
1.80E+01,1.14E-02,2.93E+02,7.79E+02
1.90E+01,1.16E-02,2.93E+02,7.84E+02
2.00E+01,1.19E-02,2.93E+02,7.87E+02
2.10E+01,1.22E-02,2.93E+02,7.88E+02
2.20E+01,1.22E-02,2.93E+02,7.88E+02
2.30E+01,1.19E-02,2.93E+02,7.90E+02
2.40E+01,1.16E-02,2.93E+02,7.93E+02
2.50E+01,1.14E-02,2.93E+02,7.97E+02
2.60E+01,1.14E-02,2.93E+02,8.01E+02
2.70E+01,1.15E-02,2.93E+02,8.05E+02
2.80E+01,1.18E-02,2.93E+02,8.08E+02
2.90E+01,1.21E-02,2.93E+02,8.10E+02
3.00E+01,1.22E-02,2.93E+02,8.12E+02
3.10E+01,1.19E-02,2.93E+02,8.13E+02
3.20E+01,1.15E-02,2.93E+02,8.15E+02
3.30E+01,1.12E-02,2.93E+02,8.18E+02
3.40E+01,1.11E-02,2.93E+02,8.21E+02
3.50E+01,1.12E-02,2.93E+02,8.24E+02
3.60E+01,1.14E-02,2.93E+02,8.27E+02
3.70E+01,1.17E-02,2.93E+02,8.29E+02
3.81E+01,1.19E-02,2.93E+02,8.31E+02
3.91E+01,1.18E-02,2.93E+02,8.32E+02
4.01E+01,1.14E-02,2.93E+02,8.33E+02
4.11E+01,1.10E-02,2.93E+02,8.35E+02
4.21E+01,1.08E-02,2.93E+02,8.37E+02
4.31E+01,1.08E-02,2.93E+02,8.40E+02
4.41E+01,1.09E-02,2.93E+02,8.42E+02
4.51E+01,1.11E-02,2.93E+02,8.44E+02
4.61E+01,1.14E-02,2.93E+02,8.46E+02
4.71E+01,1.14E-02,2.93E+02,8.47E+02
4.81E+01,1.13E-02,2.93E+02,8.48E+02
4.91E+01,1.09E-02,2.94E+02,8.49E+02
5.01E+01,1.06E-02,2.94E+02,8.50E+02
5.11E+01,1.04E-02,2.94E+02,8.52E+02
5.21E+01,1.04E-02,2.94E+02,8.54E+02
5.31E+01,1.05E-02,2.94E+02,8.56E+02
5.41E+01,1.07E-02,2.94E+02,8.57E+02
5.51E+01,1.09E-02,2.94E+02,8.59E+02
5.61E+01,1.10E-02,2.94E+02,8.60E+02
5.71E+01,1.09E-02,2.94E+02,8.61E+02
5.81E+01,1.06E-02,2.94E+02,8.62E+02
5.91E+01,1.03E-02,2.94E+02,8.63E+02
6.01E+01,1.01E-02,2.94E+02,8.64E+02
6.11E+01,1.00E-02,2.95E+02,8.65E+02
6.21E+01,1.01E-02,2.95E+02,8.67E+02
6.31E+01,1.02E-02,2.95E+02,8.68E+02
6.41E+01,1.04E-02,2.95E+02,8.69E+02
6.51E+01,1.05E-02,2.95E+02,8.70E+02
6.61E+01,1.05E-02,2.95E+02,8.71E+02
6.71E+01,1.04E-02,2.95E+02,8.72E+02
6.81E+01,1.01E-02,2.96E+02,8.73E+02
6.91E+01,9.89E-03,2.96E+02,8.74E+02
7.01E+01,9.74E-03,2.96E+02,8.75E+02
7.11E+01,9.70E-03,2.96E+02,8.76E+02
7.21E+01,9.76E-03,2.96E+02,8.77E+02
7.31E+01,9.88E-03,2.97E+02,8.78E+02
