Time (s),MLR (g/m2/s),T Back (K),T Top (K)
0.00E+00,0.00E+00,2.93E+02,2.93E+02
1.00E+00,1.05E-08,2.93E+02,4.29E+02
2.00E+00,1.24E-06,2.93E+02,5.19E+02
3.05E+00,1.77E-05,2.93E+02,5.71E+02
4.05E+00,9.57E-05,2.93E+02,6.08E+02
5.05E+00,3.10E-04,2.93E+02,6.37E+02
6.05E+00,7.36E-04,2.93E+02,6.62E+02
7.05E+00,1.39E-03,2.94E+02,6.85E+02
8.05E+00,2.14E-03,2.95E+02,7.07E+02
9.05E+00,2.79E-03,2.96E+02,7.29E+02
1.00E+01,3.44E-03,2.97E+02,7.47E+02
1.10E+01,4.67E-03,2.99E+02,7.58E+02
1.20E+01,6.64E-03,3.02E+02,7.62E+02
1.30E+01,8.47E-03,3.04E+02,7.61E+02
1.40E+01,9.68E-03,3.07E+02,7.61E+02
1.50E+01,1.04E-02,3.11E+02,7.63E+02
1.60E+01,1.08E-02,3.14E+02,7.67E+02
1.70E+01,1.12E-02,3.18E+02,7.73E+02
1.80E+01,1.14E-02,3.21E+02,7.79E+02
1.90E+01,1.16E-02,3.25E+02,7.84E+02
2.00E+01,1.19E-02,3.29E+02,7.87E+02
2.10E+01,1.22E-02,3.33E+02,7.88E+02
2.20E+01,1.22E-02,3.38E+02,7.88E+02
2.30E+01,1.19E-02,3.42E+02,7.90E+02
2.40E+01,1.16E-02,3.46E+02,7.93E+02
2.50E+01,1.15E-02,3.50E+02,7.97E+02
2.60E+01,1.15E-02,3.55E+02,8.01E+02
2.70E+01,1.16E-02,3.59E+02,8.06E+02
2.80E+01,1.19E-02,3.64E+02,8.09E+02
2.90E+01,1.23E-02,3.68E+02,8.11E+02
3.00E+01,1.24E-02,3.72E+02,8.12E+02
3.10E+01,1.21E-02,3.77E+02,8.13E+02
3.20E+01,1.17E-02,3.81E+02,8.15E+02
3.30E+01,1.14E-02,3.85E+02,8.18E+02
3.40E+01,1.14E-02,3.90E+02,8.22E+02
3.50E+01,1.15E-02,3.94E+02,8.25E+02
3.60E+01,1.18E-02,3.98E+02,8.28E+02
3.70E+01,1.22E-02,4.02E+02,8.30E+02
3.81E+01,1.23E-02,4.07E+02,8.31E+02
3.91E+01,1.21E-02,4.11E+02,8.32E+02
4.01E+01,1.17E-02,4.15E+02,8.34E+02
4.11E+01,1.14E-02,4.19E+02,8.36E+02
4.21E+01,1.14E-02,4.24E+02,8.39E+02
4.31E+01,1.15E-02,4.28E+02,8.41E+02
4.41E+01,1.18E-02,4.32E+02,8.44E+02
4.51E+01,1.21E-02,4.36E+02,8.46E+02
4.61E+01,1.23E-02,4.40E+02,8.47E+02
4.71E+01,1.22E-02,4.44E+02,8.48E+02
4.81E+01,1.19E-02,4.48E+02,8.50E+02
4.91E+01,1.16E-02,4.52E+02,8.51E+02
5.01E+01,1.16E-02,4.56E+02,8.53E+02
5.11E+01,1.17E-02,4.60E+02,8.55E+02
5.21E+01,1.20E-02,4.64E+02,8.57E+02
5.31E+01,1.23E-02,4.68E+02,8.59E+02
5.41E+01,1.25E-02,4.72E+02,8.61E+02
5.51E+01,1.25E-02,4.76E+02,8.62E+02
5.61E+01,1.23E-02,4.80E+02,8.63E+02
5.71E+01,1.20E-02,4.84E+02,8.64E+02
5.81E+01,1.20E-02,4.88E+02,8.66E+02
5.91E+01,1.21E-02,4.92E+02,8.67E+02
6.01E+01,1.24E-02,4.96E+02,8.69E+02
6.11E+01,1.27E-02,499.70064,870.78761
6.21E+01,1.29E-02,503.52975,872.17527
6.31E+01,1.29E-02,507.34104,873.36326
6.41E+01,1.28E-02,511.13481,874.46474
6.51E+01,1.26E-02,514.9114,875.62378
6.61E+01,1.26E-02,518.67136,876.92699
6.71E+01,1.28E-02,522.41499,878.35829
6.81E+01,1.31E-02,526.14232,879.82332
6.91E+01,1.35E-02,529.85356,881.21328
7.01E+01,1.36E-02,533.54904,882.46319
7.11E+01,1.37E-02,537.2299,883.58385
7.21E+01,1.36E-02,540.89794,884.65162
7.31E+01,1.35E-02,544.55416,885.75915
7.41E+01,1.37E-02,548.20019,886.95731
7.51E+01,1.40E-02,551.83772,888.22678
7.61E+01,1.43E-02,555.46891,889.49915
7.71E+01,1.46E-02,559.09665,890.70606
7.81E+01,1.47E-02,562.72468,891.82056
7.91E+01,1.47E-02,566.35723,892.86943
8.01E+01,1.47E-02,569.9979,893.91153
8.11E+01,1.49E-02,573.6514,894.99659
8.21E+01,1.52E-02,577.32348,896.13184
8.31E+01,1.55E-02,581.02051,897.28232
8.41E+01,1.57E-02,584.74921,898.40153
8.51E+01,1.59E-02,588.51715,899.46561
8.61E+01,1.59E-02,592.3326,900.48688
8.71E+01,1.60E-02,596.20342,901.50042
8.81E+01,1.63E-02,600.13723,902.53597
8.91E+01,1.66E-02,604.1432,903.5964
9.01E+01,1.68E-02,608.2308,904.65924
9.11E+01,1.70E-02,612.40792,905.69922
9.21E+01,1.71E-02,616.6803,906.70917
9.31E+01,1.73E-02,621.05311,907.70273
9.41E+01,1.75E-02,625.53018,908.69984
9.51E+01,1.78E-02,630.11416,909.70922
9.61E+01,1.82E-02,634.80533,910.72335
9.71E+01,1.84E-02,639.60075,911.72914
9.81E+01,1.87E-02,644.49565,912.72141
9.91E+01,1.90E-02,649.48384,913.70652
1.00E+02,1.95E-02,654.55737,914.69407
1.01E+02,1.99E-02,659.70187,915.68757
1.02E+02,2.04E-02,664.89466,916.68355
1.03E+02,2.09E-02,670.10665,917.67817
1.04E+02,2.14E-02,675.30632,918.67256
1.05E+02,2.19E-02,680.46896,919.67126
1.06E+02,2.22E-02,685.59725,920.67767
1.07E+02,2.24E-02,690.74938,921.69272
1.08E+02,2.24E-02,696.04973,922.71762
1.09E+02,2.20E-02,701.67914,923.75637
1.10E+02,2.14E-02,707.84886,924.81558
1.11E+02,2.04E-02,714.75078,925.90463
1.12E+02,1.93E-02,722.45468,927.03735
1.13E+02,1.83E-02,730.81983,928.23412
1.14E+02,1.71E-02,739.63208,929.52077
1.15E+02,1.58E-02,748.85702,930.92449
1.16E+02,1.41E-02,758.58745,932.46872
1.17E+02,1.21E-02,768.93057,934.17048
1.18E+02,9.78E-03,779.79157,936.0419
1.19E+02,7.32E-03,791.06347,938.09191
1.20E+02,4.98E-03,802.47124,940.32472
1.21E+02,3.07E-03,813.66125,942.73674
1.22E+02,1.79E-03,824.32798,945.31293
1.23E+02,1.11E-03,834.31614,948.02473
1.24E+02,8.21E-04,843.6243,950.83206
1.25E+02,7.32E-04,852.33753,953.68957
1.26E+02,7.17E-04,860.5552,956.55414
1.27E+02,7.21E-04,868.35717,959.39005
1.28E+02,7.29E-04,875.79943,962.17098
1.29E+02,7.37E-04,882.9203,964.87937
1.30E+02,7.44E-04,889.74686,967.50442
1.31E+02,7.51E-04,896.29903,970.04025
1.32E+02,7.58E-04,902.59222,972.48431
1.33E+02,7.64E-04,908.63884,974.83617
1.34E+02,7.70E-04,914.44928,977.09679
1.35E+02,7.75E-04,920.0326,979.26802
1.36E+02,7.80E-04,925.39696,981.3522
1.37E+02,7.84E-04,930.54986,983.35193
1.38E+02,7.88E-04,935.49836,985.27001
1.39E+02,7.92E-04,940.24918,987.10923
1.40E+02,7.95E-04,944.80877,988.87241
1.41E+02,7.98E-04,949.18338,990.56233
1.42E+02,8.00E-04,953.37906,992.18168
1.43E+02,8.02E-04,957.40174,993.73308
1.44E+02,8.04E-04,961.25711,995.2191
1.45E+02,8.05E-04,964.95085,996.64217
1.46E+02,8.07E-04,968.4884,998.00466
1.47E+02,8.08E-04,971.8751,999.30888
1.48E+02,8.08E-04,975.11617,1000.55701
1.49E+02,8.09E-04,978.21668,1001.75119
1.50E+02,8.09E-04,981.18159,1002.89346
1.51E+02,8.09E-04,983.94695,1003.95929
1.52E+02,8.09E-04,986.59133,1004.97902
1.53E+02,8.08E-04,989.18386,1005.97942
1.54E+02,8.07E-04,991.65912,1006.9353
1.55E+02,8.06E-04,994.02143,1007.8484
1.56E+02,8.05E-04,996.27501,1008.72033
1.57E+02,8.04E-04,998.42393,1009.5527
1.58E+02,8.03E-04,1000.47219,1010.34705
1.59E+02,8.01E-04,1002.42362,1011.10484
1.60E+02,7.99E-04,1004.28197,1011.8275
1.61E+02,7.98E-04,1006.05083,1012.51642
1.62E+02,7.96E-04,1007.73374,1013.17293
