Time (s),MLR (g/m2/s),T Back (K),T Top (K)
0.00E+00,0.00E+00,2.93E+02,2.93E+02
1.00E+00,1.04E-11,2.93E+02,3.17E+02
2.00E+00,2.42E-11,2.93E+02,3.36E+02
3.05E+00,6.95E-11,2.93E+02,3.48E+02
4.05E+00,1.75E-10,2.93E+02,3.57E+02
5.05E+00,3.77E-10,2.93E+02,3.65E+02
6.05E+00,7.29E-10,2.93E+02,3.71E+02
7.05E+00,1.29E-09,2.93E+02,3.77E+02
8.05E+00,2.15E-09,2.93E+02,3.83E+02
9.05E+00,3.40E-09,2.93E+02,3.88E+02
1.00E+01,5.09E-09,2.93E+02,3.92E+02
1.10E+01,7.36E-09,2.93E+02,3.96E+02
1.20E+01,1.04E-08,2.93E+02,4.00E+02
1.30E+01,1.44E-08,2.93E+02,4.04E+02
1.40E+01,1.95E-08,2.93E+02,4.07E+02
1.50E+01,2.57E-08,2.93E+02,4.11E+02
1.60E+01,3.35E-08,2.93E+02,4.14E+02
1.70E+01,4.29E-08,2.93E+02,4.17E+02
1.80E+01,5.42E-08,2.93E+02,4.20E+02
1.90E+01,6.76E-08,2.93E+02,4.23E+02
2.00E+01,8.33E-08,2.93E+02,4.26E+02
2.10E+01,1.02E-07,2.93E+02,4.28E+02
2.20E+01,1.23E-07,2.93E+02,4.31E+02
2.30E+01,1.47E-07,2.93E+02,4.33E+02
2.40E+01,1.75E-07,2.93E+02,4.35E+02
2.50E+01,2.07E-07,2.93E+02,4.38E+02
2.60E+01,2.43E-07,2.93E+02,4.40E+02
2.70E+01,2.83E-07,2.93E+02,4.42E+02
2.80E+01,3.28E-07,2.93E+02,4.44E+02
2.90E+01,3.78E-07,2.93E+02,4.46E+02
3.00E+01,4.33E-07,2.93E+02,4.48E+02
3.10E+01,4.94E-07,2.93E+02,4.50E+02
3.20E+01,5.62E-07,2.93E+02,4.52E+02
3.30E+01,6.35E-07,2.93E+02,4.53E+02
3.40E+01,7.15E-07,2.93E+02,4.55E+02
