Time (s),Mass (g)
0,111.20
5,111.20
10,111.15
15,111.56
20,111.07
25,110.98
30,110.92
35,110.84
40,110.77
45,110.67
50,110.59
55,110.48
60,110.35
65,110.22
70,110.10
75,109.92
80,109.76
85,109.60
90,109.44
95,109.24
100,109.09
105,108.91
110,108.75
115,108.58
120,108.43
125,108.26
130,108.09
135,107.93
140,107.79
145,107.61
150,107.48
155,107.29
160,107.12
165,106.97
170,106.80
175,106.63
180,106.47
185,106.30
190,106.10
195,105.95
200,105.76
205,105.60
210,105.43
215,105.25
220,105.07
225,104.89
230,104.71
235,104.55
240,104.35
245,104.18
250,103.98
255,103.80
260,103.61
265,103.42
270,103.22
275,103.02
280,102.83
285,102.64
290,102.44
295,102.23
300,102.02
305,101.84
310,101.64
315,101.44
320,101.19
325,101.00
330,100.78
335,100.59
340,100.36
345,100.15
350,99.94
355,99.75
360,99.51
365,99.31
370,99.12
375,98.88
380,98.68
385,98.50
390,98.26
395,98.07
400,97.83
405,97.63
410,97.44
415,97.20
420,97.03
425,96.79
430,96.60
435,96.39
440,96.17
445,96.00
450,95.78
455,95.56
460,95.36
465,95.17
470,94.95
475,94.77
480,94.53
485,94.33
490,94.16
495,93.95
500,93.76
505,93.53
510,93.34
515,93.15
520,92.93
525,92.73
530,92.54
535,92.33
540,92.14
545,91.92
550,91.73
555,91.56
560,91.32
565,91.14
570,90.96
575,90.75
580,90.55
585,90.35
590,90.16
595,89.93
600,89.73
605,89.54
610,89.32
615,89.12
620,88.93
625,88.72
630,88.54
635,88.33
640,88.14
645,87.94
650,87.74
655,87.52
660,87.33
665,87.12
670,86.94
675,86.73
680,86.53
685,86.30
690,86.11
695,85.91
700,85.71
705,85.52
710,85.32
715,85.15
720,84.92
725,84.73
730,84.55
735,84.34
740,84.15
745,83.97
750,83.77
755,83.58
760,83.37
765,83.16
770,82.98
775,82.79
780,82.60
785,82.40
790,82.23
795,82.01
800,81.82
805,81.64
810,81.43
815,81.24
820,81.07
825,80.86
830,80.67
835,80.49
840,80.30
845,80.11
850,79.90
855,79.72
860,79.52
865,79.35
870,79.16
875,78.96
880,78.78
885,78.60
890,78.40
895,78.24
900,78.04
905,77.86
910,77.67
915,77.47
920,77.30
925,77.11
930,76.96
935,76.75
940,76.59
945,76.39
950,76.20
955,76.03
960,75.84
965,75.67
970,75.49
975,75.30
980,75.12
985,74.93
990,74.75
995,74.59
1000,74.40
1005,74.23
1010,74.04
1015,73.87
1020,73.68
1025,73.51
1030,73.35
1035,73.15
1040,72.98
1045,72.80
1050,72.63
1055,72.46
1060,72.26
1065,72.10
1070,71.90
1075,71.74
1080,71.57
1085,71.39
1090,71.23
1095,71.03
1100,70.88
1105,70.68
1110,70.54
1115,70.33
1120,70.17
1125,70.00
1130,69.82
1135,69.65
1140,69.49
1145,69.30
1150,69.14
1155,68.96
1160,68.79
1165,68.60
1170,68.43
1175,68.28
1180,68.10
1185,67.94
1190,67.77
1195,67.60
1200,67.42
1205,67.25
1210,67.06
1215,66.90
1220,66.74
1225,66.56
1230,66.42
1235,66.22
1240,66.06
1245,65.87
1250,65.71
1255,65.54
1260,65.38
1265,65.21
1270,65.03
1275,64.87
1280,64.70
1285,64.53
1290,64.35
1295,64.17
1300,64.02
1305,63.83
1310,63.66
1315,63.50
1320,63.32
1325,63.14
1330,62.99
1335,62.78
1340,62.62
1345,62.43
1350,62.29
1355,62.09
1360,61.91
1365,61.75
1370,61.55
1375,61.38
1380,61.22
1385,61.02
1390,60.86
1395,60.66
1400,60.50
1405,60.28
1410,60.11
1415,59.94
1420,59.75
1425,59.58
1430,59.39
1435,59.21
1440,59.02
1445,58.84
1450,58.64
1455,58.48
1460,58.26
1465,58.08
1470,57.90
1475,57.69
1480,57.51
1485,57.32
1490,57.14
1495,56.92
1500,56.73
1505,56.56
1510,56.33
1515,56.16
1520,55.97
1525,55.76
