##Temp./?C,Time/min,DSC/(uV/mg),Mass/%,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),DTG/(%/min),Sensit./(uV/mW)
39.979,0,-3.40E-03,100,0.00E+00,70,6.15784,1
40.479,0.67557,-1.74E-02,100,0.00E+00,70,-0.15823,1
40.979,0.88601,-2.43E-02,99.93101,0.00E+00,70,-0.39217,1
41.479,1.04133,-3.04E-02,99.85115,0.00E+00,70,-0.45203,1
41.979,1.16994,-3.48E-02,99.79007,0.00E+00,70,-0.46019,1
42.479,1.282,-3.96E-02,99.72517,0.00E+00,70,-0.4415,1
42.979,1.38296,-4.16E-02,99.67422,0.00E+00,70,-0.41055,1
43.479,1.47622,-4.51E-02,99.64558,0.00E+00,70,-0.37717,1
43.979,1.56428,-4.63E-02,99.63279,0.00E+00,70,-0.34657,1
44.479,1.64853,-4.79E-02,99.58869,0.00E+00,70,-0.32075,1
44.979,1.7299,-4.91E-02,99.55985,0.00E+00,70,-0.29997,1
45.479,1.80861,-4.94E-02,99.54373,0.00E+00,70,-0.28391,1
45.979,1.88487,-4.87E-02,99.52931,0.00E+00,70,-0.27174,1
46.479,1.95902,-5.06E-02,99.51505,0.00E+00,70,-0.26208,1
46.979,2.03129,-4.97E-02,99.48601,0.00E+00,70,-0.25321,1
47.479,2.1022,-4.89E-02,99.47448,0.00E+00,70,-0.24349,1
47.979,2.17179,-4.81E-02,99.45354,0.00E+00,70,-0.23203,1
48.479,2.24014,-4.86E-02,99.42646,0.00E+00,70,-0.21901,1
48.979,2.30757,-4.82E-02,99.41879,0.00E+00,70,-0.20556,1
49.479,2.37416,-4.75E-02,99.40718,0.00E+00,70,-0.19341,1
49.979,2.44001,-4.74E-02,99.39376,0.00E+00,70,-0.18414,1
50.479,2.50549,-4.78E-02,99.3868,0.00E+00,70,-0.17855,1
50.979,2.57026,-4.69E-02,99.38353,0.00E+00,70,-0.1764,1
51.479,2.63427,-4.67E-02,99.376,0.00E+00,70,-0.17641,1
51.979,2.69769,-4.66E-02,99.36643,0.00E+00,70,-0.17681,1
52.479,2.76021,-4.61E-02,99.34702,0.00E+00,70,-0.17604,1
52.979,2.82191,-4.70E-02,99.32049,0.00E+00,70,-0.17327,1
53.479,2.88293,-4.71E-02,99.3148,0.00E+00,70,-0.16856,1
53.979,2.9432,-4.75E-02,99.30384,0.00E+00,70,-0.16269,1
54.479,3.00289,-4.76E-02,99.29906,0.00E+00,70,-0.15673,1
54.979,3.06213,-4.81E-02,99.29629,0.00E+00,70,-0.15166,1
55.479,3.12084,-4.88E-02,99.29178,0.00E+00,70,-0.14809,1
55.979,3.17897,-4.94E-02,99.27649,0.00E+00,70,-0.14621,1
56.479,3.23644,-5.14E-02,99.26658,0.00E+00,70,-0.14588,1
56.979,3.29331,-5.24E-02,99.26161,0.00E+00,70,-0.14684,1
57.479,3.34957,-5.31E-02,99.2547,0.00E+00,70,-0.14889,1
57.979,3.40523,-5.29E-02,99.24637,0.00E+00,70,-0.15196,1
58.479,3.46024,-5.57E-02,99.23657,0.00E+00,70,-0.15612,1
58.979,3.51465,-5.63E-02,99.22582,0.00E+00,70,-0.16149,1
59.479,3.56833,-5.78E-02,99.21774,0.00E+00,70,-0.16806,1
59.979,3.62148,-5.92E-02,99.21363,0.00E+00,70,-0.17568,1
60.479,3.67409,-6.02E-02,99.20813,0.00E+00,70,-0.18394,1
60.979,3.72618,-6.16E-02,99.19935,0.00E+00,70,-0.19219,1
61.479,3.77784,-6.37E-02,99.19016,0.00E+00,70,-0.1997,1
61.979,3.82902,-6.54E-02,99.1771,0.00E+00,70,-0.20572,1
62.479,3.87973,-6.68E-02,99.16092,0.00E+00,70,-0.20969,1
62.979,3.93009,-6.84E-02,99.14449,0.00E+00,70,-0.21134,1
63.479,3.98009,-7.03E-02,99.13001,0.00E+00,70,-0.2107,1
63.979,4.02974,-7.22E-02,99.12164,0.00E+00,70,-0.2081,1
64.479,4.0791,-7.35E-02,99.11149,0.00E+00,70,-0.2041,1
64.979,4.12807,-7.49E-02,99.10007,0.00E+00,70,-0.19935,1
65.479,4.17662,-7.71E-02,99.09181,0.00E+00,70,-0.1945,1
65.979,4.22477,-7.84E-02,99.0864,0.00E+00,70,-0.19007,1
66.479,4.27255,-7.94E-02,99.08018,0.00E+00,70,-0.18638,1
66.979,4.31995,-8.15E-02,99.07169,0.00E+00,70,-0.1836,1
67.479,4.36701,-8.40E-02,99.06296,0.00E+00,70,-0.1817,1
67.979,4.41376,-8.55E-02,99.05196,0.00E+00,70,-0.18056,1
68.479,4.46024,-8.61E-02,99.04251,0.00E+00,70,-0.18001,1
68.979,4.50651,-8.89E-02,99.03733,0.00E+00,70,-0.17984,1
69.479,4.55253,-9.02E-02,99.0313,0.00E+00,70,-0.17991,1
69.979,4.59839,-9.29E-02,99.0221,0.00E+00,70,-0.18016,1
70.479,4.64405,-9.41E-02,99.01682,0.00E+00,70,-0.18063,1
70.979,4.68956,-9.65E-02,99.00258,0.00E+00,70,-0.18144,1
71.479,4.73484,-9.80E-02,98.98567,0.00E+00,70,-0.18282,1
71.979,4.7799,-9.96E-02,98.98058,0.00E+00,70,-0.18503,1
72.479,4.82477,-0.10238,98.98052,0.00E+00,70,-0.18832,1
72.979,4.86951,-0.10406,98.97608,0.00E+00,70,-0.19291,1
73.479,4.91415,-0.10509,98.96849,0.00E+00,70,-0.1989,1
73.979,4.95864,-0.10768,98.95929,0.00E+00,70,-0.20626,1
74.479,5.00301,-0.11007,98.94941,0.00E+00,70,-0.21479,1
74.979,5.04731,-0.11136,98.94065,0.00E+00,70,-0.22415,1
75.479,5.09144,-0.11378,98.93208,0.00E+00,70,-0.23385,1
75.979,5.13535,-0.11615,98.92173,0.00E+00,70,-0.24331,1
76.479,5.17905,-0.11822,98.90989,0.00E+00,70,-0.25196,1
76.979,5.22263,-0.11999,98.8985,0.00E+00,70,-0.25927,1
77.479,5.2661,-0.12212,98.88793,0.00E+00,70,-0.26479,1
77.979,5.30944,-0.12457,98.87492,0.00E+00,70,-0.2682,1
78.479,5.35271,-0.12666,98.85582,0.00E+00,70,-0.2694,1
78.979,5.3959,-0.12997,98.83415,0.00E+00,70,-0.26841,1
79.479,5.43909,-0.13244,98.82086,0.00E+00,70,-0.26546,1
79.979,5.48216,-0.13434,98.81406,0.00E+00,70,-0.26092,1
80.479,5.52509,-0.13725,98.80649,0.00E+00,70,-0.25524,1
80.979,5.56793,-0.14025,98.79497,0.00E+00,70,-0.24886,1
81.479,5.61065,-0.14296,98.78253,0.00E+00,70,-0.24222,1
81.979,5.65326,-0.14614,98.77371,0.00E+00,70,-0.23565,1
