Time (s),Mass (g),HRR (kW/m2)
0,93.70,0.00
5,93.70,1.90
10,93.63,2.30
15,93.56,1.90
20,93.50,0.90
25,93.42,1.90
30,93.37,2.80
35,93.29,1.80
40,93.23,0.90
45,93.15,0.40
50,93.07,5.00
55,92.87,1.10
60,92.47,81.30
65,91.84,143.20
70,91.27,166.50
75,90.70,166.20
80,90.15,145.40
85,89.69,135.10
90,89.21,122.30
95,88.77,119.60
100,88.35,109.00
105,88.00,100.10
110,87.58,94.10
115,87.25,93.80
120,86.89,90.20
125,86.58,81.50
130,86.23,82.70
135,85.93,73.70
140,85.62,74.90
145,85.34,76.70
150,85.01,70.10
155,84.73,70.50
160,84.41,69.70
165,84.16,70.90
170,83.84,71.00
175,83.57,69.30
180,83.25,68.30
185,82.99,66.00
190,82.70,65.80
195,82.42,65.20
200,82.13,64.80
205,81.86,62.30
210,81.56,62.20
215,81.31,62.00
220,81.02,61.30
225,80.78,54.80
230,80.49,55.20
235,80.23,56.90
240,79.92,57.80
245,79.66,57.50
250,79.39,54.80
255,79.11,54.60
260,78.85,54.60
265,78.58,54.40
270,78.31,53.60
275,78.06,50.90
280,77.77,51.10
285,77.50,50.80
290,77.25,51.10
295,77.00,50.90
300,76.71,49.20
305,76.47,49.70
310,76.22,51.20
315,75.97,44.80
320,75.71,44.70
325,75.48,51.40
330,75.21,51.00
335,74.96,49.40
340,74.75,41.90
345,74.48,42.40
350,74.25,43.80
355,73.99,45.90
360,73.75,46.00
365,73.54,45.30
370,73.31,43.30
375,73.05,43.50
380,72.83,43.20
385,72.60,43.00
390,72.35,41.50
395,72.14,41.60
400,71.90,42.10
405,71.68,42.20
410,71.47,41.70
415,71.22,40.00
420,71.01,47.60
425,70.80,47.10
430,70.56,44.90
435,70.34,43.20
440,70.13,41.90
445,69.92,41.90
450,69.69,41.90
455,69.50,42.30
460,69.27,40.00
465,69.07,39.60
470,68.85,40.10
475,68.64,40.10
480,68.42,39.00
485,68.22,38.70
490,68.00,39.70
495,67.79,40.10
500,67.59,39.30
505,67.40,38.90
510,67.17,44.20
515,66.98,43.00
520,66.80,42.80
525,66.58,41.20
530,66.38,40.30
535,66.20,41.00
540,65.97,42.10
545,65.78,40.90
550,65.59,39.90
555,65.38,38.80
560,65.19,40.30
565,65.00,40.40
570,64.80,40.40
575,64.61,39.70
580,64.41,45.10
585,64.24,44.00
590,64.03,42.20
595,63.84,40.50
600,63.65,40.40
605,63.45,41.80
610,63.24,43.00
615,63.08,43.00
620,62.88,42.30
625,62.69,41.80
630,62.52,43.00
635,62.30,43.10
640,62.11,43.50
645,61.94,42.60
650,61.72,43.10
655,61.51,45.00
660,61.35,45.80
665,61.15,45.40
670,60.95,43.30
675,60.75,44.10
680,60.54,46.50
685,60.36,46.00
690,60.14,47.00
695,59.95,45.70
700,59.74,46.80
705,59.51,48.30
710,59.31,48.90
715,59.11,48.10
720,58.89,53.30
725,58.69,54.50
730,58.45,52.60
735,58.23,51.40
740,58.03,49.40
745,57.78,56.90
750,57.57,56.70
755,57.37,56.30
760,57.12,56.40
765,56.88,55.00
770,56.63,61.20
775,56.40,60.90
780,56.18,58.30
785,55.90,57.00
790,55.68,55.20
795,55.47,64.10
800,55.17,63.40
805,54.94,59.80
810,54.70,59.20
815,54.40,66.50
820,54.14,66.60
825,53.90,66.10
830,53.62,65.80
835,53.34,63.50
840,53.08,70.70
845,52.80,70.80
850,52.50,69.40
855,52.24,68.60
860,51.92,75.10
865,51.62,74.80
870,51.36,74.10
875,51.03,74.90
880,50.73,74.70
885,50.43,75.50
890,50.10,81.20
895,49.82,80.80
900,49.47,80.40
905,49.14,81.00
910,48.80,88.10
915,48.49,87.00
920,48.12,87.00
925,47.81,86.10
930,47.42,85.10
935,47.08,91.90
940,46.73,92.60
945,46.38,89.20
950,46.04,89.30
955,45.62,88.20
960,45.25,95.00
965,44.91,94.80
970,44.52,93.50
975,44.15,93.30
980,43.71,100.40
985,43.34,99.50
990,42.99,98.60
995,42.53,97.70
1000,42.15,98.10
1005,41.78,105.70
1010,41.37,106.50
1015,40.97,104.20
1020,40.51,103.60
1025,40.11,103.20
1030,39.74,110.60
1035,39.29,112.70
1040,38.88,110.70
1045,38.50,109.00
1050,38.05,114.10
1055,37.65,113.20
1060,37.26,111.40
1065,36.82,108.60
1070,36.44,108.00
1075,36.02,109.50
1080,35.61,110.40
1085,35.23,110.80
1090,34.83,108.00
1095,34.48,108.30
1100,34.07,106.50
1105,33.69,107.90
1110,33.27,108.00
1115,32.91,106.40
1120,32.57,104.40
1125,32.20,107.40
1130,31.87,105.90
1135,31.48,100.10
1140,31.19,98.90
1145,30.82,100.40
1150,30.48,100.70
1155,30.18,93.00
1160,29.87,92.50
1165,29.57,92.80
1170,29.24,93.40
1175,28.97,93.60
1180,28.72,84.70
1185,28.41,84.90
1190,28.15,86.10
1195,27.94,86.70
1200,27.67,79.00
1205,27.46,73.50
1210,27.28,72.50
1215,27.08,72.00
1220,26.92,63.30
1225,26.73,63.30
1230,26.58,57.30
1235,26.44,57.80
1240,26.30,49.30
1245,26.17,50.40
1250,26.06,43.50
1255,25.94,43.40
1260,25.84,43.90
1265,25.72,43.00
1270,25.65,41.30
1275,25.55,34.90
1280,25.45,36.10
1285,25.36,36.60
1290,25.28,37.10
1295,25.20,36.50
1300,25.14,35.40
1305,25.06,35.10
1310,24.98,36.60
1315,24.91,30.10
1320,24.83,29.90
