Time (s),Temperature (K),Mass (mg),,,,
0,313.162,8.054,,,,
40.9578,313.662,8.054,,,,
53.6154,314.162,8.049284383,,,,
62.8932,314.662,8.043239856,,,,
70.6038,315.162,8.038286646,,,,
77.3538,315.662,8.032946039,,,,
83.4786,316.162,8.029614099,,,,
89.1594,316.662,8.027793895,,,,
94.4868,317.162,8.025885902,,,,
99.5508,317.662,8.022534633,,,,
104.4144,318.162,8.021022092,,,,
109.1232,318.662,8.019393573,,,,
113.6928,319.162,8.01773767,,,,
118.158,319.662,8.016984621,,,,
122.5392,320.162,8.014319553,,,,
126.8424,320.662,8.012525122,,,,
131.0682,321.162,8.011437026,,,,
135.2124,321.662,8.00950165,,,,
139.2846,322.162,8.00916902,,,,
143.2968,322.662,8.007410832,,,,
147.261,323.162,8.005891847,,,,
151.1796,323.662,8.005067118,,,,
155.0556,324.162,8.004351117,,,,
158.8872,324.662,8.003685857,,,,
162.6846,325.162,8.002939251,,,,
166.4448,325.662,8.001139987,,,,
170.1702,326.162,7.999476031,,,,
173.8548,326.662,7.998705263,,,,
177.5034,327.162,7.997728313,,,,
181.1088,327.662,7.996810157,,,,
184.677,328.162,7.99625282,,,,
188.2068,328.662,7.995539236,,,,
191.6916,329.162,7.994170861,,,,
195.1314,329.662,7.993676345,,,,
198.531,330.162,7.994061327,,,,
201.888,330.662,7.993485466,,,,
205.2102,331.162,7.992815373,,,,
208.5006,331.662,7.992220182,,,,
211.7508,332.162,7.991605662,,,,
214.9626,332.662,7.991127254,,,,
218.1372,333.162,7.991008861,,,,
221.277,333.662,7.990692338,,,,
224.391,334.162,7.990086678,,,,
227.4846,334.662,7.989485044,,,,
230.5518,335.162,7.988612796,,,,
233.598,335.662,7.987603629,,,,
236.616,336.162,7.986579966,,,,
239.601,336.662,7.985846247,,,,
242.5662,337.162,7.985193067,,,,
245.5128,337.662,7.984146047,,,,
248.4336,338.162,7.983264134,,,,
251.334,338.662,7.982994325,,,,
254.2158,339.162,7.982773646,,,,
257.076,339.662,7.98227913,,,,
259.914,340.162,7.981566351,,,,
262.7376,340.662,7.98078914,,,,
265.5498,341.162,7.980118242,,,,
