Time (s),Mass (g),HRR (kW/m2)
0.00,112.00,0.00
1.20,112.00,0.00
1.80,111.97,0.00
3.00,111.95,0.00
4.20,111.94,0.00
4.80,111.92,0.00
6.00,111.90,0.00
7.20,111.90,0.00
7.80,111.87,0.00
9.00,111.86,0.00
10.20,111.84,0.00
10.80,111.81,0.00
12.00,111.80,0.00
13.20,111.78,0.00
13.80,111.78,0.00
15.00,111.75,0.00
16.20,111.74,0.00
16.80,111.72,0.00
18.00,111.72,0.00
19.20,111.71,0.00
19.80,111.70,0.00
21.00,111.67,0.00
22.20,111.66,0.00
22.80,111.64,0.00
24.00,111.62,0.00
25.20,111.61,0.00
25.80,111.61,0.00
27.00,111.57,0.00
28.20,111.56,0.00
28.80,111.56,0.00
30.00,111.54,0.00
31.20,111.50,0.00
31.80,111.49,0.00
33.00,111.48,0.00
34.20,111.47,0.00
34.80,111.45,0.00
36.00,111.44,0.00
37.20,111.42,0.00
37.80,111.38,0.00
39.00,111.36,0.00
40.20,111.32,0.00
40.80,111.31,0.00
42.00,111.26,0.00
43.20,111.24,0.00
43.80,111.24,0.00
45.00,111.22,0.00
46.20,111.19,0.00
46.80,111.16,0.00
48.00,111.15,0.00
49.20,111.09,0.00
49.80,111.08,0.00
51.00,111.05,0.00
52.20,111.02,0.00
52.80,110.97,0.00
54.00,110.95,0.00
55.20,110.91,0.00
55.80,110.88,0.00
57.00,110.85,0.00
58.20,110.80,0.00
58.80,110.79,0.00
60.00,110.75,0.00
61.20,110.69,0.00
61.80,110.66,0.00
63.00,110.63,0.00
64.20,110.58,0.00
64.80,110.57,0.00
66.00,110.53,0.00
67.20,110.49,0.00
67.80,110.43,0.00
69.00,110.41,0.00
70.20,110.35,0.00
70.80,110.33,0.00
72.00,110.28,0.00
73.20,110.23,0.00
73.80,110.21,0.00
75.00,110.16,0.00
76.20,110.12,0.00
76.80,110.09,0.00
78.00,110.06,4.10
79.20,110.02,33.10
79.80,109.98,0.00
81.00,109.91,0.00
82.20,109.89,0.00
82.80,109.85,0.00
84.00,109.83,0.00
85.20,109.75,0.00
85.80,109.72,0.00
87.00,109.70,0.00
88.20,109.63,0.00
88.80,109.61,0.00
90.00,109.59,0.00
91.20,109.51,0.00
91.80,109.48,0.00
93.00,109.42,0.00
94.20,109.40,0.00
94.80,109.37,0.00
96.00,109.30,0.00
97.20,109.28,0.00
97.80,109.23,0.00
99.00,109.21,0.00
100.20,109.18,0.00
100.80,109.13,0.00
102.00,109.09,0.00
103.20,109.02,0.00
103.80,109.00,0.00
105.00,108.97,0.00
106.20,108.91,0.00
106.80,108.88,0.00
108.00,108.85,0.00
109.20,108.82,0.00
109.80,108.76,0.00
111.00,108.73,0.00
112.20,108.68,0.00
112.80,108.67,0.00
