Time (s),Mass (g)
0,135.60
1,135.60
2,135.54
3,135.53
4,135.49
5,135.46
6,135.40
7,135.37
8,135.35
9,135.30
10,135.26
11,135.16
12,135.14
13,135.08
14,135.03
15,134.99
16,134.84
17,134.84
18,134.78
19,134.64
20,134.57
21,134.46
22,134.36
23,134.26
24,134.06
25,133.89
26,133.68
27,133.61
28,133.49
29,133.27
30,133.20
31,133.09
32,132.98
33,132.81
34,132.71
35,132.56
36,132.46
37,132.37
38,132.06
39,132.00
40,131.86
41,131.74
42,131.64
43,131.42
44,131.27
45,131.16
46,130.98
47,130.77
48,130.70
49,130.59
50,130.38
51,130.31
52,130.20
53,130.09
54,129.95
55,129.86
56,129.79
57,129.61
58,129.47
59,129.37
60,129.27
61,129.14
62,129.04
63,128.90
64,128.76
65,128.66
66,128.56
67,128.44
68,128.26
69,128.16
70,128.02
71,127.98
72,127.87
73,127.79
74,127.68
75,127.59
76,127.43
77,127.34
78,127.21
79,127.15
80,127.06
81,126.99
82,126.88
83,126.81
84,126.73
85,126.54
86,126.51
87,126.41
88,126.34
89,126.27
90,126.10
91,126.05
92,125.98
93,125.83
94,125.78
95,125.72
96,125.58
97,125.54
98,125.46
99,125.38
100,125.29
101,125.16
102,125.12
103,125.05
104,124.94
105,124.90
106,124.81
107,124.71
108,124.67
109,124.58
110,124.46
111,124.43
112,124.36
113,124.30
114,124.17
115,124.12
116,124.08
117,124.01
118,123.88
119,123.83
120,123.77
121,123.66
122,123.62
123,123.54
124,123.44
125,123.40
126,123.33
127,123.22
128,123.18
129,123.10
130,123.01
131,122.97
132,122.90
133,122.79
134,122.75
135,122.69
136,122.59
137,122.55
138,122.49
139,122.37
140,122.33
141,122.27
142,122.15
143,122.12
144,122.06
145,122.01
146,121.90
147,121.84
148,121.74
149,121.72
150,121.69
151,121.56
152,121.51
153,121.46
154,121.35
155,121.31
156,121.27
157,121.15
158,121.10
159,121.05
160,120.94
161,120.91
162,120.85
163,120.72
164,120.68
165,120.62
166,120.52
167,120.49
168,120.42
169,120.37
170,120.27
171,120.22
172,120.19
173,120.07
174,120.03
175,119.95
176,119.91
177,119.85
178,119.76
179,119.73
180,119.66
181,119.56
182,119.54
183,119.49
184,119.38
185,119.33
186,119.29
187,119.23
188,119.20
189,119.14
190,119.06
191,119.02
192,118.97
193,118.92
194,118.85
195,118.74
196,118.72
197,118.66
198,118.56
199,118.53
200,118.47
201,118.37
202,118.34
203,118.29
204,118.20
205,118.17
206,118.10
207,118.01
208,117.98
209,117.91
210,117.87
211,117.76
212,117.70
213,117.67
214,117.58
215,117.53
216,117.45
217,117.42
218,117.35
219,117.26
220,117.23
221,117.17
222,117.08
223,117.05
224,116.99
225,116.93
226,116.83
227,116.78
228,116.74
229,116.70
230,116.58
231,116.55
232,116.49
233,116.43
234,116.38
235,116.28
236,116.25
237,116.17
238,116.13
239,116.02
240,115.98
241,115.94
242,115.85
243,115.77
244,115.73
245,115.66
246,115.57
247,115.55
248,115.48
249,115.42
250,115.37
251,115.27
252,115.23
253,115.17
254,115.07
255,115.05
256,114.98
257,114.93
258,114.86
259,114.75
260,114.72
261,114.66
262,114.56
263,114.53
264,114.47
265,114.43
266,114.32
267,114.27
268,114.18
269,114.14
270,114.08
271,113.98
272,113.95
273,113.88
274,113.78
275,113.75
276,113.70
277,113.59
278,113.56
279,113.51
280,113.42
281,113.39
282,113.32
283,113.22
284,113.19
285,113.13
286,113.02
287,113.00
288,112.93
289,112.83
290,112.80
291,112.74
292,112.64
293,112.60
294,112.54
295,112.44
296,112.40
297,112.35
298,112.25
299,112.21
300,112.15
301,112.06
302,112.01
303,111.96
304,111.86
305,111.83
306,111.76
307,111.67
308,111.63
309,111.58
310,111.47
311,111.44
312,111.37
313,111.33
314,111.25
315,111.15
316,111.11
317,111.05
318,110.93
319,110.91
320,110.86
321,110.75
322,110.72
323,110.66
324,110.57
325,110.54
326,110.47
327,110.37
328,110.34
329,110.28
330,110.18
331,110.15
332,110.09
333,110.05
334,109.93
335,109.87
336,109.79
337,109.76
338,109.70
339,109.59
340,109.56
341,109.51
342,109.39
343,109.36
344,109.29
345,109.20
346,109.16
347,109.09
348,109.05
349,108.94
350,108.89
351,108.86
352,108.76
353,108.71
354,108.61
355,108.58
356,108.52
357,108.41
358,108.38
359,108.32
360,108.23
361,108.19
362,108.12
363,108.07
364,107.97
365,107.92
366,107.83
367,107.79
368,107.74
369,107.69
370,107.62
371,107.53
372,107.49
373,107.41
374,107.32
375,107.29
376,107.23
377,107.12
378,107.09
379,107.03
380,106.93
381,106.90
382,106.84
383,106.80
384,106.69
385,106.64
386,106.56
387,106.52
388,106.46
389,106.36
390,106.32
391,106.27
392,106.17
393,106.14
394,106.08
395,105.98
396,105.95
397,105.90
398,105.79
399,105.76
400,105.71
401,105.66
402,105.55
403,105.50
404,105.41
405,105.37
406,105.32
407,105.27
408,105.17
409,105.11
410,105.03
411,104.99
412,104.95
413,104.85
414,104.82
415,104.76
416,104.67
417,104.63
418,104.58
419,104.53
420,104.47
421,104.34
422,104.31
423,104.26
424,104.17
425,104.12
426,104.07
427,103.98
428,103.95
429,103.87
430,103.79
431,103.75
432,103.70
433,103.64
434,103.57
435,103.48
436,103.45
437,103.37
438,103.28
439,103.25
440,103.19
441,103.09
442,103.06
443,103.01
444,102.91
445,102.88
446,102.82
447,102.72
448,102.69
449,102.63
450,102.59
451,102.49
452,102.44
453,102.42
454,102.31
455,102.26
456,102.17
457,102.14
458,102.09
459,101.99
460,101.97
461,101.92
462,101.82
463,101.79
464,101.74
465,101.69
466,101.60
467,101.53
468,101.47
469,101.43
470,101.37
471,101.29
472,101.25
473,101.19
474,101.11
475,101.08
476,101.02
477,100.93
478,100.89
479,100.84
480,100.74
481,100.71
482,100.67
483,100.57
484,100.54
485,100.49
486,100.40
487,100.37
488,100.31
489,100.21
490,100.19
491,100.14
492,100.05
493,100.03
494,99.96
495,99.91
496,99.81
497,99.78
498,99.70
499,99.67
500,99.61
501,99.58
502,99.48
503,99.43
504,99.40
505,99.31
506,99.25
507,99.19
508,99.17
509,99.11
510,99.08
511,98.98
512,98.94
513,98.90
514,98.80
515,98.77
516,98.69
517,98.66
518,98.60
519,98.52
520,98.48
521,98.44
522,98.34
523,98.32
524,98.25
525,98.17
526,98.15
527,98.10
528,98.02
529,97.99
530,97.94
531,97.84
532,97.81
533,97.77
534,97.68
535,97.65
536,97.59
537,97.51
538,97.47
539,97.43
540,97.34
541,97.31
542,97.26
543,97.18
544,97.15
545,97.09
546,97.05
547,96.97
548,96.92
549,96.84
550,96.81
551,96.77
552,96.68
553,96.65
554,96.59
555,96.52
556,96.49
557,96.43
558,96.35
559,96.31
560,96.26
561,96.19
562,96.16
563,96.12
564,96.06
565,95.98
566,95.93
567,95.90
568,95.81
569,95.77
570,95.74
571,95.64
572,95.61
573,95.53
574,95.49
575,95.45
576,95.36
577,95.33
578,95.29
579,95.20
580,95.17
581,95.13
582,95.03
583,95.01
584,94.95
585,94.87
586,94.84
587,94.80
588,94.70
589,94.67
590,94.62
591,94.54
592,94.51
593,94.46
594,94.37
595,94.34
596,94.30
597,94.21
598,94.19
599,94.12
600,94.09
601,94.00
602,93.95
603,93.92
604,93.85
605,93.79
606,93.72
607,93.69
608,93.64
609,93.54
610,93.52
611,93.48
612,93.39
613,93.37
614,93.33
615,93.24
616,93.21
617,93.16
618,93.08
619,93.05
620,93.00
621,92.92
622,92.89
623,92.84
624,92.75
625,92.73
626,92.67
627,92.59
628,92.56
629,92.52
630,92.42
631,92.40
632,92.34
633,92.27
634,92.24
635,92.20
636,92.11
637,92.07
638,92.01
639,91.93
640,91.90
641,91.86
642,91.82
643,91.72
644,91.69
645,91.65
646,91.56
647,91.53
648,91.44
649,91.42
650,91.37
651,91.28
652,91.25
653,91.20
654,91.17
655,91.08
656,91.04
657,90.95
658,90.92
659,90.88
660,90.80
661,90.78
662,90.73
