Time (s),Temperature (K),Mass (mg),,,
0.0000,313.1,7.709,,,
56.5656,313.6,7.709,,,
75.0852,314.1,7.708,,,
89.1180,314.6,7.707,,,
101.0826,315.1,7.707,,,
111.8358,315.6,7.707,,,
121.8138,316.1,7.707,,,
131.2428,316.6,7.705,,,
140.2638,317.1,7.707,,,
148.9422,317.6,7.708,,,
157.3242,318.1,7.707,,,
165.4584,318.6,7.708,,,
173.3760,319.1,7.707,,,
181.0926,319.6,7.706,,,
188.6166,320.1,7.707,,,
195.9564,320.6,7.707,,,
203.1252,321.1,7.707,,,
210.1344,321.6,7.706,,,
217.0032,322.1,7.707,,,
223.7298,322.6,7.706,,,
230.3154,323.1,7.707,,,
236.7720,323.6,7.707,,,
243.1056,324.1,7.706,,,
249.3354,324.6,7.705,,,
255.4686,325.1,7.706,,,
261.5028,325.6,7.706,,,
267.4476,326.1,7.705,,,
273.3090,326.6,7.704,,,
279.1002,327.1,7.704,,,
284.8356,327.6,7.704,,,
290.5176,328.1,7.704,,,
296.1438,328.6,7.703,,,
301.7154,329.1,7.703,,,
307.2276,329.6,7.703,,,
312.6876,330.1,7.703,,,
318.1080,330.6,7.702,,,
323.4942,331.1,7.701,,,
328.8516,331.6,7.701,,,
334.1862,332.1,7.700,,,
339.4902,332.6,7.699,,,
344.7612,333.1,7.698,,,
349.9992,333.6,7.698,,,
355.2054,334.1,7.697,,,
360.3864,334.6,7.696,,,
365.5434,335.1,7.695,,,
370.6794,335.6,7.695,,,
375.8016,336.1,7.694,,,
380.9082,336.6,7.694,,,
385.9974,337.1,7.693,,,
391.0776,337.6,7.693,,,
396.1488,338.1,7.692,,,
401.2092,338.6,7.692,,,
406.2588,339.1,7.691,,,
411.3000,339.6,7.691,,,
416.3334,340.1,7.690,,,
421.3614,340.6,7.689,,,
426.3852,341.1,7.689,,,
431.4078,341.6,7.687,,,
436.4298,342.1,7.686,,,
441.4512,342.6,7.686,,,
446.4726,343.1,7.685,,,
451.4946,343.6,7.684,,,
456.5172,344.1,7.683,,,
461.5410,344.6,7.682,,,
466.5654,345.1,7.682,,,
471.5886,345.6,7.681,,,
476.6112,346.1,7.680,,,
481.6344,346.6,7.680,,,
486.6606,347.1,7.680,,,
491.6898,347.6,7.680,,,
496.7238,348.1,7.680,,,
501.7614,348.6,7.679,,,
506.8026,349.1,7.678,,,
511.8444,349.6,7.677,,,
516.8850,350.1,7.677,,,
521.9256,350.6,7.676,,,
526.9668,351.1,7.676,,,
532.0062,351.6,7.674,,,
537.0468,352.1,7.674,,,
542.0916,352.6,7.673,,,
547.1394,353.1,7.673,,,
552.1902,353.6,7.672,,,
557.2512,354.1,7.671,,,
562.3146,354.6,7.670,,,
567.3816,355.1,7.670,,,
