Time (s),Mass (g),HRR (kW/m2)
0,104.50,0.00
5,103.90,0.00
10,103.31,0.00
15,102.66,130.00
20,101.81,208.40
25,101.02,234.30
30,100.24,213.60
35,99.62,184.70
40,98.95,165.20
45,98.42,151.50
50,97.84,140.20
55,97.35,136.30
60,96.82,128.80
65,96.37,122.80
70,95.85,117.90
75,95.39,121.40
80,94.93,115.40
85,94.54,115.10
90,94.08,109.80
95,93.69,110.50
100,93.23,109.30
105,92.84,103.10
110,92.48,101.80
115,92.05,101.40
120,91.66,100.40
125,91.27,99.80
130,90.92,98.70
135,90.51,97.70
140,90.16,96.30
145,89.78,96.80
150,89.43,90.80
155,89.03,91.10
160,88.69,91.30
165,88.31,93.40
170,87.99,92.40
175,87.59,94.20
180,87.27,87.60
185,86.90,89.40
190,86.53,88.50
195,86.18,89.20
200,85.87,86.40
205,85.49,89.50
210,85.16,88.40
215,84.81,89.00
220,84.49,88.80
225,84.14,86.80
230,83.82,89.50
235,83.45,89.60
240,83.13,89.00
245,82.77,84.90
250,82.44,84.70
255,82.11,85.90
260,81.79,86.00
265,81.43,84.90
270,81.14,84.20
275,80.80,84.90
280,80.48,85.10
285,80.12,84.90
290,79.82,83.40
295,79.47,83.50
300,79.14,83.80
305,78.80,84.80
310,78.52,83.30
315,78.18,82.30
320,77.84,83.10
325,77.51,82.30
330,77.23,82.50
335,76.86,83.30
340,76.58,83.30
345,76.21,82.00
350,75.89,81.40
355,75.62,81.20
360,75.27,81.50
365,74.97,80.60
370,74.63,81.20
375,74.32,80.50
380,73.99,85.30
385,73.70,78.90
390,73.34,78.70
395,73.07,78.10
400,72.74,83.30
405,72.44,83.60
410,72.11,82.80
415,71.81,81.00
420,71.47,79.10
425,71.19,79.10
430,70.86,81.10
435,70.54,81.20
440,70.22,80.10
445,69.95,79.50
450,69.61,80.00
455,69.32,75.00
460,68.99,76.50
465,68.69,81.60
470,68.37,81.60
475,68.09,79.50
480,67.74,78.10
485,67.44,77.60
490,67.17,78.10
495,66.84,78.60
500,66.53,78.50
505,66.24,77.50
510,65.91,77.70
515,65.61,79.00
520,65.31,79.10
525,65.02,78.40
530,64.71,77.80
535,64.41,78.90
540,64.07,79.10
545,63.79,80.40
550,63.51,78.50
555,63.17,78.60
560,62.88,79.00
565,62.61,79.50
570,62.29,78.30
575,61.99,78.20
580,61.69,78.50
585,61.39,78.40
590,61.10,77.60
