Time (s),Mass (g),HRR (kW/m2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.00,121.80,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.80,121.80,4.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.20,121.72,6.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.00,121.66,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.80,121.59,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.20,121.53,0.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.00,121.47,8.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.80,121.38,7.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.20,121.27,19.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.00,121.07,48.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49.80,120.72,80.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.20,120.32,113.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60.00,119.77,134.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64.80,119.24,155.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70.20,118.62,165.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75.00,118.07,165.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79.80,117.58,155.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85.20,117.09,140.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90.00,116.60,134.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94.80,116.17,134.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100.20,115.61,136.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105.00,115.16,126.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109.80,114.77,122.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115.20,114.30,122.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120.00,113.91,122.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124.80,113.46,121.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130.20,113.07,109.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135.00,112.65,112.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139.80,112.25,109.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.20,111.85,109.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150.00,111.50,109.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154.80,111.08,102.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160.20,110.74,103.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165.00,110.34,101.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169.80,110.00,100.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175.20,109.63,99.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180.00,109.30,90.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184.80,108.93,91.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190.20,108.60,91.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195.00,108.24,92.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.80,107.93,92.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205.20,107.55,86.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
