##Temp./›C,Time/min,DSC/(uV/mg),Mass/%,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),DTG/(%/min),Sensit./(uV/mW)
40,0,-4.31E-03,100,0.00E+00,70,-0.81372,1
40.49887,0.70344,-1.23E-02,99.91732,0.00E+00,70,6.38E-02,1
40.99775,0.90998,-1.66E-02,99.89968,0.00E+00,70,3.11E-02,1
41.49662,1.06219,-2.06E-02,99.91693,0.00E+00,70,2.42E-02,1
41.9955,1.18867,-2.38E-02,99.91499,0.00E+00,70,2.68E-02,1
42.49437,1.29978,-2.67E-02,99.90844,0.00E+00,70,2.77E-02,1
42.99324,1.40043,-2.77E-02,99.91916,0.00E+00,70,2.27E-02,1
43.49212,1.49337,-3.01E-02,99.93192,0.00E+00,70,1.07E-02,1
43.99099,1.58059,-3.01E-02,99.93717,0.00E+00,70,-7.10E-03,1
44.48987,1.66359,-3.09E-02,99.92565,0.00E+00,70,-2.75E-02,1
44.98874,1.74357,-3.05E-02,99.94502,0.00E+00,70,-4.68E-02,1
45.48761,1.8211,-3.16E-02,99.92223,0.00E+00,70,-6.19E-02,1
45.98649,1.89641,-2.96E-02,99.90785,0.00E+00,70,-7.10E-02,1
46.48536,1.96964,-2.93E-02,99.89882,0.00E+00,70,-7.39E-02,1
46.98424,2.04125,-2.94E-02,99.89683,0.00E+00,70,-7.18E-02,1
47.48311,2.11144,-2.70E-02,99.89796,0.00E+00,70,-6.60E-02,1
47.98198,2.18063,-2.68E-02,99.89255,0.00E+00,70,-5.76E-02,1
48.48086,2.2486,-2.64E-02,99.87483,0.00E+00,70,-4.80E-02,1
48.97973,2.31552,-2.53E-02,99.88758,0.00E+00,70,-3.80E-02,1
49.47861,2.38141,-2.45E-02,99.87582,0.00E+00,70,-2.88E-02,1
49.97748,2.4465,-2.34E-02,99.87074,0.00E+00,70,-2.17E-02,1
50.47635,2.51094,-2.29E-02,99.87679,0.00E+00,70,-1.78E-02,1
50.97523,2.5748,-2.14E-02,99.88216,0.00E+00,70,-1.76E-02,1
51.4741,2.638,-2.12E-02,99.88137,0.00E+00,70,-2.14E-02,1
51.97298,2.70042,-2.11E-02,99.89099,0.00E+00,70,-2.85E-02,1
52.47185,2.7621,-2.08E-02,99.88354,0.00E+00,70,-3.81E-02,1
52.97072,2.82291,-2.10E-02,99.86719,0.00E+00,70,-4.89E-02,1
53.4696,2.88305,-2.08E-02,99.8771,0.00E+00,70,-6.01E-02,1
53.96847,2.94259,-2.15E-02,99.87097,0.00E+00,70,-7.11E-02,1
54.46735,3.00169,-2.07E-02,99.86117,0.00E+00,70,-8.15E-02,1
54.96622,3.06042,-2.20E-02,99.85995,0.00E+00,70,-9.09E-02,1
55.46509,3.11874,-2.28E-02,99.8568,0.00E+00,70,-9.92E-02,1
55.96397,3.17667,-2.34E-02,99.84646,0.00E+00,70,-0.10649,1
56.46284,3.234,-2.42E-02,99.8397,0.00E+00,70,-0.1128,1
56.96172,3.29082,-2.57E-02,99.83211,0.00E+00,70,-0.11842,1
57.46059,3.34701,-2.58E-02,99.82145,0.00E+00,70,-0.12372,1
57.95946,3.40252,-2.70E-02,99.81402,0.00E+00,70,-0.12904,1
58.45834,3.45751,-2.74E-02,99.81264,0.00E+00,70,-0.13465,1
58.95721,3.51189,-2.93E-02,99.8091,0.00E+00,70,-0.14059,1
59.45609,3.56563,-3.00E-02,99.80259,0.00E+00,70,-0.14672,1
59.95496,3.61894,-3.29E-02,99.79267,0.00E+00,70,-0.15279,1
60.45383,3.67173,-3.42E-02,99.78179,0.00E+00,70,-0.1585,1
60.95271,3.72403,-3.52E-02,99.77133,0.00E+00,70,-0.16361,1
61.45158,3.77592,-3.69E-02,99.76082,0.00E+00,70,-0.16802,1
61.95046,3.8273,-3.79E-02,99.75047,0.00E+00,70,-0.17172,1
62.44933,3.8781,-4.01E-02,99.74021,0.00E+00,70,-0.1748,1
62.9482,3.92836,-4.16E-02,99.73595,0.00E+00,70,-0.17738,1
63.44708,3.9781,-4.32E-02,99.73124,0.00E+00,70,-0.17953,1
63.94595,4.02737,-4.56E-02,99.72446,0.00E+00,70,-0.18131,1
64.44483,4.07621,-4.63E-02,99.71113,0.00E+00,70,-0.18274,1
64.9437,4.12471,-4.80E-02,99.69559,0.00E+00,70,-0.18382,1
65.44257,4.17289,-5.01E-02,99.68614,0.00E+00,70,-0.18462,1
65.94145,4.22074,-5.14E-02,99.68026,0.00E+00,70,-0.18524,1
66.44032,4.26828,-5.29E-02,99.67321,0.00E+00,70,-0.18581,1
66.9392,4.31559,-5.48E-02,99.66338,0.00E+00,70,-0.18648,1
67.43807,4.36274,-5.72E-02,99.65546,0.00E+00,70,-0.18738,1
67.93694,4.40965,-5.96E-02,99.64538,0.00E+00,70,-0.18854,1
68.43582,4.45644,-6.00E-02,99.63827,0.00E+00,70,-0.18994,1
68.93469,4.50302,-6.26E-02,99.63201,0.00E+00,70,-0.19145,1
69.43357,4.54938,-6.45E-02,99.62447,0.00E+00,70,-0.19293,1
69.93244,4.59546,-6.65E-02,99.61438,0.00E+00,70,-0.19422,1
70.43131,4.64129,-6.81E-02,99.60742,0.00E+00,70,-0.19523,1
70.93019,4.68685,-7.07E-02,99.59237,0.00E+00,70,-0.19598,1
71.42906,4.73214,-7.23E-02,99.57369,0.00E+00,70,-0.19659,1
71.92794,4.77718,-7.38E-02,99.56752,0.00E+00,70,-0.19726,1
72.42681,4.82197,-7.68E-02,99.56641,0.00E+00,70,-0.19827,1
72.92568,4.86654,-7.87E-02,99.55942,0.00E+00,70,-0.19987,1
73.42456,4.91093,-7.93E-02,99.55096,0.00E+00,70,-0.20223,1
73.92343,4.95518,-8.16E-02,99.54247,0.00E+00,70,-0.20542,1
74.42231,4.99926,-8.38E-02,99.53293,0.00E+00,70,-0.20934,1
74.92118,5.04326,-8.61E-02,99.52568,0.00E+00,70,-0.21374,1
75.42005,5.08721,-8.86E-02,99.51901,0.00E+00,70,-0.21823,1
75.91893,5.13106,-9.07E-02,99.50947,0.00E+00,70,-0.22232,1
76.4178,5.17478,-9.21E-02,99.49784,0.00E+00,70,-0.22544,1
76.91668,5.2184,-9.44E-02,99.48614,0.00E+00,70,-0.22712,1
77.41555,5.26199,-9.75E-02,99.4742,0.00E+00,70,-0.22693,1
77.91442,5.30548,-9.93E-02,99.46103,0.00E+00,70,-0.22461,1
78.4133,5.34877,-0.1009,99.447,0.00E+00,70,-0.2201,1
78.91217,5.39199,-0.10475,99.43405,0.00E+00,70,-0.21349,1
79.41105,5.43507,-0.10806,99.42281,0.00E+00,70,-0.2051,1
79.90992,5.47803,-0.1103,99.41509,0.00E+00,70,-0.19532,1
80.40879,5.52083,-0.11303,99.40763,0.00E+00,70,-0.18468,1
80.90767,5.56351,-0.11534,99.40023,0.00E+00,70,-0.17369,1
81.40654,5.60614,-0.11756,99.39445,0.00E+00,70,-0.16282,1
81.90542,5.64866,-0.12233,99.38752,0.00E+00,70,-0.15252,1
82.40429,5.69113,-0.12449,99.38512,0.00E+00,70,-0.14312,1
82.90316,5.7335,-0.1274,99.38147,0.00E+00,70,-0.13486,1
83.40204,5.77579,-0.12999,99.37567,0.00E+00,70,-0.12789,1
83.90091,5.81798,-0.13378,99.37066,0.00E+00,70,-0.12226,1
84.39979,5.86011,-0.13827,99.36579,0.00E+00,70,-0.118,1
84.89866,5.90216,-0.14015,99.36024,0.00E+00,70,-0.11506,1
85.39753,5.94411,-0.14415,99.35803,0.00E+00,70,-0.11342,1
85.89641,5.98599,-0.14902,99.35505,0.00E+00,70,-0.11304,1
86.39528,6.02775,-0.15296,99.35086,0.00E+00,70,-0.11391,1
86.89416,6.06941,-0.15621,99.34588,0.00E+00,70,-0.11602,1
87.39303,6.11101,-0.15968,99.33994,0.00E+00,70,-0.11937,1
87.8919,6.15252,-0.16346,99.33463,0.00E+00,70,-0.12395,1
88.39078,6.194,-0.16719,99.33243,0.00E+00,70,-0.1297,1
