Time (s),Temperature (K),Mass (mg),,,,
0,313.129,8.0765,,,,
40.5342,313.629,8.0765,,,,
53.1606,314.129,8.070928023,,,,
62.4798,314.629,8.06447813,,,,
70.1964,315.129,8.059545004,,,,
76.92,315.629,8.054303355,,,,
82.9776,316.129,8.050188378,,,,
88.5732,316.629,8.047875269,,,,
93.8568,317.129,8.046842284,,,,
98.9118,317.629,8.043280548,,,,
103.794,318.129,8.040951285,,,,
108.5166,318.629,8.039649353,,,,
113.0922,319.129,8.038484722,,,,
117.5412,319.629,8.037333013,,,,
121.8774,320.129,8.034987598,,,,
126.132,320.629,8.034056377,,,,
130.3074,321.129,8.032365158,,,,
134.4084,321.629,8.030178042,,,,
138.4542,322.129,8.029558574,,,,
142.4496,322.629,8.028620893,,,,
146.4006,323.129,8.027537026,,,,
150.3294,323.629,8.026974902,,,,
154.2156,324.129,8.0267108,,,,
158.0562,324.629,8.02610264,,,,
161.8614,325.129,8.025329719,,,,
165.6126,325.629,8.02376207,,,,
169.3146,326.129,8.021619375,,,,
172.9758,326.629,8.021159822,,,,
176.592,327.129,8.020274638,,,,
180.1734,327.629,8.019888581,,,,
183.7278,328.129,8.019664862,,,,
187.2504,328.629,8.019300612,,,,
190.7382,329.129,8.018065715,,,,
194.1864,329.629,8.017265334,,,,
197.5986,330.129,8.016863932,,,,
200.9742,330.629,8.016305846,,,,
204.3138,331.129,8.015633073,,,,
207.6144,331.629,8.014841576,,,,
210.879,332.129,8.013973352,,,,
214.0998,332.629,8.013320771,,,,
217.2888,333.129,8.012988827,,,,
220.4454,333.629,8.012544619,,,,
223.5708,334.129,8.011835503,,,,
226.6704,334.629,8.011093272,,,,
229.7412,335.129,8.010038482,,,,
232.7838,335.629,8.008731704,,,,
235.8054,336.129,8.007404735,,,,
238.8054,336.629,8.006235258,,,,
241.7844,337.129,8.005559255,,,,
244.746,337.629,8.00473949,,,,
247.6842,338.129,8.003817154,,,,
250.5972,338.629,8.003150035,,,,
253.4862,339.129,8.002713096,,,,
256.353,339.629,8.002210738,,,,
259.197,340.129,8.001525043,,,,
262.0206,340.629,8.000819964,,,,
264.8256,341.129,7.999931549,,,,
267.6144,341.629,7.99916832,,,,
270.3906,342.129,7.998749957,,,,
273.1518,342.629,7.998262945,,,,
275.9034,343.129,7.997519907,,,,
278.643,343.629,7.997093467,,,,
281.3736,344.129,7.995943374,,,,
284.0904,344.629,7.994577638,,,,
286.794,345.129,7.994166544,,,,
289.4862,345.629,7.994161698,,,,
292.1706,346.129,7.993803101,,,,
294.849,346.629,7.993190095,,,,
297.5184,347.129,7.992447057,,,,
300.1806,347.629,7.991649099,,,,
302.8386,348.129,7.990941597,,,,
305.4864,348.629,7.990249441,,,,
308.121,349.129,7.989413523,,,,
310.743,349.629,7.988457266,,,,
313.3578,350.129,7.987537353,,,,
315.966,350.629,7.986683666,,,,
318.5664,351.129,7.985632914,,,,
321.1626,351.629,7.984090302,,,,
323.754,352.129,7.982340125,,,,
326.3454,352.629,7.981266758,,,,
328.9296,353.129,7.980717556,,,,
331.5054,353.629,7.980106165,,,,
334.0758,354.129,7.979175752,,,,
336.639,354.629,7.978171035,,,,
339.1956,355.129,7.977458688,,,,
341.748,355.629,7.97695956,,,,
344.2962,356.129,7.976226214,,,,
346.8384,356.629,7.975441986,,,,
349.3746,357.129,7.974694102,,,,
351.909,357.629,7.973918758,,,,
354.4386,358.129,7.97318622,,,,
356.958,358.629,7.972610365,,,,
359.4714,359.129,7.972040164,,,,
361.9824,359.629,7.971279358,,,,
364.491,360.129,7.97029564,,,,
366.9948,360.629,7.969365228,,,,
369.4932,361.129,7.968839447,,,,
371.991,361.629,7.968701339,,,,
374.4894,362.129,7.968475197,,,,
376.9812,362.629,7.968028567,,,,
379.4676,363.129,7.967457558,,,,
381.951,363.629,7.966892203,,,,
384.4326,364.129,7.966431843,,,,
386.9118,364.629,7.966111206,,,,
389.3862,365.129,7.965755032,,,,
391.8612,365.629,7.964932037,,,,
394.3362,366.129,7.96408885,,,,
396.81,366.629,7.963317544,,,,
399.2814,367.129,7.962273253,,,,
401.7492,367.629,7.961272575,,,,
404.2122,368.129,7.960859058,,,,
406.6728,368.629,7.960675721,,,,
409.1316,369.129,7.960570727,,,,
411.5886,369.629,7.960449579,,,,
414.042,370.129,7.960093406,,,,
416.4978,370.629,7.959671812,,,,
418.959,371.129,7.959396404,,,,
421.4232,371.629,7.959141186,,,,
423.8856,372.129,7.958731708,,,,
426.3468,372.629,7.958236618,,,,
428.811,373.129,7.957831178,,,,
431.2746,373.629,7.957424122,,,,
433.7334,374.129,7.957009798,,,,
436.188,374.629,7.956608396,,,,
438.6444,375.129,7.956181957,,,,
441.105,375.629,7.955677983,,,,
443.5674,376.129,7.955172394,,,,
446.0274,376.629,7.95484045,,,,
448.491,377.129,7.954409972,,,,
450.9606,377.629,7.953942343,,,,
453.4314,378.129,7.953661281,,,,
455.901,378.629,7.95341414,,,,
458.37,379.129,7.953006277,,,,
460.842,379.629,7.952642834,,,,
463.3152,380.129,7.952335927,,,,
465.7884,380.629,7.951976523,,,,
468.2628,381.129,7.951555737,,,,
470.7396,381.629,7.951218947,,,,
473.2194,382.129,7.951185026,,,,
475.7028,382.629,7.95120764,,,,
478.1904,383.129,7.951198756,,,,
480.6804,383.629,7.951201987,,,,
483.1728,384.129,7.951200371,,,,
485.6658,384.629,7.951200371,,,,
488.16,385.129,7.951132529,,,,
490.6542,385.629,7.950496908,,,,
493.1484,386.129,7.949635146,,,,
495.6426,386.629,7.949093213,,,,
