Time (s),Mass (g),HRR (kW/m2)
0.00,129.10,0.00
4.80,129.00,3728.60
10.20,128.95,3668.30
15.00,128.88,3747.80
19.80,128.81,3787.50
25.20,128.75,3645.70
30.00,128.68,3540.40
34.80,128.61,3600.10
40.20,128.53,3742.60
45.00,128.44,3703.30
49.80,128.33,3705.80
55.20,128.23,3605.60
60.00,128.12,3041.00
64.80,128.01,3473.30
70.20,127.85,3421.70
75.00,127.72,3032.60
79.80,127.54,2984.20
85.20,127.39,3474.20
90.00,127.25,3521.70
94.80,127.07,3244.00
100.20,126.90,3390.50
105.00,126.74,3363.80
109.80,126.56,2982.00
115.20,126.41,3389.70
120.00,126.26,3184.40
124.80,126.08,3141.30
130.20,125.94,3251.70
135.00,125.75,3258.50
139.80,125.59,3417.80
145.20,125.46,3361.40
150.00,125.28,3281.20
154.80,125.12,3199.50
160.20,124.94,3204.90
165.00,124.80,3721.70
169.80,124.62,3467.00
175.20,124.47,3145.10
180.00,124.29,3290.00
184.80,124.11,3106.80
190.20,123.95,3245.20
195.00,123.80,3054.10
199.80,123.61,3009.40
205.20,123.46,3275.90
210.00,123.27,3169.70
214.80,123.12,3051.30
220.20,122.92,2942.70
225.00,122.75,2795.20
229.80,122.60,3018.40
235.20,122.39,3059.50
240.00,122.23,3098.50
244.80,122.06,2998.40
250.20,121.87,3488.10
255.00,121.71,3469.20
259.80,121.53,3402.90
265.20,121.35,3513.30
270.00,121.17,3461.00
274.80,121.01,3574.80
280.20,120.83,3437.90
285.00,120.65,3328.80
289.80,120.47,3134.20
295.20,120.30,3188.40
300.00,120.10,3095.30
304.80,119.93,2976.40
310.20,119.71,3017.40
315.00,119.55,3036.50
319.80,119.38,3258.60
325.20,119.17,3247.80
330.00,119.00,3369.10
334.80,118.78,3286.30
340.20,118.59,3097.70
345.00,118.40,3293.20
349.80,118.20,3234.90
355.20,118.01,3214.50
360.00,117.83,3044.70
364.80,117.63,3044.30
370.20,117.41,3172.70
375.00,117.21,3330.80
379.80,117.02,3090.50
385.20,116.81,2906.80
390.00,116.61,2937.00
394.80,116.42,3171.60
400.20,116.20,3244.60
405.00,116.02,3285.00
409.80,115.79,3066.20
415.20,115.60,3410.50
420.00,115.38,3360.70
424.80,115.17,3553.40
430.20,114.99,3071.70
435.00,114.78,3101.40
439.80,114.58,3157.10
445.20,114.35,3166.00
450.00,114.14,3208.40
454.80,113.93,3350.80
460.20,113.73,3221.10
465.00,113.55,3089.00
469.80,113.30,3376.50
475.20,113.11,3167.60
480.00,112.89,3120.80
484.80,112.68,3488.80
490.20,112.49,3438.40
495.00,112.26,3296.50
499.80,112.07,3278.10
505.20,111.86,3238.20
510.00,111.66,3197.20
514.80,111.43,3272.10
520.20,111.25,3338.00
525.00,111.01,3030.30
529.80,110.81,3137.90
535.20,110.63,3278.00
540.00,110.41,3060.90
544.80,110.21,2900.80
550.20,109.97,3173.20
555.00,109.77,3158.60
559.80,109.56,3121.40
565.20,109.35,3111.80
570.00,109.17,3062.60
574.80,108.96,3256.30
580.20,108.77,3355.70
585.00,108.53,2925.70
589.80,108.33,2777.50
595.20,108.14,3079.10
600.00,107.92,3157.80
604.80,107.72,3222.40
610.20,107.50,3265.80
615.00,107.29,3265.40
619.80,107.10,3271.70
625.20,106.88,3175.10
630.00,106.68,3176.00
634.80,106.49,3182.10
640.20,106.28,3181.00
645.00,106.06,3178.70
649.80,105.85,3112.50
655.20,105.68,2891.50
660.00,105.43,3152.90
664.80,105.24,2776.90
670.20,105.04,3296.80
675.00,104.80,3322.10
679.80,104.61,2959.40
685.20,104.38,2847.50
690.00,104.18,3303.10
694.80,103.97,3468.00
700.20,103.74,3328.30
705.00,103.55,3082.40
709.80,103.35,3104.00
715.20,103.12,3245.50
720.00,102.92,3387.30
724.80,102.73,3696.20
730.20,102.48,3640.10
735.00,102.27,3233.50
739.80,102.09,2988.60
745.20,101.86,3111.80
750.00,101.66,3048.50
754.80,101.46,3289.50
760.20,101.24,3244.40
765.00,101.02,3067.30
769.80,100.84,3364.00
775.20,100.59,3362.80
780.00,100.38,3490.70
784.80,100.18,3495.80
790.20,99.98,3321.10
795.00,99.78,3237.70
799.80,99.55,3393.40
805.20,99.37,3076.10
810.00,99.14,3265.50
814.80,98.93,3019.30
820.20,98.73,3049.10
825.00,98.52,2945.70
829.80,98.32,3106.20
835.20,98.11,3312.80
840.00,97.91,3029.00
844.80,97.70,2986.10
850.20,97.51,3482.70
855.00,97.27,3399.30
859.80,97.08,3321.70
865.20,96.90,3131.60
870.00,96.66,3371.70
874.80,96.45,3429.30
880.20,96.29,3237.30
885.00,96.07,3038.40
889.80,95.89,2800.10
895.20,95.65,3289.60
900.00,95.46,2862.00
904.80,95.27,3141.60
910.20,95.06,3089.50
915.00,94.87,3566.10
919.80,94.67,3239.00
925.20,94.46,3279.80
930.00,94.29,3349.60
934.80,94.04,3108.20
940.20,93.86,3330.20
945.00,93.68,3447.50
949.80,93.47,3333.20
955.20,93.27,3458.90
960.00,93.07,3339.50
964.80,92.88,3281.70
970.20,92.68,3278.30
975.00,92.48,3266.60
979.80,92.28,3429.10
985.20,92.11,3424.50
990.00,91.90,3396.00
994.80,91.73,3085.40
1000.20,91.50,3501.90
1005.00,91.33,3108.30
1009.80,91.12,3355.50
1015.20,90.94,3161.70
1020.00,90.74,3574.70
1024.80,90.53,3338.10
1030.20,90.32,3303.80
1035.00,90.13,3202.90
1039.80,89.94,3115.00
1045.20,89.74,3340.20
