Time (s),Temperature (K),Mass (mg),,,
0.0000,313.1,8.3625,,,
32.8848,313.6,8.3625,,,
41.5824,314.1,8.3625,,,
47.7144,314.6,8.3625,,,
52.7064,315.1,8.3625,,,
57.0186,315.6,8.3625,,,
60.8880,316.1,8.3625,,,
64.3848,316.6,8.3625,,,
67.6128,317.1,8.3625,,,
70.6320,317.6,8.3625,,,
73.4964,318.1,8.3625,,,
76.2390,318.6,8.3625,,,
78.8736,319.1,8.3625,,,
81.4134,319.6,8.3625,,,
83.8800,320.1,8.3625,,,
86.2896,320.6,8.3625,,,
88.6434,321.1,8.3625,,,
90.9432,321.6,8.3625,,,
93.1980,322.1,8.3625,,,
95.4180,322.6,8.3625,,,
97.6050,323.1,8.3625,,,
99.7620,323.6,8.3625,,,
101.8926,324.1,8.3625,,,
104.0034,324.6,8.3625,,,
106.0908,325.1,8.3625,,,
108.1602,325.6,8.3625,,,
110.2080,326.1,8.3625,,,
112.2372,326.6,8.3625,,,
114.2502,327.1,8.3625,,,
116.2500,327.6,8.3625,,,
118.2420,328.1,8.3625,,,
120.2232,328.6,8.3625,,,
122.1960,329.1,8.3625,,,
124.1574,329.6,8.3625,,,
126.1068,330.1,8.3625,,,
128.0448,330.6,8.3625,,,
129.9738,331.1,8.3625,,,
131.8944,331.6,8.3625,,,
133.8114,332.1,8.3625,,,
135.7212,332.6,8.3625,,,
137.6250,333.1,8.3625,,,
139.5234,333.6,8.3620,,,
141.4134,334.1,8.3614,,,
143.2974,334.6,8.3615,,,
145.1754,335.1,8.3618,,,
147.0462,335.6,8.3616,,,
148.9110,336.1,8.3615,,,
150.7668,336.6,8.3614,,,
152.6106,337.1,8.3613,,,
154.4448,337.6,8.3611,,,
156.2682,338.1,8.3607,,,
158.0850,338.6,8.3608,,,
159.8928,339.1,8.3609,,,
161.6958,339.6,8.3608,,,
163.4934,340.1,8.3605,,,
165.2844,340.6,8.3602,,,
167.0682,341.1,8.3598,,,
168.8406,341.6,8.3598,,,
170.6040,342.1,8.3595,,,
172.3572,342.6,8.3591,,,
174.1014,343.1,8.3586,,,
175.8366,343.6,8.3580,,,
177.5622,344.1,8.3573,,,
179.2764,344.6,8.3567,,,
180.9822,345.1,8.3562,,,
182.6748,345.6,8.3557,,,
184.3560,346.1,8.3552,,,
186.0282,346.6,8.3547,,,
187.6902,347.1,8.3544,,,
189.3420,347.6,8.3537,,,
190.9824,348.1,8.3531,,,
192.6096,348.6,8.3522,,,
194.2248,349.1,8.3512,,,
195.8298,349.6,8.3507,,,
197.4258,350.1,8.3505,,,
199.0146,350.6,8.3501,,,
200.5944,351.1,8.3496,,,
202.1658,351.6,8.3491,,,
203.7270,352.1,8.3485,,,
205.2774,352.6,8.3480,,,
206.8182,353.1,8.3475,,,
208.3482,353.6,8.3469,,,
209.8710,354.1,8.3460,,,
211.3866,354.6,8.3454,,,
212.8938,355.1,8.3449,,,
214.3902,355.6,8.3444,,,
215.8758,356.1,8.3441,,,
217.3506,356.6,8.3436,,,
218.8152,357.1,8.3433,,,
220.2732,357.6,8.3429,,,
221.7240,358.1,8.3424,,,
223.1670,358.6,8.3421,,,
224.6034,359.1,8.3416,,,
226.0320,359.6,8.3413,,,
227.4540,360.1,8.3409,,,
228.8700,360.6,8.3406,,,
230.2812,361.1,8.3401,,,
231.6858,361.6,8.3399,,,
233.0850,362.1,8.3393,,,
234.4758,362.6,8.3388,,,
235.8594,363.1,8.3380,,,
237.2358,363.6,8.3372,,,
238.6080,364.1,8.3360,,,
239.9760,364.6,8.3353,,,
241.3404,365.1,8.3349,,,
242.7018,365.6,8.3344,,,
244.0614,366.1,8.3340,,,
245.4150,366.6,8.3336,,,
246.7650,367.1,8.3329,,,
248.1108,367.6,8.3322,,,
249.4512,368.1,8.3318,,,
250.7874,368.6,8.3312,,,
252.1218,369.1,8.3307,,,
253.4532,369.6,8.3303,,,
254.7834,370.1,8.3297,,,
256.1112,370.6,8.3292,,,
257.4372,371.1,8.3284,,,
258.7590,371.6,8.3276,,,
260.0760,372.1,8.3270,,,
261.3888,372.6,8.3264,,,
262.6980,373.1,8.3259,,,
264.0030,373.6,8.3255,,,
265.3050,374.1,8.3252,,,
266.6052,374.6,8.3247,,,
267.9030,375.1,8.3242,,,
269.1990,375.6,8.3238,,,
270.4956,376.1,8.3233,,,
271.7922,376.6,8.3230,,,
273.0894,377.1,8.3226,,,
274.3872,377.6,8.3221,,,
275.6844,378.1,8.3217,,,
276.9804,378.6,8.3213,,,
278.2740,379.1,8.3208,,,
279.5652,379.6,8.3204,,,
280.8552,380.1,8.3199,,,
282.1428,380.6,8.3195,,,
283.4292,381.1,8.3192,,,
284.7144,381.6,8.3188,,,
285.9972,382.1,8.3185,,,
287.2794,382.6,8.3181,,,
288.5598,383.1,8.3176,,,
289.8402,383.6,8.3173,,,
291.1200,384.1,8.3169,,,
292.4010,384.6,8.3167,,,
293.6814,385.1,8.3164,,,
294.9612,385.6,8.3163,,,
296.2398,386.1,8.3160,,,
297.5178,386.6,8.3158,,,
298.7934,387.1,8.3155,,,
300.0672,387.6,8.3153,,,
301.3416,388.1,8.3150,,,
302.6142,388.6,8.3147,,,
303.8856,389.1,8.3143,,,
305.1558,389.6,8.3141,,,
306.4248,390.1,8.3140,,,
307.6926,390.6,8.3139,,,
308.9580,391.1,8.3139,,,
310.2228,391.6,8.3137,,,
311.4882,392.1,8.3136,,,
312.7530,392.6,8.3134,,,
314.0184,393.1,8.3132,,,
315.2838,393.6,8.3129,,,
316.5486,394.1,8.3126,,,
317.8116,394.6,8.3122,,,
319.0728,395.1,8.3119,,,
320.3316,395.6,8.3116,,,
321.5886,396.1,8.3113,,,
322.8450,396.6,8.3111,,,
324.0996,397.1,8.3109,,,
325.3524,397.6,8.3108,,,
326.6046,398.1,8.3108,,,
327.8562,398.6,8.3108,,,
329.1066,399.1,8.3108,,,
330.3570,399.6,8.3107,,,
331.6080,400.1,8.3106,,,
332.8578,400.6,8.3105,,,
334.1070,401.1,8.3104,,,
335.3544,401.6,8.3102,,,
336.6012,402.1,8.3100,,,
337.8462,402.6,8.3099,,,
339.0894,403.1,8.3097,,,
340.3308,403.6,8.3096,,,
341.5722,404.1,8.3094,,,
342.8112,404.6,8.3092,,,
344.0478,405.1,8.3091,,,
345.2850,405.6,8.3091,,,
346.5210,406.1,8.3095,,,
347.7570,406.6,8.3097,,,
348.9930,407.1,8.3098,,,
350.2296,407.6,8.3098,,,
351.4644,408.1,8.3096,,,
352.6986,408.6,8.3096,,,
353.9322,409.1,8.3095,,,
355.1646,409.6,8.3093,,,
356.3952,410.1,8.3091,,,
357.6258,410.6,8.3090,,,
358.8564,411.1,8.3089,,,
360.0864,411.6,8.3088,,,
361.3164,412.1,8.3087,,,
362.5470,412.6,8.3088,,,
363.7776,413.1,8.3088,,,
365.0076,413.6,8.3088,,,
366.2364,414.1,8.3087,,,
367.4634,414.6,8.3086,,,
368.6880,415.1,8.3085,,,
369.9120,415.6,8.3084,,,
371.1342,416.1,8.3083,,,
372.3558,416.6,8.3082,,,
373.5780,417.1,8.3081,,,
374.8002,417.6,8.3081,,,
376.0218,418.1,8.3076,,,
377.2434,418.6,8.3073,,,
378.4650,419.1,8.3070,,,
379.6872,419.6,8.3068,,,
380.9088,420.1,8.3066,,,
382.1310,420.6,8.3064,,,
383.3526,421.1,8.3063,,,
384.5742,421.6,8.3061,,,
385.7958,422.1,8.3059,,,
387.0168,422.6,8.3058,,,
388.2390,423.1,8.3056,,,
389.4624,423.6,8.3056,,,
390.6882,424.1,8.3055,,,
391.9140,424.6,8.3055,,,
393.1416,425.1,8.3055,,,
394.3674,425.6,8.3056,,,
395.5926,426.1,8.3056,,,
396.8154,426.6,8.3056,,,
398.0382,427.1,8.3056,,,
399.2598,427.6,8.3056,,,
400.4808,428.1,8.3056,,,
401.7024,428.6,8.3057,,,
402.9246,429.1,8.3057,,,
404.1468,429.6,8.3057,,,
405.3702,430.1,8.3056,,,
406.5954,430.6,8.3055,,,
407.8212,431.1,8.3054,,,
409.0482,431.6,8.3054,,,
410.2764,432.1,8.3054,,,
411.5040,432.6,8.3053,,,
412.7316,433.1,8.3053,,,
413.9598,433.6,8.3052,,,
415.1886,434.1,8.3051,,,
416.4174,434.6,8.3051,,,
417.6474,435.1,8.3050,,,
418.8780,435.6,8.3049,,,
420.1092,436.1,8.3048,,,
421.3392,436.6,8.3046,,,
422.5698,437.1,8.3040,,,
423.8010,437.6,8.3035,,,
425.0316,438.1,8.3032,,,
426.2640,438.6,8.3029,,,
427.4982,439.1,8.3026,,,
428.7324,439.6,8.3025,,,
429.9684,440.1,8.3023,,,
431.2062,440.6,8.3021,,,
432.4440,441.1,8.3020,,,
433.6812,441.6,8.3019,,,
434.9184,442.1,8.3017,,,
436.1556,442.6,8.3013,,,
437.3928,443.1,8.3004,,,
438.6306,443.6,8.2998,,,
439.8708,444.1,8.2993,,,
441.1104,444.6,8.2989,,,
442.3512,445.1,8.2986,,,
443.5914,445.6,8.2981,,,
444.8310,446.1,8.2976,,,
446.0688,446.6,8.2973,,,
447.3072,447.1,8.2970,,,
448.5462,447.6,8.2967,,,
449.7858,448.1,8.2963,,,
451.0266,448.6,8.2959,,,
452.2692,449.1,8.2956,,,
453.5136,449.6,8.2952,,,
454.7586,450.1,8.2948,,,
456.0048,450.6,8.2945,,,
457.2510,451.1,8.2941,,,
458.4966,451.6,8.2937,,,
459.7428,452.1,8.2933,,,
460.9884,452.6,8.2930,,,
462.2346,453.1,8.2927,,,
463.4802,453.6,8.2924,,,
464.7264,454.1,8.2920,,,
465.9732,454.6,8.2918,,,
467.2206,455.1,8.2914,,,
468.4674,455.6,8.2910,,,
469.7154,456.1,8.2906,,,
470.9640,456.6,8.2902,,,
472.2126,457.1,8.2899,,,
473.4606,457.6,8.2895,,,
474.7098,458.1,8.2892,,,
475.9590,458.6,8.2888,,,
477.2088,459.1,8.2884,,,
478.4592,459.6,8.2880,,,
479.7096,460.1,8.2875,,,
480.9624,460.6,8.2871,,,
482.2152,461.1,8.2867,,,
483.4686,461.6,8.2859,,,
484.7232,462.1,8.2850,,,
485.9784,462.6,8.2841,,,
487.2324,463.1,8.2836,,,
488.4864,463.6,8.2832,,,
489.7422,464.1,8.2827,,,
490.9980,464.6,8.2820,,,
492.2550,465.1,8.2814,,,
493.5132,465.6,8.2803,,,
494.7714,466.1,8.2795,,,
496.0308,466.6,8.2786,,,
497.2920,467.1,8.2778,,,
498.5532,467.6,8.2772,,,
499.8156,468.1,8.2765,,,
501.0798,468.6,8.2758,,,
502.3446,469.1,8.2749,,,
503.6106,469.6,8.2741,,,
504.8778,470.1,8.2730,,,
506.1462,470.6,8.2715,,,
507.4164,471.1,8.2708,,,
508.6866,471.6,8.2700,,,
509.9568,472.1,8.2692,,,
511.2264,472.6,8.2682,,,
512.4954,473.1,8.2671,,,
513.7656,473.6,8.2659,,,
515.0364,474.1,8.2650,,,
516.3090,474.6,8.2643,,,
517.5840,475.1,8.2633,,,
518.8614,475.6,8.2616,,,
520.1388,476.1,8.2603,,,
521.4168,476.6,8.2599,,,
522.6948,477.1,8.2589,,,
523.9734,477.6,8.2578,,,
525.2526,478.1,8.2564,,,
526.5348,478.6,8.2552,,,
527.8188,479.1,8.2543,,,
529.1052,479.6,8.2528,,,
530.3952,480.1,8.2509,,,
531.6858,480.6,8.2506,,,
532.9770,481.1,8.2488,,,
534.2688,481.6,8.2476,,,
535.5600,482.1,8.2466,,,
536.8506,482.6,8.2449,,,
538.1412,483.1,8.2434,,,
539.4336,483.6,8.2427,,,
540.7266,484.1,8.2412,,,
542.0208,484.6,8.2396,,,
543.3162,485.1,8.2382,,,
544.6134,485.6,8.2362,,,
545.9100,486.1,8.2352,,,
547.2078,486.6,8.2341,,,
548.5074,487.1,8.2316,,,
549.8070,487.6,8.2300,,,
551.1078,488.1,8.2285,,,
552.4104,488.6,8.2271,,,
553.7136,489.1,8.2258,,,
555.0180,489.6,8.2232,,,
556.3242,490.1,8.2224,,,
557.6316,490.6,8.2210,,,
558.9396,491.1,8.2180,,,
560.2476,491.6,8.2172,,,
561.5556,492.1,8.2155,,,
562.8648,492.6,8.2135,,,
564.1758,493.1,8.2111,,,
565.4886,493.6,8.2094,,,
566.8032,494.1,8.2074,,,
568.1190,494.6,8.2050,,,
569.4354,495.1,8.2029,,,
570.7524,495.6,8.2007,,,
572.0694,496.1,8.1986,,,
573.3864,496.6,8.1964,,,
574.7046,497.1,8.1935,,,
576.0234,497.6,8.1921,,,
577.3434,498.1,8.1888,,,
578.6652,498.6,8.1870,,,
579.9882,499.1,8.1837,,,
581.3136,499.6,8.1814,,,
582.6402,500.1,8.1789,,,
583.9668,500.6,8.1759,,,
585.2946,501.1,8.1739,,,
586.6218,501.6,8.1705,,,
587.9490,502.1,8.1684,,,
589.2768,502.6,8.1655,,,
590.6070,503.1,8.1628,,,
591.9396,503.6,8.1605,,,
593.2740,504.1,8.1576,,,
594.6108,504.6,8.1554,,,
595.9488,505.1,8.1524,,,
597.2874,505.6,8.1495,,,
598.6260,506.1,8.1476,,,
599.9646,506.6,8.1449,,,
601.3038,507.1,8.1414,,,
602.6442,507.6,8.1395,,,
603.9852,508.1,8.1365,,,
605.3268,508.6,8.1333,,,
606.6690,509.1,8.1312,,,
608.0124,509.6,8.1283,,,
609.3564,510.1,8.1248,,,
610.7016,510.6,8.1224,,,
612.0474,511.1,8.1191,,,
613.3944,511.6,8.1164,,,
614.7408,512.1,8.1124,,,
616.0872,512.6,8.1099,,,
617.4348,513.1,8.1076,,,
618.7842,513.6,8.1038,,,
620.1360,514.1,8.0999,,,
621.4902,514.6,8.0966,,,
622.8456,515.1,8.0935,,,
624.2010,515.6,8.0900,,,
625.5588,516.1,8.0861,,,
626.9160,516.6,8.0825,,,
628.2750,517.1,8.0790,,,
629.6358,517.6,8.0753,,,
630.9960,518.1,8.0711,,,
632.3556,518.6,8.0680,,,
633.7158,519.1,8.0642,,,
635.0760,519.6,8.0603,,,
636.4368,520.1,8.0564,,,
637.7994,520.6,8.0527,,,
639.1626,521.1,8.0492,,,
640.5270,521.6,8.0444,,,
641.8932,522.1,8.0406,,,
643.2600,522.6,8.0366,,,
644.6280,523.1,8.0327,,,
645.9972,523.6,8.0285,,,
647.3676,524.1,8.0250,,,
648.7386,524.6,8.0209,,,
650.1102,525.1,8.0171,,,
651.4830,525.6,8.0127,,,
652.8564,526.1,8.0082,,,
654.2304,526.6,8.0040,,,
655.6050,527.1,7.9999,,,
656.9802,527.6,7.9964,,,
658.3566,528.1,7.9917,,,
659.7348,528.6,7.9871,,,
661.1136,529.1,7.9829,,,
662.4948,529.6,7.9776,,,
663.8790,530.1,7.9733,,,
665.2638,530.6,7.9685,,,
666.6492,531.1,7.9636,,,
668.0352,531.6,7.9591,,,
669.4212,532.1,7.9546,,,
670.8066,532.6,7.9498,,,
672.1926,533.1,7.9442,,,
673.5792,533.6,7.9386,,,
674.9664,534.1,7.9339,,,
676.3542,534.6,7.9285,,,
677.7420,535.1,7.9230,,,
679.1304,535.6,7.9176,,,
680.5206,536.1,7.9122,,,
681.9126,536.6,7.9063,,,
683.3064,537.1,7.9004,,,
684.7020,537.6,7.8947,,,
686.0964,538.1,7.8883,,,
687.4926,538.6,7.8813,,,
688.8888,539.1,7.8736,,,
690.2856,539.6,7.8656,,,
691.6848,540.1,7.8572,,,
693.0852,540.6,7.8502,,,
694.4862,541.1,7.8433,,,
695.8884,541.6,7.8373,,,
697.2906,542.1,7.8321,,,
698.6934,542.6,7.8267,,,
700.0968,543.1,7.8214,,,
701.5014,543.6,7.8160,,,
702.9072,544.1,7.8106,,,
704.3148,544.6,7.8046,,,
705.7230,545.1,7.7986,,,
707.1306,545.6,7.7913,,,
708.5370,546.1,7.7833,,,
709.9434,546.6,7.7747,,,
711.3516,547.1,7.7662,,,
712.7610,547.6,7.7580,,,
714.1722,548.1,7.7509,,,
715.5858,548.6,7.7433,,,
717.0000,549.1,7.7368,,,
718.4148,549.6,7.7291,,,
719.8326,550.1,7.7213,,,
721.2510,550.6,7.7139,,,
722.6700,551.1,7.7052,,,
724.0896,551.6,7.6970,,,
725.5086,552.1,7.6894,,,
726.9282,552.6,7.6818,,,
728.3496,553.1,7.6740,,,
729.7734,553.6,7.6656,,,
731.1984,554.1,7.6574,,,
732.6234,554.6,7.6490,,,
734.0478,555.1,7.6406,,,
735.4704,555.6,7.6316,,,
736.8930,556.1,7.6231,,,
738.3162,556.6,7.6143,,,
739.7406,557.1,7.6053,,,
741.1668,557.6,7.5964,,,
742.5942,558.1,7.5867,,,
744.0228,558.6,7.5778,,,
745.4538,559.1,7.5686,,,
746.8848,559.6,7.5594,,,
748.3158,560.1,7.5489,,,
749.7486,560.6,7.5398,,,
751.1814,561.1,7.5308,,,
752.6154,561.6,7.5216,,,
754.0512,562.1,7.5120,,,
755.4888,562.6,7.5019,,,
756.9270,563.1,7.4908,,,
758.3652,563.6,7.4804,,,
759.8028,564.1,7.4704,,,
761.2404,564.6,7.4607,,,
762.6786,565.1,7.4505,,,
764.1180,565.6,7.4398,,,
765.5586,566.1,7.4291,,,
766.9992,566.6,7.4180,,,
768.4410,567.1,7.4070,,,
769.8840,567.6,7.3965,,,
771.3270,568.1,7.3860,,,
772.7724,568.6,7.3745,,,
774.2172,569.1,7.3624,,,
775.6614,569.6,7.3516,,,
777.1068,570.1,7.3402,,,
778.5528,570.6,7.3284,,,
779.9988,571.1,7.3167,,,
781.4466,571.6,7.3046,,,
782.8950,572.1,7.2930,,,
784.3440,572.6,7.2808,,,
785.7936,573.1,7.2685,,,
787.2420,573.6,7.2556,,,
788.6916,574.1,7.2435,,,
790.1418,574.6,7.2306,,,
791.5920,575.1,7.2179,,,
793.0458,575.6,7.2049,,,
794.5008,576.1,7.1922,,,
795.9558,576.6,7.1787,,,
797.4120,577.1,7.1658,,,
798.8658,577.6,7.1529,,,
800.3190,578.1,7.1384,,,
801.7740,578.6,7.1249,,,
803.2296,579.1,7.1119,,,
804.6876,579.6,7.0980,,,
806.1474,580.1,7.0833,,,
807.6084,580.6,7.0686,,,
809.0694,581.1,7.0543,,,
810.5304,581.6,7.0394,,,
811.9914,582.1,7.0252,,,
813.4524,582.6,7.0106,,,
814.9134,583.1,6.9959,,,
816.3756,583.6,6.9817,,,
