Time (s),Temperature (K),Mass (mg),,,
0.0000,309.0,8.771,,,
43.8618,309.5,8.771,,,
62.9658,310.0,8.771,,,
76.9320,310.5,8.771,,,
88.6398,311.0,8.771,,,
99.0504,311.5,8.771,,,
108.5802,312.0,8.771,,,
117.5070,312.5,8.771,,,
126.0174,313.0,8.771,,,
134.1960,313.5,8.771,,,
142.0980,314.0,8.771,,,
149.7630,314.5,8.771,,,
157.2348,315.0,8.771,,,
164.5284,315.5,8.771,,,
171.6498,316.0,8.771,,,
178.6032,316.5,8.771,,,
185.4006,317.0,8.771,,,
192.0660,317.5,8.770,,,
198.6072,318.0,8.769,,,
205.0332,318.5,8.769,,,
211.3488,319.0,8.768,,,
217.5564,319.5,8.768,,,
223.6632,320.0,8.767,,,
229.6656,320.5,8.767,,,
235.5726,321.0,8.767,,,
241.3812,321.5,8.767,,,
247.1046,322.0,8.767,,,
252.7494,322.5,8.768,,,
258.3192,323.0,8.768,,,
263.8224,323.5,8.767,,,
269.2638,324.0,8.766,,,
274.6512,324.5,8.765,,,
279.9894,325.0,8.765,,,
285.2820,325.5,8.765,,,
290.5308,326.0,8.764,,,
295.7388,326.5,8.764,,,
300.9018,327.0,8.764,,,
306.0246,327.5,8.764,,,
311.1126,328.0,8.764,,,
316.1664,328.5,8.763,,,
321.1914,329.0,8.763,,,
326.1954,329.5,8.763,,,
331.1742,330.0,8.762,,,
336.1278,330.5,8.761,,,
341.0616,331.0,8.761,,,
345.9726,331.5,8.760,,,
350.8608,332.0,8.759,,,
355.7322,332.5,8.758,,,
360.5916,333.0,8.757,,,
365.4378,333.5,8.756,,,
370.2726,334.0,8.755,,,
375.0966,334.5,8.755,,,
379.9104,335.0,8.755,,,
384.7104,335.5,8.754,,,
389.4972,336.0,8.753,,,
394.2768,336.5,8.753,,,
399.0540,337.0,8.753,,,
403.8246,337.5,8.752,,,
408.5952,338.0,8.751,,,
413.3670,338.5,8.751,,,
418.1370,339.0,8.750,,,
422.9016,339.5,8.749,,,
427.6656,340.0,8.747,,,
432.4314,340.5,8.745,,,
437.1954,341.0,8.744,,,
441.9606,341.5,8.744,,,
446.7306,342.0,8.743,,,
451.5048,342.5,8.742,,,
456.2808,343.0,8.741,,,
461.0628,343.5,8.740,,,
465.8460,344.0,8.739,,,
470.6334,344.5,8.738,,,
475.4214,345.0,8.737,,,
480.2112,345.5,8.737,,,
485.0052,346.0,8.736,,,
489.8100,346.5,8.736,,,
494.6226,347.0,8.736,,,
499.4448,347.5,8.735,,,
504.2784,348.0,8.734,,,
509.1180,348.5,8.734,,,
513.9588,349.0,8.732,,,
518.8014,349.5,8.731,,,
523.6488,350.0,8.730,,,
528.4962,350.5,8.729,,,
533.3442,351.0,8.727,,,
538.1952,351.5,8.727,,,
543.0504,352.0,8.726,,,
547.9074,352.5,8.725,,,
552.7692,353.0,8.724,,,
557.6418,353.5,8.723,,,
562.5258,354.0,8.722,,,
567.4194,354.5,8.721,,,
572.3214,355.0,8.720,,,
577.2360,355.5,8.719,,,
582.1548,356.0,8.718,,,
587.0772,356.5,8.717,,,
592.0050,357.0,8.716,,,
596.9400,357.5,8.715,,,
601.8762,358.0,8.714,,,
606.8238,358.5,8.714,,,
611.7810,359.0,8.714,,,
616.7478,359.5,8.713,,,
621.7218,360.0,8.713,,,
626.7108,360.5,8.713,,,
631.7058,361.0,8.713,,,
636.7086,361.5,8.712,,,
641.7204,362.0,8.712,,,
646.7460,362.5,8.712,,,
651.7836,363.0,8.712,,,
656.8350,363.5,8.711,,,
661.8984,364.0,8.711,,,
666.9732,364.5,8.710,,,
672.0570,365.0,8.709,,,
677.1486,365.5,8.709,,,
682.2498,366.0,8.708,,,
687.3618,366.5,8.708,,,
692.4834,367.0,8.707,,,
697.6122,367.5,8.707,,,
702.7446,368.0,8.707,,,
707.8848,368.5,8.706,,,
713.0316,369.0,8.706,,,
718.1904,369.5,8.706,,,
723.3648,370.0,8.705,,,
728.5584,370.5,8.706,,,
733.7646,371.0,8.705,,,
738.9858,371.5,8.705,,,
744.2190,372.0,8.704,,,
749.4612,372.5,8.704,,,
754.7124,373.0,8.704,,,
759.9804,373.5,8.704,,,
765.2628,374.0,8.704,,,
770.5650,374.5,8.704,,,
775.8876,375.0,8.704,,,
781.2306,375.5,8.704,,,
786.5880,376.0,8.704,,,
791.9532,376.5,8.704,,,
797.3226,377.0,8.704,,,
802.6938,377.5,8.703,,,
808.0686,378.0,8.702,,,
813.4536,378.5,8.701,,,
818.8554,379.0,8.701,,,
824.2758,379.5,8.701,,,
829.7190,380.0,8.701,,,
835.1802,380.5,8.701,,,
840.6522,381.0,8.702,,,
846.1410,381.5,8.702,,,
851.6400,382.0,8.702,,,
857.1498,382.5,8.702,,,
862.6764,383.0,8.702,,,
868.2180,383.5,8.702,,,
873.7698,384.0,8.702,,,
879.3306,384.5,8.701,,,
884.9022,385.0,8.701,,,
890.4816,385.5,8.701,,,
896.0706,386.0,8.701,,,
901.6716,386.5,8.701,,,
907.2834,387.0,8.701,,,
912.9102,387.5,8.701,,,
918.5502,388.0,8.702,,,
924.1986,388.5,8.702,,,
929.8608,389.0,8.702,,,
935.5278,389.5,8.702,,,
941.1984,390.0,8.702,,,
946.8786,390.5,8.702,,,
952.5684,391.0,8.702,,,
958.2636,391.5,8.702,,,
963.9672,392.0,8.701,,,
969.6804,392.5,8.701,,,
975.3972,393.0,8.700,,,
981.1194,393.5,8.700,,,
986.8506,394.0,8.700,,,
992.5872,394.5,8.700,,,
998.3298,395.0,8.700,,,
1004.0838,395.5,8.700,,,
1009.8414,396.0,8.701,,,
1015.6050,396.5,8.701,,,
1021.3734,397.0,8.701,,,
1027.1424,397.5,8.701,,,
1032.9186,398.0,8.700,,,
1038.7032,398.5,8.700,,,
1044.4980,399.0,8.700,,,
1050.3030,399.5,8.700,,,
1056.1152,400.0,8.700,,,
1061.9358,400.5,8.701,,,
1067.7594,401.0,8.701,,,
1073.5860,401.5,8.701,,,
1079.4156,402.0,8.701,,,
1085.2512,402.5,8.700,,,
1091.0958,403.0,8.699,,,
1096.9464,403.5,8.698,,,
1102.8072,404.0,8.697,,,
1108.6686,404.5,8.697,,,
1114.5270,405.0,8.696,,,
1120.3860,405.5,8.696,,,
1126.2480,406.0,8.696,,,
1132.1166,406.5,8.696,,,
1137.9912,407.0,8.696,,,
1143.8712,407.5,8.697,,,
1149.7512,408.0,8.697,,,
1155.6264,408.5,8.697,,,
1161.5052,409.0,8.698,,,
1167.3876,409.5,8.697,,,
1173.2772,410.0,8.697,,,
1179.1794,410.5,8.697,,,
1185.0834,411.0,8.696,,,
1190.9892,411.5,8.696,,,
1196.8920,412.0,8.695,,,
1202.7912,412.5,8.696,,,
1208.6916,413.0,8.696,,,
1214.5956,413.5,8.697,,,
1220.5008,414.0,8.697,,,
1226.4072,414.5,8.698,,,
1232.3136,415.0,8.697,,,
1238.2182,415.5,8.697,,,
1244.1264,416.0,8.696,,,
1250.0424,416.5,8.695,,,
1255.9614,417.0,8.695,,,
1261.8858,417.5,8.695,,,
1267.8114,418.0,8.694,,,
1273.7376,418.5,8.694,,,
1279.6698,419.0,8.693,,,
1285.6116,419.5,8.692,,,
1291.5570,420.0,8.692,,,
1297.5024,420.5,8.693,,,
1303.4388,421.0,8.693,,,
1309.3620,421.5,8.694,,,
1315.2846,422.0,8.694,,,
1321.2096,422.5,8.694,,,
1327.1472,423.0,8.694,,,
1333.0950,423.5,8.693,,,
1339.0470,424.0,8.693,,,
1345.0008,424.5,8.693,,,
1350.9474,425.0,8.693,,,
1356.8886,425.5,8.693,,,
1362.8238,426.0,8.692,,,
1368.7566,426.5,8.692,,,
1374.6912,427.0,8.691,,,
1380.6324,427.5,8.691,,,
1386.5880,428.0,8.691,,,
1392.5526,428.5,8.690,,,
1398.5262,429.0,8.689,,,
1404.5058,429.5,8.689,,,
1410.4800,430.0,8.688,,,
1416.4518,430.5,8.687,,,
1422.4224,431.0,8.686,,,
1428.3882,431.5,8.686,,,
1434.3582,432.0,8.686,,,
1440.3354,432.5,8.686,,,
1446.3126,433.0,8.686,,,
1452.2910,433.5,8.686,,,
1458.2706,434.0,8.686,,,
1464.2454,434.5,8.686,,,
1470.2232,435.0,8.686,,,
1476.2052,435.5,8.686,,,
1482.1878,436.0,8.685,,,
1488.1746,436.5,8.685,,,
1494.1632,437.0,8.684,,,
1500.1542,437.5,8.683,,,
1506.1488,438.0,8.683,,,
1512.1470,438.5,8.683,,,
1518.1458,439.0,8.682,,,
1524.1452,439.5,8.681,,,
1530.1464,440.0,8.680,,,
1536.1494,440.5,8.680,,,
1542.1536,441.0,8.678,,,
1548.1578,441.5,8.677,,,
1554.1590,442.0,8.676,,,
1560.1536,442.5,8.676,,,
1566.1464,443.0,8.676,,,
1572.1434,443.5,8.676,,,
1578.1404,444.0,8.674,,,
1584.1422,444.5,8.674,,,
1590.1488,445.0,8.673,,,
1596.1500,445.5,8.672,,,
1602.1488,446.0,8.671,,,
1608.1458,446.5,8.671,,,
1614.1410,447.0,8.670,,,
1620.1368,447.5,8.670,,,
1626.1368,448.0,8.670,,,
1632.1398,448.5,8.670,,,
1638.1422,449.0,8.670,,,
1644.1464,449.5,8.669,,,
1650.1530,450.0,8.669,,,
1656.1620,450.5,8.669,,,
1662.1728,451.0,8.668,,,
1668.1848,451.5,8.667,,,
1674.1926,452.0,8.667,,,
1680.1962,452.5,8.666,,,
1686.1986,453.0,8.665,,,
1692.1986,453.5,8.663,,,
1698.1962,454.0,8.661,,,
1704.1926,454.5,8.659,,,
1710.1920,455.0,8.659,,,
1716.1938,455.5,8.657,,,
1722.1938,456.0,8.655,,,
1728.1938,456.5,8.655,,,
1734.1860,457.0,8.654,,,
1740.1770,457.5,8.652,,,
1746.1752,458.0,8.650,,,
1752.1812,458.5,8.650,,,
1758.1956,459.0,8.649,,,
1764.2124,459.5,8.648,,,
1770.2244,460.0,8.647,,,
1776.2274,460.5,8.645,,,
1782.2226,461.0,8.644,,,
1788.2118,461.5,8.642,,,
1794.1992,462.0,8.641,,,
1800.1884,462.5,8.639,,,
1806.1818,463.0,8.637,,,
1812.1782,463.5,8.636,,,
1818.1794,464.0,8.634,,,
1824.1794,464.5,8.632,,,
1830.1782,465.0,8.630,,,
1836.1740,465.5,8.627,,,
1842.1656,466.0,8.626,,,
1848.1584,466.5,8.624,,,
1854.1548,467.0,8.622,,,
1860.1554,467.5,8.620,,,
1866.1614,468.0,8.618,,,
1872.1674,468.5,8.616,,,
1878.1704,469.0,8.615,,,
1884.1722,469.5,8.613,,,
1890.1674,470.0,8.611,,,
1896.1620,470.5,8.609,,,
1902.1530,471.0,8.606,,,
1908.1422,471.5,8.605,,,
1914.1314,472.0,8.603,,,
1920.1224,472.5,8.601,,,
1926.1164,473.0,8.599,,,
1932.1182,473.5,8.598,,,
1938.1278,474.0,8.595,,,
1944.1374,474.5,8.593,,,
1950.1488,475.0,8.591,,,
1956.1530,475.5,8.589,,,
1962.1488,476.0,8.588,,,
1968.1404,476.5,8.585,,,
1974.1314,477.0,8.583,,,
1980.1248,477.5,8.581,,,
1986.1218,478.0,8.579,,,
1992.1254,478.5,8.576,,,
1998.1338,479.0,8.573,,,
2004.1440,479.5,8.571,,,
2010.1596,480.0,8.567,,,
2016.1752,480.5,8.565,,,
2022.1884,481.0,8.563,,,
2028.1986,481.5,8.561,,,
2034.2088,482.0,8.558,,,
2040.2130,482.5,8.555,,,
2046.2130,483.0,8.552,,,
2052.2130,483.5,8.548,,,
2058.2082,484.0,8.546,,,
2064.2058,484.5,8.543,,,
2070.2100,485.0,8.541,,,
2076.2184,485.5,8.538,,,
2082.2250,486.0,8.535,,,
2088.2322,486.5,8.532,,,
2094.2340,487.0,8.528,,,
2100.2322,487.5,8.525,,,
2106.2328,488.0,8.522,,,
2112.2376,488.5,8.519,,,
2118.2472,489.0,8.517,,,
2124.2580,489.5,8.513,,,
2130.2688,490.0,8.511,,,
2136.2748,490.5,8.508,,,
2142.2814,491.0,8.504,,,
2148.2922,491.5,8.501,,,
2154.3060,492.0,8.498,,,
2160.3222,492.5,8.495,,,
2166.3396,493.0,8.491,,,
2172.3546,493.5,8.488,,,
2178.3684,494.0,8.484,,,
2184.3852,494.5,8.481,,,
2190.4008,495.0,8.477,,,
2196.4128,495.5,8.473,,,
2202.4236,496.0,8.470,,,
2208.4290,496.5,8.466,,,
2214.4302,497.0,8.463,,,
2220.4296,497.5,8.460,,,
2226.4266,498.0,8.456,,,
2232.4284,498.5,8.451,,,
2238.4350,499.0,8.447,,,
2244.4518,499.5,8.444,,,
2250.4776,500.0,8.440,,,
2256.5028,500.5,8.436,,,
2262.5262,501.0,8.432,,,
2268.5448,501.5,8.428,,,
