Time (s),Temperature (K),Mass (mg),,,
0.0000,308.4,8.233,,,
31.1094,308.9,8.233,,,
40.1484,309.4,8.233,,,
46.5120,309.9,8.233,,,
51.6426,310.4,8.233,,,
56.0148,310.9,8.233,,,
59.8830,311.4,8.233,,,
63.4080,311.9,8.233,,,
66.6756,312.4,8.233,,,
69.7470,312.9,8.233,,,
72.6636,313.4,8.233,,,
75.4374,313.9,8.233,,,
78.0882,314.4,8.233,,,
80.6394,314.9,8.233,,,
83.1096,315.4,8.233,,,
85.5120,315.9,8.233,,,
87.8538,316.4,8.233,,,
90.1464,316.9,8.233,,,
92.3916,317.4,8.233,,,
94.5966,317.9,8.233,,,
96.7620,318.4,8.233,,,
98.8986,318.9,8.233,,,
101.0076,319.4,8.233,,,
103.0968,319.9,8.233,,,
105.1650,320.4,8.233,,,
107.2182,320.9,8.233,,,
109.2522,321.4,8.233,,,
111.2682,321.9,8.233,,,
113.2650,322.4,8.233,,,
115.2468,322.9,8.233,,,
117.2148,323.4,8.233,,,
119.1684,323.9,8.233,,,
121.1094,324.4,8.233,,,
123.0402,324.9,8.233,,,
124.9626,325.4,8.233,,,
126.8784,325.9,8.233,,,
128.7888,326.4,8.233,,,
130.6914,326.9,8.233,,,
132.5880,327.4,8.233,,,
134.4768,327.9,8.233,,,
136.3644,328.4,8.233,,,
138.2436,328.9,8.232,,,
140.1138,329.4,8.231,,,
141.9696,329.9,8.231,,,
143.8140,330.4,8.231,,,
145.6512,330.9,8.231,,,
147.4818,331.4,8.232,,,
149.3064,331.9,8.232,,,
151.1232,332.4,8.231,,,
152.9334,332.9,8.231,,,
154.7376,333.4,8.231,,,
156.5346,333.9,8.231,,,
158.3214,334.4,8.231,,,
160.1016,334.9,8.231,,,
161.8716,335.4,8.231,,,
163.6332,335.9,8.231,,,
165.3858,336.4,8.231,,,
167.1270,336.9,8.230,,,
168.8568,337.4,8.230,,,
170.5746,337.9,8.231,,,
172.2846,338.4,8.230,,,
173.9886,338.9,8.230,,,
175.6860,339.4,8.230,,,
177.3738,339.9,8.229,,,
179.0502,340.4,8.229,,,
180.7122,340.9,8.228,,,
182.3622,341.4,8.227,,,
184.0044,341.9,8.227,,,
185.6382,342.4,8.227,,,
187.2666,342.9,8.226,,,
188.8854,343.4,8.226,,,
190.4916,343.9,8.225,,,
192.0870,344.4,8.224,,,
193.6686,344.9,8.223,,,
195.2400,345.4,8.222,,,
196.8042,345.9,8.222,,,
198.3594,346.4,8.222,,,
199.9062,346.9,8.222,,,
201.4446,347.4,8.221,,,
202.9734,347.9,8.220,,,
204.4920,348.4,8.220,,,
206.0028,348.9,8.219,,,
207.5052,349.4,8.219,,,
208.9998,349.9,8.218,,,
210.4854,350.4,8.217,,,
211.9626,350.9,8.217,,,
213.4290,351.4,8.217,,,
214.8870,351.9,8.216,,,
216.3390,352.4,8.216,,,
217.7838,352.9,8.216,,,
219.2238,353.4,8.215,,,
220.6566,353.9,8.214,,,
222.0798,354.4,8.214,,,
223.4952,354.9,8.213,,,
224.9028,355.4,8.213,,,
226.3026,355.9,8.212,,,
227.6970,356.4,8.212,,,
229.0854,356.9,8.211,,,
230.4672,357.4,8.211,,,
231.8436,357.9,8.211,,,
233.2128,358.4,8.210,,,
234.5748,358.9,8.209,,,
235.9308,359.4,8.208,,,
237.2802,359.9,8.208,,,
238.6236,360.4,8.207,,,
239.9628,360.9,8.207,,,
241.2966,361.4,8.207,,,
242.6274,361.9,8.206,,,
243.9552,362.4,8.206,,,
245.2788,362.9,8.206,,,
246.5988,363.4,8.205,,,
247.9152,363.9,8.204,,,
249.2262,364.4,8.204,,,
250.5306,364.9,8.203,,,
251.8320,365.4,8.202,,,
253.1298,365.9,8.202,,,
254.4258,366.4,8.201,,,
255.7194,366.9,8.201,,,
257.0118,367.4,8.200,,,
258.3018,367.9,8.200,,,
259.5888,368.4,8.200,,,
260.8734,368.9,8.199,,,
262.1556,369.4,8.199,,,
263.4360,369.9,8.198,,,
264.7140,370.4,8.198,,,
265.9896,370.9,8.197,,,
267.2622,371.4,8.197,,,
268.5336,371.9,8.197,,,
269.8026,372.4,8.196,,,
271.0692,372.9,8.196,,,
272.3328,373.4,8.196,,,
273.5946,373.9,8.195,,,
274.8540,374.4,8.195,,,
276.1122,374.9,8.195,,,
277.3704,375.4,8.194,,,
278.6286,375.9,8.194,,,
279.8862,376.4,8.193,,,
281.1432,376.9,8.193,,,
282.3996,377.4,8.193,,,
283.6536,377.9,8.193,,,
284.9052,378.4,8.192,,,
286.1556,378.9,8.192,,,
287.4054,379.4,8.192,,,
288.6540,379.9,8.191,,,
289.9032,380.4,8.191,,,
291.1554,380.9,8.191,,,
292.4082,381.4,8.191,,,
293.6616,381.9,8.190,,,
294.9138,382.4,8.190,,,
296.1654,382.9,8.190,,,
297.4134,383.4,8.189,,,
298.6590,383.9,8.189,,,
299.9022,384.4,8.189,,,
301.1448,384.9,8.188,,,
302.3868,385.4,8.188,,,
303.6288,385.9,8.188,,,
304.8702,386.4,8.187,,,
306.1122,386.9,8.187,,,
307.3530,387.4,8.187,,,
308.5926,387.9,8.187,,,
309.8304,388.4,8.187,,,
311.0676,388.9,8.187,,,
312.3030,389.4,8.186,,,
313.5378,389.9,8.186,,,
314.7714,390.4,8.186,,,
316.0056,390.9,8.186,,,
317.2392,391.4,8.186,,,
318.4722,391.9,8.186,,,
319.7052,392.4,8.186,,,
320.9376,392.9,8.185,,,
322.1682,393.4,8.185,,,
323.4000,393.9,8.185,,,
324.6300,394.4,8.185,,,
325.8588,394.9,8.185,,,
327.0864,395.4,8.185,,,
328.3134,395.9,8.186,,,
329.5374,396.4,8.186,,,
330.7596,396.9,8.186,,,
331.9806,397.4,8.186,,,
333.1998,397.9,8.186,,,
334.4178,398.4,8.186,,,
335.6346,398.9,8.186,,,
336.8520,399.4,8.186,,,
338.0676,399.9,8.186,,,
339.2838,400.4,8.186,,,
340.5006,400.9,8.186,,,
341.7162,401.4,8.186,,,
342.9324,401.9,8.186,,,
344.1480,402.4,8.185,,,
345.3630,402.9,8.186,,,
346.5762,403.4,8.186,,,
347.7882,403.9,8.186,,,
348.9984,404.4,8.186,,,
350.2062,404.9,8.186,,,
351.4122,405.4,8.186,,,
352.6176,405.9,8.186,,,
353.8218,406.4,8.186,,,
355.0248,406.9,8.186,,,
356.2278,407.4,8.186,,,
357.4314,407.9,8.186,,,
358.6338,408.4,8.186,,,
359.8356,408.9,8.186,,,
361.0368,409.4,8.186,,,
362.2362,409.9,8.186,,,
363.4344,410.4,8.186,,,
364.6314,410.9,8.186,,,
365.8278,411.4,8.186,,,
367.0242,411.9,8.186,,,
368.2200,412.4,8.186,,,
369.4152,412.9,8.186,,,
370.6098,413.4,8.185,,,
371.8038,413.9,8.185,,,
372.9978,414.4,8.185,,,
374.1918,414.9,8.185,,,
375.3858,415.4,8.185,,,
376.5798,415.9,8.185,,,
377.7744,416.4,8.185,,,
378.9678,416.9,8.184,,,
380.1612,417.4,8.184,,,
381.3540,417.9,8.184,,,
382.5468,418.4,8.184,,,
383.7390,418.9,8.184,,,
384.9312,419.4,8.184,,,
386.1228,419.9,8.184,,,
387.3144,420.4,8.183,,,
388.5060,420.9,8.183,,,
389.6976,421.4,8.184,,,
390.8886,421.9,8.184,,,
392.0796,422.4,8.184,,,
393.2712,422.9,8.184,,,
394.4640,423.4,8.184,,,
395.6568,423.9,8.184,,,
396.8502,424.4,8.184,,,
398.0448,424.9,8.184,,,
399.2388,425.4,8.184,,,
400.4322,425.9,8.184,,,
401.6262,426.4,8.184,,,
402.8190,426.9,8.184,,,
404.0112,427.4,8.184,,,
405.2040,427.9,8.184,,,
406.3968,428.4,8.183,,,
407.5908,428.9,8.183,,,
408.7848,429.4,8.183,,,
409.9806,429.9,8.183,,,
411.1776,430.4,8.183,,,
412.3740,430.9,8.183,,,
413.5716,431.4,8.183,,,
414.7704,431.9,8.183,,,
415.9692,432.4,8.183,,,
417.1674,432.9,8.183,,,
418.3668,433.4,8.182,,,
419.5656,433.9,8.182,,,
420.7644,434.4,8.182,,,
421.9620,434.9,8.182,,,
423.1614,435.4,8.182,,,
424.3608,435.9,8.182,,,
425.5614,436.4,8.182,,,
426.7638,436.9,8.181,,,
427.9680,437.4,8.181,,,
429.1728,437.9,8.181,,,
430.3788,438.4,8.181,,,
431.5854,438.9,8.181,,,
432.7926,439.4,8.181,,,
433.9992,439.9,8.181,,,
435.2064,440.4,8.180,,,
436.4136,440.9,8.180,,,
437.6208,441.4,8.180,,,
438.8292,441.9,8.179,,,
440.0376,442.4,8.179,,,
441.2478,442.9,8.178,,,
442.4592,443.4,8.178,,,
443.6724,443.9,8.177,,,
444.8856,444.4,8.177,,,
446.1000,444.9,8.177,,,
447.3144,445.4,8.177,,,
448.5282,445.9,8.177,,,
449.7426,446.4,8.176,,,
450.9570,446.9,8.176,,,
452.1714,447.4,8.175,,,
453.3870,447.9,8.175,,,
454.6038,448.4,8.175,,,
455.8218,448.9,8.174,,,
457.0404,449.4,8.174,,,
458.2602,449.9,8.173,,,
459.4806,450.4,8.172,,,
460.7010,450.9,8.172,,,
461.9214,451.4,8.171,,,
463.1418,451.9,8.171,,,
464.3622,452.4,8.170,,,
465.5814,452.9,8.170,,,
466.8006,453.4,8.170,,,
468.0204,453.9,8.170,,,
469.2396,454.4,8.169,,,
470.4600,454.9,8.169,,,
471.6822,455.4,8.169,,,
472.9050,455.9,8.168,,,
474.1284,456.4,8.168,,,
475.3524,456.9,8.167,,,
476.5770,457.4,8.167,,,
477.8022,457.9,8.166,,,
479.0280,458.4,8.166,,,
480.2556,458.9,8.165,,,
481.4826,459.4,8.164,,,
482.7102,459.9,8.164,,,
483.9384,460.4,8.163,,,
485.1660,460.9,8.163,,,
486.3930,461.4,8.162,,,
487.6224,461.9,8.162,,,
488.8536,462.4,8.161,,,
490.0854,462.9,8.161,,,
491.3196,463.4,8.160,,,
492.5544,463.9,8.159,,,
493.7892,464.4,8.158,,,
495.0234,464.9,8.157,,,
496.2582,465.4,8.156,,,
497.4930,465.9,8.155,,,
498.7278,466.4,8.154,,,
499.9638,466.9,8.153,,,
501.2010,467.4,8.152,,,
502.4388,467.9,8.152,,,
503.6784,468.4,8.151,,,
504.9192,468.9,8.150,,,
506.1612,469.4,8.149,,,
507.4032,469.9,8.147,,,
508.6464,470.4,8.146,,,
509.8884,470.9,8.145,,,
511.1310,471.4,8.144,,,
512.3736,471.9,8.143,,,
513.6174,472.4,8.143,,,
514.8624,472.9,8.142,,,
516.1098,473.4,8.140,,,
517.3596,473.9,8.139,,,
518.6124,474.4,8.137,,,
519.8664,474.9,8.136,,,
521.1222,475.4,8.135,,,
522.3792,475.9,8.134,,,
523.6362,476.4,8.133,,,
524.8938,476.9,8.132,,,
526.1520,477.4,8.130,,,
527.4108,477.9,8.129,,,
528.6708,478.4,8.127,,,
529.9314,478.9,8.126,,,
531.1938,479.4,8.125,,,
532.4580,479.9,8.122,,,
533.7234,480.4,8.121,,,
534.9906,480.9,8.120,,,
536.2590,481.4,8.118,,,
537.5274,481.9,8.117,,,
538.7958,482.4,8.115,,,
540.0642,482.9,8.114,,,
541.3320,483.4,8.111,,,
542.6010,483.9,8.111,,,
543.8700,484.4,8.109,,,
545.1402,484.9,8.108,,,
546.4122,485.4,8.106,,,
547.6866,485.9,8.105,,,
548.9634,486.4,8.102,,,
550.2426,486.9,8.101,,,
551.5236,487.4,8.099,,,
552.8070,487.9,8.097,,,
554.0904,488.4,8.096,,,
555.3744,488.9,8.093,,,
556.6590,489.4,8.092,,,
557.9436,489.9,8.090,,,
559.2288,490.4,8.088,,,
560.5146,490.9,8.086,,,
561.8004,491.4,8.084,,,
563.0868,491.9,8.083,,,
564.3744,492.4,8.081,,,
565.6626,492.9,8.079,,,
566.9538,493.4,8.076,,,
568.2468,493.9,8.075,,,
569.5428,494.4,8.072,,,
570.8394,494.9,8.070,,,
572.1378,495.4,8.068,,,
573.4350,495.9,8.066,,,
574.7334,496.4,8.064,,,
576.0324,496.9,8.061,,,
577.3326,497.4,8.060,,,
578.6346,497.9,8.058,,,
579.9390,498.4,8.055,,,
581.2446,498.9,8.052,,,
582.5502,499.4,8.050,,,
583.8570,499.9,8.047,,,
585.1638,500.4,8.045,,,
586.4718,500.9,8.042,,,
587.7810,501.4,8.040,,,
589.0920,501.9,8.038,,,
590.4048,502.4,8.034,,,
591.7194,502.9,8.032,,,
593.0352,503.4,8.029,,,
594.3516,503.9,8.025,,,
595.6680,504.4,8.023,,,
596.9868,504.9,8.019,,,
598.3074,505.4,8.017,,,
599.6298,505.9,8.014,,,
600.9534,506.4,8.012,,,
602.2776,506.9,8.008,,,
