Time (s),Mass (g),HRR (kW/m2)
0.00,93.70,0.00
4.80,93.70,1.90
10.20,93.63,2.30
15.00,93.56,1.90
19.80,93.50,0.90
25.20,93.42,1.90
30.00,93.37,2.80
34.80,93.29,1.80
40.20,93.23,0.90
45.00,93.15,0.40
49.80,93.07,5.00
55.20,92.87,1.10
60.00,92.47,81.30
64.80,91.84,143.20
70.20,91.27,166.50
75.00,90.70,166.20
79.80,90.15,145.40
85.20,89.69,135.10
90.00,89.21,122.30
94.80,88.77,119.60
100.20,88.35,109.00
105.00,88.00,100.10
109.80,87.58,94.10
115.20,87.25,93.80
120.00,86.89,90.20
124.80,86.58,81.50
130.20,86.23,82.70
135.00,85.93,73.70
139.80,85.62,74.90
145.20,85.34,76.70
150.00,85.01,70.10
154.80,84.73,70.50
160.20,84.41,69.70
165.00,84.16,70.90
169.80,83.84,71.00
175.20,83.57,69.30
180.00,83.25,68.30
184.80,82.99,66.00
190.20,82.70,65.80
195.00,82.42,65.20
199.80,82.13,64.80
205.20,81.86,62.30
210.00,81.56,62.20
214.80,81.31,62.00
220.20,81.02,61.30
225.00,80.78,54.80
229.80,80.49,55.20
235.20,80.23,56.90
240.00,79.92,57.80
244.80,79.66,57.50
250.20,79.39,54.80
255.00,79.11,54.60
259.80,78.85,54.60
265.20,78.58,54.40
270.00,78.31,53.60
274.80,78.06,50.90
280.20,77.77,51.10
285.00,77.50,50.80
289.80,77.25,51.10
295.20,77.00,50.90
300.00,76.71,49.20
304.80,76.47,49.70
310.20,76.22,51.20
315.00,75.97,44.80
319.80,75.71,44.70
325.20,75.48,51.40
330.00,75.21,51.00
334.80,74.96,49.40
340.20,74.75,41.90
345.00,74.48,42.40
349.80,74.25,43.80
355.20,73.99,45.90
360.00,73.75,46.00
364.80,73.54,45.30
370.20,73.31,43.30
375.00,73.05,43.50
379.80,72.83,43.20
385.20,72.60,43.00
390.00,72.35,41.50
394.80,72.14,41.60
400.20,71.90,42.10
405.00,71.68,42.20
409.80,71.47,41.70
415.20,71.22,40.00
420.00,71.01,47.60
424.80,70.80,47.10
430.20,70.56,44.90
435.00,70.34,43.20
439.80,70.13,41.90
445.20,69.92,41.90
450.00,69.69,41.90
454.80,69.50,42.30
460.20,69.27,40.00
465.00,69.07,39.60
469.80,68.85,40.10
475.20,68.64,40.10
480.00,68.42,39.00
484.80,68.22,38.70
490.20,68.00,39.70
495.00,67.79,40.10
499.80,67.59,39.30
505.20,67.40,38.90
510.00,67.17,44.20
514.80,66.98,43.00
520.20,66.80,42.80
525.00,66.58,41.20
529.80,66.38,40.30
535.20,66.20,41.00
540.00,65.97,42.10
544.80,65.78,40.90
550.20,65.59,39.90
555.00,65.38,38.80
