Time (s),Mass (g)
0,113.70
1,113.70
2,113.65
3,113.61
4,113.56
5,113.53
6,113.46
7,113.43
8,113.40
9,113.32
10,113.29
11,113.25
12,113.19
13,113.10
14,113.05
15,112.97
16,112.90
17,112.81
18,112.75
19,112.61
20,112.56
21,112.46
22,112.41
23,112.29
24,112.24
25,112.18
26,112.08
27,111.89
28,111.82
29,111.70
30,111.60
31,111.49
32,111.33
33,111.27
34,111.15
35,111.08
36,110.95
37,110.88
38,110.73
39,110.64
40,110.52
41,110.43
42,110.33
43,110.24
44,110.09
45,110.02
46,109.91
47,109.74
48,109.70
49,109.60
50,109.47
51,109.42
52,109.31
53,109.16
54,109.12
55,109.02
56,108.87
57,108.81
58,108.73
59,108.59
60,108.54
61,108.49
62,108.34
63,108.31
64,108.20
65,108.13
66,108.03
67,107.89
68,107.82
69,107.75
70,107.61
71,107.57
72,107.49
73,107.39
74,107.24
75,107.18
76,107.08
77,107.04
78,106.95
79,106.88
80,106.79
81,106.67
82,106.63
83,106.55
84,106.44
85,106.40
86,106.33
87,106.18
88,106.15
89,106.08
90,105.97
91,105.93
92,105.85
93,105.75
94,105.72
95,105.64
96,105.53
97,105.49
98,105.41
99,105.30
100,105.25
101,105.19
102,105.08
103,105.04
104,104.98
105,104.93
106,104.86
107,104.72
108,104.67
109,104.62
110,104.50
111,104.47
112,104.39
113,104.29
114,104.25
115,104.17
116,104.07
117,104.04
118,103.96
119,103.91
120,103.83
121,103.77
122,103.72
123,103.63
124,103.55
125,103.43
126,103.40
127,103.35
128,103.23
129,103.19
130,103.14
131,103.02
132,102.98
133,102.92
134,102.84
135,102.81
136,102.75
137,102.63
138,102.59
139,102.53
140,102.48
141,102.42
142,102.29
143,102.26
144,102.19
145,102.14
146,102.07
147,101.98
148,101.94
149,101.87
150,101.77
151,101.74
152,101.66
153,101.58
154,101.54
155,101.47
156,101.42
157,101.31
158,101.26
159,101.18
160,101.15
161,101.08
162,100.99
163,100.95
164,100.90
165,100.78
166,100.75
167,100.70
168,100.60
169,100.56
170,100.50
171,100.41
172,100.37
173,100.31
174,100.22
175,100.18
176,100.13
177,100.07
178,99.97
179,99.94
180,99.86
181,99.83
182,99.77
183,99.67
184,99.63
185,99.57
186,99.48
187,99.45
188,99.38
189,99.32
190,99.26
191,99.16
192,99.13
193,99.07
194,98.97
195,98.95
196,98.89
197,98.79
198,98.75
199,98.70
200,98.61
201,98.58
202,98.53
203,98.42
204,98.40
205,98.33
206,98.23
207,98.20
208,98.15
209,98.07
210,98.03
211,97.98
212,97.89
213,97.85
214,97.79
215,97.71
216,97.68
217,97.63
218,97.52
219,97.49
220,97.43
221,97.38
222,97.31
223,97.23
224,97.20
225,97.14
226,97.05
227,97.03
228,96.97
229,96.88
230,96.85
231,96.79
232,96.70
233,96.68
234,96.62
235,96.53
236,96.50
237,96.45
238,96.37
239,96.33
240,96.28
241,96.19
242,96.17
243,96.10
244,96.03
245,95.99
246,95.94
247,95.86
248,95.82
249,95.76
250,95.67
251,95.63
252,95.60
253,95.51
254,95.48
255,95.42
256,95.33
257,95.31
258,95.25
259,95.17
260,95.13
261,95.08
262,94.99
263,94.96
264,94.91
265,94.85
266,94.80
267,94.71
268,94.68
269,94.63
270,94.55
271,94.52
272,94.46
273,94.42
274,94.36
275,94.27
276,94.23
277,94.18
278,94.11
279,94.08
280,94.02
281,93.94
282,93.92
283,93.86
284,93.78
285,93.75
286,93.69
287,93.61
288,93.58
289,93.53
290,93.44
291,93.42
292,93.37
293,93.27
294,93.24
295,93.20
296,93.12
297,93.09
298,93.03
299,92.94
300,92.92
301,92.86
302,92.79
303,92.76
304,92.69
305,92.64
306,92.59
307,92.50
308,92.47
309,92.43
310,92.35
311,92.31
312,92.26
313,92.21
314,92.15
315,92.07
316,92.03
317,91.98
318,91.91
319,91.88
320,91.82
321,91.77
322,91.73
323,91.63
324,91.62
325,91.54
326,91.47
327,91.44
328,91.39
329,91.30
330,91.27
331,91.23
332,91.15
333,91.13
334,91.07
335,90.99
336,90.95
337,90.90
338,90.84
339,90.80
340,90.75
341,90.67
342,90.64
343,90.59
344,90.51
345,90.48
346,90.43
347,90.35
348,90.33
349,90.28
350,90.24
351,90.16
352,90.10
353,90.07
354,90.03
355,89.92
356,89.90
357,89.84
358,89.76
359,89.73
360,89.69
361,89.60
362,89.58
363,89.54
364,89.44
365,89.42
366,89.36
367,89.28
368,89.26
369,89.20
370,89.12
371,89.09
372,89.05
373,88.98
374,88.94
375,88.89
376,88.81
377,88.79
378,88.73
379,88.66
380,88.64
381,88.58
382,88.49
383,88.46
384,88.41
385,88.34
386,88.31
387,88.27
388,88.19
389,88.16
390,88.11
391,88.03
392,88.01
393,87.96
394,87.92
395,87.83
396,87.78
397,87.75
398,87.67
399,87.63
400,87.57
401,87.54
402,87.48
403,87.40
404,87.37
405,87.31
406,87.24
407,87.21
408,87.17
409,87.08
410,87.05
411,87.01
412,86.92
413,86.89
414,86.84
415,86.77
416,86.74
417,86.69
418,86.61
419,86.58
420,86.54
421,86.46
422,86.44
423,86.39
424,86.31
425,86.27
426,86.22
427,86.15
428,86.11
429,86.06
430,85.99
431,85.96
432,85.90
433,85.88
434,85.80
435,85.73
436,85.70
437,85.65
438,85.56
439,85.54
440,85.50
441,85.46
442,85.37
443,85.34
444,85.27
445,85.23
446,85.19
447,85.14
448,85.07
449,85.02
450,84.95
451,84.93
452,84.87
453,84.80
454,84.77
455,84.72
456,84.64
457,84.60
458,84.57
459,84.48
460,84.45
461,84.41
462,84.33
463,84.30
464,84.26
465,84.16
466,84.13
467,84.09
468,84.05
469,83.97
470,83.94
471,83.86
472,83.83
473,83.77
474,83.70
475,83.68
476,83.62
477,83.54
478,83.51
479,83.48
480,83.39
481,83.36
482,83.31
483,83.23
484,83.21
485,83.18
486,83.09
487,83.07
488,83.01
489,82.93
490,82.89
491,82.85
492,82.78
493,82.75
494,82.71
495,82.62
496,82.59
497,82.55
498,82.47
499,82.45
500,82.40
501,82.32
502,82.30
503,82.25
504,82.17
505,82.15
506,82.10
507,82.02
508,81.99
509,81.93
510,81.87
511,81.84
512,81.78
513,81.70
514,81.69
515,81.66
516,81.55
517,81.53
518,81.48
519,81.40
520,81.38
521,81.32
522,81.25
523,81.24
524,81.18
525,81.09
526,81.06
527,81.02
528,80.94
529,80.91
530,80.86
531,80.79
532,80.76
533,80.72
534,80.64
535,80.60
536,80.56
537,80.48
538,80.46
539,80.41
540,80.33
541,80.30
542,80.25
543,80.18
544,80.15
545,80.11
546,80.02
547,80.00
548,79.95
549,79.87
550,79.84
551,79.79
552,79.72
553,79.70
554,79.66
555,79.58
556,79.55
557,79.51
558,79.44
559,79.42
560,79.36
561,79.29
562,79.26
563,79.21
564,79.13
565,79.11
566,79.06
567,78.98
568,78.96
569,78.91
570,78.84
571,78.82
572,78.77
573,78.68
574,78.66
575,78.61
576,78.53
577,78.50
578,78.45
579,78.39
580,78.36
581,78.30
582,78.23
583,78.21
584,78.16
585,78.08
586,78.05
587,78.00
588,77.94
589,77.91
590,77.87
591,77.79
592,77.76
593,77.71
594,77.63
595,77.61
596,77.56
597,77.48
598,77.46
599,77.41
600,77.34
601,77.32
602,77.27
603,77.19
604,77.16
605,77.11
606,77.05
607,77.03
608,76.98
609,76.94
610,76.87
611,76.80
612,76.77
613,76.74
614,76.66
615,76.63
616,76.58
617,76.52
618,76.49
619,76.44
620,76.38
621,76.35
622,76.29
623,76.22
624,76.19
625,76.15
626,76.07
627,76.04
628,76.00
629,75.93
630,75.91
631,75.86
632,75.78
633,75.76
634,75.71
635,75.64
636,75.61
637,75.57
638,75.49
639,75.46
640,75.41
641,75.35
642,75.33
643,75.28
644,75.21
645,75.19
646,75.13
647,75.06
648,75.03
649,74.98
650,74.91
651,74.88
652,74.85
653,74.77
654,74.75
655,74.69
656,74.66
657,74.63
658,74.53
659,74.51
660,74.46
661,74.38
662,74.35
663,74.32
664,74.24
665,74.22
666,74.16
667,74.10
668,74.07
669,74.03
670,73.94
671,73.92
672,73.89
673,73.85
674,73.81
675,73.73
676,73.70
677,73.65
678,73.61
679,73.54
680,73.49
681,73.47
682,73.39
683,73.36
684,73.30
685,73.27
686,73.22
687,73.16
688,73.13
689,73.08
690,73.01
691,72.99
692,72.95
693,72.87
694,72.84
695,72.80
696,72.72
697,72.70
698,72.66
699,72.57
700,72.55
701,72.51
702,72.48
703,72.40
704,72.36
705,72.30
706,72.27
707,72.23
708,72.19
709,72.11
710,72.09
711,72.02
712,72.00
713,71.95
714,71.92
715,71.83
716,71.79
717,71.73
718,71.70
719,71.66
720,71.62
721,71.55
722,71.52
723,71.45
724,71.43
725,71.39
726,71.31
727,71.29
728,71.23
729,71.17
730,71.14
731,71.10
732,71.03
733,71.02
734,70.94
735,70.90
736,70.86
737,70.82
738,70.75
739,70.74
740,70.69
741,70.61
742,70.60
743,70.55
744,70.48
745,70.46
746,70.41
747,70.34
748,70.31
749,70.28
750,70.20
751,70.18
752,70.13
753,70.06
754,70.04
755,70.00
756,69.91
757,69.89
758,69.85
759,69.78
760,69.76
761,69.72
762,69.64
763,69.61
764,69.57
765,69.51
766,69.49
767,69.43
768,69.37
769,69.33
770,69.29
771,69.21
772,69.19
773,69.16
774,69.09
775,69.07
776,69.02
777,68.95
778,68.92
779,68.88
780,68.80
781,68.78
782,68.74
783,68.68
784,68.65
785,68.60
786,68.53
787,68.51
788,68.47
789,68.39
790,68.36
791,68.32
792,68.26
793,68.24
794,68.19
795,68.12
796,68.09
797,68.05
798,67.98
799,67.97
800,67.92
801,67.84
802,67.82
803,67.77
804,67.70
805,67.67
806,67.64
807,67.57
808,67.55
809,67.50
810,67.46
811,67.44
812,67.34
813,67.32
814,67.27
815,67.19
816,67.17
817,67.12
818,67.06
819,67.04
820,66.99
821,66.92
822,66.90
823,66.85
824,66.78
825,66.76
826,66.71
827,66.64
828,66.62
829,66.58
830,66.51
831,66.48
832,66.43
833,66.35
834,66.34
835,66.29
836,66.26
837,66.23
838,66.17
839,66.10
840,66.05
841,65.99
842,65.97
843,65.93
844,65.86
845,65.83
846,65.78
847,65.70
848,65.68
849,65.63
850,65.58
851,65.55
852,65.50
853,65.42
854,65.40
855,65.35
856,65.29
857,65.26
858,65.22
859,65.17
860,65.15
861,65.09
862,65.02
863,65.00
864,64.96
865,64.92
866,64.88
867,64.78
868,64.75
869,64.71
870,64.64
871,64.62
872,64.58
873,64.51
874,64.48
875,64.43
876,64.36
877,64.34
878,64.29
879,64.23
880,64.20
881,64.15
882,64.07
883,64.05
884,63.99
885,63.93
886,63.91
887,63.85
888,63.79
889,63.77
890,63.72
891,63.64
892,63.62
893,63.57
894,63.50
895,63.48
896,63.43
897,63.35
898,63.33
899,63.29
900,63.21
901,63.18
902,63.14
903,63.07
904,63.05
905,63.00
906,62.92
907,62.90
908,62.85
909,62.78
910,62.75
911,62.71
912,62.68
913,62.59
914,62.56
915,62.49
916,62.47
917,62.41
918,62.34
919,62.31
920,62.27
921,62.20
922,62.17
923,62.13
924,62.07
925,62.04
926,61.99
927,61.91
928,61.89
929,61.84
