Time (s),Temperature (K),Mass (mg),,,
0.0000,313.2,7.919,,,
33.5590,313.7,7.919,,,
42.2970,314.2,7.919,,,
48.4980,314.7,7.919,,,
53.5390,315.2,7.919,,,
57.8500,315.7,7.919,,,
61.7360,316.2,7.919,,,
65.2730,316.7,7.919,,,
68.5110,317.2,7.919,,,
71.5470,317.7,7.919,,,
74.4400,318.2,7.919,,,
77.2030,318.7,7.919,,,
79.8520,319.2,7.919,,,
82.4090,319.7,7.919,,,
84.8840,320.2,7.919,,,
87.2910,320.7,7.919,,,
89.6420,321.2,7.919,,,
91.9450,321.7,7.919,,,
94.2000,322.2,7.919,,,
96.4120,322.7,7.919,,,
98.5840,323.2,7.919,,,
100.7250,323.7,7.919,,,
102.8410,324.2,7.919,,,
104.9380,324.7,7.919,,,
107.0150,325.2,7.919,,,
109.0720,325.7,7.919,,,
111.1090,326.2,7.919,,,
113.1320,326.7,7.919,,,
115.1390,327.2,7.919,,,
117.1320,327.7,7.919,,,
119.1070,328.2,7.919,,,
121.0690,328.7,7.919,,,
123.0190,329.2,7.919,,,
124.9640,329.7,7.919,,,
126.9040,330.2,7.919,,,
128.8360,330.7,7.919,,,
130.7590,331.2,7.919,,,
132.6740,331.7,7.919,,,
134.5770,332.2,7.919,,,
136.4710,332.7,7.919,,,
138.3580,333.2,7.919,,,
140.2370,333.7,7.918,,,
142.1120,334.2,7.918,,,
143.9770,334.7,7.918,,,
145.8360,335.2,7.918,,,
147.6890,335.7,7.918,,,
149.5360,336.2,7.918,,,
151.3780,336.7,7.918,,,
153.2140,337.2,7.918,,,
155.0410,337.7,7.917,,,
156.8590,338.2,7.917,,,
158.6700,338.7,7.917,,,
160.4710,339.2,7.917,,,
162.2680,339.7,7.917,,,
164.0560,340.2,7.917,,,
165.8350,340.7,7.917,,,
167.6030,341.2,7.917,,,
169.3610,341.7,7.917,,,
171.1120,342.2,7.917,,,
172.8560,342.7,7.917,,,
174.5910,343.2,7.916,,,
176.3170,343.7,7.915,,,
178.0330,344.2,7.915,,,
179.7370,344.7,7.914,,,
181.4320,345.2,7.914,,,
183.1190,345.7,7.914,,,
184.7990,346.2,7.913,,,
186.4720,346.7,7.913,,,
188.1340,347.2,7.913,,,
189.7860,347.7,7.913,,,
191.4280,348.2,7.912,,,
193.0580,348.7,7.911,,,
194.6790,349.2,7.910,,,
196.2890,349.7,7.909,,,
197.8900,350.2,7.909,,,
199.4780,350.7,7.909,,,
201.0530,351.2,7.908,,,
202.6180,351.7,7.907,,,
204.1730,352.2,7.907,,,
205.7210,352.7,7.906,,,
207.2600,353.2,7.906,,,
208.7900,353.7,7.905,,,
210.3100,354.2,7.904,,,
211.8190,354.7,7.904,,,
213.3190,355.2,7.903,,,
214.8100,355.7,7.903,,,
216.2920,356.2,7.903,,,
217.7670,356.7,7.902,,,
219.2320,357.2,7.902,,,
220.6880,357.7,7.901,,,
222.1360,358.2,7.901,,,
223.5760,358.7,7.901,,,
225.0090,359.2,7.901,,,
226.4350,359.7,7.900,,,
227.8540,360.2,7.900,,,
229.2680,360.7,7.900,,,
230.6750,361.2,7.899,,,
232.0750,361.7,7.899,,,
233.4680,362.2,7.899,,,
234.8570,362.7,7.898,,,
236.2410,363.2,7.897,,,
237.6190,363.7,7.897,,,
238.9940,364.2,7.896,,,
240.3640,364.7,7.896,,,
241.7280,365.2,7.896,,,
243.0890,365.7,7.896,,,
244.4470,366.2,7.895,,,
245.7980,366.7,7.895,,,
247.1470,367.2,7.894,,,
248.4910,367.7,7.894,,,
249.8300,368.2,7.893,,,
251.1650,368.7,7.893,,,
252.4950,369.2,7.892,,,
253.8200,369.7,7.892,,,
255.1420,370.2,7.891,,,
256.4610,370.7,7.891,,,
257.7770,371.2,7.890,,,
259.0930,371.7,7.890,,,
260.4070,372.2,7.889,,,
261.7190,372.7,7.889,,,
263.0280,373.2,7.889,,,
264.3350,373.7,7.888,,,
265.6390,374.2,7.888,,,
266.9420,374.7,7.888,,,
268.2430,375.2,7.887,,,
269.5420,375.7,7.887,,,
270.8410,376.2,7.887,,,
272.1400,376.7,7.886,,,
273.4360,377.2,7.886,,,
274.7300,377.7,7.886,,,
276.0240,378.2,7.885,,,
277.3150,378.7,7.885,,,
278.6050,379.2,7.885,,,
279.8930,379.7,7.884,,,
281.1800,380.2,7.884,,,
282.4670,380.7,7.884,,,
283.7530,381.2,7.884,,,
285.0380,381.7,7.884,,,
286.3210,382.2,7.883,,,
287.6030,382.7,7.883,,,
288.8840,383.2,7.883,,,
290.1640,383.7,7.883,,,
291.4430,384.2,7.882,,,
292.7210,384.7,7.882,,,
293.9980,385.2,7.882,,,
295.2760,385.7,7.882,,,
296.5530,386.2,7.882,,,
297.8290,386.7,7.881,,,
299.1050,387.2,7.881,,,
300.3820,387.7,7.881,,,
301.6570,388.2,7.881,,,
302.9300,388.7,7.880,,,
304.2030,389.2,7.880,,,
305.4740,389.7,7.880,,,
306.7440,390.2,7.880,,,
308.0120,390.7,7.880,,,
309.2790,391.2,7.880,,,
310.5450,391.7,7.880,,,
311.8100,392.2,7.880,,,
313.0740,392.7,7.880,,,
314.3380,393.2,7.880,,,
315.6000,393.7,7.880,,,
316.8620,394.2,7.880,,,
318.1230,394.7,7.879,,,
319.3840,395.2,7.879,,,
320.6440,395.7,7.879,,,
321.9040,396.2,7.878,,,
323.1620,396.7,7.878,,,
324.4200,397.2,7.878,,,
325.6770,397.7,7.878,,,
326.9330,398.2,7.878,,,
328.1860,398.7,7.878,,,
329.4400,399.2,7.878,,,
330.6920,399.7,7.878,,,
331.9430,400.2,7.878,,,
333.1930,400.7,7.878,,,
334.4420,401.2,7.878,,,
335.6890,401.7,7.878,,,
336.9350,402.2,7.878,,,
338.1800,402.7,7.878,,,
339.4250,403.2,7.878,,,
340.6690,403.7,7.878,,,
341.9120,404.2,7.878,,,
343.1550,404.7,7.878,,,
344.3970,405.2,7.878,,,
345.6380,405.7,7.878,,,
346.8770,406.2,7.878,,,
348.1160,406.7,7.878,,,
349.3540,407.2,7.878,,,
350.5910,407.7,7.877,,,
351.8280,408.2,7.877,,,
353.0650,408.7,7.877,,,
354.3010,409.2,7.877,,,
355.5350,409.7,7.877,,,
356.7670,410.2,7.877,,,
357.9990,410.7,7.877,,,
359.2300,411.2,7.877,,,
360.4600,411.7,7.877,,,
361.6900,412.2,7.877,,,
362.9200,412.7,7.877,,,
364.1500,413.2,7.877,,,
365.3770,413.7,7.877,,,
366.6040,414.2,7.877,,,
367.8310,414.7,7.877,,,
369.0580,415.2,7.877,,,
370.2830,415.7,7.877,,,
371.5090,416.2,7.877,,,
372.7340,416.7,7.876,,,
373.9590,417.2,7.876,,,
375.1840,417.7,7.876,,,
376.4090,418.2,7.876,,,
377.6340,418.7,7.875,,,
378.8590,419.2,7.875,,,
380.0830,419.7,7.875,,,
381.3070,420.2,7.875,,,
382.5300,420.7,7.875,,,
383.7530,421.2,7.874,,,
384.9760,421.7,7.874,,,
386.1980,422.2,7.874,,,
387.4210,422.7,7.874,,,
388.6420,423.2,7.874,,,
389.8640,423.7,7.874,,,
391.0850,424.2,7.874,,,
392.3080,424.7,7.874,,,
393.5300,425.2,7.874,,,
394.7540,425.7,7.874,,,
395.9770,426.2,7.874,,,
397.2000,426.7,7.874,,,
398.4230,427.2,7.874,,,
399.6460,427.7,7.874,,,
400.8690,428.2,7.874,,,
402.0920,428.7,7.875,,,
403.3150,429.2,7.875,,,
404.5390,429.7,7.875,,,
405.7620,430.2,7.875,,,
406.9850,430.7,7.875,,,
408.2090,431.2,7.875,,,
409.4340,431.7,7.874,,,
410.6590,432.2,7.874,,,
411.8840,432.7,7.874,,,
413.1110,433.2,7.874,,,
414.3370,433.7,7.874,,,
415.5640,434.2,7.874,,,
416.7900,434.7,7.874,,,
418.0170,435.2,7.873,,,
419.2430,435.7,7.873,,,
420.4690,436.2,7.873,,,
421.6960,436.7,7.873,,,
422.9230,437.2,7.872,,,
424.1510,437.7,7.872,,,
425.3790,438.2,7.872,,,
426.6080,438.7,7.872,,,
427.8380,439.2,7.871,,,
429.0700,439.7,7.871,,,
430.3010,440.2,7.871,,,
431.5340,440.7,7.871,,,
432.7680,441.2,7.870,,,
434.0020,441.7,7.870,,,
435.2370,442.2,7.870,,,
436.4720,442.7,7.869,,,
437.7080,443.2,7.869,,,
438.9440,443.7,7.869,,,
440.1800,444.2,7.869,,,
441.4160,444.7,7.869,,,
442.6520,445.2,7.868,,,
443.8880,445.7,7.867,,,
445.1240,446.2,7.867,,,
446.3620,446.7,7.867,,,
447.6010,447.2,7.866,,,
448.8400,447.7,7.866,,,
450.0790,448.2,7.865,,,
451.3190,448.7,7.865,,,
452.5580,449.2,7.865,,,
453.7980,449.7,7.864,,,
455.0390,450.2,7.864,,,
456.2810,450.7,7.863,,,
457.5220,451.2,7.863,,,
458.7660,451.7,7.862,,,
460.0100,452.2,7.862,,,
461.2540,452.7,7.862,,,
462.4990,453.2,7.861,,,
463.7440,453.7,7.861,,,
464.9900,454.2,7.860,,,
466.2350,454.7,7.860,,,
467.4820,455.2,7.859,,,
468.7290,455.7,7.859,,,
469.9760,456.2,7.858,,,
471.2230,456.7,7.858,,,
472.4710,457.2,7.857,,,
473.7190,457.7,7.856,,,
474.9680,458.2,7.855,,,
