Time,Mass,HRR,Temperature Backing Centre
[s],[g],[kW/m2],[K]
0,68.4,0.09,286.25
1.01,69.98,0.11,286.25
2.03,70.08,0.11,286.25
3.04,69.95,0.12,286.25
4.06,69.92,-0.03,286.25
5.07,69.93,0.09,286.25
6.08,69.94,0.07,286.25
7.1,69.93,0.14,286.25
8.11,69.93,-0.03,286.25
9.13,69.93,3.26,286.25
10.14,69.94,3.15,286.15
11.15,69.95,3.17,286.25
12.17,69.97,3.19,286.25
13.18,69.97,3.25,286.25
14.2,69.97,3.14,286.25
15.21,69.97,2.96,286.25
16.22,69.97,3,286.25
17.24,69.98,3.14,286.25
18.25,69.99,3.1,286.25
19.27,70,3.08,286.25
20.28,70,3.07,286.25
21.29,70,2.89,286.35
22.31,70.01,3.05,286.25
23.32,70.01,3.08,286.35
24.34,70.01,2.96,286.25
25.35,70.01,3.04,286.25
26.36,70,2.95,286.35
27.38,69.99,2.89,286.35
28.39,69.99,3.09,286.35
29.41,69.99,3.06,286.35
30.42,69.99,3.08,286.35
31.43,69.99,3.17,286.35
32.45,69.98,3.02,286.35
33.46,69.98,6.26,286.35
34.48,69.99,6.53,286.35
35.49,69.99,6.38,286.35
36.5,69.98,6.36,286.35
37.52,69.99,6.17,286.45
38.53,69.03,6.01,286.35
39.55,33.42,6.1,286.45
40.56,41.29,6.17,286.45
41.57,45.85,6.25,286.45
42.59,52.92,6.16,286.45
43.6,56.37,5.97,286.45
44.62,47.79,6.09,286.45
45.63,43.58,6.2,286.45
46.64,42.81,2.56,286.55
47.66,42.71,2.58,286.55
48.67,42.7,2.58,286.55
49.69,42.7,2.58,286.55
50.7,42.7,2.64,286.55
51.71,42.7,2.71,286.55
52.73,42.69,2.78,286.55
53.74,42.67,2.68,286.65
54.76,42.66,2.72,286.65
55.77,42.67,2.75,286.65
56.78,42.66,-0.6,286.65
57.8,42.65,-0.61,286.75
58.81,42.64,-0.55,286.75
59.83,42.64,-0.57,286.75
60.84,42.64,-0.57,286.75
61.85,42.63,-0.55,286.75
62.87,42.62,-0.42,286.75
63.88,42.6,0,286.85
64.9,42.59,-0.41,286.85
66.92,42.56,-0.5,286.95
67.94,42.54,-0.38,286.95
68.95,42.52,-0.34,286.95
69.97,42.51,-0.31,287.05
70.98,42.49,-0.29,287.05
71.99,42.46,-0.29,287.05
73.01,42.43,-0.21,287.15
74.02,42.4,-0.1,287.15
75.04,42.39,-0.01,287.15
76.83,42.38,-0.19,287.25
77.58,42.37,-0.16,287.25
78.33,42.36,-0.32,287.25
79.11,42.34,-0.19,287.35
80.11,42.33,-0.21,287.35
81.12,42.32,-0.04,287.35
82.13,42.3,-0.03,287.45
83.15,42.28,-0.06,287.45
84.16,42.26,-0.04,287.45
85.18,42.25,-0.04,287.55
86.19,42.25,0.02,287.55
87.2,42.24,0.02,287.65
88.23,42.22,0.11,287.65
89.25,42.21,0.09,287.75
90.26,42.19,0.14,287.75
91.28,42.18,0.02,287.75
92.29,42.16,0.19,287.85
93.3,42.14,0.07,287.85
94.32,42.12,0.09,287.85
95.33,42.1,-0.08,287.95
96.35,42.09,-0.01,288.05
97.36,42.07,0.09,288.05
98.37,42.05,0,288.05
99.39,42.02,-0.08,288.15
100.4,41.98,-0.11,288.25
101.42,41.94,-0.09,288.25
102.43,41.88,-0.1,288.25
103.44,41.81,0.11,288.35
104.46,41.71,0.11,288.35
105.47,41.61,0.13,288.45
106.49,41.51,-0.08,288.45
107.5,41.38,0.01,288.55
108.51,41.26,0.12,288.65
109.53,41.16,-3.17,288.65
110.54,41.04,-3.06,288.75
111.56,40.93,-0.01,288.75
112.57,40.81,0.01,288.85
113.58,40.7,0.01,288.85
114.6,40.59,-0.01,288.95
115.61,40.46,3.01,288.95
116.63,40.5,5.94,289.05
117.64,40.52,11.33,289.15
118.65,40.39,18.07,289.15
119.67,40.27,23.6,289.25
120.68,40.17,31.83,289.25
121.7,40.06,42.84,289.35
122.71,39.95,56.61,289.45
123.72,39.82,66.21,289.45
124.74,39.7,76.1,289.55
125.75,39.58,84.32,289.65
126.77,39.47,98.53,289.75
127.78,39.35,111.67,289.75
128.79,39.23,124.05,289.85
129.81,39.11,135.11,289.95
130.82,38.87,143.56,290.15
131.84,38.74,0,290.25
132.85,38.62,160.04,290.25
134.88,38.38,187.16,290.45
135.89,38.25,185.52,290.55
136.91,38.13,193.16,290.65
137.92,38.02,195.33,290.75
138.93,37.9,216.01,290.85
139.95,37.78,216.84,290.95
140.96,37.66,212.73,291.05
141.98,37.53,229.47,291.15
142.99,37.4,221.96,291.25
144,37.27,232.39,291.35
145.02,37.14,239.3,291.45
146.03,37.01,239.44,291.55
147.05,36.88,247.5,291.65
148.06,36.75,246.43,291.75
149.07,36.62,244.08,291.75
150.09,36.49,251.92,291.95
151.1,36.36,254.69,292.05
152.12,36.23,264.79,292.15
153.13,36.1,262.19,292.25
154.14,35.98,266.98,292.35
155.16,35.87,270.03,292.45
156.17,35.76,267.11,292.55
157.19,35.63,279.59,292.75
158.2,35.49,283.45,292.85
159.21,35.36,277.78,292.95
160.23,35.23,277.68,293.05
161.24,35.11,286.12,293.15
162.26,34.98,272.41,293.25
163.27,34.85,282.81,293.45
164.28,34.72,286.27,293.45
165.3,34.6,279.31,293.65
166.31,34.44,289.71,293.75
167.33,34.33,290.19,293.85
168.34,34.19,280.79,293.95
169.48,34.06,295.31,294.05
170.37,33.92,286.29,294.25
171.38,33.79,282.09,294.35
172.4,33.67,288.53,294.45
173.41,33.53,289.05,294.65
174.42,33.3,296.23,294.75
