Time,Mass,HRR,Back Temp
[s],[g],[kW/m2],[C]
0,71.366,-3.1,28.4
1,71.626,-2.9,28.4
2,71.646,-3.2,28.4
3,71.636,-3.1,28.5
4.1,71.626,-3,28.5
5.1,71.616,-3.1,28.5
6.1,71.606,-3.3,28.5
7.1,71.596,0.1,28.6
8.1,71.586,0.3,28.6
9.1,71.586,0.1,28.6
10.1,71.566,0.1,28.6
11.2,71.546,0.2,28.6
12.2,71.526,0.2,28.6
13.2,71.496,0.2,28.7
14.2,71.466,0.2,28.7
15.2,71.416,0.3,28.7
16.2,71.326,0.3,28.8
17.2,71.236,0.1,28.7
18.3,71.136,0.1,28.8
19.3,71.006,-0.1,28.8
20.3,70.836,-0.1,28.8
21.3,70.616,0,28.9
22.3,70.396,-0.2,28.9
23.3,70.156,-0.2,29
24.3,69.916,-0.2,29
25.3,69.676,-0.3,29
26.4,69.446,-0.1,29.1
27.4,69.216,-0.1,29.1
28.4,68.986,-0.1,29.1
29.4,68.746,2.7,29.2
30.4,68.516,5.3,29.2
31.4,68.276,13.5,29.3
32.4,68.046,17.7,29.3
33.5,67.816,30.7,29.3
34.5,67.566,47.8,29.4
35.5,67.316,67.6,29.4
36.5,67.066,90.5,29.5
37.5,-1080.634,0,29.6
,66.526,126.2,29.6
39.5,66.276,149.4,29.7
40.6,66.006,178.2,29.8
41.6,65.716,200.8,29.8
42.6,65.456,209.6,29.9
43.6,65.196,241,29.9
44.6,64.936,263.7,30
45.6,64.656,279.3,30.1
46.6,64.376,303.8,30.1
47.7,64.076,350.6,30.2
48.7,63.806,330.9,30.3
49.7,63.546,344.4,30.3
50.7,63.286,387.9,30.4
51.7,63.016,398.5,30.5
52.7,62.756,388.1,30.6
53.7,62.486,395.6,30.6
54.8,62.216,426.3,30.7
55.8,61.936,426.4,30.8
56.8,61.666,439,31
57.8,61.386,468.1,31
58.8,61.126,492.1,31
59.8,60.846,462.9,31.2
60.8,60.566,493.1,31.2
61.9,60.286,506.7,31.3
62.9,60.006,496.9,31.4
63.9,59.716,535.9,31.5
64.9,59.426,539,31.6
65.9,59.136,526.2,31.7
66.9,58.866,515.3,31.7
67.9,58.596,539,31.9
69,58.316,554.1,32
70,58.046,524.2,32.1
71,57.766,571.1,32.2
72,57.486,555.5,32.3
73,57.206,569.9,32.4
74,56.926,566.9,32.5
75,56.656,567.5,32.8
76,56.366,587.9,32.9
77.9,55.856,576.9,33
78.7,55.656,606.5,33.1
79.4,55.476,579.2,33.2
80.2,55.286,604.9,33.4
81.1,55.026,608.6,33.6
82.1,54.746,611.3,33.7
83.1,54.476,608,33.9
84.2,54.196,617.1,34.1
85.2,53.926,593.6,34.3
86.2,53.646,621.3,34.5
87.2,53.366,608.6,34.7
88.2,53.096,612.1,34.9
89.2,52.826,620.2,35.1
90.2,52.556,615.5,35.3
