Time,Mass,HRR,Back Temp
[s],[g],[kW/m2],[K]
0,70.406,2.3,293.45
1,70.436,2.2,293.45
2,70.446,2.4,293.45
3,70.446,2.3,293.45
4.1,70.456,2.2,293.45
5.1,70.466,2.1,293.45
6.1,70.456,2.4,293.45
7.1,70.446,2.3,293.45
8.1,70.446,2.3,293.45
9.1,70.456,2.3,293.55
10.1,70.466,2.2,293.45
11.2,70.476,2.1,293.45
12.2,70.476,2.2,293.55
13.2,70.486,2.2,293.55
14.2,70.496,2.1,293.55
15.2,70.506,1.8,293.55
16.2,70.496,1.9,293.55
17.2,70.476,1.8,293.55
18.3,70.446,1.6,293.55
19.3,70.396,4.7,293.55
20.3,70.316,4.5,293.55
21.3,70.186,4.5,293.65
22.3,70.006,4.1,293.65
23.3,69.846,4.4,293.65
24.3,69.706,4.3,293.65
25.3,69.546,4,293.65
26.4,69.386,4.2,293.65
27.4,69.226,4.3,293.75
28.4,69.036,4.2,293.85
29.4,68.836,4,293.75
30.4,68.636,7.1,293.85
31.4,68.406,12.4,293.85
32.4,68.186,16.1,293.85
33.5,67.966,24.6,293.85
34.5,67.766,39,293.95
35.5,67.556,58.6,293.95
36.5,67.336,76.7,294.05
37.5,67.096,117.2,294.05
38.5,66.736,124.2,294.05
40.1,66.566,135.1,294.15
40.9,66.396,157.9,294.15
41.7,66.176,189.2,294.15
42.6,65.956,219.3,294.25
43.6,65.726,220.9,294.25
44.6,65.486,246.2,294.35
45.6,65.256,269.9,294.35
46.6,64.996,279.6,294.35
47.7,64.726,299.1,294.45
48.7,64.466,315.6,294.45
49.7,64.216,321.6,294.45
50.7,63.966,342.1,294.55
51.7,63.706,374.2,294.55
52.7,63.456,372.6,294.65
53.7,63.176,393,294.75
54.8,62.896,384.7,294.75
55.8,62.636,413.5,294.85
56.8,62.356,425.7,294.85
57.8,62.096,440.7,294.95
58.8,61.846,435.8,295.05
59.8,61.546,454.6,295.05
60.8,61.236,450.3,295.15
61.9,60.966,474.8,295.15
62.9,60.676,486,295.25
63.9,60.366,491.7,295.35
64.9,60.066,503.3,295.45
65.9,59.786,503.7,295.45
66.9,59.486,505.1,295.55
67.9,59.206,507.5,295.65
69,58.926,532.5,295.75
70,58.666,535.6,295.75
71,58.406,562.4,295.85
72,58.136,572.2,295.95
73,57.866,525,296.05
74,57.596,563.5,296.15
75,57.296,539.2,296.15
76.1,56.996,577.7,296.25
77.1,56.736,557.6,296.35
78.1,56.466,584.7,296.45
79.1,56.196,559.4,296.55
80.1,55.956,580,296.65
81.1,55.716,597.3,296.75
82.1,55.446,568.7,296.95
83.1,55.186,593.4,297.05
84.2,54.926,575.9,297.15
85.2,54.656,583.3,297.25
86.2,54.396,610.5,297.45
87.2,54.126,578.9,297.55
88.2,53.856,614.1,297.75
89.2,53.586,615.4,297.85
90.2,53.316,630.3,298.05
91.3,53.036,615.6,298.15
92.3,52.786,620,298.35
93.3,52.526,608.1,298.55
94.3,52.246,626.4,298.65
95.3,51.956,614,298.85
96.3,51.666,621.9,298.95
97.3,51.386,608.1,299.15
98.4,51.106,613.7,299.35
99.4,50.656,632.1,299.55
101,50.456,599.1,299.65
101.7,50.266,621.6,299.75
102.5,50.006,638.6,299.95
103.4,49.736,645.9,300.05
104.4,49.446,627.6,300.15
105.5,49.186,649.4,300.35
106.5,48.916,624,300.45
107.5,48.666,641.4,300.65
108.5,48.396,672.7,300.75
109.5,48.106,646.1,300.95
110.5,47.816,655.2,301.05
111.5,47.536,641.5,301.25
112.6,47.266,640.8,301.35
113.6,46.986,660.5,301.45
114.6,46.716,629.5,301.65
115.6,46.446,643.7,301.75
116.6,46.156,642.6,301.95
117.6,45.866,642.2,302.05
118.6,45.576,673.5,302.25
119.7,45.286,669.6,302.35
120.7,45.006,642.5,302.55
121.7,44.726,643.7,302.65
122.7,44.436,659.7,302.85
123.7,44.136,638.6,302.95
124.7,43.856,657.9,303.15
125.7,43.556,682.7,303.25
126.8,43.266,661.3,303.45
127.8,42.986,689.7,303.65
128.8,42.686,658.8,303.75
129.8,42.396,669.7,303.85
130.8,42.086,685.5,304.05
131.8,41.776,700.4,304.15
132.8,41.476,671.3,304.35
133.8,41.176,699,304.55
134.9,40.866,708.6,304.65
135.9,40.576,654.1,304.75
136.9,40.276,669.4,304.95
137.9,39.976,693.5,305.05
138.9,39.656,696,305.35
139.9,39.176,700.3,305.45
141.5,38.956,673.1,305.55
142.3,38.716,671.9,305.75
143,38.426,670.6,305.85
144,38.116,730.7,306.05
145,37.806,679.6,306.25
146,37.496,714.1,306.35
147,37.176,702.3,306.55
148,36.866,697.6,306.65
149.1,36.556,743.7,306.85
150.1,36.226,694.9,306.95
151.1,35.906,708.8,307.15
152.1,35.576,736.5,307.35
153.1,35.256,700.9,307.45
154.1,34.946,706.6,307.65
155.1,34.616,712,307.75
156.2,34.266,688.1,307.95
157.2,33.946,756.1,308.15
158.2,33.606,730.6,308.25
159.2,33.256,714.6,308.45
160.2,32.916,732.1,308.65
161.2,32.566,728.8,308.75
162.2,32.226,713.5,308.95
163.3,31.886,779.1,309.05
164.3,31.526,721.7,309.25
165.3,31.156,731.1,309.35
166.3,30.806,759.4,309.55
167.3,30.446,736.8,309.75
168.3,30.096,717.5,309.85
169.3,29.746,728.9,310.05
170.4,29.376,751.6,310.15
171.4,29.006,772.5,310.35
172.4,28.646,772.5,310.55
173.4,28.286,764.2,310.65
174.4,27.906,764.3,310.85
175.4,27.536,775,311.05
176.4,27.176,776.8,311.15
177.5,26.826,791.9,311.35
178.5,26.466,751.2,311.55
179.5,26.116,778.1,311.75
180.5,25.766,817.2,311.95
181.5,25.386,815.7,312.15
182.5,25.016,803.5,312.35
183.5,24.656,837.6,312.55
184.5,24.286,816.4,312.85
185.6,23.936,844.5,313.05
186.6,23.566,842.4,313.25
187.6,23.196,845.9,313.55
188.6,22.816,830.3,313.85
189.6,22.426,834.7,314.15
190.6,22.046,816,314.35
191.6,21.696,893.6,314.65
192.7,21.336,817.4,315.05
193.7,20.966,859.6,315.35
194.7,20.596,864.8,315.65
195.7,20.226,897.8,315.95
196.7,19.856,854.4,316.25
197.7,19.496,879.4,316.65
198.7,19.136,867.2,316.95
199.8,18.776,873.1,317.25
200.8,18.406,868.2,317.65
201.8,18.046,842.9,317.95
202.8,17.676,937.8,318.35
203.8,17.326,908.4,318.75
204.8,16.976,856.4,319.05
205.8,16.626,875.5,319.45
206.9,16.266,891.4,319.85
207.9,15.896,908,320.25
208.9,15.526,908.8,320.65
209.9,15.156,927.7,321.05
210.9,14.796,880.5,321.35
211.9,14.456,955.5,321.75
212.9,14.146,940.3,322.15
214,13.826,890.2,322.55
215,13.516,944.6,322.95
216,13.206,955.8,323.35
217,12.936,934.2,323.75
218,12.676,955.7,324.15
219,12.406,1003.1,324.55
220,12.166,978.1,325.05
221.1,11.916,998.8,325.45
222.1,11.676,993.8,325.95
223.1,11.466,1026.3,326.35
224.1,11.246,975.2,326.85
225.1,11.036,1027.8,327.35
226.1,10.836,1000,327.85
227.1,10.636,1018.2,328.35
228.2,10.446,1024.3,328.85
