Time,Mass,HRR,Back Temp
[s],[g],[kW/m2],[C]
0,73.78714286,0.1,17
1,72.67714286,0.1,17
2,72.65714286,0,16.9
3,72.61714286,0.1,17
4.1,71.83714286,0,17.1
5.1,66.72714286,0.1,17.1
6.1,66.50714286,0.1,17.1
7.1,71.09714286,0.1,17.1
8.1,73.10714286,0.1,17.1
9.1,73.52714286,0,17.1
10.1,73.55714286,-0.1,17.1
11.2,73.53714286,-0.2,17.2
12.2,73.51714286,0,17.2
13.2,73.50714286,-0.1,17.2
14.2,73.47714286,-0.1,17.2
15.2,73.44714286,-0.1,17.2
16.2,73.43714286,-0.1,17.2
17.2,73.40714286,0,17.2
18.3,73.38714286,0.2,17.2
19.3,73.36714286,0,17.3
20.3,73.34714286,-0.1,17.3
21.3,73.32714286,-0.3,17.2
22.3,73.29714286,-0.1,17.3
23.3,73.27714286,-0.1,17.2
24.3,73.24714286,0,17.3
25.3,73.22714286,0,17.3
26.4,73.21714286,-0.1,17.3
27.4,73.19714286,-0.1,17.3
28.4,73.18714286,-0.1,17.4
29.4,73.17714286,-0.2,17.4
30.4,73.15714286,-0.3,17.4
31.4,73.12714286,-0.3,17.4
32.4,73.10714286,-0.4,17.4
33.5,73.09714286,-0.3,17.4
34.5,73.08714286,-0.1,17.5
35.5,73.06714286,-0.2,17.5
36.5,73.05714286,-0.2,17.5
37.5,73.05714286,-0.2,17.6
38.5,73.05714286,-0.3,17.5
39.5,73.04714286,-0.2,17.5
40.6,73.03714286,-0.3,17.6
41.6,73.02714286,-0.1,17.5
42.6,73.02714286,-0.1,17.6
43.6,73.02714286,0,17.6
44.6,73.02714286,-0.1,17.6
45.6,73.02714286,0.1,17.6
46.6,73.01714286,0,17.7
47.7,73.02714286,0.1,17.7
48.7,73.03714286,0,17.7
49.7,73.04714286,-0.1,17.7
50.7,73.04714286,0,17.8
51.7,73.05714286,0.1,17.8
52.7,73.04714286,0,17.8
53.7,73.03714286,0.2,17.9
54.8,73.02714286,0.1,17.9
55.8,73.03714286,0.1,17.9
56.8,73.04714286,0,17.9
57.8,73.05714286,0,18
58.8,73.04714286,0.1,18
59.8,73.05714286,-0.1,18
60.8,73.05714286,-0.2,18
62.5,73.04714286,-0.4,18.1
63.2,73.04714286,-0.3,18.1
64,73.05714286,-0.3,18.2
64.9,73.05714286,-0.2,18.2
65.9,73.05714286,-0.1,18.2
66.9,73.05714286,-0.2,18.2
67.9,73.05714286,-0.3,18.3
69,73.05714286,-0.2,18.3
70,73.03714286,0,18.3
71,73.02714286,-0.2,18.3
72,73.01714286,-0.2,18.4
73,73.01714286,-0.3,18.4
74,73.01714286,-0.2,18.5
75,73.01714286,-0.1,18.5
76,73.01714286,0,18.5
77.1,73.02714286,0,18.6
78.1,73.01714286,-0.3,18.6
79.1,73.00714286,-0.2,18.6
80.1,73.01714286,-0.1,18.7
81.1,73.00714286,-0.3,18.7
82.1,73.00714286,-0.1,18.8
83.1,73.00714286,-0.3,18.9
84.2,73.00714286,-0.3,18.9
85.2,72.99714286,-0.3,18.9
86.2,72.98714286,-0.2,18.9
87.2,72.97714286,0,19
88.2,72.97714286,0,19
89.2,72.98714286,-0.1,19.1
90.2,72.98714286,-0.3,19.1
91.3,72.98714286,-0.2,19.2
92.3,72.98714286,-0.2,19.2
93.3,72.98714286,-0.2,19.4
94.3,72.98714286,-3.8,19.3
95.3,72.98714286,-3.7,19.4
96.3,72.98714286,-3.8,19.4
97.3,72.97714286,-3.7,19.5
98.4,72.95714286,-3.6,19.6
99.4,72.91714286,-3.4,19.6
100.4,72.88714286,-3.5,19.7
101.4,72.85714286,-0.1,19.7
102.4,72.81714286,-0.1,19.7
103.4,72.76714286,-0.2,19.8
104.4,72.70714286,0,19.8
105.5,72.63714286,0,19.9
106.5,72.55714286,0,20
107.5,72.46714286,0,20
108.5,72.35714286,-0.1,20.1
109.5,72.24714286,0,20.2
110.5,72.14714286,0.1,20.2
111.5,72.03714286,0,20.4
112.6,71.92714286,-0.1,20.3
113.6,71.81714286,2.9,20.4
114.6,71.69714286,2.9,20.5
115.6,71.58714286,6,20.5
116.6,71.47714286,11.5,20.6
117.6,71.35714286,18,20.7
118.6,71.24714286,27.5,20.7
119.7,71.13714286,28.3,20.8
120.7,71.01714286,39.8,20.9
121.7,70.89714286,51.4,21
122.7,70.78714286,66.1,21
123.7,70.66714286,77.1,21.1
124.7,70.54714286,87.9,21.2
125.7,70.44714286,95,21.3
126.8,70.32714286,109.2,21.3
127.8,70.20714286,123.2,21.4
128.8,70.09714286,135,21.5
129.8,69.96714286,141.9,21.6
130.8,69.84714286,152.8,21.7
131.8,69.72714286,161.3,21.8
132.8,69.60714286,170.8,21.8
133.8,69.49714286,179.4,21.9
134.9,69.35714286,191.1,22
135.9,69.23714286,190.2,22.1
136.9,69.11714286,197.9,22.2
137.9,68.98714286,209.3,22.3
138.9,68.85714286,213.1,22.4
139.9,68.72714286,214.6,22.5
140.9,68.60714286,218.9,22.6
142,68.48714286,224.1,22.7
143,68.34714286,230.1,22.8
144,68.21714286,233.1,22.9
145,68.11714286,237.4,23
146,67.99714286,237.9,23.1
147,67.89714286,248,23.3
148,67.78714286,243.6,23.4
149.1,67.66714286,255.1,23.5
150.1,67.56714286,250.7,23.6
151.1,67.46714286,259.3,23.7
152.1,67.35714286,255.8,23.8
153.1,67.22714286,257.9,24
154.1,67.08714286,266.5,24.1
155.1,66.95714286,278.3,24.2
156.2,66.82714286,265.4,24.3
157.2,66.69714286,267.5,24.5
158.2,66.56714286,267.3,24.6
159.2,66.42714286,271.6,24.7
160.2,66.28714286,283.5,24.9
161.2,66.15714286,270.5,24.9
162.2,66.03714286,275,25.2
163.9,65.80714286,282.7,25.3
164.7,65.69714286,277.9,25.4
165.4,65.57714286,276,25.5
166.3,65.45714286,280.1,25.6
167.3,65.33714286,275.8,25.8
168.3,65.20714286,281,25.9
169.3,65.07714286,280.9,26
170.4,64.94714286,278.1,26.1
171.4,64.80714286,285.1,26.4
172.4,64.66714286,290.7,26.4
173.4,64.54714286,283.5,26.5
174.4,64.42714286,288,26.5
175.4,64.28714286,281.5,26.8
176.4,64.15714286,294.4,26.9
177.5,64.02714286,287.9,27.1
178.5,63.90714286,300.5,27.2
179.5,63.77714286,300.4,27.3
180.5,63.64714286,296.9,27.5
181.5,63.51714286,297.5,27.6
182.5,63.38714286,299.9,27.7
183.5,63.24714286,304.4,27.9
184.5,63.10714286,307.7,28
185.6,62.98714286,297.4,28.2
186.6,62.86714286,301.7,28.3
187.6,62.71714286,306.5,28.4
188.6,62.55714286,312.7,28.6
189.6,62.41714286,312.6,28.7
190.6,62.26714286,301.7,28.8
191.6,62.13714286,304.1,29
192.7,62.01714286,308.3,29.1
193.7,61.88714286,297.2,29.3
194.7,61.75714286,301.8,29.4
195.7,61.61714286,303.8,29.6
196.7,61.48714286,304.4,29.7
197.7,61.35714286,312.9,29.8
198.7,61.22714286,310.7,30
199.8,61.09714286,310,30.1
200.8,60.96714286,313.3,30.3
201.8,60.83714286,308.6,30.4
202.8,60.70714286,314.7,30.5
203.8,60.57714286,310.7,30.7
204.8,60.44714286,300.3,30.8
205.8,60.30714286,300.7,31
206.9,60.16714286,310.8,31.1
207.9,60.04714286,302.5,31.3
208.9,59.90714286,311.6,31.4
209.9,59.76714286,318.1,31.6
210.9,59.62714286,306.6,31.7
211.9,59.50714286,303.8,31.8
212.9,59.36714286,315.5,32
214,59.24714286,311.6,32.1
215,59.11714286,317.8,32.2
216,58.97714286,308.5,32.4
217,58.83714286,314.6,32.4
218,58.70714286,318.2,32.7
219,58.57714286,314.4,32.8
220,58.44714286,310.7,33
221.1,58.30714286,307.2,33.1
222.1,58.15714286,311.3,33.2
223.1,58.02714286,312.1,33.4
224.1,57.89714286,310.5,33.5
225.1,57.75714286,308.3,33.7
226.1,57.60714286,318.5,33.8
227.1,57.46714286,321.5,34
228.2,57.32714286,311.4,34.1
229.2,57.17714286,312.7,34.2
230.2,57.04714286,319,34.4
231.2,56.91714286,312.6,34.5
232.2,56.78714286,312.2,34.6
233.2,56.65714286,307.2,34.7
234.2,56.52714286,307.8,35
235.2,56.38714286,316.1,35
236.3,56.24714286,320,35.2
237.3,56.10714286,313.4,35.3
238.3,55.98714286,307,35.4
239.3,55.84714286,318.5,35.5
240.3,55.70714286,312.8,35.7
241.3,55.56714286,310.3,35.8
242.3,55.42714286,321.9,35.9
243.4,55.28714286,321.2,36.1
244.4,55.15714286,321.2,36.2
245.4,55.01714286,321.1,36.3
246.4,54.87714286,315.1,36.5
247.4,54.74714286,319.1,36.6
248.4,54.60714286,313.7,36.8
249.4,54.46714286,319.2,36.9
250.5,54.33714286,308,37
251.5,54.20714286,313.8,37.1
252.5,54.07714286,324.3,37.3
253.5,53.93714286,311.5,37.4
254.5,53.80714286,313.5,37.5
255.5,53.67714286,324.1,37.7
256.5,53.52714286,320.9,37.8
257.6,53.37714286,326.3,37.9
258.6,53.20714286,313.5,38.1
259.6,53.06714286,326.3,38.2
260.6,52.93714286,319.3,38.3
261.6,52.78714286,315.6,38.5
262.6,52.64714286,321.5,38.6
263.6,52.50714286,318.2,38.9
265.5,52.24714286,323,38.9
266.3,52.14714286,318.3,39
267,52.04714286,317.3,39.1
267.8,51.95714286,323.6,39.3
268.7,51.83714286,318.4,39.4
269.7,51.69714286,321.5,39.5
270.7,51.55714286,323.8,39.7
271.8,51.40714286,328.4,39.8
272.8,51.24714286,335,40
273.8,51.09714286,320.7,40.1
274.8,50.94714286,323.9,40.2
275.8,50.79714286,323.2,40.3
