Time,Mass,HRR
[s],[g],[kW/m2]
173.48,57.66166667,342.5413625
174.5,57.51166667,348.3193623
175.52,57.36166667,353.2379698
176.52,57.21166667,353.7648051
177.53,57.07166667,347.7430387
178.55,56.92166667,345.9241696
179.56,56.78166667,349.0789141
180.57,56.63166667,359.8310053
181.6,56.48166667,358.2209173
182.6,56.33166667,355.2948217
183.61,56.18166667,357.4911346
184.61,56.03166667,354.9862659
185.61,55.88166667,356.5386558
186.61,55.73166667,348.1764561
187.62,55.59166667,360.1253137
188.63,55.44166667,351.8480526
189.62,55.29166667,357.6695131
190.63,55.14166667,364.1758129
191.62,54.99166667,369.2851003
192.65,54.84166667,359.6710551
193.66,54.69166667,371.5005096
194.68,54.53166667,353.8870276
195.68,54.37166667,368.2314191
196.67,54.23166667,372.9971849
197.68,54.08166667,366.1440191
198.7,53.93166667,367.2378594
199.7,53.77166667,369.9213302
200.72,53.62166667,374.908403
201.74,53.46166667,354.6718099
202.74,53.31166667,369.006083
203.73,53.16166667,374.5145149
204.73,53.02166667,372.4617511
205.74,52.87166667,355.9141414
206.74,52.71166667,363.9680351
207.74,52.55166667,360.9064963
208.73,52.41166667,371.6685893
209.73,52.26166667,376.1099696
210.73,52.11166667,380.5292564
211.73,51.95166667,371.5338451
212.73,51.80166667,370.7503177
213.73,51.65166667,376.9913524
214.73,51.49166667,367.3359474
215.73,51.33166667,372.5219834
216.73,51.18166667,383.7830239
217.73,51.03166667,368.3547281
218.74,50.87166667,371.0187733
219.76,50.71166667,374.030289
220.79,50.55166667,373.9449835
221.8,50.39166667,378.4320094
222.82,50.23166667,386.0796603
223.83,50.09166667,383.2428248
224.83,49.93166667,383.9085294
225.83,49.77166667,371.1648553
226.82,49.61166667,382.5526573
227.84,49.45166667,377.8835578
228.86,49.30166667,386.957538
229.86,49.14166667,369.203336
230.85,48.99166667,383.3151949
231.87,48.82166667,380.9740646
232.87,48.66166667,379.4042747
233.89,48.50166667,385.24313
234.91,48.34166667,378.9990594
235.91,48.17166667,390.3238383
236.91,48.01166667,377.5108576
237.91,47.85166667,386.5598567
238.9,47.69166667,391.1256379
239.9,47.54166667,397.6214769
240.91,47.38166667,391.4587309
241.91,47.21166667,380.3930519
242.93,47.05166667,395.1781149
243.92,46.88166667,390.0694943
244.94,46.73166667,386.1241871
245.96,46.56166667,393.3155487
246.96,46.40166667,394.2124555
247.95,46.24166667,394.7443125
248.96,46.08166667,382.4785929
249.97,45.91166667,386.5281957
250.98,45.76166667,398.8286342
251.99,45.60166667,397.9548817
252.99,45.43166667,398.4048817
253.98,45.27166667,397.7795895
254.99,45.11166667,403.5663887
255.98,44.95166667,388.5248516
256.99,44.79166667,394.8890062
257.98,44.63166667,392.493303
258.98,44.47166667,394.5327896
259.99,44.30166667,412.5876955
260.98,44.14166667,393.9678879
261.99,43.99166667,401.5779787
262.98,43.82166667,397.6488389
264,43.65166667,396.3451303
264.98,43.47166667,407.8014124
265.99,43.30166667,399.0772802
266.98,43.14166667,394.0147135
267.99,42.97166667,404.5518451
268.98,42.80166667,391.5238762
269.99,42.63166667,399.2648537
270.99,42.46166667,410.2592471
271.99,42.30166667,405.7543499
272.99,42.14166667,403.7882861
273.99,41.96166667,392.631502
274.99,41.78166667,408.5326862
275.98,41.61166667,403.0545955
276.98,41.44166667,419.8825489
277.99,41.27166667,397.3131573
278.99,41.09166667,408.1948701
279.99,40.91166667,412.5447315
281,40.74166667,404.6190996
282.02,40.57166667,409.3485919
283.03,40.40166667,398.4345929
284.05,40.21166667,408.7279977
285.04,40.03166667,396.8323073
286.07,39.85166667,415.1570745
287.07,39.67166667,408.1329558
288.09,39.50166667,406.0714571
289.11,39.32166667,420.1906237
290.11,39.13166667,400.0920369
291.1,38.96166667,412.3995143
292.1,38.79166667,407.3324386
293.12,38.61166667,408.4208465
294.14,38.42166667,407.5281198
295.16,38.24166667,421.9313858
296.18,38.07166667,422.1212753
297.17,37.89166667,418.0592775
298.17,37.71166667,423.0106615
299.19,37.53166667,421.1245519
300.2,37.35166667,415.3013286
301.22,37.18166667,425.8582371
302.22,37.00166667,428.8029992
303.22,36.82166667,417.7289836
304.22,36.64166667,426.7487298
305.22,36.47166667,430.7940676
306.23,36.29166667,423.4111447
307.22,36.11166667,434.6842102
308.22,35.93166667,428.9407952
309.23,35.74166667,423.1350801
310.24,35.55166667,437.5045596
311.23,35.37166667,429.2553289
312.24,35.19166667,425.0770927
313.24,35.01166667,438.9944337
314.25,34.82166667,427.5322205
315.25,34.65166667,431.1287886
316.25,34.47166667,434.3209757
317.25,34.29166667,436.5190952
318.26,34.11166667,440.8433025
319.28,33.92166667,439.6419638
320.28,33.73166667,437.438913
321.31,33.55166667,463.0073806
322.29,33.36166667,458.9862043
323.31,33.19166667,445.5966064
324.33,33.01166667,442.3893815
325.35,32.82166667,444.3048737
326.36,32.63166667,454.8119628
327.37,32.45166667,448.4988453
328.35,32.26166667,447.4125235
329.36,32.08166667,447.4075918
330.36,31.90166667,459.2884532
331.37,31.71166667,447.1746694
332.37,31.52166667,445.4324234
333.4,31.34166667,450.4904636
334.41,31.15166667,443.9334956
335.41,30.95166667,446.2515058
336.41,30.76166667,445.758712
337.41,30.58166667,453.9640731
338.41,30.39166667,459.7636052
339.43,30.20166667,446.0502858
340.42,30.01166667,451.678826
341.42,29.83166667,460.365423
342.42,29.64166667,456.9802378
343.42,29.45166667,453.4392449
344.42,29.26166667,459.4213004
345.42,29.07166667,447.9613058
346.42,28.88166667,457.8796832
347.42,28.69166667,449.9231149
348.42,28.51166667,465.2495266
349.44,28.32166667,453.8395417
350.47,28.12166667,462.7195149
351.47,27.92166667,459.8147817
352.46,27.72166667,457.752847
353.49,27.53166667,462.8003375
354.48,27.32166667,464.9481393
355.49,27.14166667,467.2858962
356.49,26.94166667,473.4478081
357.48,26.74166667,471.9124148
358.49,26.54166667,476.6150974
359.49,26.34166667,457.344519
360.49,26.14166667,449.9575217
361.49,25.93166667,452.5486274
362.48,25.73166667,464.726235
363.49,25.53166667,462.9236458
364.52,25.33166667,472.9836652
365.48,25.10166667,457.9250793
366.48,24.90166667,472.9231145
367.49,24.69166667,460.9185258
368.49,24.48166667,476.6961036
369.49,24.27166667,473.3070783
370.48,24.06166667,465.9584249
371.48,23.87166667,468.2350148
372.49,23.67166667,476.1711495
373.49,23.46166667,468.381611
374.49,23.25166667,490.3218365
375.48,23.04166667,484.1971679
376.49,22.85166667,483.6348088
377.49,22.64166667,499.1286707
378.49,22.43166667,489.4202689
379.49,22.23166667,472.9304985
380.48,22.02166667,502.5160485
381.48,21.82166667,473.3078098
382.48,21.62166667,486.255111
383.49,21.43166667,488.2827063
