Time,Mass,HRR,Back Temp
[s],[g],[kW/m2],[C]
0,67.01,2.9,23.6
1,67.01,2.8,23.6
2,67.02,2.8,23.6
3,67,2.7,23.7
4.1,66.96,2.5,23.7
5.1,66.9,-0.1,23.7
6.1,66.83,-0.1,23.7
7.1,66.72,-0.2,23.7
8.1,66.58,2.4,23.8
9.1,66.42,2.5,23.8
10.1,66.25,2.3,23.8
11.2,66.06,2.2,23.8
12.2,65.87,2.5,23.9
13.2,65.68,2.2,23.8
14.2,65.48,2.2,23.9
15.2,65.29,2.1,23.9
16.2,65.1,2.2,23.9
17.2,64.91,4.6,24
18.3,64.73,9.4,24
19.3,64.53,17.6,24.1
20.3,64.33,24.4,24.1
21.3,64.12,38.7,24.1
22.3,63.91,56,24.2
23.3,63.69,80.1,24.2
24.3,63.49,100.2,24.2
25.3,63.28,113.5,24.3
26.4,63.06,134.2,24.3
27.4,62.83,165.7,24.4
28.4,62.61,190.5,24.4
29.4,62.38,207,24.4
30.4,62.14,238.4,24.5
31.4,61.91,251.6,24.5
32.4,61.67,297.9,24.6
34.3,61.24,298.1,24.7
35.1,61.07,317.1,24.7
35.8,60.9,337.4,24.7
36.6,60.72,337.9,24.8
37.5,60.52,353.3,24.8
38.5,60.3,374.9,24.9
39.5,60.07,380.5,24.9
40.6,59.83,400.1,25
41.6,59.57,408,25.1
42.6,59.31,441.5,25.1
43.6,59.07,439.5,25.2
44.6,58.81,440.8,25.3
45.6,58.56,456.6,25.3
46.6,58.31,463,25.4
47.7,58.05,458.1,25.5
48.7,57.79,498,25.6
49.7,57.53,483.5,25.7
50.7,57.27,510.8,25.8
51.7,57.02,529.8,25.8
52.7,56.77,514.6,25.9
55.8,56.01,544.4,26.3
56.8,55.74,508.7,26.5
57.8,55.48,537.5,26.6
58.8,55.23,556.4,26.7
59.8,54.96,562.4,26.8
60.8,54.68,560.8,27
61.9,54.44,547.1,27.1
62.9,54.18,579.6,27.3
63.9,53.9,557.7,27.4
64.9,53.64,586.5,27.6
65.9,53.38,565.8,27.7
66.9,53.12,564.2,27.9
67.9,52.86,562.6,28
69,52.59,604.5,28.2
70,52.32,581.8,28.4
71,52.05,558.1,28.5
72,51.78,622.1,28.8
73,51.52,582.5,29
74,51.25,596.5,29.2
75,50.99,600.6,29.4
76.1,50.72,592.3,29.6
77.1,50.44,595.7,29.9
78.1,50.18,612.8,30.1
79.1,49.91,607.5,30.4
80.1,49.65,606.7,30.6
81.1,49.38,631.3,30.8
82.1,49.11,588.9,31.1
83.1,48.83,631.8,31.4
84.2,48.55,627.5,31.6
85.2,48.27,618.8,31.9
86.2,48,621.6,32.2
87.2,47.73,630.5,32.4
88.2,47.46,607.9,32.7
89.2,47.18,624.5,33
90.2,46.92,628.6,33.3
91.3,46.64,647.6,33.5
92.3,46.35,638.1,33.8
93.3,46.09,651.5,34.1
94.3,45.83,645.5,34.4
95.3,45.56,664.7,34.7
96.3,45.29,634.3,35
97.3,45.01,636.5,35.2
98.4,44.73,626.8,35.5
