Time,Mass,HRR,Back Surface Temperature 1,Back Surface Temperature 2
[s],[g],[kW/m2],[K],[K]
0,71.72,2.912818929,298.15,299.25
1,71.717341,2.734787262,298.15,299.25
2,71.66126,2.09727369,298.15,299.25
3,71.640698,1.768270952,298.15,299.25
4,71.600763,1.691156905,298.15,299.25
5,71.58721,1.811421548,298.15,299.25
6,71.34995,2.048103452,298.15,299.25
7,71.294639,2.359800357,298.15,299.25
8,71.22134,2.177582143,298.15,299.25
9,71.220061,1.848822857,298.25,299.25
10,71.238028,1.749145833,298.25,299.25
11,71.218426,1.836689762,298.25,299.25
12,71.170784,2.001494048,298.25,299.35
13,71.069228,2.208516786,298.35,299.35
14,71.017894,1.88543119,298.35,299.35
15,71.085363,1.921997262,298.45,299.35
16,71.002022,2.498063214,298.45,299.45
17,70.9416,2.54349881,298.55,299.55
18,70.941284,3.723890119,298.65,299.65
19,70.933192,3.988114643,298.75,299.65
20,70.911387,3.666397381,298.75,299.75
21,70.869718,3.508922857,298.95,299.85
22,70.878449,3.353423333,299.15,300.05
23,70.917572,4.064270714,299.45,300.05
24,70.91769,4.589927262,299.45,300.25
25,70.860411,5.420476429,299.75,300.55
26,70.862811,5.153095119,300.15,300.85
27,70.872044,5.623898452,301.55,301.15
28,70.86942,6.594692857,301.55,301.15
29,70.857342,7.090470476,301.55,301.45
30,70.825923,6.603510357,302.65,301.85
31,70.812268,6.287609405,303.35,303.35
32,70.81423,6.169146429,303.35,303.35
33,70.824751,5.988933214,304.05,303.35
34,70.836186,6.027686071,304.75,304.45
35,70.815315,6.151450238,305.55,305.05
36,70.804055,6.477729167,305.55,305.05
37,70.819733,6.399306786,306.25,305.65
38,70.811441,5.330336786,307.15,306.25
39,70.801182,5.218847143,307.95,306.95
40,70.794703,5.412508095,308.95,306.95
41,70.766572,4.616830952,308.95,307.65
42,70.785169,4.583917143,309.85,308.35
43,70.778233,4.222158929,310.85,309.25
44,70.786493,3.899147738,311.85,309.25
45,70.800424,4.799099643,311.85,310.05
46,70.749278,5.774581429,312.85,310.75
47,70.812301,6.379223333,313.95,311.65
48,70.830942,6.820554286,314.95,312.55
49,70.84816,6.582863095,314.95,312.55
50,70.843708,6.006194405,316.05,313.35
51,70.82758,5.22996369,317.15,314.25
52,70.800146,6.138204524,318.25,315.15
53,70.795839,6.698113452,318.25,315.15
54,70.805139,6.684209405,319.35,316.05
55,70.815846,6.359897857,320.55,316.95
56,70.824143,6.219450952,321.65,317.95
57,70.831264,6.129508929,322.85,317.95
58,70.826704,6.196531905,322.85,318.95
59,70.827766,6.567083095,324.05,319.85
60,70.837723,6.439613929,325.25,320.85
61,70.851422,7.049460476,326.45,320.85
62,70.854823,6.780736548,326.45,321.75
63,70.841454,7.538450952,327.65,322.85
64,70.844418,7.933987024,328.95,323.85
65,70.858378,8.20885119,330.05,323.85
66,70.859106,9.231804286,330.05,324.85
67,70.854592,8.899330119,331.35,325.75
68,70.884437,8.70918,332.55,326.85
69,70.950808,8.80189631,333.85,327.85
70,70.905029,9.622298214,333.85,327.85
71,70.908384,9.82799369,335.15,328.85
72,70.909738,10.34717679,336.35,329.85
73,70.908185,10.75861119,337.55,330.85
74,70.909753,11.57941762,337.55,330.85
75,70.940295,11.63595238,338.85,331.85
76,70.952807,12.8319106,340.15,332.95
77,70.927174,13.18885,341.35,333.95
78,70.923103,11.94634321,341.35,333.95
79,70.950423,12.02992417,342.55,335.05
80,70.871716,11.55706595,343.85,336.05
81,70.935834,11.66078226,345.05,336.85
82,70.97218,12.73537845,346.35,336.85
83,70.974135,13.20565179,346.35,337.85
84,70.977564,13.31962643,347.65,338.75
85,70.978,12.92382893,348.85,339.65
86,70.992289,12.83411679,350.15,339.65
87,70.991312,11.92671214,350.15,340.65
88,71.011323,10.63304143,351.35,341.55
89,71.032842,9.40960869,352.55,342.45
90,71.048724,11.75261786,353.85,342.45
91,71.058478,16.62853357,353.85,343.55
92,71.067553,23.6882875,355.15,344.45
93,71.103002,33.09945262,356.35,345.45
94,71.083862,42.08878226,357.55,346.25
95,71.066925,53.17987381,357.55,346.25
96,71.103407,64.31275345,358.85,347.25
97,71.115944,84.73467607,360.15,348.25
98,71.089634,108.7882835,361.35,349.35
99,71.068035,131.8440646,361.35,349.35
100,71.063337,158.1755821,362.55,350.35
101,70.994677,176.4941677,363.75,351.35
102,70.917245,202.6012308,364.95,352.35
103,70.851014,224.6835992,366.15,352.35
104,70.77286,233.4629242,366.15,353.25
105,70.694303,248.6179115,367.35,354.25
106,70.607249,257.1118265,368.55,355.25
107,70.531637,268.2106555,369.65,355.25
108,70.439513,275.5030133,369.65,356.15
109,70.34704,287.9427918,370.85,357.15
110,70.230195,301.4833135,371.95,358.05
111,70.127181,309.2288793,373.05,358.05
112,70.0323,310.6706876,373.05,359.05
113,69.931128,326.5407252,374.35,360.05
114,69.798581,315.3097561,375.45,360.95
115,69.684484,320.091692,376.55,361.95
116,69.613808,330.5224682,376.55,361.95
117,69.486962,327.4191075,377.75,362.85
118,69.350928,340.8552727,378.85,363.85
119,69.229712,324.0582338,380.05,364.85
120,69.124778,330.730493,380.05,364.85
121,69.005619,334.6788745,381.25,365.75
122,68.886994,337.6745235,382.35,366.75
123,68.763408,337.803395,383.55,367.75
124,68.648036,347.468407,383.55,367.75
125,68.554033,345.7360804,384.75,368.75
126,68.43907,351.0593024,385.95,369.75
127,68.32182,352.3141063,387.05,370.85
128,68.187768,348.9086765,388.35,370.85
129,68.052537,366.5917801,388.35,371.75
130,67.905809,360.9689614,389.65,372.75
131,67.772975,349.0767756,390.85,373.85
132,67.640256,357.2785724,392.05,373.85
133,67.486925,346.8303504,392.05,374.95
134,67.377933,354.5564875,393.25,375.95
135,67.227413,356.3049399,394.55,377.05
136,67.08743,355.1594874,395.65,377.05
137,66.949178,368.2519268,396.85,378.05
138,66.793768,359.0510296,396.85,379.05
139,66.64652,352.380353,398.05,380.05
140,66.512126,359.9379745,399.35,381.05
141,66.384092,360.2679313,400.55,381.05
142,66.252836,354.228676,400.55,382.05
143,66.12388,358.71964,401.75,383.05
144,66.009896,355.1389868,403.05,384.05
145,66.089279,370.9136311,404.15,384.05
146,66.052337,380.2835368,404.15,385.05
147,65.915913,377.6313487,405.45,386.05
148,65.777908,370.4598617,406.65,386.95
149,65.630091,373.4344857,407.95,386.95
150,65.49761,370.6938137,407.95,387.95
151,65.363529,369.706587,409.15,388.85
152,65.225133,372.9814664,410.45,390.05
153,65.079074,398.221985,411.55,390.05
154,64.935338,386.2726151,411.55,391.15
155,64.820333,375.791953,412.75,392.25
156,64.691517,386.2252169,414.05,393.25
157,64.554154,402.8529232,415.25,393.25
158,64.412363,388.0713369,416.45,394.35
159,64.270655,388.8876186,416.45,395.45
160,64.131116,384.0936882,417.65,396.55
161,63.996592,382.8842355,418.95,397.65
162,63.874906,383.4029157,420.15,397.65
163,63.729345,372.9023529,420.15,398.75
164,63.585076,390.5620493,421.35,399.95
165,63.457904,387.766378,422.65,401.05
166,63.316891,402.775656,423.85,401.05
167,63.159481,418.8291625,423.85,402.15
168,63.036626,396.4132381,425.05,403.25
169,62.871952,400.6200686,426.25,404.45
170,62.717254,401.8408435,427.45,405.35
171,62.589198,402.0897504,427.45,405.35
172,62.460372,388.6367202,428.65,406.45
173,62.312328,386.8185069,429.85,407.55
174,62.159532,385.4616993,430.95,407.55
175,61.984224,395.9519319,430.95,408.65
176,61.865013,392.3057485,432.15,409.65
177,61.752121,392.9918644,433.35,410.95
178,61.63705,401.5113213,434.55,412.05
179,61.487525,385.972764,434.55,412.05
180,61.37302,380.0748235,435.75,413.25
181,61.251409,389.2107265,436.95,414.25
182,61.114052,388.6522285,438.15,415.25
183,60.962649,386.1285096,438.15,415.25
184,60.811156,399.2870626,439.35,416.15
185,60.70315,398.0834594,440.45,417.25
186,60.52413,416.4925425,441.65,418.35
187,60.382675,412.8596085,442.75,418.35
188,60.246858,415.6285095,442.75,419.35
