Time,Mass,HRR,Back Surface Temperature 1
[s],[g],[kW/m2],[K]
0,73.92,1.928803432,297.256
1,73.914038,1.758330608,297.249
2,73.867222,1.496260964,297.25
3,74.007467,1.434351728,297.224
4,74.08865,0.910551237,297.185
5,74.084396,0.367886722,297.12
6,74.026146,0.250521601,297.092
7,73.981554,0.265600909,297.066
8,73.953194,0.265584845,297.017
9,73.734549,0.291193028,296.944
10,73.634516,0.310307938,296.934
11,73.611901,0.341170248,296.912
12,73.597118,0.462361971,296.902
13,73.595647,0.523299245,296.887
14,73.587227,0.599139463,296.835
15,73.558647,0.694749319,296.81
16,73.547861,0.708424813,296.807
17,73.551276,0.510188029,296.816
18,73.548824,0.339580633,296.823
19,73.542304,0.303650772,296.833
20,73.546398,0.237368294,296.9
21,73.551675,0.229321181,297.013
22,73.552626,0.251508092,297.055
23,73.535943,-0.227055941,297.102
24,73.509379,-0.624896432,297.366
25,73.501281,4.998053957,297.5
26,73.467289,8.664092426,297.675
27,73.411279,40.84741209,297.87
28,73.379296,105.7538939,297.921
29,73.370677,135.6033072,298.32
30,73.456931,183.5203643,298.898
31,73.508045,268.2868909,299.095
32,73.417831,291.2018784,299.467
33,73.254206,323.0646984,300.09
34,73.060752,384.3459924,300.343
35,72.828625,407.7491057,300.8
36,72.637501,433.9698045,301.584
37,72.463395,475.1752548,302.434
38,72.258405,474.7373068,302.831
39,72.052061,482.5651841,303.433
40,71.846755,511.7462355,304.403
41,71.610538,520.9738517,304.795
42,71.37251,510.8520977,305.502
43,71.152677,522.7044906,306.636
44,70.927048,545.9214761,307.109
45,70.687347,560.4556816,307.981
46,70.439181,552.0444994,309.311
47,70.214101,551.176046,309.77
48,69.987666,564.70479,310.437
49,69.738051,566.5077236,311.864
50,69.494495,569.338737,312.56
51,69.248462,566.3194399,313.465
52,69.010756,578.7218979,314.984
53,68.778383,592.883422,315.614
54,68.558026,600.6687011,316.508
55,68.329776,581.2116259,318.076
56,68.06961,564.7102869,319.777
57,67.810748,579.6020534,320.426
58,67.561877,590.2028871,321.411
59,67.315886,614.5247564,323.08
60,67.060164,641.0986207,323.775
61,66.803789,635.881335,324.872
62,66.562694,635.2554915,326.693
63,66.319138,644.2074911,327.41
