Time,Mass,HRR,Back Surface Temperature 1
[s],[g],[kW/m2],[K]
0,0,-0.425759618,298.272
1,0,,298.273
2,0,,298.294
3,0,,298.335
4,0,,298.338
5,0,-1.540523857,298.363
6,0,,298.393
7,0,,298.454
8,0,,298.523
9,0,,298.62
10,0,-2.868913518,298.729
11,0,,298.852
12,0,,299.013
13,0,,299.202
14,0,,299.41
15,0,-2.978377925,299.661
16,0,,299.923
17,0,,300.271
18,0,,300.633
19,0,,301.047
20,0,-1.76190759,301.459
21,0,,302.015
22,0,,302.568
23,0,,303.177
24,0,,303.938
25,0,-2.866214114,304.615
26,0,,305.364
27,0,,306.343
28,0,,307.22
29,0,,308.299
30,0,93.9687875,309.169
31,0,,310.393
32,0,,311.478
33,0,,312.808
34,0,,314.033
35,0,401.2262161,315.291
36,0,,316.575
37,0,,318.148
38,0,,319.533
39,0,,320.88
40,0,609.6526906,322.529
41,0,,323.959
42,0,,325.422
43,0,,327.188
44,0,,328.636
45,0,722.7660186,330.201
46,0,,331.763
47,0,,333.536
48,0,,335.156
49,0,,336.996
50,0,776.3190278,338.445
51,0,,340.266
52,0,,341.916
53,0,,343.805
54,0,,345.199
55,0,779.0128276,347.09
56,0,,349
57,0,,350.692
58,0,,352.286
59,0,,353.941
60,0,808.165991,355.898
61,0,,357.507
62,0,,359.129
63,0,,361.059
64,0,,362.675
65,0,803.4389618,364.278
66,0,,365.901
67,0,,367.498
68,0,,369.352
69,0,,370.798
70,0,779.4501585,372.378
71,0,,374.071
72,0,,375.487
73,0,,376.874
74,0,,378.643
75,0,772.5432688,379.882
76,0,,381.147
77,0,,383.19
78,0,,384.69
79,0,,386.096
80,0,789.7686576,388.091
81,0,,389.643
82,0,,391.22
83,0,,392.79
84,0,,394.364
85,0,784.6566413,396.253
86,0,,397.876
87,0,,399.689
88,0,,401.451
89,0,,403.075
90,0,826.500637,405.014
91,0,,406.697
92,0,,408.348
93,0,,410.009
94,0,,411.995
95,0,826.7986016,413.635
96,0,,415.414
97,0,,417.111
98,0,,419.081
99,0,,420.829
100,0,780.247013,422.476
101,0,,424.211
102,0,,426.266
103,0,,427.873
104,0,,429.712
105,0,823.4257667,431.732
106,0,,433.489
107,0,,435.305
108,0,,437.32
109,0,,439.133
110,0,813.4371818,440.959
111,0,,442.75
112,0,,444.048
113,0,,445.149
114,0,,446.494
115,0,857.145005,447.763
116,0,,448.939
117,0,,450.297
118,0,,451.919
119,0,,453.286
120,0,861.7019436,454.871
121,0,,456.347
122,0,,458.196
123,0,,459.906
124,0,,461.49
125,0,921.4157347,463.614
126,0,,465.421
127,0,,467.429
128,0,,469.409
129,0,,471.156
130,0,945.5968884,473.128
131,0,,475.503
132,0,,477.319
133,0,,479.435
134,0,,481.869
135,0,880.2301129,483.86
136,0,,486.202
137,0,,488.375
138,0,,490.476
139,0,,493.249
140,0,1035.842651,495.458
141,0,,498.154
142,0,,500.634
143,0,,502.822
144,0,,505.636
145,0,988.6555515,508.125
146,0,,510.476
147,0,,513.093
148,0,,515.646
149,0,,518.455
150,0,1060.131068,521.146
151,0,,524.058
152,0,,526.568
153,0,,529.143
154,0,,531.595
155,0,1083.9602,534.097
156,0,,537.384
157,0,,539.579
158,0,,542.92
159,0,,545.959
160,0,1015.392065,548.823
161,0,,551.827
162,0,,555.179
163,0,,557.744
164,0,,560.37
165,0,1056.127153,563.608
166,0,,566.495
167,0,,570.215
168,0,,573.638
169,0,,577.249
170,0,1169.457615,581.139
171,0,,585.26
172,0,,590.472
173,0,,595.638
174,0,,601.018
175,0,1091.626536,607.034
176,0,,611.921
177,0,,616.79
178,0,,622.829
179,0,,627.962
180,0,1390.510038,633.898
181,0,,644.511
182,0,,656.551
183,0,,669.294
184,0,,686.333
185,0,1451.018347,709.907
186,0,,755.652
187,0,,823.976
188,0,,879.977
189,0,,877.28
190,0,1607.154317,866.914
191,0,,857.219
192,0,,809.682
193,0,,768.719
194,0,,737.397
195,0,1671.021351,711.205
196,0,,684.102
197,0,,660.761
198,0,,630.324
199,0,,607.915
200,0,1040.387704,591.288
201,0,,575.545
202,0,,560.899
203,0,,545.103
204,0,,532.662
205,0,419.0882683,521.139
206,0,,508.441
207,0,,498.234
208,0,,487.152
209,0,,478.251
210,0,146.3786957,469.915
211,0,,462.078
212,0,,453.537
213,0,,446.668
214,0,,440.191
215,0,60.39089757,433.056
216,0,,427.237
217,0,,421.704
218,0,,415.597
219,0,,410.693
220,0,32.08920641,406.007
221,0,,400.809
222,0,,396.574
223,0,,392.505
224,0,,388.633
225,0,11.89960877,384.334
226,0,,380.809
227,0,,448.482
228,0,,449.315
229,0,,450.197
230,0,-0.467483154,451.081
231,0,,452.003
232,0,,452.847
233,0,,453.797
234,0,,454.744
235,0,-4.207931443,455.53
236,0,,456.446
237,0,,457.383
238,0,,458.191
239,0,,459.279
240,0,-7.258454453,460.124
241,0,,460.894
242,0,,461.695
243,0,,462.667
244,0,,463.449
245,0,-6.082088459,464.385
246,0,,465.278
247,0,,466.077
248,0,,467.075
249,0,,467.92
250,0,-7.61477255,468.715
