Time,Temperature,HRR
s,K,W/g
0.000,363.069,0.000
0.500,363.417,-0.026
1.000,363.737,0.042
1.500,364.029,-0.045
2.000,364.362,-0.125
2.500,364.667,-0.093
3.000,365.006,-0.223
3.500,365.299,-0.289
4.000,365.629,-0.182
4.500,365.953,-0.139
5.000,366.285,-0.175
5.500,366.62,-0.293
6.000,366.965,-0.249
6.500,367.322,-0.233
7.000,367.718,-0.158
7.500,367.992,-0.311
8.000,368.359,-0.154
8.500,368.71,-0.382
9.000,369.025,-0.217
9.500,369.451,-0.243
10.000,369.776,-0.230
10.500,370.133,-0.244
11.000,370.542,-0.185
11.500,370.903,-0.181
12.000,371.266,-0.351
12.500,371.607,-0.165
13.000,371.986,0.013
13.500,372.397,-0.062
14.000,372.768,0.001
14.500,373.151,-0.124
15.000,373.553,0.179
15.500,373.935,0.089
16.000,374.33,-0.068
16.500,374.716,0.047
17.000,375.14,0.134
17.500,375.545,0.162
18.000,375.933,0.022
18.500,376.309,0.074
19.000,376.746,0.071
19.500,377.157,0.218
20.000,377.539,0.142
20.500,377.994,0.160
21.000,378.363,0.182
21.500,378.804,0.173
22.000,379.252,0.284
22.500,379.658,0.165
23.000,380.068,0.180
23.500,380.533,0.061
24.000,380.949,0.028
24.500,381.356,0.048
25.000,381.793,0.282
25.500,382.225,0.011
26.000,382.673,0.407
26.500,383.128,0.386
27.000,383.591,0.286
27.500,384.021,0.396
28.000,384.472,0.270
28.500,384.954,0.311
29.000,385.392,0.397
29.500,385.827,0.364
30.000,386.286,0.334
30.500,386.709,0.328
31.000,387.221,0.348
31.500,387.638,0.565
32.000,388.141,0.309
32.500,388.607,0.412
33.000,389.066,0.491
33.500,389.541,0.287
34.000,390.005,0.587
34.500,390.479,0.528
35.000,390.935,0.530
35.500,391.408,0.689
36.000,391.866,0.591
36.500,392.352,0.571
37.000,392.868,0.655
37.500,393.327,0.348
38.000,393.813,0.770
38.500,394.249,0.727
39.000,394.738,0.715
39.500,395.258,0.777
40.000,395.707,0.925
40.500,396.207,1.070
41.000,396.733,1.082
41.500,397.201,1.002
42.000,397.675,1.117
42.500,398.188,1.044
43.000,398.7,1.244
43.500,399.192,1.081
44.000,399.695,1.130
44.500,400.187,1.376
45.000,400.713,1.400
45.500,401.193,1.575
46.000,401.712,1.331
46.500,402.221,1.414
47.000,402.728,1.653
47.500,403.261,1.592
48.000,403.772,1.508
48.500,404.292,1.632
49.000,404.841,1.718
49.500,405.335,1.782
50.000,405.862,1.927
50.500,406.336,1.748
51.000,406.868,1.789
51.500,407.422,1.961
52.000,407.923,1.749
52.500,408.426,2.042
53.000,408.97,2.155
53.500,409.474,2.093
54.000,409.998,2.145
54.500,410.519,2.153
55.000,411.048,2.467
55.500,411.6,2.238
56.000,412.098,2.575
56.500,412.625,2.272
57.000,413.192,2.245
57.500,413.698,2.655
58.000,414.23,2.501
58.500,414.757,2.527
59.000,415.304,2.645
59.500,415.823,2.844
60.000,416.399,2.797
