Time,Temperature,HRR
[s],[K],[W/g]
0.000,373.798,0.000
0.500,374.196,0.007
1.000,374.649,-0.091
1.500,375.039,-0.091
2.000,375.495,0.028
2.500,375.94,0.231
3.000,376.314,-0.006
3.500,376.776,-0.065
4.000,377.233,0.029
4.500,377.636,0.037
5.000,378.09,-0.126
5.500,378.516,-0.156
6.000,378.968,-0.096
6.500,379.411,-0.193
7.000,379.855,-0.337
7.500,380.324,-0.139
8.000,380.773,-0.099
8.500,381.196,-0.164
9.000,381.634,-0.216
9.500,382.112,-0.333
10.000,382.546,-0.187
10.500,383.071,-0.285
11.000,383.559,-0.135
11.500,383.999,-0.161
12.000,384.488,-0.200
12.500,384.979,-0.141
13.000,385.441,-0.098
13.500,385.919,-0.096
14.000,386.4,-0.150
14.500,386.869,0.074
15.000,387.348,-0.216
15.500,387.813,-0.076
16.000,388.281,0.055
16.500,388.79,0.083
17.000,389.27,0.058
17.500,389.752,0.098
18.000,390.256,0.174
18.500,390.745,0.134
19.000,391.288,0.162
19.500,391.737,0.437
20.000,392.239,0.289
20.500,392.74,0.428
21.000,393.248,0.394
21.500,393.753,0.140
22.000,394.217,0.339
22.500,394.751,0.316
23.000,395.222,0.455
23.500,395.761,0.635
24.000,396.264,0.582
24.500,396.785,0.447
25.000,397.306,0.492
25.500,397.818,0.419
26.000,398.303,0.587
26.500,398.834,0.544
27.000,399.365,0.547
27.500,399.846,0.577
28.000,400.36,0.662
28.500,400.876,0.728
29.000,401.417,0.773
29.500,401.92,0.721
30.000,402.445,0.878
30.500,402.976,0.942
31.000,403.489,1.053
31.500,404.027,0.883
32.000,404.583,1.091
32.500,405.121,0.957
33.000,405.638,1.162
33.500,406.173,1.150
34.000,406.721,1.304
34.500,407.27,1.275
35.000,407.761,1.299
35.500,408.305,1.475
36.000,408.82,1.376
36.500,409.387,1.570
37.000,409.899,1.403
37.500,410.417,1.597
38.000,410.94,1.769
38.500,411.517,1.635
39.000,412.04,1.817
39.500,412.605,1.851
40.000,413.124,1.791
40.500,413.644,1.849
41.000,414.221,1.980
41.500,414.768,1.910
42.000,415.3,2.059
42.500,415.857,2.109
43.000,416.401,1.994
43.500,416.975,2.113
44.000,417.516,2.149
44.500,418.032,2.139
45.000,418.571,2.406
45.500,419.105,2.248
46.000,419.659,2.337
46.500,420.183,2.576
47.000,420.731,2.638
47.500,421.288,2.567
48.000,421.818,2.560
48.500,422.414,2.761
49.000,422.935,2.901
49.500,423.471,2.964
50.000,424,3.037
50.500,424.557,3.176
51.000,425.106,3.360
51.500,425.681,3.244
52.000,426.188,3.282
52.500,426.723,3.512
53.000,427.283,3.515
53.500,427.826,3.598
54.000,428.363,3.880
54.500,428.924,3.794
55.000,429.472,4.039
55.500,430.046,4.270
56.000,430.587,4.419
56.500,431.131,4.464
57.000,431.676,4.698
57.500,432.19,4.723
58.000,432.774,4.824
58.500,433.328,5.023
59.000,433.88,5.281
59.500,434.416,5.562
60.000,434.971,5.658
60.500,435.526,5.737
61.000,436.053,5.976
61.500,436.623,6.233
62.000,437.113,6.365
62.500,437.708,6.648
63.000,438.24,7.047
63.500,438.828,7.138
64.000,439.38,7.450
64.500,439.882,7.689
65.000,440.443,8.034
65.500,440.982,8.196
66.000,441.537,8.762
66.500,442.067,8.862
67.000,442.592,9.180
67.500,443.156,9.552
68.000,443.701,9.744
68.500,444.26,10.096
69.000,444.787,10.422
69.500,445.357,10.818
70.000,445.878,11.170
70.500,446.459,11.477
71.000,447.034,11.947
71.500,447.548,12.143
72.000,448.108,12.530
72.500,448.673,12.890
73.000,449.218,13.256
73.500,449.746,13.567
74.000,450.247,13.938
74.500,450.757,14.160
