Time (s),m (g),T Back (K),T Top (K)
0,99.881964,293,293
1,99.881964,293,353.782
2,99.881928,293,387.397
3,99.881874,293,413.995
4,99.881802,292.999,436.617
5,99.88173,292.999,456.561
6,99.881604,292.999,474.526
7,99.881442,292.999,490.942
8,99.88119,292.999,506.097
9,99.880794,292.999,520.192
10,99.880182,292.999,533.375
11,99.879246,292.998,545.756
12,99.877806,292.998,557.419
13,99.875664,292.998,568.426
14,99.87255,292.998,578.826
15,99.868104,292.998,588.653
16,99.861984,292.998,597.935
17,99.85374,292.998,606.692
18,99.842922,292.997,614.941
19,99.82908,292.997,622.697
20,99.811818,292.997,629.979
21,99.790794,292.997,636.809
22,99.765774,292.997,643.212
23,99.736596,292.997,649.22
24,99.70326,292.997,654.867
25,99.665838,292.997,660.192
26,99.62451,292.997,665.23
27,99.579438,292.997,670.016
28,99.530892,292.997,674.579
29,99.47907,292.998,678.945
30,99.424206,292.999,683.131
31,99.366444,293,687.152
32,99.30591,293.001,691.015
33,99.242694,293.003,694.728
34,99.176886,293.005,698.293
35,99.108504,293.008,701.716
36,99.03762,293.012,705
37,98.964252,293.017,708.153
38,98.88849,293.022,711.182
39,98.810388,293.029,714.096
40,98.730036,293.037,716.905
41,98.64756,293.047,719.62
42,98.56305,293.058,722.25
43,98.476632,293.071,724.808
44,98.38845,293.087,727.302
45,98.298612,293.104,729.743
46,98.20728,293.124,732.139
47,98.114562,293.146,734.498
48,98.02062,293.172,736.828
49,97.925544,293.2,739.133
50,97.82946,293.232,741.421
51,97.73253,293.267,743.696
52,97.634808,293.306,745.961
53,97.536456,293.349,748.221
54,97.437546,293.396,750.476
55,97.338168,293.447,752.73
56,97.23843,293.503,754.982
57,97.138404,293.564,757.234
58,97.03818,293.629,759.485
59,96.93783,293.7,761.735
60,96.83739,293.776,763.982
61,96.73695,293.857,766.226
62,96.636528,293.945,768.465
63,96.536196,294.038,770.697
64,96.43599,294.137,772.919
65,96.335946,294.242,775.129
66,96.236064,294.354,777.326
67,96.136398,294.472,779.507
68,96.036966,294.597,781.671
69,95.937768,294.728,783.815
70,95.838822,294.867,785.938
71,95.740128,295.012,788.038
72,95.641722,295.165,790.114
73,95.543586,295.324,792.166
74,95.445738,295.491,794.191
75,95.348178,295.665,796.19
76,95.250888,295.847,798.162
77,95.153904,296.036,800.107
78,95.05719,296.232,802.024
79,94.960782,296.437,803.914
80,94.864662,296.648,805.776
81,94.76883,296.868,807.611
82,94.673286,297.095,809.419
83,94.57803,297.33,811.201
84,94.483062,297.572,812.955
85,94.388382,297.822,814.684
86,94.294008,298.08,816.387
87,94.199904,298.346,818.064
88,94.106106,298.619,819.717
89,94.012578,298.901,821.344
90,93.919356,299.189,822.948
91,93.826422,299.486,824.528
92,93.733758,299.79,826.085
93,93.641382,300.102,827.618
94,93.549294,300.421,829.129
95,93.457494,300.748,830.618
96,93.365982,301.082,832.086
97,93.27474,301.424,833.532
98,93.183768,301.773,834.957
99,93.093084,302.13,836.361
100,93.00267,302.493,837.745
101,92.912544,302.865,839.11
102,92.822688,303.243,840.455
103,92.733102,303.628,841.78
104,92.643768,304.02,843.088
105,92.554722,304.42,844.377
106,92.465946,304.826,845.648
107,92.377422,305.239,846.901
108,92.289168,305.659,848.137
109,92.201166,306.085,849.356
110,92.113434,306.519,850.558
111,92.025936,306.958,851.744
112,91.938726,307.404,852.914
113,91.85175,307.857,854.068
114,91.765026,308.316,855.206
115,91.678554,308.781,856.33
116,91.592334,309.252,857.438
117,91.506348,309.729,858.532
118,91.420614,310.213,859.612
119,91.335114,310.702,860.677
120,91.249866,311.197,861.729
121,91.164834,311.698,862.767
122,91.080054,312.204,863.792
123,90.995508,312.716,864.804
124,90.911196,313.234,865.803
125,90.8271,313.756,866.789
126,90.743238,314.285,867.763
127,90.65961,314.818,868.725
128,90.576198,315.357,869.675
129,90.493002,315.9,870.613
130,90.41004,316.449,871.54
131,90.327276,317.002,872.456
132,90.244746,317.561,873.36
133,90.162414,318.124,874.254
134,90.080316,318.692,875.137
135,89.998398,319.264,876.01
136,89.916714,319.841,876.872
137,89.835228,320.422,877.724
138,89.75394,321.008,878.566
139,89.67285,321.598,879.399
140,89.591976,322.192,880.222
141,89.5113,322.79,881.035
142,89.430804,323.392,881.839
143,89.350506,323.999,882.634
144,89.270424,324.609,883.421
145,89.190504,325.223,884.198
146,89.110782,325.84,884.967
147,89.031258,326.462,885.727
148,88.951914,327.086,886.479
149,88.87275,327.715,887.223
150,88.793766,328.347,887.959
151,88.714962,328.982,888.687
152,88.636356,329.62,889.407
153,88.557894,330.262,890.119
154,88.47963,330.907,890.824
155,88.401528,331.555,891.522
156,88.323606,332.206,892.212
157,88.245846,332.859,892.895
158,88.168266,333.516,893.571
159,88.090848,334.176,894.24
160,88.013592,334.838,894.902
161,87.936498,335.503,895.558
162,87.859566,336.171,896.207
163,87.782778,336.841,896.849
164,87.70617,337.514,897.486
165,87.629706,338.189,898.115
166,87.553404,338.866,898.739
167,87.477246,339.546,899.357
168,87.40125,340.228,899.968
169,87.325398,340.912,900.574
170,87.249708,341.599,901.174
171,87.174144,342.287,901.768
172,87.098742,342.978,902.357
173,87.023466,343.67,902.94
174,86.948334,344.365,903.517
175,86.873346,345.061,904.089
176,86.798502,345.759,904.656
177,86.723802,346.459,905.218
178,86.649228,347.16,905.775
179,86.57478,347.863,906.326
180,86.500476,348.568,906.873
181,86.426298,349.274,907.414
182,86.352246,349.982,907.951
183,86.278338,350.691,908.483
184,86.204538,351.402,909.011
185,86.130882,352.114,909.534
186,86.057334,352.827,910.052
187,85.983912,353.541,910.566
188,85.910616,354.257,911.075
189,85.837428,354.974,911.58
190,85.764366,355.692,912.081
191,85.69143,356.411,912.577
192,85.618584,357.131,913.07
193,85.545882,357.852,913.558
194,85.47327,358.574,914.042
195,85.400766,359.297,914.522
196,85.328388,360.021,914.998
197,85.256118,360.745,915.471
198,85.183938,361.471,915.939
199,85.111884,362.197,916.404
200,85.03992,362.924,916.865
201,84.968064,363.651,917.322
202,84.896298,364.379,917.776
203,84.82464,365.108,918.226
204,84.75309,365.837,918.673
205,84.68163,366.567,919.116
206,84.61026,367.297,919.556
207,84.53898,368.028,919.992
208,84.467808,368.759,920.425
209,84.396726,369.49,920.855
210,84.325734,370.222,921.281
211,84.254832,370.954,921.704
212,84.184002,371.687,922.125
213,84.11328,372.419,922.542
214,84.04263,373.152,922.955
215,83.97207,373.885,923.366
216,83.9016,374.618,923.774
217,83.831202,375.351,924.179
218,83.760894,376.085,924.581
219,83.690658,376.818,924.98
220,83.620494,377.552,925.376
221,83.55042,378.285,925.77
222,83.480418,379.018,926.16
223,83.410488,379.752,926.548
224,83.34063,380.485,926.934
225,83.270862,381.218,927.316
226,83.201148,381.951,927.696
227,83.131506,382.684,928.073
228,83.061936,383.416,928.448
229,82.99242,384.149,928.82
230,82.922994,384.881,929.19
231,82.853604,385.613,929.557
232,82.784304,386.344,929.922
233,82.715058,387.076,930.284
234,82.645866,387.806,930.644
235,82.576746,388.537,931.001
236,82.50768,389.267,931.356
237,82.438686,389.997,931.709
238,82.369728,390.726,932.06
239,82.300842,391.455,932.408
240,82.23201,392.183,932.754
241,82.163214,392.911,933.098
242,82.09449,393.638,933.44
243,82.025802,394.365,933.779
244,81.957186,395.091,934.117
245,81.888606,395.816,934.452
246,81.82008,396.541,934.785
247,81.75159,397.266,935.116
248,81.683154,397.989,935.445
249,81.614772,398.712,935.773
250,81.546426,399.434,936.098
251,81.478116,400.156,936.421
252,81.40986,400.877,936.742
253,81.34164,401.597,937.061
254,81.273474,402.316,937.379
255,81.205326,403.034,937.694
256,81.137232,403.752,938.008
257,81.069174,404.469,938.32
258,81.001134,405.185,938.63
259,80.933148,405.9,938.938
260,80.865198,406.614,939.244
261,80.797266,407.327,939.549
262,80.72937,408.04,939.852
263,80.66151,408.751,940.153
264,80.593686,409.461,940.453
265,80.52588,410.171,940.751
266,80.45811,410.879,941.047
267,80.390358,411.587,941.341
268,80.322642,412.293,941.634
269,80.254944,412.999,941.925
270,80.187264,413.703,942.215
271,80.11962,414.407,942.503
272,80.051994,415.109,942.789
273,79.984404,415.81,943.074
274,79.916814,416.51,943.358
275,79.84926,417.209,943.64
276,79.781706,417.907,943.92
277,79.714188,418.603,944.199
278,79.64667,419.299,944.476
279,79.57917,419.993,944.752
280,79.511688,420.686,945.027
281,79.444224,421.377,945.3
282,79.376778,422.068,945.572
283,79.309332,422.757,945.842
284,79.241904,423.445,946.111
285,79.174494,424.132,946.378
286,79.107084,424.817,946.644
287,79.039674,425.502,946.909
288,78.972282,426.184,947.173
289,78.904908,426.866,947.435
290,78.837516,427.546,947.696
291,78.770142,428.225,947.955
292,78.702768,428.902,948.213
293,78.635412,429.578,948.47
294,78.568038,430.253,948.726
295,78.500682,430.926,948.98
296,78.433308,431.597,949.234
297,78.365952,432.268,949.486
298,78.298578,432.936,949.736
299,78.231204,433.604,949.986
300,78.163848,434.27,950.234
301,78.096474,434.934,950.481
302,78.029082,435.597,950.727
303,77.961708,436.258,950.972
304,77.894316,436.918,951.216
305,77.826906,437.576,951.459
306,77.759514,438.233,951.7
307,77.692086,438.888,951.94
308,77.624676,439.541,952.179
309,77.55723,440.193,952.418
310,77.489784,440.843,952.654
311,77.42232,441.492,952.89
312,77.354856,442.139,953.125
313,77.287374,442.784,953.359
314,77.219874,443.428,953.592
315,77.152356,444.07,953.823
316,77.08482,444.71,954.054
317,77.017266,445.349,954.284
318,76.949694,445.986,954.512
319,76.882104,446.621,954.74
320,76.814514,447.254,954.967
321,76.746888,447.886,955.192
322,76.679226,448.515,955.417
323,76.611564,449.143,955.64
324,76.543866,449.77,955.863
325,76.47615,450.394,956.085
326,76.408416,451.017,956.306
327,76.340646,451.638,956.525
328,76.272858,452.257,956.744
329,76.205034,452.874,956.962
330,76.137192,453.489,957.179
331,76.069314,454.102,957.396
332,76.001418,454.714,957.611
333,75.933486,455.323,957.825
334,75.865518,455.931,958.039
335,75.797532,456.536,958.251
336,75.729492,457.14,958.463
337,75.661434,457.742,958.674
338,75.593358,458.341,958.884
339,75.525228,458.939,959.093
340,75.457062,459.535,959.301
341,75.38886,460.129,959.509
342,75.32064,460.721,959.715
343,75.252366,461.31,959.921
344,75.184056,461.898,960.126
345,75.11571,462.484,960.33
346,75.047328,463.067,960.534
347,74.97891,463.649,960.736
348,74.910438,464.228,960.938
349,74.84193,464.805,961.139
350,74.773386,465.38,961.339
351,74.704788,465.953,961.539
352,74.636172,466.524,961.738
353,74.567484,467.093,961.935
354,74.49876,467.659,962.133
355,74.43,468.224,962.329
356,74.361186,468.786,962.525
357,74.292336,469.346,962.72
358,74.223432,469.904,962.914
359,74.154474,470.459,963.107
360,74.08548,471.012,963.3
361,74.016432,471.563,963.492
362,73.94733,472.112,963.684
363,73.878192,472.659,963.874
364,73.808982,473.203,964.064
365,73.739736,473.745,964.253
366,73.670436,474.284,964.442
367,73.601082,474.821,964.63
368,73.531692,475.356,964.817
369,73.46223,475.889,965.004
370,73.392714,476.419,965.19
371,73.323162,476.947,965.375
372,73.253538,477.473,965.559
373,73.183878,477.996,965.743
374,73.114146,478.516,965.927
375,73.04436,479.035,966.109
376,72.97452,479.551,966.291
377,72.904626,480.064,966.473
378,72.834678,480.575,966.653
379,72.764676,481.084,966.834
380,72.694602,481.59,967.013
381,72.624474,482.094,967.192
382,72.554292,482.595,967.37
383,72.484056,483.094,967.548
384,72.413748,483.59,967.725
385,72.343386,484.084,967.902
386,72.27297,484.575,968.078
387,72.2025,485.064,968.253
388,72.131958,485.55,968.428
389,72.061362,486.034,968.602
390,71.990694,486.515,968.776
391,71.919972,486.994,968.949
392,71.849196,487.47,969.122
393,71.778366,487.944,969.294
394,71.707446,488.415,969.465
395,71.63649,488.883,969.636
396,71.565462,489.349,969.806
397,71.49438,489.812,969.976
398,71.423226,490.273,970.145
399,71.352018,490.731,970.314
400,71.280738,491.187,970.482
401,71.209404,491.64,970.65
402,71.138016,492.09,970.817
403,71.066556,492.538,970.984
404,70.995024,492.983,971.15
405,70.923456,493.425,971.316
406,70.851798,493.865,971.481
407,70.780104,494.303,971.646
408,70.70832,494.737,971.81
409,70.6365,495.169,971.974
410,70.564608,495.599,972.137
411,70.492644,496.026,972.3
412,70.420644,496.45,972.462
413,70.348554,496.871,972.624
414,70.276428,497.29,972.785
415,70.20423,497.707,972.946
416,70.131978,498.12,973.107
417,70.059654,498.531,973.267
418,69.987276,498.94,973.426
419,69.914844,499.345,973.585
420,69.84234,499.749,973.744
421,69.769782,500.149,973.902
422,69.69717,500.547,974.06
423,69.624486,500.942,974.217
424,69.551766,501.335,974.374
425,69.478974,501.725,974.53
426,69.406128,502.113,974.687
427,69.333228,502.498,974.842
428,69.260256,502.88,974.997
429,69.187248,503.26,975.152
430,69.114168,503.637,975.307
431,69.041052,504.011,975.461
432,68.967864,504.383,975.614
433,68.89464,504.753,975.767
434,68.821344,505.12,975.92
435,68.748012,505.484,976.073
436,68.674608,505.846,976.225
437,68.601168,506.205,976.376
438,68.527674,506.562,976.527
439,68.454126,506.916,976.678
440,68.380542,507.268,976.829
441,68.306886,507.617,976.979
442,68.233194,507.963,977.128
443,68.159466,508.308,977.278
444,68.085666,508.649,977.427
445,68.01183,508.989,977.575
446,67.937958,509.325,977.724
447,67.864032,509.66,977.872
448,67.79007,509.992,978.019
449,67.716054,510.321,978.166
450,67.642002,510.648,978.313
451,67.567914,510.973,978.46
452,67.493772,511.296,978.606
453,67.419594,511.616,978.751
454,67.34538,511.933,978.897
455,67.27113,512.248,979.042
456,67.196844,512.561,979.187
457,67.122522,512.872,979.331
458,67.048164,513.18,979.475
459,66.97377,513.487,979.619
460,66.89934,513.79,979.762
461,66.824874,514.092,979.906
462,66.750372,514.391,980.048
463,66.675852,514.688,980.191
464,66.601296,514.983,980.333
465,66.526722,515.276,980.475
466,66.452094,515.567,980.616
467,66.377466,515.855,980.757
468,66.302802,516.141,980.898
469,66.228102,516.426,981.039
470,66.153402,516.708,981.179
471,66.078648,516.988,981.319
472,66.003894,517.266,981.459
473,65.929122,517.541,981.598
474,65.854314,517.815,981.737
475,65.779506,518.087,981.876
476,65.704662,518.357,982.014
477,65.6298,518.625,982.152
478,65.554938,518.891,982.29
479,65.480058,519.155,982.427
480,65.40516,519.417,982.565
481,65.330244,519.677,982.702
482,65.25531,519.935,982.838
483,65.180376,520.192,982.975
484,65.105442,520.446,983.111
485,65.03049,520.699,983.246
486,64.95552,520.95,983.382
487,64.88055,521.199,983.517
488,64.80558,521.447,983.652
489,64.73061,521.692,983.787
490,64.655622,521.936,983.921
491,64.580652,522.179,984.055
492,64.505664,522.419,984.189
493,64.430676,522.658,984.322
494,64.355688,522.896,984.455
495,64.2807,523.131,984.588
496,64.20573,523.365,984.721
497,64.13076,523.598,984.853
498,64.05579,523.829,984.985
499,63.98082,524.058,985.117
500,63.90585,524.286,985.249
501,63.830916,524.512,985.38
502,63.755964,524.737,985.511
503,63.68103,524.961,985.642
504,63.606114,525.182,985.772
505,63.531198,525.403,985.902
506,63.4563,525.622,986.032
507,63.38142,525.84,986.162
508,63.306558,526.056,986.291
509,63.231696,526.271,986.421
510,63.15687,526.485,986.549
511,63.082044,526.697,986.678
512,63.007254,526.909,986.806
513,62.932464,527.118,986.934
514,62.85771,527.327,987.062
515,62.782974,527.534,987.19
516,62.708256,527.741,987.317
517,62.633556,527.946,987.444
518,62.558892,528.149,987.571
519,62.484246,528.352,987.697
520,62.409618,528.554,987.823
521,62.335026,528.754,987.949
522,62.26047,528.953,988.075
523,62.185932,529.151,988.2
524,62.11143,529.349,988.326
525,62.036946,529.545,988.45
526,61.962498,529.74,988.575
527,61.888086,529.934,988.7
528,61.81371,530.127,988.824
529,61.739352,530.319,988.948
530,61.665048,530.51,989.071
531,61.590762,530.7,989.195
532,61.516512,530.89,989.318
533,61.442316,531.078,989.44
534,61.368138,531.265,989.563
535,61.294014,531.452,989.685
536,61.219908,531.638,989.807
537,61.145856,531.822,989.929
538,61.07184,532.007,990.051
539,60.997878,532.19,990.172
540,60.923952,532.372,990.293
541,60.850062,532.554,990.414
542,60.776208,532.735,990.535
543,60.702408,532.915,990.655
544,60.628644,533.094,990.775
545,60.554934,533.273,990.895
546,60.48126,533.451,991.014
547,60.40764,533.628,991.133
548,60.334074,533.805,991.253
549,60.260544,533.981,991.371
550,60.187068,534.156,991.49
551,60.113628,534.33,991.608
552,60.040242,534.504,991.726
553,59.96691,534.678,991.844
554,59.893632,534.851,991.961
555,59.820408,535.023,992.079
556,59.74722,535.194,992.196
557,59.674104,535.366,992.312
558,59.601024,535.536,992.429
559,59.527998,535.706,992.545
560,59.455044,535.876,992.661
561,59.382126,536.044,992.777
562,59.309262,536.213,992.893
563,59.236452,536.381,993.008
564,59.163714,536.548,993.123
565,59.091012,536.715,993.238
566,59.018382,536.882,993.352
567,58.945806,537.048,993.467
568,58.873284,537.214,993.581
569,58.800816,537.379,993.695
570,58.728402,537.544,993.808
571,58.65606,537.708,993.921
572,58.583772,537.872,994.034
573,58.511538,538.036,994.147
574,58.439376,538.199,994.26
575,58.367268,538.362,994.372
576,58.295214,538.525,994.484
577,58.223232,538.687,994.596
578,58.151304,538.849,994.708
579,58.07943,539.011,994.819
580,58.007628,539.172,994.93
581,57.935898,539.333,995.041
582,57.864222,539.493,995.152
583,57.7926,539.654,995.262
584,57.72105,539.814,995.373
585,57.649554,539.974,995.482
586,57.57813,540.133,995.592
587,57.506778,540.293,995.702
588,57.43548,540.452,995.811
589,57.364254,540.61,995.92
590,57.293082,540.769,996.029
591,57.221982,540.927,996.137
592,57.150936,541.085,996.245
593,57.07998,541.243,996.353
594,57.009078,541.401,996.461
