Time (s),m (g),T Back (K),T Top (K)
0,99.881964,293,293
1,99.881964,293,303.139
2,99.881928,293,308.767
3,99.881892,293,313.242
4,99.881856,292.999,317.071
5,99.88182,292.999,320.47
6,99.881784,292.999,323.555
7,99.88173,292.999,326.398
8,99.881694,292.999,329.046
9,99.881658,292.999,331.533
10,99.881604,292.999,333.884
11,99.881568,292.998,336.119
12,99.881514,292.998,338.252
13,99.881478,292.998,340.294
14,99.881424,292.998,342.257
15,99.881388,292.998,344.148
16,99.881334,292.998,345.974
17,99.88128,292.998,347.741
18,99.881226,292.997,349.453
19,99.88119,292.997,351.115
20,99.881136,292.997,352.731
21,99.881082,292.997,354.305
22,99.881028,292.997,355.838
23,99.880974,292.997,357.333
24,99.880902,292.997,358.794
25,99.880848,292.996,360.222
26,99.880794,292.996,361.618
27,99.880722,292.996,362.985
28,99.880668,292.996,364.325
29,99.880596,292.996,365.638
30,99.880542,292.996,366.926
31,99.88047,292.996,368.19
32,99.880398,292.996,369.431
33,99.880344,292.997,370.65
34,99.880272,292.997,371.849
35,99.8802,292.997,373.028
36,99.880128,292.998,374.187
37,99.880038,292.998,375.329
38,99.879966,292.999,376.452
39,99.879894,293,377.559
40,99.879804,293.001,378.649
41,99.879732,293.003,379.724
42,99.879642,293.005,380.783
43,99.87957,293.007,381.828
44,99.87948,293.009,382.858
45,99.87939,293.012,383.875
46,99.8793,293.015,384.878
47,99.87921,293.019,385.869
48,99.87912,293.023,386.847
49,99.87903,293.028,387.813
50,99.878922,293.033,388.767
51,99.878832,293.039,389.709
52,99.878724,293.046,390.641
53,99.878634,293.053,391.561
54,99.878526,293.061,392.472
55,99.878418,293.07,393.372
56,99.87831,293.079,394.261
57,99.878202,293.09,395.142
58,99.878094,293.101,396.012
59,99.877968,293.113,396.874
60,99.87786,293.126,397.726
61,99.877752,293.14,398.57
62,99.877626,293.155,399.405
63,99.8775,293.172,400.232
64,99.877374,293.189,401.05
65,99.877248,293.207,401.861
66,99.877122,293.227,402.663
67,99.876996,293.248,403.458
68,99.87687,293.27,404.245
69,99.876726,293.294,405.025
70,99.8766,293.318,405.798
71,99.876456,293.344,406.564
72,99.876312,293.372,407.323
73,99.876168,293.4,408.075
74,99.876024,293.431,408.82
75,99.87588,293.462,409.559
76,99.875736,293.496,410.291
77,99.875574,293.53,411.017
78,99.87543,293.566,411.737
79,99.875268,293.604,412.451
80,99.875106,293.643,413.159
81,99.874944,293.684,413.861
82,99.874782,293.727,414.558
83,99.87462,293.771,415.248
84,99.87444,293.816,415.934
85,99.874278,293.864,416.613
86,99.874098,293.913,417.288
87,99.873918,293.964,417.957
88,99.873738,294.016,418.621
89,99.873558,294.07,419.28
90,99.873378,294.126,419.934
91,99.87318,294.184,420.582
92,99.873,294.243,421.226
93,99.872802,294.304,421.866
94,99.872604,294.367,422.5
95,99.872406,294.431,423.13
96,99.872208,294.498,423.755
97,99.871992,294.566,424.376
98,99.871794,294.636,424.993
99,99.871578,294.708,425.605
100,99.871362,294.781,426.212
101,99.871146,294.856,426.816
102,99.87093,294.934,427.415
103,99.870714,295.013,428.01
104,99.87048,295.093,428.601
105,99.870246,295.176,429.188
106,99.870012,295.26,429.771
107,99.869778,295.346,430.35
108,99.869544,295.434,430.926
109,99.86931,295.524,431.497
110,99.869058,295.616,432.065
111,99.868806,295.709,432.629
112,99.868554,295.804,433.189
113,99.868302,295.901,433.746
114,99.86805,296,434.299
115,99.867798,296.1,434.849
116,99.867528,296.203,435.395
117,99.867258,296.307,435.938
118,99.866988,296.413,436.477
119,99.866718,296.52,437.013
120,99.86643,296.63,437.546
121,99.866142,296.741,438.075
122,99.865872,296.854,438.601
123,99.865584,296.969,439.124
124,99.865278,297.085,439.644
125,99.86499,297.203,440.161
126,99.864684,297.323,440.674
127,99.864378,297.444,441.185
128,99.864072,297.568,441.692
129,99.863766,297.693,442.197
130,99.863442,297.819,442.698
131,99.863136,297.948,443.197
132,99.862812,298.078,443.693
133,99.86247,298.209,444.186
134,99.862146,298.343,444.676
135,99.861804,298.478,445.163
136,99.861462,298.614,445.648
137,99.86112,298.752,446.13
138,99.860778,298.892,446.609
139,99.860418,299.034,447.085
140,99.860076,299.177,447.559
141,99.859716,299.321,448.03
142,99.859338,299.468,448.498
143,99.858978,299.615,448.964
144,99.8586,299.765,449.428
145,99.858222,299.916,449.889
146,99.857844,300.068,450.347
147,99.857448,300.222,450.803
148,99.85707,300.378,451.257
149,99.856674,300.534,451.708
150,99.85626,300.693,452.156
151,99.855864,300.853,452.603
152,99.85545,301.014,453.047
153,99.855036,301.177,453.488
154,99.854622,301.341,453.928
155,99.85419,301.507,454.365
156,99.853758,301.674,454.8
157,99.853326,301.843,455.232
158,99.852876,302.013,455.663
159,99.852444,302.184,456.091
160,99.851994,302.357,456.517
161,99.851526,302.531,456.941
162,99.851076,302.707,457.362
163,99.850608,302.883,457.782
164,99.85014,303.062,458.2
165,99.849654,303.241,458.615
166,99.849186,303.422,459.028
167,99.8487,303.604,459.44
168,99.848196,303.787,459.849
169,99.84771,303.972,460.256
170,99.847206,304.158,460.662
171,99.846684,304.345,461.065
172,99.84618,304.534,461.466
173,99.845658,304.723,461.866
174,99.845136,304.914,462.263
175,99.844596,305.106,462.659
176,99.844056,305.3,463.053
177,99.843516,305.494,463.445
178,99.842958,305.69,463.835
179,99.842418,305.887,464.223
180,99.841842,306.085,464.609
181,99.841284,306.284,464.994
182,99.840708,306.484,465.377
183,99.840132,306.686,465.758
184,99.839538,306.888,466.137
185,99.838944,307.092,466.514
186,99.83835,307.297,466.89
187,99.837738,307.503,467.264
188,99.837126,307.71,467.637
189,99.836514,307.917,468.007
190,99.835884,308.127,468.376
191,99.835254,308.337,468.744
192,99.834606,308.548,469.11
193,99.833958,308.76,469.474
194,99.83331,308.973,469.836
195,99.832644,309.187,470.197
196,99.831978,309.402,470.556
197,99.831312,309.618,470.914
198,99.830628,309.835,471.27
199,99.829944,310.053,471.625
200,99.829242,310.272,471.978
201,99.82854,310.492,472.329
202,99.827838,310.713,472.679
203,99.827118,310.935,473.027
204,99.82638,311.158,473.374
205,99.82566,311.381,473.72
206,99.824922,311.606,474.064
207,99.824166,311.831,474.406
208,99.82341,312.057,474.747
209,99.822654,312.285,475.087
