Time (s),m (g),T Back (K),T Top (K)
0,33.293988,293,293
1,33.293988,293,309.489
2,33.293976,293,321.728
3,33.293964,293,332.249
4,33.293946,293.001,341.665
5,33.293928,293.009,350.277
6,33.293904,293.034,358.265
7,33.293886,293.092,365.747
8,33.293856,293.198,372.805
9,33.293826,293.37,379.503
10,33.293796,293.622,385.887
11,33.29376,293.963,391.995
12,33.293712,294.403,397.856
13,33.29367,294.948,403.495
14,33.293616,295.599,408.934
15,33.293556,296.359,414.189
16,33.29349,297.226,419.276
17,33.293418,298.2,424.208
18,33.293334,299.277,428.995
19,33.293244,300.456,433.649
20,33.293148,301.73,438.178
21,33.293034,303.098,442.59
22,33.292914,304.555,446.892
23,33.292782,306.096,451.091
24,33.292632,307.718,455.194
25,33.29247,309.415,459.204
26,33.29229,311.189,463.128
27,33.292092,313.031,466.968
28,33.29187,314.936,470.731
29,33.29163,316.902,474.42
30,33.29136,318.923,478.04
31,33.29106,320.997,481.593
32,33.29073,323.121,485.084
33,33.290364,325.291,488.514
34,33.289956,327.505,491.887
35,33.2895,329.759,495.206
36,33.289002,332.051,498.472
37,33.288444,334.378,501.688
38,33.287826,336.738,504.857
39,33.287136,339.129,507.979
40,33.286374,341.549,511.057
41,33.285528,343.995,514.093
42,33.284586,346.465,517.087
43,33.283542,348.958,520.042
44,33.28239,351.472,522.958
45,33.281106,354.005,525.838
46,33.279684,356.556,528.681
47,33.278118,359.123,531.489
48,33.276378,361.705,534.262
49,33.274458,364.3,537.003
50,33.27234,366.907,539.71
51,33.270006,369.526,542.385
52,33.267432,372.154,545.029
53,33.264606,374.79,547.641
54,33.261498,377.435,550.223
55,33.25809,380.085,552.774
56,33.254358,382.742,555.295
57,33.250266,385.403,557.786
58,33.245802,388.067,560.247
59,33.24093,390.735,562.678
60,33.23562,393.405,565.079
61,33.229848,396.076,567.451
62,33.223578,398.748,569.793
63,33.216774,401.419,572.105
64,33.209412,404.089,574.388
65,33.201456,406.758,576.64
66,33.19287,409.424,578.863
67,33.183618,412.087,581.056
68,33.17367,414.746,583.219
69,33.162996,417.401,585.351
70,33.151548,420.05,587.454
71,33.139308,422.694,589.526
72,33.126234,425.331,591.569
73,33.112296,427.961,593.581
74,33.097464,430.583,595.564
75,33.081708,433.197,597.517
76,33.065004,435.801,599.441
77,33.047316,438.396,601.335
78,33.02862,440.98,603.201
79,33.008904,443.553,605.039
80,32.988126,446.114,606.848
81,32.966286,448.663,608.63
82,32.943354,451.198,610.384
83,32.919312,453.72,612.113
84,32.894154,456.226,613.815
85,32.867862,458.718,615.492
86,32.840418,461.193,617.145
87,32.811822,463.652,618.774
88,32.782056,466.093,620.379
89,32.75112,468.516,621.962
90,32.719008,470.92,623.523
91,32.685702,473.304,625.063
92,32.651208,475.669,626.582
93,32.61552,478.012,628.081
94,32.578626,480.333,629.56
95,32.540532,482.632,631.021
96,32.501226,484.908,632.463
97,32.460708,487.161,633.887
98,32.418966,489.388,635.294
99,32.376006,491.591,636.683
100,32.331822,493.768,638.056
101,32.286402,495.919,639.411
102,32.23974,498.042,640.751
103,32.191836,500.138,642.074
104,32.142678,502.205,643.38
105,32.092266,504.244,644.671
106,32.040588,506.253,645.946
107,31.987644,508.233,647.204
108,31.933416,510.182,648.447
109,31.877904,512.1,649.673
110,31.821102,513.986,650.883
111,31.763004,515.841,652.077
112,31.70361,517.664,653.255
113,31.642908,519.454,654.416
114,31.580898,521.211,655.561
115,31.51758,522.936,656.69
116,31.452948,524.627,657.802
117,31.387014,526.284,658.898
118,31.319772,527.908,659.977
119,31.251234,529.497,661.04
120,31.1814,531.054,662.087
121,31.110282,532.576,663.118
122,31.037886,534.065,664.132
123,30.964236,535.52,665.131
124,30.889332,536.941,666.115
125,30.813204,538.329,667.083
126,30.735858,539.685,668.036
127,30.65733,541.008,668.974
128,30.577632,542.298,669.898
129,30.496788,543.557,670.807
130,30.414828,544.785,671.703
131,30.331776,545.982,672.585
132,30.247668,547.148,673.454
133,30.162534,548.286,674.31
134,30.076398,549.394,675.154
135,29.989296,550.474,675.987
136,29.90127,551.527,676.807
137,29.812344,552.553,677.617
138,29.722554,553.554,678.417
139,29.631942,554.529,679.206
140,29.540544,555.48,679.985
141,29.44839,556.408,680.756
142,29.355522,557.313,681.517
143,29.261976,558.196,682.27
144,29.167782,559.059,683.015
145,29.072982,559.902,683.753
146,28.977612,560.725,684.483
147,28.881702,561.531,685.207
148,28.785288,562.319,685.924
149,28.688406,563.09,686.636
150,28.591086,563.846,687.341
151,28.493364,564.587,688.042
152,28.39527,565.313,688.737
153,28.296834,566.026,689.428
154,28.198086,566.727,690.115
155,28.09905,567.416,690.797
156,27.999762,568.093,691.476
157,27.900246,568.76,692.152
158,27.800532,569.417,692.824
159,27.700632,570.065,693.494
160,27.600588,570.704,694.161
161,27.500406,571.335,694.826
162,27.400122,571.958,695.488
163,27.299748,572.575,696.149
164,27.199308,573.185,696.808
165,27.09882,573.789,697.465
166,26.998308,574.387,698.121
167,26.897778,574.981,698.776
168,26.79726,575.569,699.43
169,26.69676,576.153,700.084
170,26.596302,576.734,700.736
171,26.495892,577.31,701.388
172,26.395548,577.883,702.04
173,26.295282,578.454,702.691
174,26.195106,579.021,703.342
175,26.095032,579.586,703.992
176,25.995072,580.149,704.643
177,25.895232,580.71,705.294
178,25.79553,581.269,705.945
179,25.695966,581.827,706.596
180,25.596552,582.383,707.247
181,25.497294,582.938,707.898
182,25.398204,583.491,708.549
183,25.299282,584.044,709.201
184,25.20054,584.596,709.853
185,25.101984,585.147,710.506
186,25.00362,585.698,711.158
187,24.905448,586.248,711.811
188,24.807474,586.797,712.464
189,24.70971,587.347,713.118
190,24.61215,587.895,713.772
191,24.5148,588.444,714.426
192,24.41766,588.992,715.08
193,24.320742,589.54,715.734
194,24.224046,590.087,716.389
195,24.127566,590.634,717.043
196,24.031314,591.181,717.698
197,23.935284,591.728,718.353
198,23.839476,592.274,719.007
199,23.743902,592.82,719.662
200,23.64855,593.365,720.316
201,23.553426,593.91,720.97
202,23.458536,594.455,721.624
203,23.363868,594.999,722.278
204,23.269434,595.542,722.931
205,23.175222,596.084,723.584
206,23.081244,596.626,724.236
207,22.987488,597.167,724.887
208,22.89396,597.707,725.538
209,22.800654,598.246,726.189
210,22.70757,598.784,726.838
211,22.614714,599.32,727.487
212,22.522074,599.855,728.135
213,22.429656,600.389,728.781
214,22.337454,600.921,729.427
215,22.245474,601.452,730.072
216,22.153704,601.981,730.715
217,22.062144,602.508,731.357
218,21.9708,603.033,731.998
219,21.879666,603.555,732.637
220,21.788736,604.076,733.275
221,21.69801,604.594,733.912
222,21.607494,605.11,734.547
223,21.517176,605.624,735.18
224,21.427056,606.134,735.811
225,21.33714,606.642,736.441
226,21.247416,607.148,737.069
227,21.15789,607.65,737.696
228,21.068562,608.15,738.32
229,20.97942,608.646,738.942
230,20.890476,609.139,739.563
231,20.801718,609.629,740.181
232,20.713146,610.116,740.798
233,20.624766,610.6,741.412
234,20.536572,611.08,742.024
235,20.448564,611.557,742.634
236,20.360742,612.03,743.242
237,20.273106,612.5,743.847
238,20.185656,612.966,744.45
239,20.098386,613.429,745.051
240,20.011308,613.889,745.65
241,19.92441,614.345,746.246
242,19.837698,614.798,746.84
243,19.751166,615.247,747.433
244,19.664826,615.693,748.023
245,19.578666,616.135,748.612
246,19.492692,616.574,749.198
247,19.40691,617.01,749.781
248,19.321314,617.443,750.361
249,19.23591,617.872,750.94
250,19.150692,618.299,751.515
251,19.065672,618.723,752.088
252,18.980838,619.144,752.658
253,18.896202,619.562,753.226
254,18.811764,619.978,753.791
255,18.727524,620.392,754.354
256,18.643482,620.803,754.915
257,18.559644,621.212,755.473
258,18.47601,621.618,756.028
259,18.39258,622.023,756.581
260,18.309354,622.426,757.132
261,18.226344,622.827,757.68
262,18.143538,623.227,758.226
263,18.060948,623.625,758.769
264,17.978574,624.022,759.311
265,17.896422,624.417,759.85
266,17.814486,624.812,760.386
267,17.732772,625.206,760.921
268,17.65128,625.599,761.453
269,17.57001,625.991,761.983
270,17.488974,626.383,762.511
271,17.408166,626.775,763.036
272,17.327592,627.166,763.56
273,17.247246,627.557,764.081
274,17.16714,627.949,764.601
275,17.087274,628.341,765.118
276,17.007642,628.733,765.633
277,16.928256,629.125,766.147
278,16.84911,629.519,766.658
279,16.77021,629.913,767.168
280,16.691556,630.308,767.675
281,16.613148,630.704,768.181
282,16.534998,631.101,768.685
283,16.457094,631.499,769.188
284,16.379442,631.899,769.688
285,16.302048,632.3,770.187
286,16.224912,632.703,770.684
287,16.148034,633.108,771.18
288,16.07142,633.514,771.674
289,15.995064,633.923,772.166
290,15.918966,634.333,772.657
291,15.843138,634.746,773.146
292,15.767574,635.161,773.634
293,15.69228,635.579,774.121
294,15.617256,635.999,774.606
295,15.542496,636.421,775.09
296,15.468012,636.847,775.572
297,15.393804,637.275,776.053
298,15.319866,637.706,776.533
299,15.246204,638.14,777.012
300,15.172818,638.577,777.49
301,15.099714,639.017,777.966
302,15.026892,639.461,778.441
303,14.954346,639.908,778.916
304,14.882082,640.358,779.389
305,14.810106,640.813,779.861
306,14.738418,641.27,780.333
307,14.667012,641.732,780.803
308,14.5959,642.198,781.273
309,14.525076,642.667,781.742
310,14.45454,643.141,782.21
311,14.384304,643.619,782.677
312,14.314356,644.101,783.144
313,14.244708,644.588,783.61
314,14.17536,645.079,784.075
315,14.106306,645.575,784.54
316,14.037558,646.076,785.004
317,13.96911,646.581,785.467
318,13.900968,647.092,785.931
319,13.833132,647.608,786.393
320,13.765608,648.129,786.856
321,13.69839,648.655,787.318
322,13.63149,649.187,787.779
323,13.564896,649.724,788.241
324,13.498626,650.267,788.702
325,13.432668,650.817,789.163
326,13.36704,651.372,789.624
327,13.301724,651.933,790.084
328,13.236738,652.501,790.545
329,13.172082,653.075,791.006
330,13.107756,653.656,791.467
331,13.04376,654.243,791.927
332,12.9801,654.838,792.388
333,12.916776,655.44,792.849
334,12.853794,656.049,793.311
335,12.79116,656.666,793.772
336,12.728868,657.291,794.234
337,12.666924,657.923,794.697
338,12.605334,658.564,795.16
339,12.544098,659.213,795.623
340,12.483222,659.87,796.087
341,12.422706,660.537,796.551
342,12.362562,661.212,797.017
343,12.302784,661.897,797.483
344,12.243378,662.592,797.949
345,12.18435,663.296,798.417
346,12.1257,664.01,798.885
347,12.06744,664.735,799.355
348,12.009564,665.471,799.825
349,11.952084,666.217,800.297
350,11.895,666.975,800.77
351,11.838324,667.745,801.244
352,11.78205,668.526,801.719
353,11.72619,669.32,802.196
354,11.67075,670.127,802.675
355,11.61573,670.947,803.155
356,11.561136,671.78,803.636
357,11.50698,672.627,804.12
358,11.453262,673.489,804.605
359,11.399994,674.366,805.092
360,11.34717,675.258,805.581
361,11.294814,676.166,806.072
362,11.242914,677.09,806.566
363,11.191494,678.031,807.062
364,11.140548,678.989,807.56
365,11.090094,679.966,808.061
366,11.040126,680.961,808.564
367,10.990668,681.976,809.071
368,10.94172,683.01,809.58
369,10.893288,684.065,810.092
370,10.845384,685.142,810.607
371,10.798014,686.24,811.126
372,10.751196,687.362,811.648
373,10.70493,688.507,812.173
374,10.659228,689.677,812.702
375,10.614108,690.872,813.236
376,10.56957,692.093,813.773
377,10.525632,693.342,814.314
378,10.4823,694.618,814.86
379,10.439592,695.924,815.41
380,10.397514,697.261,815.965
381,10.356084,698.628,816.525
382,10.315314,700.029,817.09
383,10.27521,701.462,817.66
384,10.23579,702.931,818.235
385,10.197066,704.435,818.817
386,10.159062,705.977,819.404
387,10.121778,707.557,819.997
388,10.085232,709.176,820.597
389,10.049442,710.836,821.204
390,10.01442,712.539,821.817
391,9.980178,714.284,822.437
392,9.946734,716.074,823.064
393,9.9141,717.909,823.699
394,9.882294,719.79,824.342
395,9.851322,721.719,824.993
396,9.821196,723.695,825.651
397,9.791934,725.719,826.319
398,9.763536,727.793,826.995
399,9.73602,729.914,827.68
400,9.70938,732.085,828.374
401,9.683634,734.302,829.077
402,9.658776,736.567,829.789
403,9.6348,738.876,830.511
404,9.611706,741.228,831.243
405,9.589482,743.62,831.984
406,9.568122,746.048,832.734
407,9.547596,748.509,833.494
408,9.527892,750.998,834.264
409,9.508968,753.508,835.042
410,9.490806,756.035,835.829
411,9.473358,758.571,836.625
412,9.456582,761.109,837.428
413,9.44043,763.641,838.238
414,9.424848,766.16,839.055
415,9.409788,768.656,839.877
416,9.39519,771.124,840.704
417,9.380994,773.554,841.534
418,9.367146,775.941,842.366
419,9.353586,778.278,843.2
420,9.340272,780.561,844.033
421,9.32715,782.785,844.863
422,9.314172,784.947,845.691
423,9.301308,787.045,846.514
424,9.288516,789.079,847.33
425,9.275766,791.047,848.139
426,9.263046,792.951,848.939
427,9.250326,794.792,849.728
428,9.2376,796.571,850.506
429,9.22485,798.291,851.272
430,9.212064,799.953,852.024
431,9.199248,801.56,852.761
432,9.186396,803.114,853.484
433,9.173502,804.618,854.191
434,9.16056,806.074,854.882
435,9.147582,807.483,855.557
436,9.134562,808.848,856.215
437,9.121506,810.17,856.858
438,9.108408,811.452,857.483
439,9.095274,812.695,858.092
440,9.082104,813.9,858.685
441,9.068904,815.068,859.261
442,9.055674,816.202,859.822
443,9.042414,817.302,860.367
444,9.029124,818.369,860.897
445,9.015816,819.405,861.412
446,9.002484,820.411,861.911
447,8.989128,821.387,862.397
448,8.975748,822.335,862.869
449,8.962356,823.255,863.326
450,8.948946,824.148,863.771
451,8.935524,825.015,864.203
452,8.922084,825.857,864.622
453,8.908638,826.675,865.029
454,8.89518,827.47,865.424
455,8.88171,828.241,865.807
456,8.868234,828.99,866.18
457,8.854752,829.718,866.541
458,8.841264,830.425,866.892
459,8.827776,831.112,867.233
460,8.814282,831.779,867.564
461,8.800788,832.427,867.886
462,8.787294,833.057,868.198
463,8.7738,833.669,868.501
464,8.760312,834.263,868.795
465,8.746824,834.841,869.082
466,8.733336,835.403,869.36
467,8.71986,835.949,869.63
468,8.706384,836.48,869.892
469,8.69292,836.995,870.147
470,8.679456,837.497,870.395
471,8.66601,837.985,870.636
472,8.652564,838.459,870.87
473,8.639136,838.92,871.098
474,8.625714,839.369,871.32
475,8.612304,839.805,871.535
476,8.598906,840.229,871.745
477,8.58552,840.642,871.949
478,8.572152,841.044,872.147
479,8.558796,841.435,872.34
480,8.545452,841.816,872.528
481,8.532126,842.187,872.711
482,8.518812,842.548,872.889
483,8.505522,842.899,873.063
484,8.492244,843.241,873.232
485,8.478978,843.575,873.396
486,8.465736,843.899,873.557
487,8.452512,844.216,873.713
488,8.439306,844.524,873.865
489,8.426118,844.825,874.014
490,8.412954,845.118,874.159
491,8.399808,845.404,874.3
492,8.38668,845.683,874.438
493,8.37357,845.955,874.572
494,8.36049,846.22,874.704
495,8.347422,846.479,874.832
496,8.334378,846.732,874.957
497,8.321358,846.979,875.079
498,8.308362,847.22,875.198
499,8.29539,847.455,875.315
500,8.282436,847.685,875.429
501,8.269506,847.91,875.54
502,8.2566,848.13,875.649
503,8.243718,848.344,875.756
504,8.230854,848.554,875.86
505,8.21802,848.76,875.962
506,8.20521,848.961,876.062
507,8.192424,849.157,876.16
