Time (s),m (g),T Back (K),T Top (K)
0,33.293988,293,293
1,33.293988,293,298.497
2,33.293976,293,302.578
3,33.293964,293,306.088
4,33.293952,293,309.233
5,33.293934,293.002,312.111
6,33.293922,293.011,314.784
7,33.29391,293.03,317.29
8,33.293892,293.065,319.657
9,33.29388,293.123,321.907
10,33.293862,293.206,324.055
11,33.293844,293.32,326.113
12,33.293826,293.467,328.091
13,33.293808,293.648,329.998
14,33.29379,293.866,331.841
15,33.293772,294.119,333.625
16,33.293748,294.409,335.355
17,33.29373,294.734,337.036
18,33.293706,295.094,338.672
19,33.293682,295.488,340.266
20,33.293664,295.915,341.821
21,33.293634,296.372,343.339
22,33.29361,296.86,344.823
23,33.293586,297.376,346.276
24,33.293556,297.919,347.698
25,33.293532,298.489,349.093
26,33.293502,299.082,350.461
27,33.293472,299.701,351.805
28,33.293442,300.341,353.125
29,33.293406,301.002,354.422
30,33.293376,301.682,355.7
31,33.29334,302.38,356.957
32,33.293304,303.096,358.197
33,33.293268,303.828,359.419
34,33.293232,304.575,360.624
35,33.29319,305.336,361.814
36,33.293154,306.111,362.99
37,33.293112,306.899,364.151
38,33.29307,307.698,365.3
39,33.293022,308.509,366.435
40,33.29298,309.33,367.559
41,33.292932,310.161,368.672
42,33.292884,311.001,369.774
43,33.292836,311.85,370.867
44,33.292782,312.707,371.949
45,33.292728,313.572,373.022
46,33.292674,314.443,374.087
47,33.29262,315.322,375.144
48,33.292566,316.206,376.192
49,33.292506,317.096,377.233
50,33.292446,317.992,378.267
51,33.29238,318.893,379.295
52,33.29232,319.798,380.315
53,33.292254,320.708,381.33
54,33.292182,321.622,382.339
55,33.292116,322.539,383.342
56,33.292044,323.46,384.34
57,33.291972,324.384,385.332
58,33.291894,325.311,386.32
59,33.291816,326.241,387.303
60,33.291738,327.174,388.281
61,33.29166,328.108,389.255
62,33.291576,329.045,390.225
63,33.291492,329.984,391.19
64,33.291402,330.925,392.152
65,33.291312,331.867,393.11
66,33.291216,332.81,394.065
67,33.291126,333.755,395.016
68,33.29103,334.701,395.963
69,33.290928,335.649,396.908
70,33.290826,336.597,397.849
71,33.290718,337.545,398.787
72,33.290616,338.495,399.722
73,33.290502,339.445,400.655
74,33.290394,340.396,401.584
75,33.290274,341.346,402.511
76,33.29016,342.298,403.435
77,33.290034,343.249,404.356
78,33.289914,344.201,405.275
79,33.289788,345.152,406.192
80,33.289656,346.104,407.106
81,33.289524,347.056,408.017
82,33.289386,348.007,408.927
83,33.289248,348.958,409.834
84,33.289104,349.909,410.739
85,33.28896,350.86,411.641
86,33.28881,351.81,412.542
87,33.288654,352.76,413.44
88,33.288498,353.709,414.336
89,33.288342,354.658,415.23
90,33.288174,355.606,416.122
91,33.288006,356.554,417.013
92,33.287838,357.501,417.901
93,33.287664,358.448,418.787
94,33.287484,359.394,419.671
95,33.287298,360.339,420.553
96,33.287112,361.283,421.433
97,33.28692,362.226,422.312
98,33.286722,363.169,423.188
99,33.286524,364.111,424.063
100,33.28632,365.052,424.936
101,33.28611,365.992,425.807
102,33.285894,366.931,426.676
103,33.285672,367.869,427.543
104,33.28545,368.806,428.408
105,33.285222,369.742,429.272
106,33.284988,370.678,430.134
107,33.284748,371.612,430.994
108,33.284502,372.545,431.852
109,33.28425,373.477,432.708
110,33.283998,374.408,433.563
111,33.283734,375.338,434.415
112,33.28347,376.266,435.266
113,33.283194,377.194,436.115
114,33.282918,378.12,436.963
115,33.28263,379.046,437.808
116,33.282336,379.97,438.652
117,33.282042,380.893,439.494
118,33.281736,381.814,440.335
119,33.281424,382.735,441.173
120,33.281106,383.654,442.01
121,33.280782,384.572,442.845
122,33.280446,385.489,443.678
123,33.280104,386.404,444.509
124,33.279756,387.318,445.339
125,33.279402,388.231,446.166
126,33.279036,389.143,446.992
127,33.278664,390.053,447.816
128,33.278286,390.962,448.639
129,33.277896,391.87,449.459
130,33.2775,392.776,450.278
131,33.277092,393.681,451.095
132,33.276678,394.584,451.91
133,33.276252,395.486,452.723
134,33.275814,396.387,453.535
135,33.27537,397.286,454.344
136,33.27492,398.184,455.152
137,33.274452,399.081,455.958
138,33.273978,399.976,456.762
139,33.273492,400.869,457.564
140,33.272994,401.762,458.364
141,33.272484,402.652,459.163
142,33.271962,403.542,459.959
143,33.271428,404.429,460.754
144,33.270882,405.316,461.547
145,33.270324,406.2,462.338
146,33.269748,407.084,463.127
147,33.269166,407.965,463.914
148,33.268566,408.846,464.699
149,33.267954,409.724,465.483
150,33.267324,410.601,466.264
151,33.266682,411.477,467.044
152,33.266022,412.351,467.821
153,33.26535,413.224,468.597
154,33.26466,414.094,469.37
155,33.263958,414.964,470.142
156,33.263232,415.831,470.912
157,33.262488,416.697,471.679
158,33.261732,417.562,472.445
159,33.260952,418.425,473.209
160,33.26016,419.286,473.971
161,33.259344,420.145,474.73
162,33.258504,421.003,475.488
163,33.257652,421.859,476.244
164,33.256776,422.714,476.997
165,33.255876,423.567,477.749
166,33.254952,424.418,478.499
167,33.25401,425.267,479.246
168,33.253038,426.115,479.992
169,33.252048,426.961,480.735
170,33.251028,427.805,481.476
171,33.24999,428.647,482.215
172,33.248922,429.488,482.952
173,33.247824,430.327,483.687
174,33.246702,431.164,484.42
175,33.24555,431.999,485.151
176,33.244368,432.832,485.879
177,33.243156,433.664,486.606
178,33.241914,434.493,487.33
179,33.240642,435.321,488.052
180,33.239334,436.147,488.771
181,33.237996,436.971,489.489
182,33.236622,437.793,490.204
183,33.235212,438.614,490.917
184,33.233766,439.432,491.628
185,33.232284,440.248,492.337
186,33.23076,441.063,493.043
187,33.2292,441.875,493.747
188,33.227604,442.686,494.449
189,33.22596,443.494,495.148
190,33.224274,444.301,495.845
191,33.222546,445.105,496.54
192,33.220776,445.907,497.232
193,33.218958,446.708,497.923
194,33.217092,447.506,498.61
195,33.215178,448.302,499.295
196,33.213216,449.096,499.978
197,33.211206,449.888,500.659
198,33.209142,450.678,501.337
199,33.207018,451.465,502.012
200,33.204846,452.251,502.685
201,33.20262,453.034,503.356
202,33.200334,453.815,504.024
203,33.197988,454.593,504.69
204,33.195582,455.37,505.353
205,33.193116,456.144,506.013
206,33.190584,456.916,506.671
207,33.187986,457.685,507.327
208,33.185328,458.452,507.979
209,33.182598,459.217,508.63
210,33.179802,459.98,509.277
