Time (s),m (g),T Back (K),T Top (K)
0,99.881964,293,293
1,99.881964,293,323.407
2,99.881928,293,340.263
3,99.881892,293,353.644
4,99.881838,292.999,365.071
5,99.881802,292.999,375.191
6,99.881748,292.999,384.355
7,99.881694,292.999,392.778
8,99.881622,292.999,400.604
9,99.88155,292.999,407.933
10,99.881478,292.999,414.842
11,99.881388,292.998,421.388
12,99.881298,292.998,427.616
13,99.881208,292.998,433.563
14,99.8811,292.998,439.257
15,99.880974,292.998,444.724
16,99.88083,292.998,449.985
17,99.880686,292.998,455.056
18,99.880506,292.997,459.954
19,99.880326,292.997,464.69
20,99.88011,292.997,469.277
21,99.879894,292.997,473.724
22,99.879624,292.997,478.041
23,99.879336,292.997,482.235
24,99.879012,292.997,486.313
25,99.878652,292.997,490.283
26,99.878256,292.997,494.148
27,99.877788,292.997,497.915
28,99.877284,292.997,501.589
29,99.876726,292.997,505.173
30,99.876078,292.997,508.671
31,99.875358,292.998,512.087
32,99.874566,292.998,515.425
33,99.873666,292.999,518.686
34,99.872676,293,521.874
35,99.87156,293.002,524.991
36,99.870318,293.003,528.04
37,99.868932,293.006,531.023
38,99.867402,293.008,533.941
39,99.86571,293.012,536.796
40,99.86382,293.016,539.59
41,99.86175,293.021,542.325
42,99.859464,293.026,545.002
43,99.856944,293.033,547.623
44,99.85419,293.041,550.187
45,99.851166,293.049,552.698
46,99.847854,293.059,555.155
47,99.844254,293.071,557.56
48,99.84033,293.083,559.914
49,99.836082,293.098,562.217
50,99.831474,293.114,564.471
51,99.826488,293.132,566.676
52,99.821124,293.151,568.834
53,99.815328,293.173,570.945
54,99.809118,293.197,573.01
55,99.802476,293.223,575.03
56,99.795348,293.252,577.005
57,99.787752,293.283,578.937
58,99.77967,293.316,580.826
59,99.771084,293.353,582.673
60,99.761976,293.392,584.48
61,99.752328,293.434,586.246
62,99.74214,293.479,587.973
63,99.731412,293.528,589.662
64,99.720108,293.579,591.314
65,99.708246,293.634,592.93
66,99.695826,293.693,594.51
67,99.682812,293.755,596.056
68,99.669222,293.82,597.569
69,99.655056,293.89,599.05
70,99.640296,293.963,600.499
71,99.624978,294.04,601.919
72,99.609066,294.121,603.309
73,99.592578,294.206,604.671
74,99.575532,294.295,606.006
75,99.55791,294.389,607.315
76,99.53973,294.487,608.598
77,99.52101,294.589,609.858
78,99.501732,294.695,611.094
79,99.481914,294.806,612.308
80,99.461574,294.922,613.501
81,99.44073,295.042,614.672
82,99.419364,295.166,615.825
83,99.397494,295.296,616.958
84,99.375138,295.43,618.072
85,99.352314,295.568,619.17
86,99.329022,295.712,620.25
87,99.305244,295.86,621.314
88,99.281034,296.013,622.362
89,99.256392,296.171,623.396
90,99.231318,296.334,624.414
91,99.205812,296.502,625.418
92,99.179892,296.675,626.409
93,99.153576,296.852,627.386
94,99.126864,297.035,628.351
95,99.099774,297.223,629.302
96,99.072288,297.415,630.242
97,99.044424,297.613,631.169
98,99.016218,297.815,632.084
99,98.987634,298.023,632.988
100,98.95869,298.235,633.881
101,98.929404,298.452,634.762
102,98.899776,298.675,635.632
103,98.869806,298.902,636.491
104,98.839494,299.134,637.34
105,98.808858,299.372,638.178
106,98.77788,299.614,639.006
107,98.746578,299.861,639.823
108,98.71497,300.112,640.63
109,98.683038,300.369,641.427
110,98.650782,300.631,642.213
