time (s),Tp (K),m
0.0,300.0,5.0
1.0,300.1666666666667,4.999997572149024
2.0,300.33333333333337,4.999995129312579
3.0,300.50000000000006,4.999992671414943
4.0,300.66666666666674,4.999990198380106
5.0,300.8333333333334,4.999987710131766
6.0,301.0000000000001,4.999985206593331
7.0,301.1666666666668,4.999982687687919
8.0,301.3333333333335,4.999980153338354
9.0,301.50000000000017,4.999977603467171
10.0,301.66666666666686,4.999975037996608
11.0,301.83333333333354,4.999972456848611
12.0,302.0000000000002,4.99996985994483
13.0,302.1666666666669,4.999967247206621
14.0,302.3333333333336,4.999964618555045
15.0,302.5000000000003,4.999961973910863
16.0,302.66666666666697,4.999959313194541
17.0,302.83333333333366,4.999956636326246
18.0,303.00000000000034,4.999953943225846
19.0,303.166666666667,4.999951233812912
20.0,303.3333333333337,4.999948508006712
21.0,303.5000000000004,4.999945765726212
22.0,303.6666666666671,4.9999430068900805
23.0,303.83333333333377,4.999940231416681
24.0,304.00000000000045,4.999937439224074
25.0,304.16666666666714,4.999934630230018
26.0,304.3333333333338,4.999931804351965
27.0,304.5000000000005,4.999928961507063
28.0,304.6666666666672,4.999926101612155
29.0,304.8333333333339,4.999923224583776
30.0,305.00000000000057,4.9999203303381545
31.0,305.16666666666725,4.999917418791211
32.0,305.33333333333394,4.9999144898585595
33.0,305.5000000000006,4.9999115434555
34.0,305.6666666666673,4.999908579497027
35.0,305.833333333334,4.999905597897823
36.0,306.0000000000007,4.999902598572258
37.0,306.16666666666737,4.9998995814343905
38.0,306.33333333333405,4.999896546397967
39.0,306.50000000000074,4.999893493376421
40.0,306.6666666666674,4.999890422282867
41.0,306.8333333333341,4.999887333030113
42.0,307.0000000000008,4.999884225530645
43.0,307.1666666666675,4.9998810996966325
44.0,307.33333333333417,4.999877955439931
45.0,307.50000000000085,4.999874792672079
46.0,307.66666666666754,4.999871611304293
47.0,307.8333333333342,4.999868411247473
48.0,308.0000000000009,4.999865192412198
49.0,308.1666666666676,4.9998619547087255
50.0,308.3333333333343,4.999858698046993
51.0,308.50000000000097,4.999855422336618
52.0,308.66666666666765,4.999852127486891
53.0,308.83333333333434,4.999848813406783
54.0,309.000000000001,4.999845480004938
55.0,309.1666666666677,4.999842127189677
56.0,309.3333333333344,4.999838754868993
57.0,309.5000000000011,4.999835362950557
58.0,309.66666666666777,4.999831951341708
59.0,309.83333333333445,4.999828519949463
60.0,310.00000000000114,4.999825068680504
61.0,310.1666666666678,4.99982159744119
62.0,310.3333333333345,4.999818106137545
63.0,310.5000000000012,4.999814594675267
64.0,310.6666666666679,4.9998110629597186
65.0,310.83333333333456,4.999807510895934
66.0,311.00000000000125,4.999803938388611
67.0,311.16666666666794,4.999800345342119
68.0,311.3333333333346,4.999796731660487
69.0,311.5000000000013,4.999793097247413
70.0,311.666666666668,4.999789442006259
71.0,311.8333333333347,4.999785765840051
72.0,312.00000000000136,4.999782068651476
73.0,312.16666666666805,4.9997783503428845
74.0,312.33333333333474,4.999774610816289
75.0,312.5000000000014,4.999770849973361
76.0,312.6666666666681,4.999767067715433
77.0,312.8333333333348,4.999763263943498
78.0,313.0000000000015,4.999759438558205
79.0,313.16666666666816,4.999755591459863
80.0,313.33333333333485,4.999751722548437
81.0,313.50000000000153,4.999747831723549
82.0,313.6666666666682,4.999743918884477
83.0,313.8333333333349,4.99973998393015
84.0,314.0000000000016,4.999736026759156
85.0,314.1666666666683,4.999732047269736
86.0,314.33333333333496,4.99972804535978
87.0,314.50000000000165,4.999724020926834
88.0,314.66666666666833,4.999719973868092
89.0,314.833333333335,4.999715904080401
90.0,315.0000000000017,4.999711811460255
91.0,315.1666666666684,4.9997076959038
92.0,315.3333333333351,4.999703557306828
93.0,315.50000000000176,4.999699395564779
94.0,315.66666666666845,4.99969521057274
95.0,315.83333333333513,4.999691002225445
96.0,316.0000000000018,4.99968677041727
97.0,316.1666666666685,4.999682515042238
98.0,316.3333333333352,4.999678235994017
99.0,316.5000000000019,4.999673933165914
100.0,316.66666666666856,4.999669606450881
101.0,316.83333333333525,4.999665255741513
102.0,317.00000000000193,4.9996608809300405
103.0,317.1666666666686,4.999656481908339
104.0,317.3333333333353,4.9996520585679205
105.0,317.500000000002,4.999647610799937
106.0,317.6666666666687,4.999643138495176
107.0,317.83333333333536,4.999638641544064
