Time (s),m (g),T Back (K),T Top (K)
212,10.55106,728.633,970.609
213,10.479636,732.136,971.544
214,10.410624,735.845,972.492
215,10.344168,739.778,973.457
216,10.280412,743.956,974.438
217,10.2195,748.4,975.437
218,10.161594,753.133,976.457
219,10.10685,758.176,977.5
220,10.055442,763.552,978.567
221,10.007496,769.277,979.661
222,9.963138,775.36,980.784
223,9.92244,781.8,981.938
224,9.885408,788.578,983.126
225,9.851952,795.652,984.35
226,9.82185,802.954,985.612
227,9.794754,810.386,986.913
228,9.770196,817.829,988.254
229,9.747588,825.158,989.633
230,9.726342,832.258,991.05
231,9.705912,839.048,992.499
232,9.68586,845.486,993.976
233,9.66588,851.566,995.474
234,9.645798,857.31,996.985
235,9.625524,862.747,998.499
236,9.605022,867.91,1000.01
237,9.58428,872.827,1001.5
238,9.563316,877.521,1002.98
239,9.54213,882.01,1004.43
240,9.520734,886.309,1005.85
241,9.49914,890.431,1007.23
242,9.47736,894.386,1008.58
243,9.4554,898.184,1009.88
244,9.433278,901.831,1011.15
245,9.411006,905.337,1012.37
246,9.388578,908.706,1013.55
247,9.366024,911.947,1014.69
248,9.343338,915.063,1015.8
249,9.320532,918.061,1016.86
250,9.297624,920.945,1017.88
251,9.274608,923.72,1018.86
252,9.251508,926.39,1019.81
253,9.228318,928.96,1020.72
254,9.20505,931.434,1021.6
255,9.181722,933.815,1022.44
256,9.158322,936.106,1023.25
257,9.134874,938.312,1024.03
258,9.111372,940.436,1024.78
259,9.087834,942.481,1025.51
260,9.064254,944.449,1026.2
261,9.040644,946.345,1026.87
262,9.01701,948.17,1027.51
263,8.993358,949.928,1028.13
264,8.969694,951.621,1028.73
265,8.946018,953.252,1029.3
266,8.922336,954.823,1029.85
267,8.89866,956.336,1030.38
268,8.874984,957.794,1030.9
269,8.85132,959.2,1031.39
270,8.827662,960.554,1031.86
271,8.804028,961.86,1032.32
272,8.780412,963.118,1032.76
273,8.756814,964.332,1033.19
274,8.733246,965.503,1033.6
275,8.709714,966.632,1033.99
276,8.686206,967.721,1034.38
277,8.66274,968.772,1034.75
278,8.63931,969.787,1035.1
279,8.615922,970.766,1035.45
280,8.592582,971.712,1035.78
281,8.569278,972.626,1036.1
282,8.546028,973.509,1036.41
283,8.522832,974.362,1036.71
284,8.499684,975.186,1037
