Time (s),Mass (g),HRR (kW/m2)
0,102.14,0
1,102.16,0
2,102.15,0
3,102.12,0
4,102.12,0
5,102.11,0
6,102.1,0
7,102.09,0
8,102.08,0
9,102.07,0
10,102.06,0
11,102.05,0
12,102.04,0
13,102.02,0
14,102.01,0
15,102.01,0
16,102,0
17,101.98,0
18,101.97,0
19,101.96,0
20,101.96,0
21,101.94,0
22,101.92,0
23,101.91,0
24,101.91,0
25,101.9,1.16
26,101.89,4.62
27,101.88,9.6
28,101.87,15.29
29,101.86,25.04
30,101.85,31.46
31,101.84,44.16
32,101.82,53.32
33,101.79,65.64
34,101.75,77.28
35,101.67,90.88
36,101.59,101.68
37,101.51,112.57
38,101.41,122.19
39,101.31,132.06
40,101.22,138.49
41,101.12,144.33
42,101.03,145.7
43,100.91,146.98
44,100.79,147.66
45,100.69,147.79
46,100.58,147
47,100.49,144.88
48,100.37,141.29
49,100.28,136.54
50,100.17,133.68
51,100.06,131.19
52,99.98,125.43
53,99.89,121.83
54,99.81,117.42
55,99.71,112.54
56,99.64,108.31
57,99.52,107.01
58,99.47,104.42
59,99.4,101.14
60,99.32,97.54
61,99.25,96.77
62,99.16,94.47
63,99.11,92.82
64,99.03,91.45
65,98.98,89.42
66,98.88,88.26
67,98.82,87.24
68,98.76,86.71
69,98.7,84.63
70,98.63,84.48
71,98.56,82.86
72,98.5,81.71
73,98.44,81.94
74,98.37,80.43
75,98.32,79.56
76,98.24,78.46
77,98.18,78.25
78,98.13,76.5
79,98.07,75.83
80,98.02,76.08
81,97.95,74.06
82,97.89,74.26
83,97.84,73.8
84,97.77,72.91
85,97.73,71.82
86,97.67,71.85
87,97.59,70.96
88,97.55,70.25
89,97.51,69.9
90,97.45,69.71
91,97.4,69.11
92,97.35,68.88
93,97.28,68.58
94,97.24,68.38
95,97.18,67.82
96,97.12,67.51
97,97.07,67.12
98,97.02,66.57
99,96.94,66.39
100,96.88,66.52
101,96.84,65.47
102,96.79,65.84
103,96.73,65.28
104,96.69,64.45
105,96.64,65.05
106,96.58,64.2
107,96.54,64.13
108,96.49,63.55
109,96.43,63.07
110,96.39,62.36
111,96.35,62.04
112,96.28,62.57
113,96.24,61.01
114,96.2,61.38
115,96.15,61.44
116,96.11,60.78
117,96.05,60.38
118,96,59.95
119,95.95,60.26
120,95.91,60.27
121,95.87,59.88
122,95.81,59.79
123,95.78,60.13
124,95.71,59.76
125,95.67,60.09
126,95.63,59.49
127,95.59,59.76
128,95.53,59.64
129,95.46,59.63
130,95.41,59.63
131,95.36,59.72
132,95.31,58.13
133,95.27,58.27
134,95.22,58.69
135,95.17,58.85
136,95.12,57.38
137,95.08,56.98
138,95.04,58.47
139,94.99,57.01
140,94.94,57.99
141,94.89,57.58
142,94.86,57.09
