Time (s),Temperature (K),Mass (mg),Heat Flow (W/g)
0.00,294.780,4.9619,0.0208
41.63,295.280,4.9604,0.0843
52.80,295.780,4.9634,0.13346
60.51,296.280,4.9618,0.17526
66.66,296.780,4.9591,0.21084
71.76,297.280,4.9546,0.24203
76.21,297.780,4.9545,0.26887
80.22,298.280,4.9520,0.2939
83.84,298.780,4.9476,0.31703
87.17,299.280,4.9451,0.33855
90.26,299.780,4.9436,0.35929
93.15,300.280,4.9400,0.37832
95.86,300.780,4.9371,0.39696
98.43,301.280,4.9345,0.41391
100.87,301.780,4.9325,0.43089
103.22,302.280,4.9305,0.44733
105.48,302.780,4.9288,0.46178
107.66,303.280,4.9265,0.47733
109.73,303.780,4.9241,0.49209
111.75,304.280,4.9229,0.50631
113.70,304.780,4.9203,0.52032
115.61,305.280,4.9194,0.53308
117.46,305.780,4.9193,0.54734
119.27,306.280,4.9173,0.56125
121.03,306.780,4.9159,0.57476
122.74,307.280,4.9152,0.58777
124.42,307.780,4.9132,0.60099
126.07,308.280,4.9117,0.61245
127.68,308.780,4.9118,0.62536
129.26,309.280,4.9101,0.63883
130.81,309.780,4.9095,0.65126
132.34,310.280,4.9095,0.66403
133.86,310.780,4.9079,0.67644
135.36,311.280,4.9077,0.6902
136.84,311.780,4.9067,0.70207
138.30,312.280,4.9061,0.71362
139.73,312.780,4.9055,0.72649
141.14,313.280,4.9039,0.73927
142.54,313.780,4.9034,0.7515
143.92,314.280,4.9025,0.76405
145.28,314.780,4.9023,0.77637
146.63,315.280,4.9020,0.78981
147.97,315.780,4.9021,0.80248
149.29,316.280,4.9011,0.81546
150.60,316.780,4.9005,0.82715
151.91,317.280,4.9000,0.84063
153.20,317.780,4.8992,0.85376
154.49,318.280,4.8982,0.86699
155.76,318.780,4.8978,0.87944
157.03,319.280,4.8985,0.89201
158.30,319.780,4.8972,0.90577
159.55,320.280,4.8969,0.91929
160.79,320.780,4.8965,0.93085
162.04,321.280,4.8957,0.94507
163.28,321.780,4.8961,0.95869
164.50,322.280,4.8956,0.97121
165.73,322.780,4.8950,0.98596
166.94,323.280,4.8944,0.9973
168.15,323.780,4.8938,1.01046
169.37,324.280,4.8931,1.02456
170.57,324.780,4.8928,1.03635
171.77,325.280,4.8925,1.05055
172.97,325.780,4.8921,1.06374
174.17,326.280,4.8918,1.07637
175.35,326.780,4.8923,1.09037
176.54,327.280,4.8922,1.10372
177.72,327.780,4.8920,1.11627
178.90,328.280,4.8920,1.13028
180.08,328.780,4.8920,1.14452
181.26,329.280,4.8917,1.15751
182.43,329.780,4.8911,1.17085
183.60,330.280,4.8906,1.18546
184.77,330.780,4.8901,1.1993
185.95,331.280,4.8897,1.21321
187.12,331.780,4.8895,1.22751
188.29,332.280,4.8894,1.23965
189.45,332.780,4.8891,1.25477
190.62,333.280,4.8889,1.269
191.78,333.780,4.8886,1.28135
192.94,334.280,4.8884,1.29537
194.11,334.780,4.8882,1.30793
195.28,335.280,4.8880,1.32094
196.45,335.780,4.8877,1.33513
197.62,336.280,4.8874,1.34795
198.80,336.780,4.8871,1.36109
199.96,337.280,4.8869,1.37427
201.13,337.780,4.8867,1.38656
202.30,338.280,4.8864,1.39925
203.47,338.780,4.8862,1.41191
204.65,339.280,4.8861,1.42349
205.82,339.780,4.8859,1.43462
207.00,340.280,4.8858,1.44682
208.17,340.780,4.8858,1.45768
209.35,341.280,4.8853,1.46968
210.54,341.780,4.8846,1.47996
211.72,342.280,4.8843,1.49087
212.91,342.780,4.8838,1.50226
214.11,343.280,4.8832,1.51269
215.30,343.780,4.8824,1.52292
216.49,344.280,4.8813,1.53305
217.69,344.780,4.8804,1.54159
218.88,345.280,4.8799,1.55146
220.08,345.780,4.8798,1.56098
221.29,346.280,4.8796,1.56801
222.49,346.780,4.8792,1.57557
223.70,347.280,4.8789,1.58228
224.92,347.780,4.8786,1.58872
226.14,348.280,4.8782,1.59695
227.36,348.780,4.8776,1.60417
228.58,349.280,4.8766,1.60995
229.80,349.780,4.8757,1.61567
231.03,350.280,4.8746,1.62003
232.25,350.780,4.8737,1.62638
233.48,351.280,4.8726,1.6291
234.71,351.780,4.8715,1.63335
235.95,352.280,4.8704,1.63713
237.18,352.780,4.8701,1.63864
238.42,353.280,4.8694,1.64161
239.67,353.780,4.8689,1.64458
240.91,354.280,4.8680,1.64642
242.16,354.780,4.8665,1.64649
243.41,355.280,4.8656,1.64651
244.67,355.780,4.8647,1.64686
245.92,356.280,4.8639,1.64632
247.18,356.780,4.8615,1.6452
248.44,357.280,4.8616,1.64363
249.71,357.780,4.8604,1.64188
250.97,358.280,4.8593,1.63937
252.23,358.780,4.8593,1.63581
253.50,359.280,4.8587,1.63187
254.78,359.780,4.8577,1.62858
256.06,360.280,4.8570,1.62405
257.33,360.780,4.8565,1.61994
258.61,361.280,4.8547,1.61381
259.89,361.780,4.8537,1.60947
261.17,362.280,4.8533,1.60406
262.45,362.780,4.8524,1.59756
263.73,363.280,4.8512,1.59125
265.02,363.780,4.8502,1.5842
266.31,364.280,4.8496,1.57859
267.60,364.780,4.8490,1.56914
268.90,365.280,4.8483,1.56144
270.20,365.780,4.8479,1.55406
271.50,366.280,4.8473,1.54599
272.81,366.780,4.8459,1.53778
274.11,367.280,4.8453,1.52969
275.41,367.780,4.8446,1.52039
276.72,368.280,4.8439,1.51188
278.03,368.780,4.8433,1.50302
279.34,369.280,4.8425,1.49422
280.65,369.780,4.8420,1.48426
281.96,370.280,4.8416,1.47428
283.28,370.780,4.8412,1.46469
284.60,371.280,4.8412,1.45472
285.92,371.780,4.8412,1.44488
287.24,372.280,4.8409,1.43531
288.56,372.780,4.8404,1.42513
289.88,373.280,4.8399,1.41546
291.20,373.780,4.8391,1.40547
292.52,374.280,4.8385,1.39507
293.85,374.780,4.8374,1.38534
295.17,375.280,4.8366,1.37525
296.50,375.780,4.8364,1.36598
297.82,376.280,4.8364,1.35606
299.15,376.780,4.8361,1.34601
300.48,377.280,4.8358,1.33695
301.81,377.780,4.8355,1.32733
303.14,378.280,4.8352,1.31947
304.47,378.780,4.8349,1.3094
305.80,379.280,4.8347,1.30004
307.13,379.780,4.8344,1.29064
308.47,380.280,4.8341,1.28193
309.81,380.780,4.8337,1.27389
311.14,381.280,4.8336,1.26516
312.48,381.780,4.8334,1.25749
313.82,382.280,4.8331,1.24779
315.15,382.780,4.8328,1.2393
316.49,383.280,4.8325,1.23239
317.82,383.780,4.8322,1.22485
319.16,384.280,4.8321,1.21761
320.49,384.780,4.8321,1.2106
321.81,385.280,4.8322,1.20262
323.14,385.780,4.8322,1.19664
324.47,386.280,4.8322,1.18982
325.80,386.780,4.8323,1.18231
327.14,387.280,4.8323,1.17786
328.47,387.780,4.8324,1.17072
329.80,388.280,4.8324,1.16397
331.13,388.780,4.8324,1.15977
332.46,389.280,4.8324,1.15433
333.78,389.780,4.8323,1.14944
335.11,390.280,4.8321,1.14401
336.43,390.780,4.8319,1.13999
337.75,391.280,4.8318,1.13538
339.06,391.780,4.8317,1.13088
340.38,392.280,4.8315,1.12675
341.69,392.780,4.8313,1.12312
343.01,393.280,4.8312,1.11959
344.32,393.780,4.8310,1.11621
345.64,394.280,4.8309,1.1127
346.95,394.780,4.8307,1.10967
348.26,395.280,4.8305,1.10795
349.56,395.780,4.8303,1.10596
350.86,396.280,4.8301,1.10308
352.17,396.780,4.8301,1.09973
353.47,397.280,4.8299,1.09714
354.77,397.780,4.8299,1.0962
356.08,398.280,4.8298,1.09378
357.37,398.780,4.8297,1.09252
358.66,399.280,4.8296,1.09029
359.95,399.780,4.8295,1.08885
361.24,400.280,4.8294,1.08852
362.53,400.780,4.8293,1.08647
363.82,401.280,4.8292,1.08607
365.11,401.780,4.8295,1.08333
366.39,402.280,4.8300,1.08253
367.68,402.780,4.8302,1.08187
368.96,403.280,4.8303,1.08079
370.24,403.780,4.8303,1.08009
371.51,404.280,4.8302,1.07982
372.78,404.780,4.8304,1.07936
374.06,405.280,4.8307,1.07967
375.33,405.780,4.8310,1.07855
376.60,406.280,4.8315,1.07826
377.88,406.780,4.8319,1.07754
379.15,407.280,4.8321,1.07727
