Time (s),Temperature (K),Mass (mg),Heat Flow (mW/mg)
0.00,301.901,5.0700,-0.0018
65.71,302.401,5.0574,0.0812
79.91,302.901,5.0580,0.1233
90.17,303.401,5.0558,0.1556
98.61,303.901,5.0549,0.1849
105.72,304.401,5.0531,0.2091
112.05,304.901,5.0522,0.2312
117.89,305.401,5.0501,0.2492
123.28,305.901,5.0483,0.2692
128.28,306.401,5.0468,0.2852
132.93,306.901,5.0468,0.3018
137.33,307.401,5.0460,0.3153
141.53,307.901,5.0462,0.3303
145.54,308.401,5.0454,0.3441
149.40,308.901,5.0448,0.3568
153.13,309.401,5.0444,0.3680
156.75,309.901,5.0437,0.3797
160.25,310.401,5.0438,0.3918
163.66,310.901,5.0426,0.4014
166.99,311.401,5.0424,0.4131
170.24,311.901,5.0417,0.4244
173.43,312.401,5.0405,0.4345
176.53,312.901,5.0401,0.4426
179.60,313.401,5.0396,0.4521
182.61,313.901,5.0394,0.4631
185.56,314.401,5.0400,0.4714
188.48,314.901,5.0393,0.4806
191.33,315.401,5.0383,0.4890
194.14,315.901,5.0380,0.4980
196.93,316.401,5.0382,0.5082
199.69,316.901,5.0381,0.5151
202.43,317.401,5.0378,0.5242
205.14,317.901,5.0370,0.5314
207.81,318.401,5.0360,0.5397
210.45,318.901,5.0354,0.5475
213.08,319.401,5.0352,0.5554
215.69,319.901,5.0349,0.5620
218.28,320.401,5.0347,0.5703
220.86,320.901,5.0344,0.5782
223.42,321.401,5.0338,0.5863
225.98,321.901,5.0334,0.5932
228.51,322.401,5.0329,0.5999
231.01,322.901,5.0329,0.6079
233.50,323.401,5.0329,0.6143
236.00,323.901,5.0329,0.6208
238.48,324.401,5.0336,0.6286
240.94,324.901,5.0335,0.6348
243.42,325.401,5.0328,0.6421
245.89,325.901,5.0319,0.6479
248.35,326.401,5.0315,0.6532
250.80,326.901,5.0313,0.6614
253.25,327.401,5.0313,0.6663
255.69,327.901,5.0310,0.6733
258.14,328.401,5.0306,0.6780
260.59,328.901,5.0302,0.6857
263.02,329.401,5.0298,0.6910
265.46,329.901,5.0293,0.6965
267.90,330.401,5.0287,0.7020
270.34,330.901,5.0281,0.7078
