Time (s),Temperature (K),Mass (mg),Heat Flow (mW/mg)
0.00,295.477,5.1201,0.0449
42.26,295.977,5.0998,0.1012
53.30,296.477,5.0969,0.1437
60.92,296.977,5.0936,0.1785
67.05,297.477,5.0891,0.2086
72.23,297.977,5.0863,0.2346
76.68,298.477,5.0827,0.2576
80.66,298.977,5.0788,0.2771
84.27,299.477,5.0760,0.2961
87.60,299.977,5.0729,0.3135
90.70,300.477,5.0704,0.3272
93.61,300.977,5.0678,0.3449
96.34,301.477,5.0664,0.3580
98.91,301.977,5.0626,0.3728
101.36,302.477,5.0599,0.3846
103.72,302.977,5.0578,0.3969
105.99,303.477,5.0570,0.4082
108.17,303.977,5.0552,0.4201
110.27,304.477,5.0532,0.4305
112.31,304.977,5.0518,0.4415
114.29,305.477,5.0502,0.4520
116.20,305.977,5.0487,0.4622
118.07,306.477,5.0454,0.4713
119.88,306.977,5.0442,0.4814
121.65,307.477,5.0423,0.4905
123.38,307.977,5.0411,0.5007
125.07,308.477,5.0406,0.5101
126.74,308.977,5.0395,0.5198
128.37,309.477,5.0384,0.5286
129.97,309.977,5.0376,0.5373
131.54,310.477,5.0354,0.5473
133.08,310.977,5.0342,0.5565
134.61,311.477,5.0328,0.5660
136.11,311.977,5.0325,0.5754
137.59,312.477,5.0309,0.5846
139.05,312.977,5.0294,0.5935
140.49,313.477,5.0293,0.6042
141.91,313.977,5.0281,0.6115
143.32,314.477,5.0267,0.6219
144.70,314.977,5.0263,0.6317
146.08,315.477,5.0268,0.6422
147.45,315.977,5.0253,0.6515
148.81,316.477,5.0241,0.6614
150.15,316.977,5.0241,0.6713
151.48,317.477,5.0230,0.6805
152.80,317.977,5.0219,0.6909
154.11,318.477,5.0209,0.7015
155.40,318.977,5.0204,0.7112
156.69,319.477,5.0196,0.7217
157.96,319.977,5.0189,0.7319
159.23,320.477,5.0185,0.7418
160.49,320.977,5.0189,0.7523
161.74,321.477,5.0182,0.7622
162.99,321.977,5.0180,0.7734
164.24,322.477,5.0174,0.7823
165.47,322.977,5.0176,0.7939
166.71,323.477,5.0175,0.8034
167.93,323.977,5.0167,0.8155
169.16,324.477,5.0162,0.8256
170.37,324.977,5.0153,0.8368
171.59,325.477,5.0146,0.8473
172.80,325.977,5.0141,0.8596
174.01,326.477,5.0135,0.8709
175.21,326.977,5.0130,0.8816
176.41,327.477,5.0124,0.8928
177.61,327.977,5.0118,0.9026
178.80,328.477,5.0114,0.9143
179.99,328.977,5.0108,0.9265
181.18,329.477,5.0104,0.9371
182.37,329.977,5.0098,0.9500
183.56,330.477,5.0093,0.9610
184.74,330.977,5.0089,0.9737
185.92,331.477,5.0081,0.9846
187.11,331.977,5.0076,0.9954
188.28,332.477,5.0070,1.0065
189.46,332.977,5.0065,1.0175
190.64,333.477,5.0060,1.0290
