Time (s),Temperature (K),Mass (mg),Heat Flow (mW/mg)
0.00,303.108,5.2799,0.0767
94.58,303.608,5.2390,0.0844
115.61,304.108,5.2447,0.0949
131.27,304.608,5.2473,0.1040
144.39,305.108,5.2437,0.1104
155.88,305.608,5.2408,0.1170
166.25,306.108,5.2401,0.1235
175.75,306.608,5.2388,0.1280
184.60,307.108,5.2378,0.1326
192.93,307.608,5.2380,0.1369
200.84,308.108,5.2368,0.1413
208.37,308.608,5.2361,0.1447
215.58,309.108,5.2347,0.1490
222.55,309.608,5.2350,0.1518
229.28,310.108,5.2338,0.1547
235.80,310.608,5.2322,0.1583
242.16,311.108,5.2329,0.1632
248.33,311.608,5.2322,0.1644
254.41,312.108,5.2315,0.1672
260.38,312.608,5.2312,0.1704
266.27,313.108,5.2300,0.1732
272.07,313.608,5.2295,0.1761
277.79,314.108,5.2288,0.1781
283.42,314.608,5.2276,0.1812
288.94,315.108,5.2264,0.1839
294.39,315.608,5.2248,0.1863
299.80,316.108,5.2235,0.1897
305.16,316.608,5.2222,0.1907
310.46,317.108,5.2216,0.1937
315.65,317.608,5.2206,0.1953
320.92,318.108,5.2200,0.1976
326.15,318.608,5.2189,0.1996
331.35,319.108,5.2194,0.2014
336.55,319.608,5.2185,0.2034
341.78,320.108,5.2176,0.2048
346.90,320.608,5.2167,0.2072
352.00,321.108,5.2159,0.2086
357.09,321.608,5.2152,0.2110
362.18,322.108,5.2144,0.2118
367.27,322.608,5.2136,0.2140
372.34,323.108,5.2130,0.2151
377.44,323.608,5.2123,0.2166
382.53,324.108,5.2117,0.2181
387.60,324.608,5.2112,0.2188
392.65,325.108,5.2105,0.2199
397.71,325.608,5.2089,0.2210
402.76,326.108,5.2061,0.2220
407.81,326.608,5.2038,0.2226
412.89,327.108,5.2030,0.2238
417.98,327.608,5.2020,0.2238
423.09,328.108,5.2010,0.2244
428.17,328.608,5.2004,0.2246
433.26,329.108,5.1999,0.2237
438.35,329.608,5.1985,0.2231
443.44,330.108,5.1970,0.2227
448.52,330.608,5.1963,0.2226
453.62,331.108,5.1954,0.2226
458.73,331.608,5.1939,0.2208
463.85,332.108,5.1927,0.2212
468.98,332.608,5.1912,0.2198
474.13,333.108,5.1897,0.2188
479.30,333.608,5.1885,0.2178
484.47,334.108,5.1874,0.2166
489.65,334.608,5.1858,0.2145
494.83,335.108,5.1836,0.2148
500.01,335.608,5.1822,0.2129
505.22,336.108,5.1816,0.2116
510.44,336.608,5.1810,0.2098
515.65,337.108,5.1804,0.2077
520.88,337.608,5.1793,0.2056
526.13,338.108,5.1780,0.2038
531.37,338.608,5.1766,0.2025
536.64,339.108,5.1751,0.1994
541.93,339.608,5.1735,0.1966
547.22,340.108,5.1721,0.1949
552.51,340.608,5.1717,0.1931
557.78,341.108,5.1707,0.1908
563.08,341.608,5.1697,0.1881
568.37,342.108,5.1685,0.1858
573.68,342.608,5.1678,0.1835
579.00,343.108,5.1677,0.1806
584.36,343.608,5.1667,0.1782
589.69,344.108,5.1651,0.1753
595.04,344.608,5.1641,0.1728
600.42,345.108,5.1629,0.1700
605.80,345.608,5.1619,0.1669
611.17,346.108,5.1613,0.1641
616.57,346.608,5.1608,0.1608
621.96,347.108,5.1602,0.1584
627.36,347.608,5.1595,0.1561
632.79,348.108,5.1588,0.1524
638.23,348.608,5.1582,0.1501
643.67,349.108,5.1577,0.1474
649.12,349.608,5.1571,0.1451
654.56,350.108,5.1563,0.1420
660.03,350.608,5.1551,0.1388
665.51,351.108,5.1542,0.1370
670.98,351.608,5.1537,0.1340
676.47,352.108,5.1532,0.1319
681.96,352.608,5.1527,0.1288
687.44,353.108,5.1523,0.1261
692.93,353.608,5.1519,0.1234
698.43,354.108,5.1514,0.1215
703.94,354.608,5.1511,0.1186
709.46,355.108,5.1506,0.1154
714.99,355.608,5.1502,0.1131
720.54,356.108,5.1498,0.1105
726.08,356.608,5.1494,0.1087
731.61,357.108,5.1490,0.1064
737.16,357.608,5.1485,0.1047
742.71,358.108,5.1481,0.1025
748.27,358.608,5.1477,0.0999
753.84,359.108,5.1473,0.0986
759.43,359.608,5.1469,0.0957
765.02,360.108,5.1465,0.0943
770.63,360.608,5.1461,0.0916
776.25,361.108,5.1458,0.0903
781.87,361.608,5.1454,0.0888
787.49,362.108,5.1450,0.0873
793.10,362.608,5.1446,0.0848
798.70,363.108,5.1441,0.0825
804.32,363.608,5.1436,0.0814
809.94,364.108,5.1433,0.0801
815.59,364.608,5.1444,0.0794
821.27,365.108,5.1442,0.0772
826.95,365.608,5.1439,0.0756
832.63,366.108,5.1444,0.0744
838.32,366.608,5.1447,0.0730
843.98,367.108,5.1447,0.0714
849.66,367.608,5.1445,0.0707
855.34,368.108,5.1444,0.0693
861.02,368.608,5.1445,0.0682
866.72,369.108,5.1442,0.0674
872.44,369.608,5.1441,0.0660
878.14,370.108,5.1439,0.0648
883.88,370.608,5.1439,0.0647
889.59,371.108,5.1437,0.0634
895.31,371.608,5.1436,0.0621
901.04,372.108,5.1432,0.0614
906.79,372.608,5.1429,0.0605
912.54,373.108,5.1438,0.0596
918.32,373.608,5.1443,0.0587
924.09,374.108,5.1447,0.0579
929.88,374.608,5.1445,0.0570
935.66,375.108,5.1441,0.0562
941.46,375.608,5.1438,0.0557
947.25,376.108,5.1437,0.0543
953.05,376.608,5.1435,0.0537
958.84,377.108,5.1434,0.0520
964.65,377.608,5.1442,0.0526
970.47,378.108,5.1450,0.0509
976.28,378.608,5.1447,0.0504
982.11,379.108,5.1451,0.0489
987.93,379.608,5.1455,0.0487
993.75,380.108,5.1459,0.0476
999.61,380.608,5.1458,0.0466
1005.46,381.108,5.1454,0.0454
1011.30,381.608,5.1451,0.0452
1017.14,382.108,5.1449,0.0444
1022.99,382.608,5.1449,0.0432
