Time (s),Mass (g),HRR (kW/m2)
0,106.9,15.12
1,106.9,23.36
2,106.83,34.09
3,106.81,44.68
4,106.79,57.55
5,106.75,70.36
6,106.71,86.31
7,106.65,100.58
8,106.58,112.31
9,106.48,126.58
10,106.36,138.05
11,106.26,149.98
12,106.12,157.42
13,105.98,163.88
14,105.87,166.52
15,105.73,169.15
16,105.6,170.06
17,105.49,172.64
18,105.35,167.98
19,105.24,168.38
20,105.12,163.65
21,104.98,161.77
22,104.86,157.46
23,104.75,155.87
24,104.62,154.74
25,104.5,149.07
26,104.4,150.41
27,104.3,146.67
28,104.18,145.03
29,104.07,140.71
30,103.95,142.53
31,103.87,140.48
32,103.75,139.53
33,103.65,135.63
34,103.54,135.02
35,103.42,133.86
36,103.32,132.69
37,103.21,129.21
38,103.13,129.43
39,103.03,128.15
40,102.9,127.68
41,102.83,124.96
42,102.72,123.89
43,102.63,121.84
44,102.53,121.76
45,102.44,120.02
46,102.35,118.67
47,102.24,117.72
48,102.16,115.53
49,102.05,114.59
50,101.96,113.11
51,101.89,112.46
52,101.79,111.38
53,101.69,109.68
54,101.62,108.64
55,101.54,107.56
56,101.44,105.77
57,101.35,103.8
58,101.27,105.38
59,101.2,102.28
60,101.11,102.88
61,101.01,101.4
62,100.94,100.56
63,100.88,98.54
64,100.79,99.46
65,100.7,98.99
66,100.64,97.32
67,100.56,97.42
68,100.48,95.15
69,100.39,94.81
70,100.32,94.41
71,100.24,93.48
72,100.17,93.23
73,100.08,92.27
74,100.01,91.76
75,99.95,91.79
76,99.87,90.23
77,99.8,89.94
78,99.72,90.59
79,99.65,89.32
80,99.57,89.64
81,99.47,89.06
82,99.42,87.75
83,99.36,89.74
84,99.29,86.19
85,99.21,87.87
86,99.13,85.52
87,99.08,86.81
88,99,84.93
89,98.94,86.02
90,98.88,84.57
91,98.8,83.89
92,98.73,84.51
93,98.66,84.44
94,98.6,84.36
95,98.52,82.52
96,98.45,83.12
97,98.4,82.92
98,98.33,82.63
99,98.27,81.7
100,98.18,81.37
101,98.14,81.48
102,98.08,80.82
103,98.01,80.98
104,97.94,79.83
105,97.87,80.2
106,97.81,79.17
107,97.74,79.66
108,97.69,77.95
109,97.62,78.7
110,97.55,77.24
111,97.49,77.18
112,97.42,76.58
113,97.37,77.49
114,97.3,75.24
115,97.24,76.5
116,97.19,75.64
117,97.11,75.39
118,97.06,74.93
119,97,75.38
120,96.92,74.49
121,96.87,75.51
122,96.81,73.88
123,96.75,74.27
124,96.69,74.4
125,96.63,73.92
126,96.56,74.37
127,96.52,73.46
128,96.44,74.36
129,96.4,73.12
130,96.33,73.47
131,96.26,73.3
132,96.21,73.4
133,96.15,72.66
134,96.1,72.97
135,96.04,73.59
136,95.97,72.4
137,95.92,73.06
138,95.86,72.18
139,95.8,73.21
140,95.75,72.05
141,95.68,72.23
142,95.62,72.52
