Time (s),Temperature (K),Mass (mg),Heat Flow (mW/mg)
0.00,297.637,5.1200,0.1018
79.00,298.137,5.0884,0.1250
102.31,298.637,5.0908,0.1503
119.65,299.137,5.0935,0.1699
133.98,299.637,5.0936,0.1887
146.41,300.137,5.0916,0.2030
157.62,300.637,5.0901,0.2169
167.79,301.137,5.0889,0.2292
177.16,301.637,5.0874,0.2422
185.99,302.137,5.0863,0.2527
194.44,302.637,5.0850,0.2624
202.47,303.137,5.0841,0.2722
210.15,303.637,5.0836,0.2808
217.50,304.137,5.0837,0.2901
224.63,304.637,5.0824,0.2987
231.46,305.137,5.0806,0.3065
238.12,305.637,5.0789,0.3142
244.63,306.137,5.0779,0.3215
250.99,306.637,5.0763,0.3290
257.23,307.137,5.0750,0.3367
263.32,307.637,5.0744,0.3417
269.31,308.137,5.0739,0.3483
275.19,308.637,5.0735,0.3552
280.96,309.137,5.0718,0.3612
286.67,309.637,5.0707,0.3670
292.30,310.137,5.0695,0.3730
297.86,310.637,5.0685,0.3794
303.38,311.137,5.0688,0.3840
308.86,311.637,5.0679,0.3904
314.30,312.137,5.0670,0.3948
319.65,312.637,5.0659,0.3997
324.97,313.137,5.0648,0.4041
330.22,313.637,5.0634,0.4096
335.46,314.137,5.0625,0.4141
340.65,314.637,5.0606,0.4178
345.86,315.137,5.0589,0.4218
351.01,315.637,5.0578,0.4257
356.17,316.137,5.0568,0.4299
361.31,316.637,5.0553,0.4332
366.42,317.137,5.0545,0.4359
371.52,317.637,5.0535,0.4389
376.62,318.137,5.0526,0.4429
381.69,318.637,5.0507,0.4453
386.74,319.137,5.0491,0.4477
391.78,319.637,5.0469,0.4517
396.85,320.137,5.0450,0.4532
401.90,320.637,5.0436,0.4559
406.97,321.137,5.0422,0.4585
412.05,321.637,5.0409,0.4602
417.12,322.137,5.0404,0.4623
422.19,322.637,5.0391,0.4632
427.25,323.137,5.0368,0.4650
432.32,323.637,5.0345,0.4663
437.37,324.137,5.0322,0.4675
442.45,324.637,5.0310,0.4686
447.53,325.137,5.0291,0.4697
452.64,325.637,5.0278,0.4708
457.73,326.137,5.0261,0.4711
462.85,326.637,5.0250,0.4717
467.95,327.137,5.0233,0.4707
473.05,327.637,5.0212,0.4709
478.15,328.137,5.0199,0.4709
483.26,328.637,5.0184,0.4710
488.38,329.137,5.0165,0.4709
493.49,329.637,5.0147,0.4699
498.61,330.137,5.0139,0.4694
503.74,330.637,5.0130,0.4687
508.89,331.137,5.0109,0.4674
514.04,331.637,5.0093,0.4665
519.21,332.137,5.0074,0.4658
524.38,332.637,5.0042,0.4640
529.55,333.137,5.0035,0.4624
534.73,333.637,5.0021,0.4618
539.91,334.137,5.0004,0.4601
545.12,334.637,4.9985,0.4581
550.32,335.137,4.9970,0.4562
555.53,335.637,4.9954,0.4540
560.75,336.137,4.9946,0.4516
565.99,336.637,4.9941,0.4492
571.23,337.137,4.9925,0.4475
576.48,337.637,4.9905,0.4450
581.76,338.137,4.9892,0.4424
587.04,338.637,4.9868,0.4392
592.34,339.137,4.9848,0.4366
