Time (s),Temperature (K),Mass (mg),Heat Flow (mW/mg)
0.00,294.780,4.9619,0.0208
41.63,295.280,4.9604,0.0843
52.80,295.780,4.9634,0.1335
60.51,296.280,4.9618,0.1753
66.66,296.780,4.9591,0.2108
71.76,297.280,4.9546,0.2420
76.21,297.780,4.9545,0.2689
80.22,298.280,4.9520,0.2939
83.84,298.780,4.9476,0.3170
87.17,299.280,4.9451,0.3386
90.26,299.780,4.9436,0.3593
93.15,300.280,4.9400,0.3783
95.86,300.780,4.9371,0.3970
98.43,301.280,4.9345,0.4139
100.87,301.780,4.9325,0.4309
103.22,302.280,4.9305,0.4473
105.48,302.780,4.9288,0.4618
107.66,303.280,4.9265,0.4773
109.73,303.780,4.9241,0.4921
111.75,304.280,4.9229,0.5063
113.70,304.780,4.9203,0.5203
115.61,305.280,4.9194,0.5331
117.46,305.780,4.9193,0.5473
119.27,306.280,4.9173,0.5613
121.03,306.780,4.9159,0.5748
122.74,307.280,4.9152,0.5878
124.42,307.780,4.9132,0.6010
126.07,308.280,4.9117,0.6125
127.68,308.780,4.9118,0.6254
129.26,309.280,4.9101,0.6388
130.81,309.780,4.9095,0.6513
132.34,310.280,4.9095,0.6640
133.86,310.780,4.9079,0.6764
135.36,311.280,4.9077,0.6902
136.84,311.780,4.9067,0.7021
138.30,312.280,4.9061,0.7136
139.73,312.780,4.9055,0.7265
141.14,313.280,4.9039,0.7393
142.54,313.780,4.9034,0.7515
143.92,314.280,4.9025,0.7641
145.28,314.780,4.9023,0.7764
146.63,315.280,4.9020,0.7898
147.97,315.780,4.9021,0.8025
149.29,316.280,4.9011,0.8155
150.60,316.780,4.9005,0.8272
151.91,317.280,4.9000,0.8406
153.20,317.780,4.8992,0.8538
154.49,318.280,4.8982,0.8670
155.76,318.780,4.8978,0.8794
157.03,319.280,4.8985,0.8920
158.30,319.780,4.8972,0.9058
159.55,320.280,4.8969,0.9193
160.79,320.780,4.8965,0.9308
162.04,321.280,4.8957,0.9451
163.28,321.780,4.8961,0.9587
164.50,322.280,4.8956,0.9712
165.73,322.780,4.8950,0.9860
166.94,323.280,4.8944,0.9973
168.15,323.780,4.8938,1.0105
169.37,324.280,4.8931,1.0246
170.57,324.780,4.8928,1.0364
171.77,325.280,4.8925,1.0506
172.97,325.780,4.8921,1.0637
174.17,326.280,4.8918,1.0764
175.35,326.780,4.8923,1.0904
176.54,327.280,4.8922,1.1037
177.72,327.780,4.8920,1.1163
178.90,328.280,4.8920,1.1303
180.08,328.780,4.8920,1.1445
181.26,329.280,4.8917,1.1575
182.43,329.780,4.8911,1.1708
183.60,330.280,4.8906,1.1855
184.77,330.780,4.8901,1.1993
185.95,331.280,4.8897,1.2132
187.12,331.780,4.8895,1.2275
188.29,332.280,4.8894,1.2396
189.45,332.780,4.8891,1.2548
190.62,333.280,4.8889,1.2690
191.78,333.780,4.8886,1.2813
192.94,334.280,4.8884,1.2954
194.11,334.780,4.8882,1.3079
195.28,335.280,4.8880,1.3209
196.45,335.780,4.8877,1.3351
197.62,336.280,4.8874,1.3479
198.80,336.780,4.8871,1.3611
199.96,337.280,4.8869,1.3743
201.13,337.780,4.8867,1.3866
202.30,338.280,4.8864,1.3993
203.47,338.780,4.8862,1.4119
204.65,339.280,4.8861,1.4235
205.82,339.780,4.8859,1.4346
207.00,340.280,4.8858,1.4468
208.17,340.780,4.8858,1.4577
209.35,341.280,4.8853,1.4697
210.54,341.780,4.8846,1.4800
211.72,342.280,4.8843,1.4909
212.91,342.780,4.8838,1.5023
214.11,343.280,4.8832,1.5127
215.30,343.780,4.8824,1.5229
216.49,344.280,4.8813,1.5331
217.69,344.780,4.8804,1.5416
218.88,345.280,4.8799,1.5515
220.08,345.780,4.8798,1.5610
221.29,346.280,4.8796,1.5680
222.49,346.780,4.8792,1.5756
223.70,347.280,4.8789,1.5823
224.92,347.780,4.8786,1.5887
226.14,348.280,4.8782,1.5970
227.36,348.780,4.8776,1.6042
228.58,349.280,4.8766,1.6099
229.80,349.780,4.8757,1.6157
231.03,350.280,4.8746,1.6200
232.25,350.780,4.8737,1.6264
233.48,351.280,4.8726,1.6291
234.71,351.780,4.8715,1.6334
235.95,352.280,4.8704,1.6371
237.18,352.780,4.8701,1.6386
238.42,353.280,4.8694,1.6416
239.67,353.780,4.8689,1.6446
240.91,354.280,4.8680,1.6464
242.16,354.780,4.8665,1.6465
243.41,355.280,4.8656,1.6465
244.67,355.780,4.8647,1.6469
245.92,356.280,4.8639,1.6463
247.18,356.780,4.8615,1.6452
248.44,357.280,4.8616,1.6436
249.71,357.780,4.8604,1.6419
250.97,358.280,4.8593,1.6394
252.23,358.780,4.8593,1.6358
253.50,359.280,4.8587,1.6319
254.78,359.780,4.8577,1.6286
256.06,360.280,4.8570,1.6240
257.33,360.780,4.8565,1.6199
258.61,361.280,4.8547,1.6138
259.89,361.780,4.8537,1.6095
261.17,362.280,4.8533,1.6041
262.45,362.780,4.8524,1.5976
263.73,363.280,4.8512,1.5913
265.02,363.780,4.8502,1.5842
266.31,364.280,4.8496,1.5786
267.60,364.780,4.8490,1.5691
268.90,365.280,4.8483,1.5614
270.20,365.780,4.8479,1.5541
271.50,366.280,4.8473,1.5460
272.81,366.780,4.8459,1.5378
274.11,367.280,4.8453,1.5297
275.41,367.780,4.8446,1.5204
276.72,368.280,4.8439,1.5119
278.03,368.780,4.8433,1.5030
279.34,369.280,4.8425,1.4942
280.65,369.780,4.8420,1.4843
281.96,370.280,4.8416,1.4743
283.28,370.780,4.8412,1.4647
284.60,371.280,4.8412,1.4547
285.92,371.780,4.8412,1.4449
287.24,372.280,4.8409,1.4353
288.56,372.780,4.8404,1.4251
289.88,373.280,4.8399,1.4155
291.20,373.780,4.8391,1.4055
292.52,374.280,4.8385,1.3951
293.85,374.780,4.8374,1.3853
295.17,375.280,4.8366,1.3753
296.50,375.780,4.8364,1.3660
297.82,376.280,4.8364,1.3561
299.15,376.780,4.8361,1.3460
300.48,377.280,4.8358,1.3370
301.81,377.780,4.8355,1.3273
303.14,378.280,4.8352,1.3195
304.47,378.780,4.8349,1.3094
305.80,379.280,4.8347,1.3000
307.13,379.780,4.8344,1.2906
308.47,380.280,4.8341,1.2819
309.81,380.780,4.8337,1.2739
311.14,381.280,4.8336,1.2652
312.48,381.780,4.8334,1.2575
313.82,382.280,4.8331,1.2478
315.15,382.780,4.8328,1.2393
316.49,383.280,4.8325,1.2324
317.82,383.780,4.8322,1.2248
319.16,384.280,4.8321,1.2176
320.49,384.780,4.8321,1.2106
321.81,385.280,4.8322,1.2026
323.14,385.780,4.8322,1.1966
324.47,386.280,4.8322,1.1898
325.80,386.780,4.8323,1.1823
327.14,387.280,4.8323,1.1779
328.47,387.780,4.8324,1.1707
329.80,388.280,4.8324,1.1640
331.13,388.780,4.8324,1.1598
332.46,389.280,4.8324,1.1543
333.78,389.780,4.8323,1.1494
335.11,390.280,4.8321,1.1440
336.43,390.780,4.8319,1.1400
337.75,391.280,4.8318,1.1354
339.06,391.780,4.8317,1.1309
340.38,392.280,4.8315,1.1267
341.69,392.780,4.8313,1.1231
343.01,393.280,4.8312,1.1196
344.32,393.780,4.8310,1.1162
345.64,394.280,4.8309,1.1127
346.95,394.780,4.8307,1.1097
348.26,395.280,4.8305,1.1079
349.56,395.780,4.8303,1.1060
350.86,396.280,4.8301,1.1031
352.17,396.780,4.8301,1.0997
353.47,397.280,4.8299,1.0971
354.77,397.780,4.8299,1.0962
356.08,398.280,4.8298,1.0938
357.37,398.780,4.8297,1.0925
358.66,399.280,4.8296,1.0903
359.95,399.780,4.8295,1.0889
361.24,400.280,4.8294,1.0885
362.53,400.780,4.8293,1.0865
363.82,401.280,4.8292,1.0861
365.11,401.780,4.8295,1.0833
366.39,402.280,4.8300,1.0825
367.68,402.780,4.8302,1.0819
368.96,403.280,4.8303,1.0808
370.24,403.780,4.8303,1.0801
371.51,404.280,4.8302,1.0798
372.78,404.780,4.8304,1.0794
374.06,405.280,4.8307,1.0797
375.33,405.780,4.8310,1.0785
376.60,406.280,4.8315,1.0783
377.88,406.780,4.8319,1.0775
379.15,407.280,4.8321,1.0773
