Time (s),Temperature (K),Mass (mg),Heat Flow (mW/mg)
0.00,295.935,4.8493,0.0478
55.69,296.435,4.8476,0.0892
71.39,296.935,4.8572,0.1227
82.86,297.435,4.8557,0.1516
91.99,297.935,4.8554,0.1740
99.63,298.435,4.8534,0.1938
106.39,298.935,4.8519,0.2133
112.54,299.435,4.8502,0.2293
118.22,299.935,4.8501,0.2457
123.53,300.435,4.8471,0.2594
128.46,300.935,4.8462,0.2749
133.11,301.435,4.8442,0.2870
137.50,301.935,4.8434,0.2990
141.72,302.435,4.8411,0.3114
145.76,302.935,4.8410,0.3213
149.67,303.435,4.8401,0.3340
153.44,303.935,4.8404,0.3448
157.07,304.435,4.8400,0.3559
160.59,304.935,4.8395,0.3644
164.01,305.435,4.8399,0.3757
167.35,305.935,4.8381,0.3842
170.61,306.435,4.8371,0.3948
173.81,306.935,4.8371,0.4035
176.94,307.435,4.8357,0.4133
180.00,307.935,4.8347,0.4232
183.02,308.435,4.8332,0.4320
185.96,308.935,4.8325,0.4406
188.87,309.435,4.8331,0.4501
191.76,309.935,4.8318,0.4586
194.58,310.435,4.8313,0.4663
197.39,310.935,4.8304,0.4764
200.18,311.435,4.8296,0.4862
202.93,311.935,4.8293,0.4933
205.64,312.435,4.8291,0.5025
208.34,312.935,4.8284,0.5111
211.00,313.435,4.8279,0.5189
213.65,313.935,4.8274,0.5291
216.27,314.435,4.8265,0.5372
218.86,314.935,4.8264,0.5462
221.44,315.435,4.8259,0.5555
224.00,315.935,4.8252,0.5618
226.55,316.435,4.8247,0.5727
229.09,316.935,4.8241,0.5808
231.62,317.435,4.8235,0.5879
234.13,317.935,4.8228,0.5983
236.64,318.435,4.8224,0.6050
239.13,318.935,4.8221,0.6143
241.61,319.435,4.8217,0.6224
244.09,319.935,4.8210,0.6292
246.55,320.435,4.8202,0.6380
249.01,320.935,4.8195,0.6451
251.46,321.435,4.8188,0.6539
253.90,321.935,4.8180,0.6597
256.34,322.435,4.8173,0.6682
258.76,322.935,4.8166,0.6747
261.20,323.435,4.8161,0.6817
263.63,323.935,4.8155,0.6890
266.07,324.435,4.8149,0.6972
268.49,324.935,4.8145,0.7030
270.92,325.435,4.8140,0.7107
273.34,325.935,4.8134,0.7162
275.76,326.435,4.8126,0.7233
278.17,326.935,4.8112,0.7286
280.59,327.435,4.8104,0.7360
283.02,327.935,4.8098,0.7427
285.44,328.435,4.8093,0.7483
287.85,328.935,4.8078,0.7533
290.28,329.435,4.8065,0.7584
292.70,329.935,4.8053,0.7641
295.13,330.435,4.8038,0.7691
297.56,330.935,4.8026,0.7744
299.99,331.435,4.8015,0.7785
302.43,331.935,4.8004,0.7828
304.88,332.435,4.7987,0.7861
307.32,332.935,4.7970,0.7902
309.78,333.435,4.7955,0.7943
312.23,333.935,4.7942,0.7974
314.69,334.435,4.7936,0.8008
317.15,334.935,4.7925,0.8035
319.62,335.435,4.7904,0.8070
322.09,335.935,4.7888,0.8088
324.57,336.435,4.7877,0.8101
327.05,336.935,4.7866,0.8122
329.53,337.435,4.7860,0.8139
332.02,337.935,4.7850,0.8150
334.50,338.435,4.7838,0.8160
336.98,338.935,4.7824,0.8161
339.48,339.435,4.7811,0.8163
341.99,339.935,4.7800,0.8166
344.50,340.435,4.7795,0.8163
347.02,340.935,4.7788,0.8156
349.55,341.435,4.7778,0.8147
352.07,341.935,4.7768,0.8146
354.61,342.435,4.7743,0.8135
357.15,342.935,4.7730,0.8104
359.69,343.435,4.7716,0.8085
362.23,343.935,4.7704,0.8065
364.78,344.435,4.7691,0.8039
367.32,344.935,4.7674,0.8003
369.87,345.435,4.7657,0.7975
372.43,345.935,4.7641,0.7950
375.00,346.435,4.7631,0.7919
377.58,346.935,4.7623,0.7876
380.15,347.435,4.7599,0.7836
382.73,347.935,4.7587,0.7792
385.31,348.435,4.7574,0.7746
387.91,348.935,4.7560,0.7704
390.50,349.435,4.7549,0.7664
393.08,349.935,4.7539,0.7604
395.67,350.435,4.7524,0.7549
398.26,350.935,4.7510,0.7510
400.85,351.435,4.7498,0.7455
403.44,351.935,4.7489,0.7406
406.04,352.435,4.7483,0.7346
408.64,352.935,4.7471,0.7291
411.24,353.435,4.7457,0.7239
413.83,353.935,4.7443,0.7181
416.38,354.435,4.7426,0.7133
418.99,354.935,4.7402,0.7065
421.58,355.435,4.7394,0.7008
424.19,355.935,4.7395,0.6954
426.81,356.435,4.7388,0.6899
429.44,356.935,4.7380,0.6840
432.03,357.435,4.7371,0.6774
434.62,357.935,4.7363,0.6718
437.21,358.435,4.7353,0.6648
439.80,358.935,4.7344,0.6602
442.40,359.435,4.7338,0.6537
445.00,359.935,4.7334,0.6481
447.61,360.435,4.7330,0.6426
450.20,360.935,4.7324,0.6362
452.77,361.435,4.7318,0.6308
455.34,361.935,4.7310,0.6268
457.92,362.435,4.7299,0.6197
460.49,362.935,4.7291,0.6158
463.06,363.435,4.7283,0.6114
465.65,363.935,4.7274,0.6044
468.23,364.435,4.7268,0.5993
470.81,364.935,4.7264,0.5951
473.40,365.435,4.7264,0.5895
475.99,365.935,4.7261,0.5840
478.57,366.435,4.7258,0.5804
481.16,366.935,4.7252,0.5749
483.74,367.435,4.7247,0.5717
486.32,367.935,4.7243,0.5656
488.91,368.435,4.7239,0.5633
491.51,368.935,4.7234,0.5581
494.10,369.435,4.7230,0.5532
496.69,369.935,4.7225,0.5488
499.28,370.435,4.7220,0.5454
501.86,370.935,4.7216,0.5409
504.45,371.435,4.7213,0.5379
507.04,371.935,4.7210,0.5339
509.63,372.435,4.7208,0.5313
512.23,372.935,4.7205,0.5275
514.82,373.435,4.7203,0.5242
517.42,373.935,4.7200,0.5211
520.02,374.435,4.7197,0.5176
522.62,374.935,4.7195,0.5153
525.22,375.435,4.7193,0.5132
527.83,375.935,4.7190,0.5096
530.44,376.435,4.7188,0.5063
533.05,376.935,4.7186,0.5046
535.66,377.435,4.7184,0.5015
538.29,377.935,4.7181,0.4981
540.91,378.435,4.7179,0.4975
543.53,378.935,4.7177,0.4944
546.16,379.435,4.7175,0.4925
548.79,379.935,4.7173,0.4903
551.42,380.435,4.7171,0.4887
554.05,380.935,4.7169,0.4868
556.70,381.435,4.7167,0.4852
559.34,381.935,4.7165,0.4840
561.99,382.435,4.7163,0.4815
564.64,382.935,4.7161,0.4800
