Time (s),Temperature (K),Mass (mg),Heat Flow (mW/mg)
0.00,297.275,4.9502,0.0235
44.37,297.775,4.9327,0.0549
55.16,298.275,4.9325,0.0744
62.81,298.775,4.9289,0.0903
68.93,299.275,4.9259,0.1029
74.02,299.775,4.9225,0.1131
78.47,300.275,4.9184,0.1214
82.46,300.775,4.9151,0.1273
86.13,301.275,4.9129,0.1327
89.48,301.775,4.9093,0.1385
92.60,302.275,4.9066,0.1428
95.55,302.775,4.9045,0.1454
98.31,303.275,4.9020,0.1499
100.93,303.775,4.8997,0.1518
103.41,304.275,4.8990,0.1545
105.80,304.775,4.8964,0.1570
108.09,305.275,4.8945,0.1590
110.31,305.775,4.8929,0.1614
112.44,306.275,4.8923,0.1646
114.51,306.775,4.8905,0.1662
116.51,307.275,4.8895,0.1678
118.46,307.775,4.8871,0.1710
120.34,308.275,4.8858,0.1731
122.18,308.775,4.8834,0.1745
123.97,309.275,4.8820,0.1771
125.73,309.775,4.8814,0.1804
127.45,310.275,4.8794,0.1822
129.15,310.775,4.8785,0.1855
130.81,311.275,4.8777,0.1895
132.45,311.775,4.8777,0.1908
134.05,312.275,4.8754,0.1937
135.63,312.775,4.8740,0.1984
137.18,313.275,4.8730,0.2015
138.71,313.775,4.8720,0.2047
140.21,314.275,4.8715,0.2094
141.70,314.775,4.8705,0.2129
143.17,315.275,4.8696,0.2159
144.63,315.775,4.8689,0.2203
146.07,316.275,4.8679,0.2248
147.49,316.775,4.8674,0.2307
148.89,317.275,4.8676,0.2357
150.28,317.775,4.8654,0.2408
151.65,318.275,4.8644,0.2461
153.01,318.775,4.8642,0.2518
154.37,319.275,4.8640,0.2564
155.72,319.775,4.8638,0.2619
157.06,320.275,4.8636,0.2692
158.39,320.775,4.8642,0.2752
159.71,321.275,4.8633,0.2812
161.02,321.775,4.8625,0.2871
162.32,322.275,4.8620,0.2937
163.62,322.775,4.8617,0.3014
164.91,323.275,4.8614,0.3080
166.19,323.775,4.8612,0.3148
167.47,324.275,4.8611,0.3222
168.74,324.775,4.8605,0.3286
170.00,325.275,4.8599,0.3369
171.25,325.775,4.8596,0.3443
172.51,326.275,4.8593,0.3516
173.76,326.775,4.8589,0.3609
175.00,327.275,4.8583,0.3681
176.24,327.775,4.8574,0.3768
177.48,328.275,4.8572,0.3850
178.71,328.775,4.8568,0.3930
179.94,329.275,4.8565,0.4015
181.16,329.775,4.8562,0.4098
182.39,330.275,4.8557,0.4193
183.61,330.775,4.8550,0.4258
184.83,331.275,4.8543,0.4357
186.05,331.775,4.8535,0.4455
187.26,332.275,4.8529,0.4553
188.46,332.775,4.8522,0.4661
189.67,333.275,4.8516,0.4739
190.88,333.775,4.8510,0.4840
192.08,334.275,4.8505,0.4926
193.29,334.775,4.8499,0.5028
194.50,335.275,4.8494,0.5119
195.70,335.775,4.8491,0.5200
196.91,336.275,4.8487,0.5305
198.11,336.775,4.8483,0.5396
199.32,337.275,4.8478,0.5485
200.52,337.775,4.8474,0.5575
201.72,338.275,4.8471,0.5669
202.93,338.775,4.8462,0.5764
204.14,339.275,4.8452,0.5854
205.35,339.775,4.8445,0.5927
206.55,340.275,4.8439,0.6016
207.76,340.775,4.8435,0.6101
208.97,341.275,4.8431,0.6175
210.18,341.775,4.8426,0.6256
211.40,342.275,4.8418,0.6341
212.62,342.775,4.8411,0.6417
213.84,343.275,4.8406,0.6480
215.07,343.775,4.8401,0.6541
216.29,344.275,4.8395,0.6608
217.51,344.775,4.8388,0.6689
218.74,345.275,4.8379,0.6738
219.96,345.775,4.8370,0.6804
221.19,346.275,4.8363,0.6842
222.42,346.775,4.8355,0.6910
223.66,347.275,4.8349,0.6958
224.89,347.775,4.8344,0.7012
226.13,348.275,4.8337,0.7058
227.37,348.775,4.8331,0.7099
228.61,349.275,4.8318,0.7140
229.85,349.775,4.8301,0.7181
231.09,350.275,4.8294,0.7210
232.34,350.775,4.8288,0.7232
233.59,351.275,4.8281,0.7259
234.84,351.775,4.8270,0.7276
236.10,352.275,4.8261,0.7292
237.36,352.775,4.8254,0.7306
238.62,353.275,4.8246,0.7309
239.87,353.775,4.8238,0.7311
241.14,354.275,4.8232,0.7309
