Time (s),Temperature (K),Mass (mg),Heat Flow (W/g)
0.00,295.062,5.1407,0.0223
29.55,295.562,5.1303,0.0194
36.17,296.062,5.1259,0.0116
40.72,296.562,5.1197,-0.00168
44.27,297.062,5.1135,-0.0189
47.14,297.562,5.1073,-0.0382
49.59,298.062,5.1013,-0.0594
51.78,298.562,5.0960,-0.0837
53.74,299.062,5.0905,-0.1073
55.54,299.562,5.0858,-0.13215
57.17,300.062,5.0809,-0.15688
58.70,300.562,5.0763,-0.1838
60.12,301.062,5.0716,-0.20927
61.45,301.562,5.0671,-0.23491
62.72,302.062,5.0625,-0.26119
63.91,302.562,5.0579,-0.28806
65.06,303.062,5.0534,-0.31565
66.16,303.562,5.0492,-0.3416
67.21,304.062,5.0446,-0.36743
68.22,304.562,5.0404,-0.39429
69.20,305.062,5.0363,-0.4199
70.13,305.562,5.0322,-0.44585
71.04,306.062,5.0281,-0.47165
71.92,306.562,5.0244,-0.49674
72.78,307.062,5.0208,-0.52219
73.61,307.562,5.0172,-0.54707
74.43,308.062,5.0135,-0.57229
75.21,308.562,5.0104,-0.59635
75.99,309.062,5.0073,-0.61997
76.75,309.562,5.0044,-0.64442
77.49,310.062,5.0015,-0.66698
78.22,310.562,4.9987,-0.69116
78.93,311.062,4.9960,-0.71378
79.62,311.562,4.9934,-0.73565
80.31,312.062,4.9909,-0.75778
80.98,312.562,4.9885,-0.7788
81.64,313.062,4.9861,-0.80006
82.29,313.562,4.9838,-0.82095
82.94,314.062,4.9815,-0.84234
83.57,314.562,4.9793,-0.8623
84.20,315.062,4.9772,-0.88284
84.81,315.562,4.9751,-0.90228
85.42,316.062,4.9730,-0.92106
86.02,316.562,4.9709,-0.93977
86.62,317.062,4.9690,-0.95715
87.19,317.562,4.9670,-0.97337
87.77,318.062,4.9648,-0.99136
88.34,318.562,4.9628,-1.00764
88.90,319.062,4.9611,-1.02147
89.46,319.562,4.9594,-1.03806
90.02,320.062,4.9577,-1.05255
90.56,320.562,4.9561,-1.06708
91.11,321.062,4.9544,-1.08158
91.64,321.562,4.9528,-1.09412
92.18,322.062,4.9514,-1.10673
92.71,322.562,4.9499,-1.11924
93.23,323.062,4.9485,-1.13171
93.75,323.562,4.9472,-1.14281
94.26,324.062,4.9458,-1.15275
94.77,324.562,4.9445,-1.1644
95.28,325.062,4.9433,-1.17364
95.79,325.562,4.9422,-1.18333
96.29,326.062,4.9411,-1.19193
96.79,326.562,4.9401,-1.20057
97.29,327.062,4.9390,-1.20864
97.78,327.562,4.9380,-1.21573
98.27,328.062,4.9369,-1.22188
98.76,328.562,4.9360,-1.22867
99.24,329.062,4.9351,-1.2344
99.72,329.562,4.9342,-1.23967
100.20,330.062,4.9333,-1.24533
100.68,330.562,4.9324,-1.25078
101.15,331.062,4.9315,-1.25455
101.63,331.562,4.9306,-1.25892
102.10,332.062,4.9299,-1.26287
102.57,332.562,4.9291,-1.26672
103.03,333.062,4.9282,-1.26978
103.50,333.562,4.9274,-1.27101
103.96,334.062,4.9266,-1.27116
104.42,334.562,4.9258,-1.27218
104.88,335.062,4.9251,-1.2735
105.34,335.562,4.9243,-1.27298
105.80,336.062,4.9236,-1.27272
106.26,336.562,4.9229,-1.27198
106.71,337.062,4.9222,-1.271
107.17,337.562,4.9215,-1.2690300000000003
107.62,338.062,4.9209,-1.2664800000000003
108.08,338.562,4.9203,-1.2634000000000005
108.53,339.062,4.9197,-1.2585600000000003
108.98,339.562,4.9191,-1.2545200000000005
109.43,340.062,4.9186,-1.2500200000000004
109.88,340.562,4.9181,-1.2446700000000006
110.33,341.062,4.9176,-1.2397200000000006
110.78,341.562,4.9171,-1.2343600000000006
111.23,342.062,4.9166,-1.2281000000000006
111.67,342.562,4.9161,-1.2210200000000009
112.12,343.062,4.9157,-1.213740000000001
112.57,343.562,4.9152,-1.204950000000001
113.01,344.062,4.9148,-1.195930000000001
113.46,344.562,4.9144,-1.187480000000001
113.90,345.062,4.9141,-1.1792600000000009
114.35,345.562,4.9137,-1.170590000000001
114.80,346.062,4.9134,-1.1616400000000011
115.24,346.562,4.9131,-1.151770000000001
115.69,347.062,4.9128,-1.1418600000000012
116.14,347.562,4.9124,-1.1308100000000014
116.58,348.062,4.9121,-1.1192800000000014
117.02,348.562,4.9118,-1.1093100000000011
117.47,349.062,4.9115,-1.0991500000000012
117.91,349.562,4.9112,-1.0879200000000013
118.36,350.062,4.9110,-1.0757300000000014
118.80,350.562,4.9107,-1.0632400000000013
119.25,351.062,4.9104,-1.0510600000000014
119.69,351.562,4.9102,-1.0371200000000016
120.14,352.062,4.9099,-1.0245000000000013
120.58,352.562,4.9096,-1.0116800000000015
121.03,353.062,4.9093,-0.9988400000000014
121.47,353.562,4.9091,-0.9856800000000014
121.92,354.062,4.9088,-0.9726100000000014
122.36,354.562,4.9085,-0.9597300000000014
122.81,355.062,4.9082,-0.9463000000000016
123.26,355.562,4.9078,-0.9317600000000017
123.71,356.062,4.9075,-0.9173900000000017
124.15,356.562,4.9072,-0.9030800000000017
124.60,357.062,4.9068,-0.8883400000000017
125.05,357.562,4.9064,-0.8739600000000016
125.49,358.062,4.9060,-0.8602900000000016
125.94,358.562,4.9055,-0.8462500000000015
126.39,359.062,4.9050,-0.8320900000000016
126.84,359.562,4.9046,-0.8180200000000015
127.29,360.062,4.9041,-0.8044300000000015
127.74,360.562,4.9035,-0.7904500000000015
128.18,361.062,4.9030,-0.7773600000000015
128.64,361.562,4.9024,-0.7644100000000015
129.09,362.062,4.9018,-0.7507200000000016
129.54,362.562,4.9012,-0.7372600000000016
129.99,363.062,4.9006,-0.7241400000000014
130.44,363.562,4.9000,-0.7118800000000014
130.90,364.062,4.8993,-0.6994300000000014
131.35,364.562,4.8987,-0.6868400000000014
131.80,365.062,4.8980,-0.6741800000000014
132.26,365.562,4.8973,-0.6602100000000015
132.71,366.062,4.8967,-0.6483500000000013
133.17,366.562,4.8960,-0.6376300000000013
133.63,367.062,4.8953,-0.6260000000000013
134.09,367.562,4.8947,-0.6138600000000013
134.55,368.062,4.8940,-0.6032400000000012
135.01,368.562,4.8933,-0.5930300000000011
135.47,369.062,4.8926,-0.5837000000000011
135.93,369.562,4.8919,-0.574460000000001
136.39,370.062,4.8911,-0.565740000000001
136.86,370.562,4.8903,-0.5569500000000009
137.33,371.062,4.8896,-0.548110000000001
137.79,371.562,4.8887,-0.5400700000000009
138.26,372.062,4.8879,-0.5338600000000007
138.73,372.562,4.8871,-0.5267300000000008
139.21,373.062,4.8862,-0.5210400000000006
139.68,373.562,4.8853,-0.5153500000000006
140.15,374.062,4.8844,-0.5092800000000006
140.62,374.562,4.8835,-0.5047100000000005
141.10,375.062,4.8826,-0.5005400000000004
141.57,375.562,4.8816,-0.4967000000000004
142.05,376.062,4.8807,-0.4931400000000004
142.53,376.562,4.8797,-0.49040000000000034
143.01,377.062,4.8788,-0.48800000000000027
143.49,377.562,4.8778,-0.4862400000000002
143.97,378.062,4.8769,-0.4839300000000003
144.46,378.562,4.8760,-0.48328000000000004
144.94,379.062,4.8751,-0.48301000000000005
145.43,379.562,4.8742,-0.48346999999999996
145.92,380.062,4.8733,-0.48391999999999996
146.41,380.562,4.8725,-0.4851199999999999
146.90,381.062,4.8717,-0.48567999999999995
147.39,381.562,4.8709,-0.4867899999999999
147.88,382.062,4.8701,-0.4887399999999998
148.37,382.562,4.8694,-0.49170999999999965
148.87,383.062,4.8687,-0.4946899999999997
149.37,383.562,4.8680,-0.4991099999999995
149.87,384.062,4.8673,-0.5036799999999995
150.37,384.562,4.8667,-0.5075299999999996
150.87,385.062,4.8661,-0.5126399999999994
151.38,385.562,4.8656,-0.5188499999999994
151.88,386.062,4.8650,-0.5235299999999995
152.39,386.562,4.8645,-0.5289899999999993
152.89,387.062,4.8640,-0.5352499999999993
153.40,387.562,4.8635,-0.5409799999999994
153.91,388.062,4.8631,-0.5470399999999993
154.42,388.562,4.8626,-0.5531599999999993
154.93,389.062,4.8622,-0.561619999999999
155.44,389.562,4.8618,-0.5694899999999992
155.95,390.062,4.8614,-0.5777399999999991
156.47,390.562,4.8610,-0.5852699999999991
156.99,391.062,4.8607,-0.5920999999999992
157.51,391.562,4.8603,-0.6013699999999988
158.02,392.062,4.8600,-0.610489999999999
158.54,392.562,4.8597,-0.619139999999999
159.07,393.062,4.8594,-0.627689999999999
159.59,393.562,4.8591,-0.6372299999999989
160.11,394.062,4.8588,-0.646509999999999
160.64,394.562,4.8585,-0.655499999999999
161.17,395.062,4.8582,-0.6633299999999991
161.70,395.562,4.8580,-0.6728499999999988
162.22,396.062,4.8578,-0.6824799999999989
162.76,396.562,4.8575,-0.6919499999999988
163.29,397.062,4.8573,-0.701089999999999
163.82,397.562,4.8572,-0.710169999999999
164.35,398.062,4.8570,-0.719119999999999
164.89,398.562,4.8568,-0.727739999999999
165.43,399.062,4.8567,-0.736339999999999
165.96,399.562,4.8566,-0.7462699999999989
166.50,400.062,4.8565,-0.755449999999999
167.04,400.562,4.8564,-0.764179999999999
167.58,401.062,4.8563,-0.772939999999999
168.12,401.562,4.8563,-0.781549999999999
168.66,402.062,4.8562,-0.7893199999999991
169.21,402.562,4.8562,-0.7973699999999991
169.75,403.062,4.8562,-0.8047199999999991
170.30,403.562,4.8561,-0.8126699999999991
170.85,404.062,4.8561,-0.8207599999999992
171.39,404.562,4.8561,-0.8284299999999991
171.94,405.062,4.8561,-0.8352099999999992
172.49,405.562,4.8561,-0.8417199999999992
173.04,406.062,4.8561,-0.8480599999999994
173.59,406.562,4.8560,-0.8546099999999992
174.15,407.062,4.8560,-0.8600999999999993
174.70,407.562,4.8560,-0.8664799999999993
175.26,408.062,4.8560,-0.8733199999999992
175.81,408.562,4.8559,-0.8791699999999993
176.37,409.062,4.8559,-0.8847299999999994
176.93,409.562,4.8559,-0.8900899999999995
177.49,410.062,4.8558,-0.8945099999999995
178.05,410.562,4.8558,-0.8985799999999996
178.61,411.062,4.8558,-0.9029199999999995
179.17,411.562,4.8558,-0.9073099999999995
179.73,412.062,4.8557,-0.9106499999999996
180.29,412.562,4.8557,-0.9142099999999995
180.86,413.062,4.8557,-0.9178499999999996
181.42,413.562,4.8558,-0.9210499999999997
181.99,414.062,4.8558,-0.9243799999999996
182.56,414.562,4.8558,-0.9276299999999996
183.12,415.062,4.8559,-0.9309699999999996
183.69,415.562,4.8560,-0.9335199999999997
184.26,416.062,4.8561,-0.9361599999999997
184.83,416.562,4.8562,-0.9388899999999997
185.40,417.062,4.8563,-0.9412399999999997
185.97,417.562,4.8564,-0.9437799999999996
186.54,418.062,4.8566,-0.9448299999999998
187.11,418.562,4.8567,-0.9461699999999998
187.68,419.062,4.8569,-0.9475699999999999
188.25,419.562,4.8571,-0.9502299999999997
188.83,420.062,4.8573,-0.9522499999999998
189.40,420.562,4.8575,-0.9546599999999997
189.98,421.062,4.8577,-0.9566799999999998
190.56,421.562,4.8579,-0.9585299999999998
191.13,422.062,4.8581,-0.9600799999999998
191.71,422.562,4.8583,-0.9613299999999999
192.29,423.062,4.8586,-0.96134
192.87,423.562,4.8588,-0.9626599999999998
193.45,424.062,4.8590,-0.9643699999999997
194.02,424.562,4.8593,-0.9656799999999999
194.60,425.062,4.8595,-0.9672399999999998
195.18,425.562,4.8597,-0.9690499999999997
195.76,426.062,4.8599,-0.9708499999999998
196.34,426.562,4.8601,-0.9724299999999998
196.92,427.062,4.8603,-0.9747799999999998
197.50,427.562,4.8605,-0.9765899999999997
198.08,428.062,4.8607,-0.9774999999999999
198.66,428.562,4.8609,-0.9792999999999997
199.25,429.062,4.8611,-0.9818199999999997
