Time (s),Temperature (K),Mass (mg),Heat Flow (W/g)
0.00,295.477,5.1201,0.0449
42.26,295.977,5.0998,0.10116
53.30,296.477,5.0969,0.14374
60.92,296.977,5.0936,0.17852
67.05,297.477,5.0891,0.20859
72.23,297.977,5.0863,0.23463
76.68,298.477,5.0827,0.25759
80.66,298.977,5.0788,0.27709
84.27,299.477,5.0760,0.29613
87.60,299.977,5.0729,0.31355
90.70,300.477,5.0704,0.32717
93.61,300.977,5.0678,0.34492
96.34,301.477,5.0664,0.35799
98.91,301.977,5.0626,0.37278
101.36,302.477,5.0599,0.38464
103.72,302.977,5.0578,0.39688
105.99,303.477,5.0570,0.40815
108.17,303.977,5.0552,0.42006
110.27,304.477,5.0532,0.43055
112.31,304.977,5.0518,0.44155
114.29,305.477,5.0502,0.45203
116.20,305.977,5.0487,0.46222
118.07,306.477,5.0454,0.47133
119.88,306.977,5.0442,0.48143
121.65,307.477,5.0423,0.49055
123.38,307.977,5.0411,0.50067
125.07,308.477,5.0406,0.51012
126.74,308.977,5.0395,0.51981
128.37,309.477,5.0384,0.52862
129.97,309.977,5.0376,0.53726
131.54,310.477,5.0354,0.54733
133.08,310.977,5.0342,0.55645
134.61,311.477,5.0328,0.56599
136.11,311.977,5.0325,0.57537
137.59,312.477,5.0309,0.5846
139.05,312.977,5.0294,0.59345
140.49,313.477,5.0293,0.60422
141.91,313.977,5.0281,0.61153
143.32,314.477,5.0267,0.62188
144.70,314.977,5.0263,0.63171
146.08,315.477,5.0268,0.64219
147.45,315.977,5.0253,0.65155
148.81,316.477,5.0241,0.66139
150.15,316.977,5.0241,0.67126
151.48,317.477,5.0230,0.68053
152.80,317.977,5.0219,0.69087
154.11,318.477,5.0209,0.70151
155.40,318.977,5.0204,0.71122
156.69,319.477,5.0196,0.72167
157.96,319.977,5.0189,0.73185
159.23,320.477,5.0185,0.74176
160.49,320.977,5.0189,0.75233
161.74,321.477,5.0182,0.76216
162.99,321.977,5.0180,0.77345
164.24,322.477,5.0174,0.78229
165.47,322.977,5.0176,0.79389
166.71,323.477,5.0175,0.80342
167.93,323.977,5.0167,0.81554
169.16,324.477,5.0162,0.82562
170.37,324.977,5.0153,0.83683
171.59,325.477,5.0146,0.84727
172.80,325.977,5.0141,0.8596
174.01,326.477,5.0135,0.87089
175.21,326.977,5.0130,0.88161
176.41,327.477,5.0124,0.89283
177.61,327.977,5.0118,0.9026
178.80,328.477,5.0114,0.91429
179.99,328.977,5.0108,0.92647
181.18,329.477,5.0104,0.93711
182.37,329.977,5.0098,0.94996
183.56,330.477,5.0093,0.961
184.74,330.977,5.0089,0.97366
185.92,331.477,5.0081,0.98457
187.11,331.977,5.0076,0.99539
188.28,332.477,5.0070,1.00649
189.46,332.977,5.0065,1.0175
190.64,333.477,5.0060,1.02895
191.82,333.977,5.0056,1.04071
192.99,334.477,5.0052,1.05107
194.16,334.977,5.0047,1.06239
195.34,335.477,5.0043,1.07291
196.52,335.977,5.0040,1.08379
197.69,336.477,5.0037,1.09354
198.87,336.977,5.0034,1.10606
200.05,337.477,5.0027,1.11573
201.23,337.977,5.0019,1.12547
202.41,338.477,5.0013,1.13482
203.59,338.977,5.0008,1.14386
204.78,339.477,5.0005,1.15354
205.97,339.977,4.9997,1.16175
207.16,340.477,4.9987,1.17142
208.35,340.977,4.9980,1.18072
209.54,341.477,4.9970,1.18945
210.73,341.977,4.9958,1.19827
211.92,342.477,4.9950,1.206
213.11,342.977,4.9940,1.2138
214.31,343.477,4.9931,1.22014
215.51,343.977,4.9924,1.22738
216.71,344.477,4.9914,1.23488
217.91,344.977,4.9903,1.24229
219.12,345.477,4.9895,1.2472
220.33,345.977,4.9885,1.2547
221.54,346.477,4.9870,1.26032
222.76,346.977,4.9861,1.2663
223.97,347.477,4.9853,1.27078
225.19,347.977,4.9844,1.27634
226.41,348.477,4.9835,1.28065
227.63,348.977,4.9817,1.28457
228.86,349.477,4.9809,1.28897
230.09,349.977,4.9808,1.29014
231.32,350.477,4.9803,1.2931
232.55,350.977,4.9797,1.29667
233.78,351.477,4.9789,1.29822
235.02,351.977,4.9779,1.30078
236.26,352.477,4.9771,1.30247
237.51,352.977,4.9759,1.3032
238.76,353.477,4.9752,1.3038
240.00,353.977,4.9743,1.30449
241.25,354.477,4.9734,1.30423
242.50,354.977,4.9710,1.30246
243.75,355.477,4.9705,1.30151
245.01,355.977,4.9696,1.30064
246.27,356.477,4.9690,1.29863
247.53,356.977,4.9683,1.29528
248.80,357.477,4.9674,1.29316
250.07,357.977,4.9669,1.28955
251.33,358.477,4.9665,1.28586
252.60,358.977,4.9656,1.28186
253.88,359.477,4.9648,1.27786
255.15,359.977,4.9641,1.27191
256.42,360.477,4.9632,1.26693
257.70,360.977,4.9615,1.263
258.98,361.477,4.9609,1.25698
260.26,361.977,4.9600,1.25116
261.54,362.477,4.9591,1.2439
262.82,362.977,4.9582,1.23734
264.11,363.477,4.9576,1.23085
265.40,363.977,4.9569,1.22434
266.68,364.477,4.9563,1.21644
267.98,364.977,4.9556,1.20892
269.28,365.477,4.9546,1.20092
270.57,365.977,4.9536,1.193
271.87,366.477,4.9529,1.1837
273.17,366.977,4.9511,1.17568
274.47,367.477,4.9496,1.16825
275.78,367.977,4.9492,1.15883
277.10,368.477,4.9479,1.14951
278.41,368.977,4.9471,1.14011
279.73,369.477,4.9464,1.13163
281.05,369.977,4.9458,1.12208
282.36,370.477,4.9454,1.11223
283.67,370.977,4.9451,1.10333
284.99,371.477,4.9446,1.09369
286.31,371.977,4.9443,1.08397
287.63,372.477,4.9439,1.07382
288.95,372.977,4.9429,1.06435
290.28,373.477,4.9420,1.05465
291.60,373.977,4.9419,1.04562
292.93,374.477,4.9413,1.03655
294.25,374.977,4.9408,1.02699
295.58,375.477,4.9404,1.01783
296.91,375.977,4.9399,1.00765
298.24,376.477,4.9394,0.99816
299.57,376.977,4.9389,0.99062
300.90,377.477,4.9388,0.97985
302.23,377.977,4.9388,0.97089
303.57,378.477,4.9386,0.96276
304.90,378.977,4.9384,0.95298
306.24,379.477,4.9380,0.94564
307.57,379.977,4.9376,0.93752
308.91,380.477,4.9370,0.92891
310.25,380.977,4.9365,0.92031
311.58,381.477,4.9360,0.91236
312.92,381.977,4.9356,0.9049
314.26,382.477,4.9351,0.89624
315.60,382.977,4.9348,0.88961
316.93,383.477,4.9344,0.88261
318.27,383.977,4.9339,0.8744
319.61,384.477,4.9338,0.86718
320.94,384.977,4.9338,0.8628
322.28,385.477,4.9337,0.85428
323.61,385.977,4.9337,0.8487
324.95,386.477,4.9338,0.84242
326.28,386.977,4.9338,0.83675
327.62,387.477,4.9338,0.8305
328.96,387.977,4.9338,0.82522
330.29,388.477,4.9336,0.8196
331.62,388.977,4.9336,0.81589
332.95,389.477,4.9335,0.80955
334.28,389.977,4.9334,0.80546
335.61,390.477,4.9332,0.80136
336.93,390.977,4.9331,0.7966
338.26,391.477,4.9330,0.79188
339.58,391.977,4.9330,0.78991
340.90,392.477,4.9329,0.78432
342.22,392.977,4.9329,0.78234
343.53,393.477,4.9329,0.77962
344.86,393.977,4.9328,0.77505
346.17,394.477,4.9328,0.77227
347.49,394.977,4.9328,0.76883
348.80,395.477,4.9327,0.76675
350.11,395.977,4.9325,0.7635
351.42,396.477,4.9325,0.76158
352.73,396.977,4.9324,0.75955
354.03,397.477,4.9323,0.75771
355.34,397.977,4.9321,0.75558
356.64,398.477,4.9320,0.75454
357.94,398.977,4.9318,0.75153
359.23,399.477,4.9317,0.74955
360.53,399.977,4.9316,0.74799
361.82,400.477,4.9313,0.74664
363.11,400.977,4.9312,0.74477
364.41,401.477,4.9311,0.74328
365.70,401.977,4.9310,0.74174
366.99,402.477,4.9308,0.74177
368.28,402.977,4.9306,0.74044
369.57,403.477,4.9305,0.73842
370.85,403.977,4.9303,0.73776
372.13,404.477,4.9302,0.73713
373.43,404.977,4.9301,0.73617
374.71,405.477,4.9300,0.73484
376.00,405.977,4.9299,0.73422
377.28,406.477,4.9298,0.73341
378.56,406.977,4.9296,0.73348
379.83,407.477,4.9299,0.73187
381.10,407.977,4.9304,0.73167
382.37,408.477,4.9307,0.73137
383.64,408.977,4.9308,0.73042
384.90,409.477,4.9307,0.73054
386.17,409.977,4.9307,0.72978
387.44,410.477,4.9307,0.7305
388.71,410.977,4.9307,0.73011
389.98,411.477,4.9306,0.72967
391.25,411.977,4.9305,0.7289
392.51,412.477,4.9305,0.72881
393.77,412.977,4.9305,0.72806
395.03,413.477,4.9305,0.7284
396.29,413.977,4.9303,0.7277
397.54,414.477,4.9303,0.72817
398.80,414.977,4.9303,0.72816
400.05,415.477,4.9302,0.72844
401.30,415.977,4.9302,0.72826
402.56,416.477,4.9301,0.72827
403.81,416.977,4.9300,0.72829
405.07,417.477,4.9300,0.72811
406.33,417.977,4.9300,0.72861
407.58,418.477,4.9300,0.72847
408.84,418.977,4.9299,0.72892
410.10,419.477,4.9299,0.72835
411.35,419.977,4.9299,0.72918
412.61,420.477,4.9298,0.72975
413.87,420.977,4.9297,0.72967
415.12,421.477,4.9296,0.73032
416.37,421.977,4.9295,0.72973
417.63,422.477,4.9294,0.73021
418.89,422.977,4.9293,0.73026
420.15,423.477,4.9292,0.73053
421.40,423.977,4.9291,0.73115
422.66,424.477,4.9290,0.73168
423.92,424.977,4.9289,0.73176
425.18,425.477,4.9289,0.73188
426.43,425.977,4.9288,0.73203
427.69,426.477,4.9287,0.73291
428.95,426.977,4.9286,0.73302
430.21,427.477,4.9285,0.73351
431.47,427.977,4.9285,0.73405
432.74,428.477,4.9284,0.73416
434.01,428.977,4.9285,0.73578
435.27,429.477,4.9284,0.7357
436.53,429.977,4.9284,0.73608
437.79,430.477,4.9283,0.73631
439.06,430.977,4.9284,0.73651
440.33,431.477,4.9283,0.73729
441.60,431.977,4.9283,0.73762
442.87,432.477,4.9283,0.73773
444.14,432.977,4.9283,0.7377
445.42,433.477,4.9283,0.73768
446.69,433.977,4.9283,0.73855
447.97,434.477,4.9283,0.73938
449.25,434.977,4.9283,0.74014
450.53,435.477,4.9283,0.74024
451.80,435.977,4.9283,0.74069
453.08,436.477,4.9283,0.74132
454.36,436.977,4.9283,0.7411
455.64,437.477,4.9284,0.7415
456.93,437.977,4.9284,0.74203
458.22,438.477,4.9284,0.743
459.50,438.977,4.9284,0.74319
460.79,439.477,4.9285,0.74334
462.08,439.977,4.9284,0.74389
463.37,440.477,4.9285,0.7441
464.66,440.977,4.9285,0.74412
465.96,441.477,4.9286,0.74442
467.26,441.977,4.9285,0.74516
468.56,442.477,4.9287,0.74566
469.86,442.977,4.9289,0.74556
471.17,443.477,4.9290,0.7457
472.47,443.977,4.9291,0.74593
473.77,444.477,4.9291,0.7464
475.07,444.977,4.9292,0.74694
476.38,445.477,4.9292,0.74777
477.69,445.977,4.9293,0.74829
479.00,446.477,4.9294,0.74897
480.31,446.977,4.9294,0.74937
481.62,447.477,4.9295,0.74999
482.93,447.977,4.9296,0.75118
484.25,448.477,4.9296,0.75167
485.56,448.977,4.9296,0.75238
486.88,449.477,4.9298,0.7531
488.20,449.977,4.9298,0.75332
489.52,450.477,4.9299,0.75396
490.85,450.977,4.9298,0.75433
492.17,451.477,4.9294,0.75478
493.50,451.977,4.9294,0.75427
494.82,452.477,4.9293,0.75489
496.14,452.977,4.9292,0.75452
