Time (s),Temperature (K),Mass (mg),Heat Flow (mW/mg)
0.00,295.062,5.1407,0.0223
29.55,295.562,5.1303,0.0194
36.17,296.062,5.1259,0.0116
40.72,296.562,5.1197,-0.0017
44.27,297.062,5.1135,-0.0189
47.14,297.562,5.1073,-0.0382
49.59,298.062,5.1013,-0.0594
51.78,298.562,5.0960,-0.0837
53.74,299.062,5.0905,-0.1073
55.54,299.562,5.0858,-0.1321
57.17,300.062,5.0809,-0.1569
58.70,300.562,5.0763,-0.1838
60.12,301.062,5.0716,-0.2093
61.45,301.562,5.0671,-0.2349
62.72,302.062,5.0625,-0.2612
63.91,302.562,5.0579,-0.2881
65.06,303.062,5.0534,-0.3156
66.16,303.562,5.0492,-0.3416
67.21,304.062,5.0446,-0.3674
68.22,304.562,5.0404,-0.3943
69.20,305.062,5.0363,-0.4199
70.13,305.562,5.0322,-0.4459
71.04,306.062,5.0281,-0.4717
71.92,306.562,5.0244,-0.4967
72.78,307.062,5.0208,-0.5222
73.61,307.562,5.0172,-0.5471
74.43,308.062,5.0135,-0.5723
75.21,308.562,5.0104,-0.5964
75.99,309.062,5.0073,-0.6200
76.75,309.562,5.0044,-0.6444
77.49,310.062,5.0015,-0.6670
78.22,310.562,4.9987,-0.6912
78.93,311.062,4.9960,-0.7138
79.62,311.562,4.9934,-0.7357
80.31,312.062,4.9909,-0.7578
80.98,312.562,4.9885,-0.7788
81.64,313.062,4.9861,-0.8001
82.29,313.562,4.9838,-0.8209
82.94,314.062,4.9815,-0.8423
83.57,314.562,4.9793,-0.8623
84.20,315.062,4.9772,-0.8828
84.81,315.562,4.9751,-0.9023
85.42,316.062,4.9730,-0.9211
86.02,316.562,4.9709,-0.9398
86.62,317.062,4.9690,-0.9571
87.19,317.562,4.9670,-0.9734
87.77,318.062,4.9648,-0.9914
88.34,318.562,4.9628,-1.0076
88.90,319.062,4.9611,-1.0215
89.46,319.562,4.9594,-1.0381
90.02,320.062,4.9577,-1.0526
90.56,320.562,4.9561,-1.0671
91.11,321.062,4.9544,-1.0816
91.64,321.562,4.9528,-1.0941
92.18,322.062,4.9514,-1.1067
92.71,322.562,4.9499,-1.1192
93.23,323.062,4.9485,-1.1317
93.75,323.562,4.9472,-1.1428
94.26,324.062,4.9458,-1.1527
94.77,324.562,4.9445,-1.1644
95.28,325.062,4.9433,-1.1736
95.79,325.562,4.9422,-1.1833
96.29,326.062,4.9411,-1.1919
96.79,326.562,4.9401,-1.2006
97.29,327.062,4.9390,-1.2086
97.78,327.562,4.9380,-1.2157
98.27,328.062,4.9369,-1.2219
98.76,328.562,4.9360,-1.2287
99.24,329.062,4.9351,-1.2344
99.72,329.562,4.9342,-1.2397
100.20,330.062,4.9333,-1.2453
100.68,330.562,4.9324,-1.2508
101.15,331.062,4.9315,-1.2546
101.63,331.562,4.9306,-1.2589
102.10,332.062,4.9299,-1.2629
102.57,332.562,4.9291,-1.2667
103.03,333.062,4.9282,-1.2698
103.50,333.562,4.9274,-1.2710
103.96,334.062,4.9266,-1.2712
104.42,334.562,4.9258,-1.2722
104.88,335.062,4.9251,-1.2735
105.34,335.562,4.9243,-1.2730
105.80,336.062,4.9236,-1.2727
106.26,336.562,4.9229,-1.2720
106.71,337.062,4.9222,-1.2710
107.17,337.562,4.9215,-1.2690
107.62,338.062,4.9209,-1.2665
108.08,338.562,4.9203,-1.2634
108.53,339.062,4.9197,-1.2586
108.98,339.562,4.9191,-1.2545
109.43,340.062,4.9186,-1.2500
109.88,340.562,4.9181,-1.2447
110.33,341.062,4.9176,-1.2397
110.78,341.562,4.9171,-1.2344
111.23,342.062,4.9166,-1.2281
111.67,342.562,4.9161,-1.2210
112.12,343.062,4.9157,-1.2137
112.57,343.562,4.9152,-1.2050
113.01,344.062,4.9148,-1.1959
113.46,344.562,4.9144,-1.1875
113.90,345.062,4.9141,-1.1793
114.35,345.562,4.9137,-1.1706
114.80,346.062,4.9134,-1.1616
115.24,346.562,4.9131,-1.1518
115.69,347.062,4.9128,-1.1419
116.14,347.562,4.9124,-1.1308
116.58,348.062,4.9121,-1.1193
117.02,348.562,4.9118,-1.1093
117.47,349.062,4.9115,-1.0992
117.91,349.562,4.9112,-1.0879
118.36,350.062,4.9110,-1.0757
118.80,350.562,4.9107,-1.0632
119.25,351.062,4.9104,-1.0511
119.69,351.562,4.9102,-1.0371
120.14,352.062,4.9099,-1.0245
120.58,352.562,4.9096,-1.0117
121.03,353.062,4.9093,-0.9988
121.47,353.562,4.9091,-0.9857
121.92,354.062,4.9088,-0.9726
122.36,354.562,4.9085,-0.9597
122.81,355.062,4.9082,-0.9463
123.26,355.562,4.9078,-0.9318
123.71,356.062,4.9075,-0.9174
124.15,356.562,4.9072,-0.9031
124.60,357.062,4.9068,-0.8883
125.05,357.562,4.9064,-0.8740
125.49,358.062,4.9060,-0.8603
125.94,358.562,4.9055,-0.8463
126.39,359.062,4.9050,-0.8321
126.84,359.562,4.9046,-0.8180
127.29,360.062,4.9041,-0.8044
127.74,360.562,4.9035,-0.7905
128.18,361.062,4.9030,-0.7774
128.64,361.562,4.9024,-0.7644
129.09,362.062,4.9018,-0.7507
129.54,362.562,4.9012,-0.7373
129.99,363.062,4.9006,-0.7241
130.44,363.562,4.9000,-0.7119
130.90,364.062,4.8993,-0.6994
131.35,364.562,4.8987,-0.6868
131.80,365.062,4.8980,-0.6742
132.26,365.562,4.8973,-0.6602
132.71,366.062,4.8967,-0.6484
133.17,366.562,4.8960,-0.6376
133.63,367.062,4.8953,-0.6260
134.09,367.562,4.8947,-0.6139
134.55,368.062,4.8940,-0.6032
135.01,368.562,4.8933,-0.5930
135.47,369.062,4.8926,-0.5837
135.93,369.562,4.8919,-0.5745
136.39,370.062,4.8911,-0.5657
136.86,370.562,4.8903,-0.5570
137.33,371.062,4.8896,-0.5481
137.79,371.562,4.8887,-0.5401
138.26,372.062,4.8879,-0.5339
138.73,372.562,4.8871,-0.5267
139.21,373.062,4.8862,-0.5210
139.68,373.562,4.8853,-0.5154
140.15,374.062,4.8844,-0.5093
140.62,374.562,4.8835,-0.5047
141.10,375.062,4.8826,-0.5005
141.57,375.562,4.8816,-0.4967
142.05,376.062,4.8807,-0.4931
142.53,376.562,4.8797,-0.4904
143.01,377.062,4.8788,-0.4880
143.49,377.562,4.8778,-0.4862
143.97,378.062,4.8769,-0.4839
144.46,378.562,4.8760,-0.4833
144.94,379.062,4.8751,-0.4830
145.43,379.562,4.8742,-0.4835
145.92,380.062,4.8733,-0.4839
146.41,380.562,4.8725,-0.4851
146.90,381.062,4.8717,-0.4857
147.39,381.562,4.8709,-0.4868
147.88,382.062,4.8701,-0.4887
148.37,382.562,4.8694,-0.4917
148.87,383.062,4.8687,-0.4947
149.37,383.562,4.8680,-0.4991
149.87,384.062,4.8673,-0.5037
150.37,384.562,4.8667,-0.5075
150.87,385.062,4.8661,-0.5126
151.38,385.562,4.8656,-0.5188
151.88,386.062,4.8650,-0.5235
152.39,386.562,4.8645,-0.5290
152.89,387.062,4.8640,-0.5352
153.40,387.562,4.8635,-0.5410
153.91,388.062,4.8631,-0.5470
154.42,388.562,4.8626,-0.5532
154.93,389.062,4.8622,-0.5616
155.44,389.562,4.8618,-0.5695
155.95,390.062,4.8614,-0.5777
156.47,390.562,4.8610,-0.5853
156.99,391.062,4.8607,-0.5921
157.51,391.562,4.8603,-0.6014
158.02,392.062,4.8600,-0.6105
158.54,392.562,4.8597,-0.6191
159.07,393.062,4.8594,-0.6277
159.59,393.562,4.8591,-0.6372
160.11,394.062,4.8588,-0.6465
160.64,394.562,4.8585,-0.6555
161.17,395.062,4.8582,-0.6633
161.70,395.562,4.8580,-0.6728
162.22,396.062,4.8578,-0.6825
162.76,396.562,4.8575,-0.6919
163.29,397.062,4.8573,-0.7011
163.82,397.562,4.8572,-0.7102
164.35,398.062,4.8570,-0.7191
164.89,398.562,4.8568,-0.7277
165.43,399.062,4.8567,-0.7363
165.96,399.562,4.8566,-0.7463
166.50,400.062,4.8565,-0.7554
167.04,400.562,4.8564,-0.7642
167.58,401.062,4.8563,-0.7729
168.12,401.562,4.8563,-0.7815
168.66,402.062,4.8562,-0.7893
169.21,402.562,4.8562,-0.7974
169.75,403.062,4.8562,-0.8047
170.30,403.562,4.8561,-0.8127
170.85,404.062,4.8561,-0.8208
171.39,404.562,4.8561,-0.8284
171.94,405.062,4.8561,-0.8352
172.49,405.562,4.8561,-0.8417
173.04,406.062,4.8561,-0.8481
173.59,406.562,4.8560,-0.8546
174.15,407.062,4.8560,-0.8601
174.70,407.562,4.8560,-0.8665
175.26,408.062,4.8560,-0.8733
175.81,408.562,4.8559,-0.8792
176.37,409.062,4.8559,-0.8847
176.93,409.562,4.8559,-0.8901
177.49,410.062,4.8558,-0.8945
178.05,410.562,4.8558,-0.8986
178.61,411.062,4.8558,-0.9029
179.17,411.562,4.8558,-0.9073
179.73,412.062,4.8557,-0.9106
180.29,412.562,4.8557,-0.9142
180.86,413.062,4.8557,-0.9178
181.42,413.562,4.8558,-0.9210
181.99,414.062,4.8558,-0.9244
182.56,414.562,4.8558,-0.9276
183.12,415.062,4.8559,-0.9310
183.69,415.562,4.8560,-0.9335
184.26,416.062,4.8561,-0.9362
184.83,416.562,4.8562,-0.9389
185.40,417.062,4.8563,-0.9412
185.97,417.562,4.8564,-0.9438
186.54,418.062,4.8566,-0.9448
187.11,418.562,4.8567,-0.9462
187.68,419.062,4.8569,-0.9476
188.25,419.562,4.8571,-0.9502
188.83,420.062,4.8573,-0.9522
189.40,420.562,4.8575,-0.9547
189.98,421.062,4.8577,-0.9567
190.56,421.562,4.8579,-0.9585
191.13,422.062,4.8581,-0.9601
191.71,422.562,4.8583,-0.9613
192.29,423.062,4.8586,-0.9613
192.87,423.562,4.8588,-0.9627
193.45,424.062,4.8590,-0.9644
194.02,424.562,4.8593,-0.9657
194.60,425.062,4.8595,-0.9672
195.18,425.562,4.8597,-0.9690
195.76,426.062,4.8599,-0.9708
196.34,426.562,4.8601,-0.9724
196.92,427.062,4.8603,-0.9748
197.50,427.562,4.8605,-0.9766
198.08,428.062,4.8607,-0.9775
198.66,428.562,4.8609,-0.9793
199.25,429.062,4.8611,-0.9818
199.83,429.562,4.8613,-0.9824
200.41,430.062,4.8615,-0.9855
200.99,430.562,4.8617,-0.9870
201.58,431.062,4.8619,-0.9901
202.16,431.562,4.8622,-0.9919
202.74,432.062,4.8624,-0.9940
203.32,432.562,4.8626,-0.9960
203.90,433.062,4.8628,-0.9984
204.49,433.562,4.8631,-1.0009
205.07,434.062,4.8633,-1.0035
205.66,434.562,4.8636,-1.0061
206.24,435.062,4.8639,-1.0086
206.82,435.562,4.8641,-1.0108
207.41,436.062,4.8644,-1.0135
207.99,436.562,4.8647,-1.0163
208.57,437.062,4.8649,-1.0193
209.16,437.562,4.8652,-1.0224
209.74,438.062,4.8655,-1.0266
210.32,438.562,4.8657,-1.0302
210.90,439.062,4.8660,-1.0341
211.48,439.562,4.8662,-1.0377
212.06,440.062,4.8665,-1.0415
212.64,440.562,4.8667,-1.0450
213.22,441.062,4.8669,-1.0493
213.80,441.562,4.8671,-1.0536
214.38,442.062,4.8672,-1.0581
214.96,442.562,4.8674,-1.0637
215.54,443.062,4.8675,-1.0687
216.12,443.562,4.8677,-1.0733
216.70,444.062,4.8678,-1.0777
217.27,444.562,4.8679,-1.0821
217.85,445.062,4.8680,-1.0867
218.43,445.562,4.8682,-1.0917
219.01,446.062,4.8683,-1.0968
219.58,446.562,4.8684,-1.1023
220.15,447.062,4.8686,-1.1072
220.73,447.562,4.8687,-1.1131
221.30,448.062,4.8689,-1.1188
