Time (s),Temperature (K),Mass (mg),Heat Flow (mW/mg)
0.00,299.513,4.8275,-0.0169
30.97,300.013,4.8183,-0.0032
37.27,300.513,4.8132,0.0003
41.54,301.013,4.8076,-0.0063
44.91,301.513,4.8028,-0.0161
47.66,302.013,4.7978,-0.0311
50.01,302.513,4.7927,-0.0477
52.13,303.013,4.7877,-0.0641
54.04,303.513,4.7831,-0.0840
55.75,304.013,4.7782,-0.1056
57.32,304.513,4.7734,-0.1265
58.80,305.013,4.7693,-0.1476
60.18,305.513,4.7648,-0.1698
61.47,306.013,4.7607,-0.1940
62.70,306.513,4.7563,-0.2175
63.86,307.013,4.7522,-0.2394
64.98,307.513,4.7482,-0.2631
66.04,308.013,4.7439,-0.2861
67.06,308.513,4.7398,-0.3094
68.05,309.013,4.7358,-0.3322
69.00,309.513,4.7319,-0.3573
69.92,310.013,4.7281,-0.3805
70.81,310.513,4.7241,-0.4031
71.66,311.013,4.7206,-0.4258
72.51,311.513,4.7170,-0.4480
73.32,312.013,4.7138,-0.4710
74.12,312.513,4.7104,-0.4936
74.89,313.013,4.7071,-0.5158
75.65,313.513,4.7041,-0.5381
76.39,314.013,4.7011,-0.5602
77.12,314.513,4.6982,-0.5822
77.83,315.013,4.6956,-0.6032
78.53,315.513,4.6930,-0.6237
79.21,316.013,4.6904,-0.6462
79.89,316.513,4.6878,-0.6676
80.54,317.013,4.6854,-0.6876
81.19,317.513,4.6832,-0.7074
81.83,318.013,4.6809,-0.7274
82.46,318.513,4.6787,-0.7468
83.08,319.013,4.6767,-0.7660
83.69,319.513,4.6748,-0.7851
84.30,320.013,4.6728,-0.8038
84.89,320.513,4.6710,-0.8224
85.48,321.013,4.6692,-0.8403
86.06,321.513,4.6674,-0.8580
86.63,322.013,4.6658,-0.8753
87.20,322.513,4.6642,-0.8925
87.76,323.013,4.6627,-0.9081
88.31,323.513,4.6612,-0.9241
88.86,324.013,4.6598,-0.9399
89.40,324.513,4.6584,-0.9555
89.94,325.013,4.6572,-0.9706
90.48,325.513,4.6561,-0.9855
91.01,326.013,4.6549,-0.9997
91.53,326.513,4.6538,-1.0136
92.05,327.013,4.6528,-1.0269
92.57,327.513,4.6519,-1.0412
93.08,328.013,4.6510,-1.0544
93.59,328.513,4.6500,-1.0664
94.09,329.013,4.6491,-1.0783
94.59,329.513,4.6483,-1.0901
95.09,330.013,4.6476,-1.1008
95.58,330.513,4.6469,-1.1118
96.07,331.013,4.6461,-1.1227
96.56,331.513,4.6454,-1.1326
97.05,332.013,4.6447,-1.1411
97.53,332.513,4.6441,-1.1505
98.01,333.013,4.6435,-1.1602
98.49,333.513,4.6429,-1.1688
98.96,334.013,4.6423,-1.1764
99.43,334.513,4.6416,-1.1848
99.90,335.013,4.6410,-1.1931
100.37,335.513,4.6404,-1.2002
100.83,336.013,4.6399,-1.2059
101.30,336.513,4.6393,-1.2124
101.76,337.013,4.6387,-1.2185
102.22,337.513,4.6382,-1.2238
102.68,338.013,4.6376,-1.2285
103.14,338.513,4.6371,-1.2333
103.60,339.013,4.6366,-1.2371
104.05,339.513,4.6362,-1.2406
104.51,340.013,4.6357,-1.2443
104.96,340.513,4.6353,-1.2466
105.41,341.013,4.6349,-1.2488
105.86,341.513,4.6344,-1.2511
106.31,342.013,4.6340,-1.2534
106.76,342.513,4.6337,-1.2534
107.21,343.013,4.6333,-1.2542
107.65,343.513,4.6330,-1.2542
108.10,344.013,4.6328,-1.2540
108.55,344.513,4.6325,-1.2541
108.99,345.013,4.6323,-1.2543
109.44,345.513,4.6321,-1.2533
109.88,346.013,4.6319,-1.2514
110.33,346.513,4.6317,-1.2488
110.77,347.013,4.6316,-1.2460
111.21,347.513,4.6314,-1.2419
111.65,348.013,4.6313,-1.2388
112.09,348.513,4.6313,-1.2354
112.54,349.013,4.6312,-1.2315
112.98,349.513,4.6312,-1.2267
113.42,350.013,4.6311,-1.2217
113.86,350.513,4.6311,-1.2168
114.30,351.013,4.6311,-1.2118
114.74,351.513,4.6311,-1.2058
115.18,352.013,4.6311,-1.2009
115.62,352.513,4.6311,-1.1947
116.06,353.013,4.6311,-1.1871
116.50,353.513,4.6311,-1.1799
116.94,354.013,4.6312,-1.1720
117.38,354.513,4.6312,-1.1633
117.82,355.013,4.6312,-1.1554
118.26,355.513,4.6313,-1.1468
118.70,356.013,4.6313,-1.1386
119.14,356.513,4.6314,-1.1301
119.58,357.013,4.6315,-1.1207
120.02,357.513,4.6316,-1.1103
120.46,358.013,4.6316,-1.1010
120.90,358.513,4.6317,-1.0916
121.34,359.013,4.6318,-1.0823
121.78,359.513,4.6319,-1.0722
122.22,360.013,4.6319,-1.0610
122.66,360.513,4.6321,-1.0505
123.10,361.013,4.6322,-1.0399
123.54,361.513,4.6323,-1.0292
123.98,362.013,4.6325,-1.0177
124.43,362.513,4.6326,-1.0054
124.87,363.013,4.6327,-0.9935
125.31,363.513,4.6329,-0.9818
125.75,364.013,4.6331,-0.9706
126.20,364.513,4.6332,-0.9590
126.64,365.013,4.6334,-0.9472
127.08,365.513,4.6335,-0.9348
127.53,366.013,4.6337,-0.9222
127.97,366.513,4.6339,-0.9084
128.42,367.013,4.6341,-0.8947
128.87,367.513,4.6343,-0.8841
129.32,368.013,4.6345,-0.8726
129.77,368.513,4.6347,-0.8604
130.22,369.013,4.6350,-0.8482
130.67,369.513,4.6352,-0.8363
131.12,370.013,4.6354,-0.8243
131.57,370.513,4.6357,-0.8123
132.03,371.013,4.6360,-0.8001
132.48,371.513,4.6362,-0.7883
132.94,372.013,4.6365,-0.7764
133.40,372.513,4.6368,-0.7649
133.86,373.013,4.6371,-0.7537
134.32,373.513,4.6374,-0.7418
134.77,374.013,4.6377,-0.7314
135.24,374.513,4.6380,-0.7199
135.69,375.013,4.6383,-0.7084
136.16,375.513,4.6386,-0.6976
136.62,376.013,4.6389,-0.6882
137.09,376.513,4.6392,-0.6766
137.56,377.013,4.6396,-0.6665
138.03,377.513,4.6399,-0.6575
138.50,378.013,4.6402,-0.6478
138.97,378.513,4.6405,-0.6385
139.44,379.013,4.6408,-0.6288
139.91,379.513,4.6411,-0.6197
140.39,380.013,4.6413,-0.6115
140.86,380.513,4.6416,-0.6021
141.34,381.013,4.6419,-0.5930
141.82,381.513,4.6422,-0.5845
142.30,382.013,4.6425,-0.5766
142.78,382.513,4.6428,-0.5688
143.26,383.013,4.6430,-0.5606
143.75,383.513,4.6433,-0.5523
144.23,384.013,4.6435,-0.5450
144.72,384.513,4.6438,-0.5376
145.21,385.013,4.6440,-0.5305
145.70,385.513,4.6442,-0.5232
146.19,386.013,4.6444,-0.5157
146.68,386.513,4.6446,-0.5099
147.18,387.013,4.6448,-0.5034
147.67,387.513,4.6449,-0.4964
148.17,388.013,4.6451,-0.4891
148.67,388.513,4.6452,-0.4829
149.17,389.013,4.6454,-0.4777
149.67,389.513,4.6455,-0.4722
150.17,390.013,4.6456,-0.4668
150.68,390.513,4.6457,-0.4613
151.18,391.013,4.6458,-0.4563
151.69,391.513,4.6459,-0.4502
152.20,392.013,4.6460,-0.4438
152.71,392.513,4.6461,-0.4391
153.22,393.013,4.6462,-0.4343
153.73,393.513,4.6463,-0.4304
154.24,394.013,4.6464,-0.4252
154.76,394.513,4.6465,-0.4201
155.27,395.013,4.6466,-0.4152
155.79,395.513,4.6467,-0.4114
156.31,396.013,4.6468,-0.4061
156.83,396.513,4.6469,-0.4014
157.35,397.013,4.6471,-0.3964
157.87,397.513,4.6472,-0.3916
158.39,398.013,4.6473,-0.3878
158.92,398.513,4.6475,-0.3827
159.44,399.013,4.6476,-0.3777
159.97,399.513,4.6478,-0.3729
160.50,400.013,4.6479,-0.3685
161.02,400.513,4.6481,-0.3642
161.56,401.013,4.6483,-0.3601
162.09,401.513,4.6485,-0.3555
162.62,402.013,4.6487,-0.3508
163.15,402.513,4.6489,-0.3461
163.69,403.013,4.6492,-0.3411
164.23,403.513,4.6494,-0.3362
164.76,404.013,4.6496,-0.3309
165.30,404.513,4.6499,-0.3261
165.85,405.013,4.6501,-0.3207
166.39,405.513,4.6504,-0.3160
166.93,406.013,4.6506,-0.3109
167.47,406.513,4.6509,-0.3059
168.02,407.013,4.6511,-0.3005
168.56,407.513,4.6514,-0.2955
169.11,408.013,4.6516,-0.2903
169.66,408.513,4.6519,-0.2851
170.20,409.013,4.6521,-0.2798
170.75,409.513,4.6523,-0.2745
171.30,410.013,4.6526,-0.2706
171.85,410.513,4.6528,-0.2652
172.41,411.013,4.6530,-0.2594
172.96,411.513,4.6533,-0.2531
173.52,412.013,4.6535,-0.2478
174.08,412.513,4.6537,-0.2435
174.63,413.013,4.6539,-0.2374
