Time (s),Temperature (K),Mass (mg),Heat Flow (mW/mg)
0.00,295.197,5.0400,0.0620
55.32,295.697,5.0151,0.1066
71.05,296.197,5.0211,0.1417
82.20,296.697,5.0203,0.1695
91.26,297.197,5.0168,0.1946
98.93,297.697,5.0146,0.2161
105.73,298.197,5.0111,0.2364
111.83,298.697,5.0095,0.2536
117.46,299.197,5.0088,0.2696
122.70,299.697,5.0068,0.2857
127.61,300.197,5.0053,0.3000
132.20,300.697,5.0042,0.3125
136.55,301.197,5.0027,0.3270
140.69,301.697,5.0023,0.3384
144.68,302.197,5.0008,0.3505
148.50,302.697,4.9999,0.3622
152.18,303.197,4.9993,0.3728
155.75,303.697,4.9981,0.3836
159.23,304.197,4.9977,0.3943
162.63,304.697,4.9968,0.4034
165.92,305.197,4.9961,0.4137
169.13,305.697,4.9961,0.4241
172.26,306.197,4.9951,0.4325
175.33,306.697,4.9946,0.4411
178.35,307.197,4.9935,0.4509
181.33,307.697,4.9925,0.4595
184.25,308.197,4.9923,0.4695
187.13,308.697,4.9913,0.4783
189.96,309.197,4.9896,0.4864
192.75,309.697,4.9884,0.4953
195.52,310.197,4.9876,0.5048
198.25,310.697,4.9871,0.5127
200.95,311.197,4.9863,0.5202
203.62,311.697,4.9860,0.5310
206.26,312.197,4.9857,0.5390
208.86,312.697,4.9851,0.5472
211.45,313.197,4.9842,0.5552
214.01,313.697,4.9837,0.5635
216.55,314.197,4.9833,0.5722
219.08,314.697,4.9831,0.5792
221.60,315.197,4.9835,0.5886
224.11,315.697,4.9838,0.5958
226.60,316.197,4.9833,0.6027
229.09,316.697,4.9824,0.6110
231.56,317.197,4.9814,0.6188
234.01,317.697,4.9805,0.6260
236.45,318.197,4.9795,0.6340
238.89,318.697,4.9789,0.6410
241.31,319.197,4.9783,0.6488
243.73,319.697,4.9778,0.6572
246.15,320.197,4.9773,0.6635
248.57,320.697,4.9770,0.6702
250.98,321.197,4.9768,0.6782
253.40,321.697,4.9764,0.6847
255.81,322.197,4.9758,0.6918
258.22,322.697,4.9754,0.6969
260.63,323.197,4.9748,0.7056
263.04,323.697,4.9744,0.7122
265.44,324.197,4.9739,0.7180
267.83,324.697,4.9726,0.7249
270.23,325.197,4.9715,0.7309
272.62,325.697,4.9700,0.7361
275.02,326.197,4.9689,0.7429
277.41,326.697,4.9681,0.7486
279.81,327.197,4.9670,0.7537
282.21,327.697,4.9658,0.7591
284.62,328.197,4.9645,0.7645
287.02,328.697,4.9631,0.7700
289.42,329.197,4.9618,0.7747
291.81,329.697,4.9603,0.7784
294.21,330.197,4.9594,0.7823
296.61,330.697,4.9588,0.7880
299.01,331.197,4.9582,0.7916
301.42,331.697,4.9576,0.7954
303.84,332.197,4.9561,0.7992
306.28,332.697,4.9543,0.8025
308.70,333.197,4.9528,0.8061
311.13,333.697,4.9517,0.8098
313.56,334.197,4.9507,0.8120
316.00,334.697,4.9496,0.8155
318.44,335.197,4.9475,0.8176
320.89,335.697,4.9453,0.8192
323.34,336.197,4.9443,0.8210
325.79,336.697,4.9432,0.8219
328.24,337.197,4.9420,0.8234
330.71,337.697,4.9407,0.8250
333.18,338.197,4.9399,0.8242
335.66,338.697,4.9392,0.8243
338.15,339.197,4.9371,0.8256
340.65,339.697,4.9351,0.8251
343.15,340.197,4.9332,0.8238
345.66,340.697,4.9315,0.8237
348.17,341.197,4.9297,0.8216
350.69,341.697,4.9290,0.8197
353.22,342.197,4.9280,0.8187
355.74,342.697,4.9266,0.8162
358.27,343.197,4.9246,0.8148
360.81,343.697,4.9228,0.8118
363.35,344.197,4.9214,0.8090
365.89,344.697,4.9207,0.8063
368.45,345.197,4.9198,0.8026
370.97,345.697,4.9181,0.7982
373.47,346.197,4.9163,0.7955
376.03,346.697,4.9145,0.7920
378.60,347.197,4.9128,0.7870
381.16,347.697,4.9116,0.7830
383.78,348.197,4.9105,0.7776
386.40,348.697,4.9095,0.7728
388.98,349.197,4.9082,0.7684
391.56,349.697,4.9069,0.7636
394.14,350.197,4.9054,0.7574
396.74,350.697,4.9041,0.7519
399.33,351.197,4.9030,0.7461
401.92,351.697,4.9020,0.7399
404.52,352.197,4.9005,0.7338
407.13,352.697,4.8996,0.7282
409.72,353.197,4.8986,0.7228
412.32,353.697,4.8970,0.7165
414.92,354.197,4.8956,0.7096
417.51,354.697,4.8939,0.7043
420.10,355.197,4.8925,0.6992
422.70,355.697,4.8912,0.6913
425.29,356.197,4.8907,0.6851
427.89,356.697,4.8904,0.6789
430.50,357.197,4.8897,0.6720
433.11,357.697,4.8885,0.6654
435.71,358.197,4.8875,0.6600
438.31,358.697,4.8866,0.6536
440.91,359.197,4.8860,0.6464
443.50,359.697,4.8853,0.6402
446.10,360.197,4.8848,0.6335
448.69,360.697,4.8844,0.6274
451.29,361.197,4.8839,0.6214
453.89,361.697,4.8833,0.6155
456.48,362.197,4.8824,0.6086
459.07,362.697,4.8816,0.6035
461.66,363.197,4.8810,0.5976
464.23,363.697,4.8806,0.5923
466.81,364.197,4.8801,0.5860
469.40,364.697,4.8791,0.5796
471.99,365.197,4.8779,0.5749
474.57,365.697,4.8763,0.5688
477.17,366.197,4.8751,0.5627
479.76,366.697,4.8745,0.5575
482.33,367.197,4.8742,0.5523
484.90,367.697,4.8739,0.5473
487.47,368.197,4.8735,0.5435
490.05,368.697,4.8732,0.5380
492.63,369.197,4.8730,0.5331
495.22,369.697,4.8727,0.5276
497.81,370.197,4.8725,0.5229
500.39,370.697,4.8722,0.5179
502.97,371.197,4.8719,0.5130
505.56,371.697,4.8716,0.5088
508.15,372.197,4.8713,0.5052
510.74,372.697,4.8711,0.5013
513.34,373.197,4.8708,0.4971
515.94,373.697,4.8706,0.4929
518.55,374.197,4.8704,0.4890
