Time,Mass,HRR
[s],[g],[kW/m2]
0,67.15,0
1,67.15,5
2,67.16,5
3,67.16,0
4,67.16,0
5,67.16,0
6,67.16,0
7,67.157,0
8,67.148,0
9,67.13,0
10,67.108,0
11,67.086,0
12,67.062,0
13,67.037,0
14,67.011,0
15,66.983,0
16,66.952,0
17,66.918,0
18,66.879,0
19,66.836,0
20,66.788,0
21,66.736,0
22,66.68,0
23,66.618,0
24,66.552,0
25,66.481,0
26,66.405,0
27,66.324,0
28,66.238,0.6
29,66.148,0.6
30,66.053,1.1
31,65.953,2.8
32,65.849,3.3
33,65.741,5
34,65.629,11.3
35,65.513,27.6
36,65.415,44.7
37,65.314,23.5
38,65.209,67.7
39,65.101,111.3
40,64.99,153.2
41,64.875,216.3
42,64.756,258.2
43,64.635,292.2
44,64.51,329
45,64.382,371.5
46,64.251,393.8
47,64.117,416.1
48,63.979,445
49,63.839,459
50,63.696,473.1
51,63.55,487.4
52,63.401,501
53,63.249,509.4
54,63.095,514
55,62.938,521.1
56,62.778,525.1
57,62.617,530.1
58,62.452,537
59,62.286,541.1
60,62.118,547.6
61,61.947,553.5
62,61.774,559.1
63,61.6,564.1
64,61.424,570.9
65,61.246,570
66,61.066,573.6
67,60.885,577.3
68,60.703,576.7
69,60.519,574.2
70,60.333,573.8
71,60.146,572.2
72,59.958,571.5
73,59.769,574.2
74,59.578,573.8
75,59.386,580.7
76,59.194,585.1
77,59,590.5
78,58.805,596.4
79,58.61,600.6
80,58.413,601.9
81,58.216,606.9
82,58.018,608.6
83,57.819,607.2
84,57.62,610.5
85,57.42,616.6
86,57.219,619.3
87,57.017,618.8
88,56.816,623.8
89,56.613,625.3
90,56.41,625.6
91,56.206,627.3
92,56.002,625.1
93,55.797,627.4
94,55.591,630
95,55.386,632.2
96,55.179,638.6
97,54.972,642.6
98,54.765,646.4
99,54.557,650.8
100,54.348,654.5
101,54.14,655
102,53.93,654.1
103,53.721,654.9
104,53.51,648.2
105,53.3,648.1
106,53.088,646.7
107,52.877,645.8
108,52.665,646.7
109,52.452,649.7
110,52.239,651.4
111,52.025,654.4
112,51.811,657
113,51.596,657.6
114,51.381,661.5
115,51.165,669
116,50.949,674.4
117,50.732,678.3
118,50.514,679.1
119,50.296,681
120,50.077,679
121,49.857,676
122,49.637,673.5
123,49.416,667.4
124,49.194,665.8
125,48.971,666.3
126,48.748,662.4
127,48.523,660.9
128,48.298,661.1
129,48.072,668
130,47.846,668
131,47.618,673
132,47.389,682.2
133,47.16,687.4
134,46.93,694.8
135,46.698,701.4
136,46.466,704
137,46.233,706.3
138,45.998,709.1
139,45.763,712.6
140,45.527,715.1
141,45.289,714.1
142,45.05,711.3
143,44.811,709.8
144,44.57,706.6
145,44.328,706.9
146,44.085,711.8
147,43.841,712.8
148,43.595,712
149,43.349,716.3
150,43.101,717.4
151,42.853,723.9
152,42.603,730.9
153,42.352,735.8
154,42.099,745.8
155,41.846,753.1
156,41.592,759.1
157,41.336,762.3
158,41.08,761.7
159,40.822,760.9
160,40.563,765.3
161,40.304,763.8
162,40.043,764.7
163,39.781,767.4
164,39.518,772
165,39.254,778.3
166,38.989,783.8
167,38.723,787.5
168,38.456,796.8
169,38.189,798.8
170,37.919,804.7
171,37.65,815.6
172,37.379,821.9
173,37.107,824.7
174,36.835,830.6
175,36.561,833.1
176,36.287,833.1
177,36.011,834.3
178,35.735,834.9
179,35.458,833.6
180,35.181,841.5
181,34.902,845.1
182,34.623,845.5
183,34.343,849.9
184,34.062,856.7
185,33.781,862.7
186,33.499,868.6
187,33.216,876.8
188,32.933,889.2
189,32.648,894
190,32.364,897.8
191,32.078,896.8
192,31.792,896.7
193,31.506,896.9
194,31.219,899.2
195,30.931,896.5
196,30.643,891
197,30.354,897.6
198,30.065,892.6
199,29.775,882.2
200,29.485,883.8
201,29.195,880.8
202,28.904,875.5
203,28.614,875.2
204,28.323,883
205,28.032,883.6
206,27.741,889.2
207,27.45,892.6
208,27.159,885.3
209,26.869,886
210,26.578,891.4
211,26.288,890.1
212,25.999,887
213,25.709,887.8
214,25.421,891.5
215,25.134,894.7
216,24.846,892
217,24.561,891.8
218,24.276,891.9
219,23.992,892.3
220,23.709,894.1
221,23.428,904.2
222,23.148,914.3
223,22.87,918.1
224,22.593,924.3
225,22.319,930.1
226,22.046,939.8
227,21.775,941.1
228,21.506,942.7
229,21.24,946.9
230,20.976,949.4
231,20.714,951.1
232,20.456,949.5
233,20.2,951.9
234,19.947,954.5
235,19.696,954.9
236,19.449,953.3
237,19.205,953.4
238,18.964,961.4
239,18.726,968.3
240,18.492,981.8
241,18.261,986.6
242,18.033,990.6
243,17.809,998.1
244,17.589,1007.8
245,17.372,1012.4
246,17.159,1013.5
247,16.95,1013
248,16.744,1007.6
249,16.541,997.8
250,16.343,994.3
251,16.147,977.2
252,15.956,960.7
253,15.768,946.5
254,15.584,920.7
255,15.403,902.4
256,15.225,919.2
257,15.052,889
258,14.881,869.4
259,14.714,847.5
260,14.55,816.3
261,14.39,797.3
262,14.232,746.9
263,14.078,717.7
264,13.927,685.8
265,13.778,634.7
266,13.633,606.4
267,13.49,582.2
268,13.35,546.7
269,13.213,525.7
270,13.078,494.7
271,12.945,483.3
272,12.815,469.8
273,12.687,445.6
274,12.562,433
275,12.438,422.7
276,12.317,407.5
277,12.197,400.7
278,12.08,387
279,11.963,378.9
280,11.849,372
281,11.737,360.7
282,11.626,355.7
283,11.516,350.8
284,11.408,342.6
285,11.302,337.4
286,11.197,333.4
287,11.093,324.2
288,10.99,319.3
289,10.889,311.6
290,10.788,307.6
291,10.689,305.3
292,10.591,302
293,10.494,299.4
294,10.398,297
295,10.303,296.6
296,10.209,295.8
297,10.116,295.2
298,10.024,293.5
299,9.933,292.6
300,9.843,291.6
301,9.753,291.4
302,9.665,291.4
303,9.577,289
304,9.49,287.8
305,9.403,285.2
306,9.318,282.7
307,9.233,280.9
308,9.149,277.7
309,9.067,277.8
310,8.984,276.6
311,8.903,276.6
312,8.822,276.8
313,8.742,278.4
314,8.663,278.3
315,8.584,278.6
316,8.506,276.1
317,8.429,273.5
318,8.352,271.8
319,8.277,268.5
320,8.202,266.8
321,8.128,265.5
322,8.054,261.9
323,7.982,260.1
324,7.91,258
325,7.838,254.5
326,7.768,253
327,7.698,248.9
328,7.629,247.5
329,7.56,246.7
330,7.492,244.7
331,7.425,243.2
332,7.358,242
333,7.293,238.6
334,7.227,238
335,7.163,234.5
336,7.099,232.6
337,7.035,232.5
338,6.972,227.2
339,6.91,225.6
340,6.848,224.8
341,6.788,220.9
342,6.727,218.5
343,6.667,216.4
344,6.608,213.9
345,6.549,212.3
346,6.49,211.5
347,6.432,210.7
348,6.375,208.6
349,6.318,206.7
350,6.261,204.8
351,6.205,201.6
352,6.15,199.9
353,6.094,198.8
354,6.04,195
355,5.985,192.5
356,5.931,190.2
357,5.877,186.4
358,5.824,185
359,5.771,182
360,5.719,178.8
361,5.667,178
362,5.615,174.5
363,5.564,173.3
364,5.512,173.2
365,5.462,170.6
366,5.411,170.9
367,5.361,170.3
368,5.311,168.4
369,5.262,168.5
370,5.213,168
371,5.164,164.9
372,5.116,164.3
373,5.067,164.9
374,5.02,161.8
375,4.973,159.5
376,4.926,157.8
377,4.879,154.8
378,4.833,152.2
379,4.787,150.6
380,4.741,148.3
381,4.696,145.8
382,4.652,144.7
383,4.608,142.3
384,4.564,141
385,4.52,138
386,4.477,137.7
387,4.435,134.7
388,4.393,133.9
389,4.352,132.2
390,4.311,130.8
391,4.27,129.4
392,4.23,128.9
393,4.19,125.1
394,4.151,123.3
395,4.112,121.8
396,4.074,119.3
397,4.036,117.4
398,3.998,115.6
399,3.962,114
400,3.925,112.3
401,3.889,110.1
402,3.854,110.1
403,3.818,109.1
404,3.784,106.5
405,3.75,105.6
406,3.716,104.2
407,3.682,103.1
408,3.65,100.8
409,3.617,99.7
410,3.585,98.5
411,3.554,96.1
412,3.523,96.3
413,3.492,95.7
414,3.462,94.1
415,3.431,91.6
416,3.402,91.7
417,3.373,89.3
418,3.344,88.5
419,3.315,88
420,3.287,85.9
421,3.259,86
422,3.231,85.6
423,3.204,84.4
424,3.177,83.4
425,3.15,83.3
426,3.123,82.2
427,3.097,83.4
428,3.071,82.3
429,3.045,81
430,3.02,80.8
431,2.994,79.2
432,2.969,79.8
433,2.944,78.3
434,2.92,77.7
435,2.895,76.3
436,2.871,75.8
437,2.847,75.3
438,2.823,75.3
439,2.799,75.5
440,2.776,75.8
441,2.753,75.8
442,2.73,75.2
443,2.708,75.6
444,2.685,75.6
445,2.663,74.9
446,2.641,74.8
447,2.619,74.7
448,2.597,74.1
449,2.576,74.9
450,2.554,73.6
451,2.534,73
452,2.513,71.9
453,2.492,71.3
454,2.472,70.1
455,2.452,70
456,2.433,69.5
457,2.413,69.7
458,2.394,69
459,2.375,68.5
460,2.357,67.8
461,2.339,68
462,2.321,67.3
463,2.304,66.1
464,2.286,65.8
465,2.27,67.6
466,2.253,67
467,2.237,66.5
468,2.221,65.8
469,2.206,64
470,2.191,64
471,2.176,64.1
472,2.162,62.5
473,2.148,62.5
474,2.134,61.4
475,2.121,59.5
476,2.108,58.4
477,2.095,57.3
478,2.083,56.8
479,2.071,55.3
480,2.059,54
481,2.048,52.7
482,2.036,50.9
483,2.025,48.5
484,2.015,48.8
485,2.004,48.3
486,1.994,47.7
487,1.984,46.6
488,1.974,45.6
489,1.965,44.4
490,1.955,45
491,1.946,43.8
492,1.937,42.6
493,1.928,41.9
494,1.919,41.5
495,1.91,42.2
496,1.901,40.3
497,1.892,40.5
498,1.883,41
499,1.874,40.5
500,1.866,41.1
501,1.857,39.9
502,1.848,38.9
503,1.839,38.9
504,1.83,37
505,1.821,35.9
506,1.812,35.3
507,1.803,35.2
508,1.793,34.7
509,1.784,34.8
510,1.775,34.2
511,1.765,34.3
512,1.756,33.6
513,1.746,33.1
514,1.736,33.1
515,1.727,32.5
516,1.717,31.9
517,1.707,31.5
518,1.697,30.8
519,1.687,30.8
520,1.677,29.7
521,1.667,29.8
522,1.657,28.5
523,1.647,27.3
524,1.637,27.4
525,1.627,28.5
526,1.618,28.5
527,1.608,28
528,1.598,27.5
529,1.588,26.7
530,1.579,26.7
531,1.569,26.8
532,1.56,26.8
533,1.551,26.1
534,1.541,25.6
535,1.532,25.7
536,1.523,25.1
537,1.515,25.2
538,1.506,26.4
