Time (s),Temperature (K),Mass (mg)
0,299,4.9151
223,299.5,4.9168
257,300,4.9162
275,300.5,4.9158
288,301,4.9155
300,301.5,4.9152
310,302,4.9145
319,302.5,4.9141
327,303,4.9137
335,303.5,4.9131
343,304,4.9126
350,304.5,4.9122
356,305,4.9118
363,305.5,4.9109
369,306,4.9104
375,306.5,4.9099
380,307,4.9092
386,307.5,4.9083
392,308,4.9077
397,308.5,4.9068
402,309,4.9063
407,309.5,4.9054
413,310,4.9048
418,310.5,4.904
423,311,4.9031
427,311.5,4.9022
432,312,4.9012
437,312.5,4.9003
441,313,4.8996
446,313.5,4.8987
451,314,4.8975
455,314.5,4.8966
460,315,4.8955
464,315.5,4.8946
469,316,4.8933
473,316.5,4.8925
477,317,4.8913
481,317.5,4.8903
486,318,4.8888
490,318.5,4.8877
494,319,4.8864
498,319.5,4.8853
502,320,4.884
507,320.5,4.8824
511,321,4.8812
515,321.5,4.8798
519,322,4.8785
523,322.5,4.8773
527,323,4.8759
531,323.5,4.8743
535,324,4.8728
539,324.5,4.8712
543,325,4.8699
547,325.5,4.8686
551,326,4.8673
554,326.5,4.866
558,327,4.8647
562,327.5,4.8632
566,328,4.8615
570,328.5,4.86
574,329,4.8585
578,329.5,4.8571
581,330,4.8558
585,330.5,4.8542
589,331,4.8527
593,331.5,4.8511
596,332,4.8499
600,332.5,4.8484
604,333,4.8469
608,333.5,4.8453
611,334,4.8443
615,334.5,4.8429
619,335,4.8413
622,335.5,4.8402
626,336,4.8387
630,336.5,4.8372
633,337,4.8361
637,337.5,4.8345
641,338,4.8331
644,338.5,4.8321
648,339,4.8308
652,339.5,4.8294
655,340,4.8285
659,340.5,4.8269
663,341,4.8257
666,341.5,4.8247
670,342,4.8235
673,342.5,4.8227
677,343,4.8213
681,343.5,4.8199
684,344,4.819
688,344.5,4.8179
691,345,4.817
695,345.5,4.8159
698,346,4.8152
702,346.5,4.8142
706,347,4.8132
709,347.5,4.8125
713,348,4.8114
716,348.5,4.8108
720,349,4.8098
723,349.5,4.8089
727,350,4.8081
730,350.5,4.8075
734,351,4.8066
737,351.5,4.806
741,352,4.8051
744,352.5,4.8049
748,353,4.8041
751,353.5,4.8035
755,354,4.8029
758,354.5,4.8023
762,355,4.8015
765,355.5,4.8012
769,356,4.8004
772,356.5,4.8
776,357,4.7994
779,357.5,4.799
783,358,4.7985
786,358.5,4.798
790,359,4.7977
793,359.5,4.7973
797,360,4.7967
800,360.5,4.7965
804,361,4.7959
807,361.5,4.7957
811,362,4.7951
814,362.5,4.7948
818,363,4.7944
821,363.5,4.7943
825,364,4.7938
828,364.5,4.7938
831,365,4.7935
835,365.5,4.7931
838,366,4.7927
842,366.5,4.7925
845,367,4.7923
849,367.5,4.7922
852,368,4.7918
856,368.5,4.7915
859,369,4.7913
863,369.5,4.7913
866,370,4.7912
870,370.5,4.7909
873,371,4.7907
876,371.5,4.7904
880,372,4.7904
883,372.5,4.7902
887,373,4.7898
890,373.5,4.7895
894,374,4.7896
897,374.5,4.7895
901,375,4.7892
904,375.5,4.7892
908,376,4.789
911,376.5,4.789
914,377,4.7888
918,377.5,4.7885
921,378,4.7885
925,378.5,4.7883
928,379,4.7882
932,379.5,4.7882
935,380,4.788
939,380.5,4.788
942,381,4.7878
945,381.5,4.7876
949,382,4.7876
952,382.5,4.7876
956,383,4.7874
959,383.5,4.7874
963,384,4.7872
966,384.5,4.7871
969,385,4.787
973,385.5,4.7869
976,386,4.7867
980,386.5,4.7868
983,387,4.7867
987,387.5,4.7865
990,388,4.7862
994,388.5,4.7863
997,389,4.7863
1000,389.5,4.7861
1004,390,4.786
1007,390.5,4.7859
1011,391,4.7858
1014,391.5,4.7856
1017,392,4.7854
1021,392.5,4.7853
1024,393,4.7852
1028,393.5,4.7851
1031,394,4.7851
1034,394.5,4.7848
1038,395,4.7848
1041,395.5,4.7848
1045,396,4.7842
1048,396.5,4.7842
1051,397,4.7841
1055,397.5,4.784
1058,398,4.7841
1062,398.5,4.7838
1065,399,4.7837
1068,399.5,4.7837
1072,400,4.7834
1075,400.5,4.7833
1079,401,4.783
1082,401.5,4.7829
1085,402,4.7829
1089,402.5,4.7828
1092,403,4.7826
1096,403.5,4.7822
1099,404,4.7822
1102,404.5,4.7821
1106,405,4.7819
1109,405.5,4.7818
1112,406,4.7818
1116,406.5,4.7817
1119,407,4.7814
1123,407.5,4.7814
1126,408,4.7817
1129,408.5,4.7815
1133,409,4.7812
1136,409.5,4.781
1139,410,4.7808
1143,410.5,4.7806
1146,411,4.7804
1149,411.5,4.78
1153,412,4.78
1156,412.5,4.7798
1159,413,4.7795
1163,413.5,4.7793
1166,414,4.7791
1170,414.5,4.7789
1173,415,4.7787
1176,415.5,4.7787
1180,416,4.7784
1183,416.5,4.7781
1186,417,4.7782
1190,417.5,4.778
1193,418,4.7778
1196,418.5,4.7777
1200,419,4.7774
1203,419.5,4.7771
1206,420,4.777
1210,420.5,4.7769
1213,421,4.7767
1216,421.5,4.7764
1220,422,4.7762
1223,422.5,4.776
1226,423,4.7758
1230,423.5,4.7753
1233,424,4.7749
1236,424.5,4.7747
1240,425,4.7744
1243,425.5,4.7742
1246,426,4.7741
1250,426.5,4.7739
1253,427,4.7735
1256,427.5,4.7732
1259,428,4.7728
1263,428.5,4.7722
1266,429,4.7719
1269,429.5,4.7718
1273,430,4.7715
1276,430.5,4.7712
1279,431,4.771
1283,431.5,4.7707
1286,432,4.7703
1289,432.5,4.77
1293,433,4.7698
1296,433.5,4.7694
1299,434,4.769
1303,434.5,4.7686
1306,435,4.7681
1309,435.5,4.7678
1312,436,4.7678
1316,436.5,4.7674
1319,437,4.7669
1322,437.5,4.7666
1326,438,4.766
1329,438.5,4.7656
1332,439,4.7654
1336,439.5,4.7649
1339,440,4.7647
1342,440.5,4.7643
1345,441,4.7639
1349,441.5,4.7635
1352,442,4.763
1355,442.5,4.7627
1358,443,4.7623
1362,443.5,4.7618
1365,444,4.7613
1368,444.5,4.761
1372,445,4.7605
1375,445.5,4.7597
1378,446,4.7593
1381,446.5,4.7589
1385,447,4.7582
1388,447.5,4.7578
1391,448,4.7574
1395,448.5,4.7568
1398,449,4.7562
1401,449.5,4.7555
1404,450,4.755
1408,450.5,4.7542
1411,451,4.7537
1414,451.5,4.7532
1417,452,4.7525
1421,452.5,4.7518
1424,453,4.7514
1427,453.5,4.7509
1430,454,4.7503
1434,454.5,4.7496
1437,455,4.7489
1440,455.5,4.7481
1443,456,4.7475
1447,456.5,4.7468
1450,457,4.7462
1453,457.5,4.7456
1456,458,4.745
1460,458.5,4.7439
1463,459,4.7432
1466,459.5,4.7425
1469,460,4.742
1473,460.5,4.7409
1476,461,4.7401
1479,461.5,4.7393
1482,462,4.7387
1486,462.5,4.7377
1489,463,4.7369
1492,463.5,4.7361
1495,464,4.7353
1499,464.5,4.7343
1502,465,4.7333
1505,465.5,4.7324
1508,466,4.7315
1512,466.5,4.7303
1515,467,4.7295
1518,467.5,4.7285
1521,468,4.7275
1525,468.5,4.7261
1528,469,4.7252
1531,469.5,4.7243
1534,470,4.7233
1538,470.5,4.722
1541,471,4.721
1544,471.5,4.72
1547,472,4.7188
1550,472.5,4.7178
1554,473,4.7164
1557,473.5,4.7153
1560,474,4.7142
1563,474.5,4.713
1567,475,4.7116
1570,475.5,4.7106
1573,476,4.7095
1576,476.5,4.7081
1579,477,4.707
1583,477.5,4.7053
1586,478,4.7042
