Time,Mass,HRR,Temperature Backing Centre
[s],[g],[kW/m2],[K]
0,67.01,2.9,296.75
1,67.01,2.8,296.75
2,67.02,2.8,296.75
3,67,2.7,296.85
4.1,66.96,2.5,296.85
5.1,66.9,-0.1,296.85
6.1,66.83,-0.1,296.85
7.1,66.72,-0.2,296.85
8.1,66.58,2.4,296.95
9.1,66.42,2.5,296.95
10.1,66.25,2.3,296.95
11.2,66.06,2.2,296.95
12.2,65.87,2.5,297.05
13.2,65.68,2.2,296.95
14.2,65.48,2.2,297.05
15.2,65.29,2.1,297.05
16.2,65.1,2.2,297.05
17.2,64.91,4.6,297.15
18.3,64.73,9.4,297.15
19.3,64.53,17.6,297.25
20.3,64.33,24.4,297.25
21.3,64.12,38.7,297.25
22.3,63.91,56,297.35
23.3,63.69,80.1,297.35
24.3,63.49,100.2,297.35
25.3,63.28,113.5,297.45
26.4,63.06,134.2,297.45
27.4,62.83,165.7,297.55
28.4,62.61,190.5,297.55
29.4,62.38,207,297.55
30.4,62.14,238.4,297.65
31.4,61.91,251.6,297.65
32.4,61.67,297.9,297.75
34.3,61.24,298.1,297.85
35.1,61.07,317.1,297.85
35.8,60.9,337.4,297.85
36.6,60.72,337.9,297.95
37.5,60.52,353.3,297.95
38.5,60.3,374.9,298.05
39.5,60.07,380.5,298.05
40.6,59.83,400.1,298.15
41.6,59.57,408,298.25
42.6,59.31,441.5,298.25
43.6,59.07,439.5,298.35
44.6,58.81,440.8,298.45
45.6,58.56,456.6,298.45
46.6,58.31,463,298.55
47.7,58.05,458.1,298.65
48.7,57.79,498,298.75
49.7,57.53,483.5,298.85
50.7,57.27,510.8,298.95
51.7,57.02,529.8,298.95
52.7,56.77,514.6,299.05
55.8,56.01,544.4,299.45
56.8,55.74,508.7,299.65
57.8,55.48,537.5,299.75
58.8,55.23,556.4,299.85
59.8,54.96,562.4,299.95
60.8,54.68,560.8,300.15
61.9,54.44,547.1,300.25
62.9,54.18,579.6,300.45
63.9,53.9,557.7,300.55
64.9,53.64,586.5,300.75
65.9,53.38,565.8,300.85
66.9,53.12,564.2,301.05
67.9,52.86,562.6,301.15
69,52.59,604.5,301.35
70,52.32,581.8,301.55
71,52.05,558.1,301.65
72,51.78,622.1,301.95
73,51.52,582.5,302.15
74,51.25,596.5,302.35
75,50.99,600.6,302.55
76.1,50.72,592.3,302.75
77.1,50.44,595.7,303.05
78.1,50.18,612.8,303.25
79.1,49.91,607.5,303.55
80.1,49.65,606.7,303.75
81.1,49.38,631.3,303.95
82.1,49.11,588.9,304.25
83.1,48.83,631.8,304.55
84.2,48.55,627.5,304.75
85.2,48.27,618.8,305.05
86.2,48,621.6,305.35
87.2,47.73,630.5,305.55
88.2,47.46,607.9,305.85
89.2,47.18,624.5,306.15
90.2,46.92,628.6,306.45
91.3,46.64,647.6,306.65
92.3,46.35,638.1,306.95
93.3,46.09,651.5,307.25
94.3,45.83,645.5,307.55
95.3,45.56,664.7,307.85
96.3,45.29,634.3,308.15
97.3,45.01,636.5,308.35
98.4,44.73,626.8,308.65
99.4,44.44,651.7,308.95
100.4,44.17,674.6,309.25
101.4,43.89,653.2,309.55
102.4,43.61,667.1,309.95
103.4,43.34,647.1,310.25
104.4,43.06,677.9,310.45
105.5,42.78,652.9,310.85
106.5,42.49,647.2,311.15
107.5,42.21,651.9,311.45
108.5,41.94,688.5,311.75
109.5,41.67,668.6,312.05
110.5,41.39,691,312.25
111.5,41.12,687.9,312.55
112.6,40.84,658.9,312.85
113.6,40.57,678.3,313.05
114.6,40.28,701.2,313.35
115.6,40,657.2,313.55
116.6,39.73,664.9,313.85
117.6,39.45,691.4,314.05
118.6,39.15,672.8,314.25
119.7,38.86,658,314.45
120.7,38.57,660.3,314.75
121.7,38.29,691.8,314.95
122.7,38,684.3,315.15
123.7,37.68,693.4,315.35
124.7,37.39,673.9,315.65
125.7,37.12,689.9,315.85
126.8,36.83,681.7,316.05
127.8,36.53,646.8,316.35
128.8,36.25,695.7,316.55
129.8,35.97,650,316.75
130.8,35.7,679.1,316.95
131.8,35.43,689.1,317.25
132.8,35.13,665.1,317.55
133.8,34.83,662.6,317.75
135.4,34.4,683.7,317.85
136.2,34.2,674.7,318.05
136.9,33.98,674.7,318.35
137.9,33.7,714,318.55
138.9,33.41,679.8,318.75
139.9,33.12,694.8,318.95
140.9,32.82,710.9,319.15
142,32.52,663.4,319.45
143,32.25,712.2,319.65
144,31.94,674,319.85
145,31.65,717.8,320.05
146,31.35,666.2,320.25
147,31.03,683.6,320.45
148,30.72,693.7,320.65
149.1,30.4,633,320.85
150.1,30.09,694.7,321.05
151.1,29.79,666.5,321.25
152.1,29.49,671.4,321.45
153.1,29.18,686.8,321.65
154.1,28.87,663.7,321.95
155.1,28.54,674.5,322.05
156.2,28.22,685.1,322.35
157.2,27.9,671.9,322.55
158.2,27.59,706.4,322.75
159.2,27.27,689.4,322.95
160.2,26.94,676.3,323.15
161.2,26.61,673.3,323.35
162.2,26.28,642.6,323.55
163.3,25.94,696.6,323.85
164.3,25.61,687,324.05
165.3,25.28,659.1,324.25
166.3,24.92,710.7,324.45
167.3,24.57,684.1,324.65
168.3,24.21,673.7,324.85
169.3,23.85,688.6,325.05
170.4,23.51,695.2,325.25
171.4,23.16,739.2,325.55
172.4,22.81,715.3,325.75
173.4,22.45,702.9,325.95
174.4,22.07,736.4,326.15
175.4,21.69,804.7,326.45
176.4,21.33,747.5,326.65
177.5,20.98,788.3,326.95
178.5,20.61,703.3,327.15
179.5,20.27,786,327.45
180.5,19.9,766.2,327.65
181.5,19.55,754.4,327.95
182.5,19.2,719.2,328.25
183.5,18.85,780.3,328.55
184.6,18.49,753.4,328.85
185.6,18.12,758.8,329.25
186.6,17.76,772.3,329.55
187.6,17.39,793.2,329.85
188.6,17.03,853.1,330.15
189.6,16.67,824,330.55
190.6,16.3,813.8,330.95
191.6,15.94,826.1,331.35
192.7,15.57,839.5,331.65
193.7,15.21,824.8,332.05
194.7,14.84,804.2,332.45
195.7,14.46,820.7,332.95
196.7,14.09,812.6,333.35
197.7,13.72,838.2,333.75
198.7,13.35,817,334.15
199.8,12.98,852.5,334.55
200.8,12.61,882.5,335.05
201.8,12.26,830.3,335.45
202.8,11.91,829,335.95
203.8,11.57,903.6,336.35
204.8,11.21,864.6,336.85
205.8,10.87,883,337.35
206.9,10.52,885.4,337.85
207.9,10.19,887.3,338.35
208.9,9.89,890.3,338.85
209.9,9.56,874,339.35
210.9,9.24,926.3,339.85
211.9,8.94,899.6,340.35
212.9,8.63,929.6,340.85
214,8.34,943.5,341.35
215,8.06,939.5,341.85
216,7.79,943.7,342.45
217,7.53,951.3,342.95
218,7.29,921.4,343.55
219,7.04,975.6,344.05
220,6.8,1001,344.65
221.1,6.59,942.5,345.25
222.1,6.37,973,345.85
223.1,6.16,972.7,346.45
224.1,5.97,951.1,347.15
225.1,5.78,932.3,347.85
226.1,5.59,993,348.45
227.1,5.41,960.5,349.15
228.2,5.26,982.1,349.85
229.2,5.11,967.6,350.65
230.2,4.95,937,351.35
231.2,4.8,947.4,352.05
232.2,4.68,932.5,352.85
233.2,4.56,940.5,353.75
234.2,4.44,925.3,355.15
235.3,4.32,869.5,355.75
237,4.13,881.6,356.35
237.8,4.07,864,357.15
238.5,4.01,828,357.95
239.3,3.94,799.2,358.85
240.3,3.86,796.3,359.75
241.3,3.78,765.2,360.65
242.3,3.7,744.2,361.55
243.4,3.6,720.2,362.45
244.4,3.51,689,363.25
245.4,3.44,674.3,364.15
246.4,3.37,651.3,364.85
247.4,3.3,612.2,365.65
248.4,3.22,585.5,366.45
249.4,3.15,576.6,367.35
250.5,3.08,566.4,368.15
251.5,3,529.6,368.95
252.5,2.94,508.4,369.85
253.5,2.87,483.4,370.75
254.5,2.8,470.7,371.35
255.5,2.75,456.4,371.45
256.5,2.72,430.2,371.55
257.6,2.68,422.3,371.45
258.6,2.62,394.7,371.35
259.6,2.55,375.3,371.35
260.6,2.46,364.7,371.35
261.6,2.39,354.2,371.45
262.6,2.32,345.2,371.45
263.6,2.27,332.8,371.45
264.7,2.2,310.5,371.45
265.7,2.14,297.7,371.55
266.7,2.1,292.6,371.55
267.7,2.08,283.5,371.65
268.7,2.03,269.8,371.75
269.7,1.98,261.7,371.75
270.7,1.94,250.9,371.95
271.8,1.9,249.2,372.05
272.8,1.87,242.7,372.25
273.8,1.81,226,372.95
274.8,1.77,214.6,377.55
277.8,1.68,200.1,382.65
278.9,1.63,191.6,383.95
279.9,1.6,183.3,385.25
280.9,1.57,180.1,386.35
281.9,1.52,172.4,387.35
282.9,1.48,172.9,388.35
283.9,1.44,168.9,389.25
284.9,1.4,161,390.15
286,1.36,155.3,391.05
287,1.33,150.3,391.85
288,1.3,148.4,392.65
289,1.27,148.8,393.45
290,1.24,139.7,394.25
291,1.21,134.9,395.05
292,1.18,135.6,395.75
293,1.14,134,396.45
294.1,1.11,128.4,397.15
295.1,1.1,126.5,397.95
296.1,1.07,123.3,398.65
297.1,1.05,122.1,399.25
298.1,1.02,112.1,400.05
299.1,0.99,113.3,400.75
300.1,0.97,111.1,401.45
301.2,0.94,108.6,402.15
302.2,0.91,104.2,402.85
303.2,0.89,104.8,403.55
304.2,0.87,102.1,404.25
305.2,0.85,100.9,404.95
306.2,0.83,100.7,405.65
307.2,0.8,98.3,406.35
308.3,0.78,94.3,407.05
309.3,0.76,92.3,407.75
310.3,0.74,92.2,408.35
311.3,0.72,89.5,409.05
312.3,0.69,84.5,409.65
313.3,0.67,81.5,410.35
314.3,0.66,83.9,411.05
315.4,0.65,80.5,411.65
316.4,0.64,80.8,412.35
317.4,0.59,81.2,413.05
