Time,Mass,HRR,Back Temp
[s],[g],[kW/m2],[K]
0,71.366,-3.1,301.55
1,71.626,-2.9,301.55
2,71.646,-3.2,301.55
3,71.636,-3.1,301.65
4.1,71.626,-3,301.65
5.1,71.616,-3.1,301.65
6.1,71.606,-3.3,301.65
7.1,71.596,0.1,301.75
8.1,71.586,0.3,301.75
9.1,71.586,0.1,301.75
10.1,71.566,0.1,301.75
11.2,71.546,0.2,301.75
12.2,71.526,0.2,301.75
13.2,71.496,0.2,301.85
14.2,71.466,0.2,301.85
15.2,71.416,0.3,301.85
16.2,71.326,0.3,301.95
17.2,71.236,0.1,301.85
18.3,71.136,0.1,301.95
19.3,71.006,-0.1,301.95
20.3,70.836,-0.1,301.95
21.3,70.616,0,302.05
22.3,70.396,-0.2,302.05
23.3,70.156,-0.2,302.15
24.3,69.916,-0.2,302.15
25.3,69.676,-0.3,302.15
26.4,69.446,-0.1,302.25
27.4,69.216,-0.1,302.25
28.4,68.986,-0.1,302.25
29.4,68.746,2.7,302.35
30.4,68.516,5.3,302.35
31.4,68.276,13.5,302.45
32.4,68.046,17.7,302.45
33.5,67.816,30.7,302.45
34.5,67.566,47.8,302.55
35.5,67.316,67.6,302.55
36.5,67.066,90.5,302.65
39.5,66.276,149.4,302.85
40.6,66.006,178.2,302.95
41.6,65.716,200.8,302.95
42.6,65.456,209.6,303.05
43.6,65.196,241,303.05
44.6,64.936,263.7,303.15
45.6,64.656,279.3,303.25
46.6,64.376,303.8,303.25
47.7,64.076,350.6,303.35
48.7,63.806,330.9,303.45
49.7,63.546,344.4,303.45
50.7,63.286,387.9,303.55
51.7,63.016,398.5,303.65
52.7,62.756,388.1,303.75
53.7,62.486,395.6,303.75
54.8,62.216,426.3,303.85
55.8,61.936,426.4,303.95
56.8,61.666,439,304.15
57.8,61.386,468.1,304.15
58.8,61.126,492.1,304.15
59.8,60.846,462.9,304.35
60.8,60.566,493.1,304.35
61.9,60.286,506.7,304.45
62.9,60.006,496.9,304.55
63.9,59.716,535.9,304.65
64.9,59.426,539,304.75
65.9,59.136,526.2,304.85
66.9,58.866,515.3,304.85
67.9,58.596,539,305.05
69,58.316,554.1,305.15
70,58.046,524.2,305.25
71,57.766,571.1,305.35
72,57.486,555.5,305.45
73,57.206,569.9,305.55
74,56.926,566.9,305.65
75,56.656,567.5,305.95
76,56.366,587.9,306.05
77.9,55.856,576.9,306.15
78.7,55.656,606.5,306.25
79.4,55.476,579.2,306.35
80.2,55.286,604.9,306.55
81.1,55.026,608.6,306.75
82.1,54.746,611.3,306.85
83.1,54.476,608,307.05
84.2,54.196,617.1,307.25
85.2,53.926,593.6,307.45
86.2,53.646,621.3,307.65
87.2,53.366,608.6,307.85
88.2,53.096,612.1,308.05
89.2,52.826,620.2,308.25
90.2,52.556,615.5,308.45
91.3,52.276,655.6,308.75
92.3,51.986,629.8,308.95
93.3,51.696,627.6,309.15
94.3,51.396,647.7,309.45
95.3,51.106,659.1,309.65
96.3,50.826,630.2,309.85
97.3,50.526,637.5,310.05
98.4,50.246,657.7,310.35
99.4,49.946,681.6,310.55
100.4,49.656,648.9,310.75
101.4,49.356,660.8,310.95
102.4,49.056,645.8,311.25
103.4,48.766,651.8,311.45
104.4,48.496,637.4,311.75
105.5,48.196,627.9,311.95
106.5,47.906,668.7,312.15
107.5,47.606,638.6,312.35
108.5,47.316,664,312.55
109.5,47.046,622.8,312.95
110.5,46.776,680.3,313.05
112.3,46.276,630.4,313.15
113,46.056,642.2,313.25
113.8,45.826,641.2,313.45
114.6,45.596,649.3,313.65
115.6,45.296,683.7,313.75
116.6,44.996,668,313.95
117.6,44.696,676.3,314.15
118.6,44.406,679.2,314.25
119.7,44.106,644,314.45
120.7,43.806,671.2,314.65
121.7,43.496,658.2,314.75
122.7,43.186,717,314.95
123.7,42.896,687.1,315.05
124.7,42.596,689.4,315.25
125.7,42.316,685.6,315.45
126.8,42.026,669.9,315.55
127.8,41.726,699,315.75
128.8,41.436,668,315.95
129.8,41.136,655.7,316.05
130.8,40.836,675.8,316.25
131.8,40.536,708.5,316.45
132.8,40.246,686.3,316.65
133.8,39.936,664.8,316.75
134.9,39.626,701.2,316.95
135.9,39.316,677.7,317.15
136.9,39.006,672.6,317.35
137.9,38.696,705.5,317.55
138.9,38.386,692.6,317.65
139.9,38.076,702.8,317.85
140.9,37.756,735.2,318.05
142,37.456,696.9,318.15
143,37.146,702.7,318.45
144,36.826,684.1,318.55
145,36.526,683.9,318.75
146,36.206,695.6,318.95
147,35.876,710.9,319.05
148,35.556,714,319.35
149.1,35.236,723.5,319.45
150.1,34.906,718.5,319.65
151.1,34.586,721.8,319.85
152.1,34.246,703.2,319.95
153.1,33.916,729.5,320.25
154.1,33.586,718.8,320.35
155.1,33.256,717.2,320.55
156.2,32.926,712.3,320.85
157.2,32.616,738.5,320.95
158.2,32.266,729.6,321.15
159.2,31.916,744.7,321.35
160.2,31.566,705,321.45
161.2,31.196,678.2,321.65
162.2,30.836,706,321.85
163.3,30.516,720.7,322.05
164.3,30.176,699.5,322.25
165.3,29.816,745.1,322.45
166.3,29.456,761.7,322.65
167.3,29.086,761.6,322.85
168.3,28.736,723.1,323.05
169.3,28.386,715.6,323.25
170.4,28.026,765.9,323.35
171.4,27.656,730.5,323.65
172.4,27.276,764.1,323.85
173.4,26.906,747.1,323.95
174.4,26.516,768.5,324.15
175.4,26.136,767.7,324.35
176.4,25.756,752.4,324.75
177.5,25.356,761.3,324.95
179.4,24.626,818.8,325.05
180.1,24.346,754.2,325.25
180.9,24.066,776.5,325.45
181.6,23.796,793,325.65
182.5,23.456,812.3,326.05
183.5,23.086,825.5,326.15
184.6,22.706,797.3,326.45
185.6,22.346,856.9,326.75
186.6,21.966,795.1,327.05
187.6,21.586,839.9,327.35
188.6,21.216,866.4,327.65
189.6,20.846,816.9,327.95
190.6,20.486,877.2,328.35
191.6,20.126,882.2,328.65
192.7,19.756,864.5,329.15
193.7,19.386,872.9,329.45
194.7,19.006,891.3,329.85
195.7,18.626,877.3,330.25
196.7,18.256,828.8,330.65
197.7,17.896,895,331.15
198.7,17.526,862.1,331.55
199.8,17.156,900.2,331.95
200.8,16.776,866.3,332.35
201.8,16.406,911.2,332.85
202.8,16.036,896.7,333.25
203.8,15.676,883.3,333.75
204.8,15.316,930.6,334.25
205.8,14.956,905.1,334.75
206.9,14.596,862.2,335.25
207.9,14.226,851.9,335.75
208.9,13.846,906.7,336.25
209.9,13.486,884.7,336.85
210.9,13.116,843.1,337.25
211.9,12.736,962.5,337.85
212.9,12.366,885.4,338.35
214,12.006,923.7,338.85
215,11.666,927,339.25
216,11.336,879.1,339.65
217,10.996,930.6,340.05
218,10.646,885.7,340.55
219,10.296,910.7,341.05
220,9.966,904.9,341.55
221.1,9.646,909.7,342.05
222.1,9.336,937,342.55
223.1,9.046,979.4,343.05
224.1,8.776,969.5,343.55
225.1,8.506,992.5,344.15
226.1,8.236,991.7,344.65
227.1,7.996,1008,345.15
228.2,7.766,986.7,345.75
229.2,7.536,992.9,346.35
230.2,7.316,1004.1,347.05
231.2,7.126,1017.5,347.85
232.2,6.956,1029.1,348.65
233.2,6.776,1043.9,349.55
234.2,6.626,1041.3,350.35
235.2,6.456,1026.1,351.25
236.3,6.316,1017.6,352.05
237.3,6.196,1028.7,352.85
238.3,6.066,988.7,353.65
239.3,5.956,969.4,354.45
240.3,5.836,965.9,355.25
241.3,5.716,970.5,356.05
242.3,5.596,926.7,356.85
243.4,5.496,888.4,357.75
244.4,5.386,888.8,358.55
245.4,5.276,843.7,359.45
246.4,5.176,841,360.25
247.4,5.066,818.5,361.05
248.4,4.966,760,361.95
249.4,4.866,755.9,362.85
250.5,4.766,700.4,363.65
251.5,4.656,677.4,364.65
252.5,4.556,681,365.45
253.5,4.456,627.3,366.35
254.5,4.346,611.4,367.15
255.5,4.246,580.1,367.95
256.5,4.136,544.3,368.85
257.6,4.036,521.2,369.55
258.6,3.936,512.3,370.35
259.6,3.836,493.5,370.85
260.6,3.726,465.6,371.25
261.6,3.626,459.6,371.25
262.6,3.516,444.6,371.15
263.6,3.406,432,370.85
264.7,3.316,418.6,370.55
265.7,3.216,400.4,370.55
266.7,3.116,387.2,370.55
267.7,3.006,371.2,370.75
268.7,2.916,365,370.85
269.7,2.826,356.3,370.95
270.7,2.726,338,371.15
271.8,2.656,336.3,371.35
272.8,2.566,311.3,371.95
273.8,2.486,318.7,373.25
274.8,2.406,307.9,375.55
275.8,2.316,304.9,377.75
276.8,2.246,290.4,379.55
277.8,2.176,279.4,382.05
278.9,2.106,275.1,382.95
280.6,1.986,276.6,383.75
281.4,1.946,266.6,384.55
282.1,1.896,260.2,385.55
282.9,1.836,257.1,386.45
283.9,1.766,262.4,387.25
284.9,1.666,246.1,388.15
285.9,1.596,242,388.95
287,1.536,232.2,389.65
288,1.476,238.9,390.45
289,1.416,240.1,391.25
