Time,Mass,HRR,Temperature Backing Centre
[s],[g],[kW/m2],[K]
0,73.78714286,0.1,290.15
1,72.67714286,0.1,290.15
2,72.65714286,0,290.05
3,72.61714286,0.1,290.15
4.1,71.83714286,0,290.25
5.1,66.72714286,0.1,290.25
6.1,66.50714286,0.1,290.25
7.1,71.09714286,0.1,290.25
8.1,73.10714286,0.1,290.25
9.1,73.52714286,0,290.25
10.1,73.55714286,-0.1,290.25
11.2,73.53714286,-0.2,290.35
12.2,73.51714286,0,290.35
13.2,73.50714286,-0.1,290.35
14.2,73.47714286,-0.1,290.35
15.2,73.44714286,-0.1,290.35
16.2,73.43714286,-0.1,290.35
17.2,73.40714286,0,290.35
18.3,73.38714286,0.2,290.35
19.3,73.36714286,0,290.45
20.3,73.34714286,-0.1,290.45
21.3,73.32714286,-0.3,290.35
22.3,73.29714286,-0.1,290.45
23.3,73.27714286,-0.1,290.35
24.3,73.24714286,0,290.45
25.3,73.22714286,0,290.45
26.4,73.21714286,-0.1,290.45
27.4,73.19714286,-0.1,290.45
28.4,73.18714286,-0.1,290.55
29.4,73.17714286,-0.2,290.55
30.4,73.15714286,-0.3,290.55
31.4,73.12714286,-0.3,290.55
32.4,73.10714286,-0.4,290.55
33.5,73.09714286,-0.3,290.55
34.5,73.08714286,-0.1,290.65
35.5,73.06714286,-0.2,290.65
36.5,73.05714286,-0.2,290.65
37.5,73.05714286,-0.2,290.75
38.5,73.05714286,-0.3,290.65
39.5,73.04714286,-0.2,290.65
40.6,73.03714286,-0.3,290.75
41.6,73.02714286,-0.1,290.65
42.6,73.02714286,-0.1,290.75
43.6,73.02714286,0,290.75
44.6,73.02714286,-0.1,290.75
45.6,73.02714286,0.1,290.75
46.6,73.01714286,0,290.85
47.7,73.02714286,0.1,290.85
48.7,73.03714286,0,290.85
49.7,73.04714286,-0.1,290.85
50.7,73.04714286,0,290.95
51.7,73.05714286,0.1,290.95
52.7,73.04714286,0,290.95
53.7,73.03714286,0.2,291.05
54.8,73.02714286,0.1,291.05
55.8,73.03714286,0.1,291.05
56.8,73.04714286,0,291.05
57.8,73.05714286,0,291.15
58.8,73.04714286,0.1,291.15
59.8,73.05714286,-0.1,291.15
60.8,73.05714286,-0.2,291.15
62.5,73.04714286,-0.4,291.25
63.2,73.04714286,-0.3,291.25
64,73.05714286,-0.3,291.35
64.9,73.05714286,-0.2,291.35
65.9,73.05714286,-0.1,291.35
66.9,73.05714286,-0.2,291.35
67.9,73.05714286,-0.3,291.45
69,73.05714286,-0.2,291.45
70,73.03714286,0,291.45
71,73.02714286,-0.2,291.45
72,73.01714286,-0.2,291.55
73,73.01714286,-0.3,291.55
74,73.01714286,-0.2,291.65
75,73.01714286,-0.1,291.65
76,73.01714286,0,291.65
77.1,73.02714286,0,291.75
78.1,73.01714286,-0.3,291.75
79.1,73.00714286,-0.2,291.75
80.1,73.01714286,-0.1,291.85
81.1,73.00714286,-0.3,291.85
82.1,73.00714286,-0.1,291.95
83.1,73.00714286,-0.3,292.05
84.2,73.00714286,-0.3,292.05
85.2,72.99714286,-0.3,292.05
86.2,72.98714286,-0.2,292.05
87.2,72.97714286,0,292.15
88.2,72.97714286,0,292.15
89.2,72.98714286,-0.1,292.25
90.2,72.98714286,-0.3,292.25
91.3,72.98714286,-0.2,292.35
92.3,72.98714286,-0.2,292.35
93.3,72.98714286,-0.2,292.55
94.3,72.98714286,-3.8,292.45
95.3,72.98714286,-3.7,292.55
96.3,72.98714286,-3.8,292.55
97.3,72.97714286,-3.7,292.65
98.4,72.95714286,-3.6,292.75
99.4,72.91714286,-3.4,292.75
100.4,72.88714286,-3.5,292.85
101.4,72.85714286,-0.1,292.85
102.4,72.81714286,-0.1,292.85
103.4,72.76714286,-0.2,292.95
104.4,72.70714286,0,292.95
105.5,72.63714286,0,293.05
106.5,72.55714286,0,293.15
107.5,72.46714286,0,293.15
108.5,72.35714286,-0.1,293.25
109.5,72.24714286,0,293.35
110.5,72.14714286,0.1,293.35
111.5,72.03714286,0,293.55
112.6,71.92714286,-0.1,293.45
113.6,71.81714286,2.9,293.55
114.6,71.69714286,2.9,293.65
115.6,71.58714286,6,293.65
116.6,71.47714286,11.5,293.75
117.6,71.35714286,18,293.85
