Time,Mass,Temperature
[s],[g],[K]
1,167.831299,296.9123536
2,168.20643,297.8674897
3,168.051283,323.3835625
4,167.953255,358.4125071
5,167.960974,383.6017188
6,167.964062,403.5791582
7,168.001883,419.9203144
8,168.39168,434.3033925
9,168.593139,447.8683994
10,168.471183,460.9976243
11,168.260461,472.896713
12,168.067493,483.4639663
13,167.94708,493.6756764
14,167.888418,503.708729
15,167.852139,513.1581673
16,167.787302,521.7715671
17,167.779583,529.9861214
18,167.76183,538.3181378
19,167.74099,545.9655425
20,167.725552,553.4218023
21,167.722465,561.574359
22,167.673065,567.8196098
23,167.63833,574.6810376
24,167.628296,580.7915665
25,167.62598,586.8567842
26,167.646049,592.4119251
27,167.641418,598.5358882
28,167.640646,604.7928688
29,167.599737,609.7675937
30,167.590474,613.1979241
31,167.562687,617.3154703
32,167.536443,621.8599569
33,167.507884,626.2251178
34,167.486271,631.7585772
35,167.466974,638.7184364
36,167.408312,641.521273
37,167.37898,646.2092599
38,167.34579,648.790074
39,167.274006,646.8650215
40,167.240043,652.8933448
41,167.175206,652.6215129
42,167.134296,654.4108877
43,167.051706,655.2368338
44,166.982237,651.3667992
45,166.892699,651.3759741
46,166.797759,651.3404217
47,166.675803,651.8897734
48,166.577003,653.4335841
49,166.452731,650.1213773
50,166.362422,652.0927755
51,166.289866,655.1932409
52,166.214994,653.954345
53,166.116966,656.4150423
54,166.021253,662.4568542
55,165.885403,660.2727661
56,165.76885,658.2955725
57,165.666963,655.7955234
58,165.545779,654.8525331
59,165.423051,658.6604649
60,165.322707,652.1294768
61,165.213873,651.7062714
62,165.078795,656.33588
63,164.954523,654.5691901
64,164.835654,651.8358694
65,164.695945,650.8484328
66,164.580935,639.2844566
67,164.485223,651.2360589
68,164.360951,663.2385298
69,164.215067,658.8624223
70,164.065323,647.7237509
71,163.971926,653.9279623
72,163.827586,652.8348488
73,163.686333,652.1053915
74,163.623039,650.7475142
75,163.540448,655.9022163
76,163.387618,659.0861854
77,163.244049,650.0846816
78,163.108199,638.6313585
79,163.020977,647.1367363
80,162.89439,658.3288484
81,162.725349,663.4853237
82,162.600305,656.6731836
83,162.429721,659.6094614
84,162.280749,661.3251698
85,162.122515,665.3301089
86,161.964281,661.6671901
87,161.790609,657.6771139
88,161.658618,652.708682
89,161.511962,651.9895537
90,161.396953,651.3862957
91,161.236403,663.8273991
92,161.111359,658.7511159
93,160.958528,654.6907859
94,160.814959,657.9708495
95,160.644375,664.3520083
96,160.487685,664.2946102
97,160.273104,662.0711985
98,160.136482,668.1787164
99,160.039226,662.9710791
100,159.983651,663.9915525
101,159.923444,666.9030259
102,159.807663,666.739985
103,159.613151,664.3359368
104,159.450286,648.4403565
105,159.252685,654.9454525
106,159.109117,660.0214409
107,158.977898,657.5336907
108,158.817348,654.5451005
109,158.677639,658.8096377
110,158.527895,655.8804187
111,158.342645,664.4162944
112,158.185183,650.2154107
113,158.020773,645.5638476
114,157.855593,657.0908095
115,157.705077,657.8710246
116,157.546071,654.0598761
117,157.38938,661.3722258
118,157.243496,658.824555
119,157.095296,663.1776929
120,156.946324,661.6098035
121,156.815877,662.0907106
122,156.737146,661.6534173
123,156.644521,661.0256223
124,156.510215,651.6500744
125,156.349665,647.2983921
126,156.189115,644.741938
127,156.004637,650.9023328
128,155.866472,649.531964
129,155.708238,651.4103796
130,155.537653,654.5944269
131,155.344685,658.396548
132,155.191854,657.4774692
133,155.00506,661.64194
134,154.849913,654.4269473
135,154.714835,656.610082
136,154.530357,649.9333127
137,154.334301,660.1384959
138,154.19382,670.5581856
139,154.011657,662.9090956
140,153.862685,651.9929944
141,153.685155,654.4670963
142,153.538498,656.0295605
143,153.363283,650.9023328
144,153.161823,656.8636378
145,152.965767,655.0865537
146,152.782061,649.6890619
147,152.623055,646.5715298
148,152.561305,647.3660358
149,152.396124,653.7306676
150,152.261046,653.2684131
151,152.152983,654.3271488
152,151.954612,640.7133632
153,151.773221,655.5878763
154,151.608812,658.0293679
155,151.435912,645.2554823
156,151.297746,643.752733
157,151.147231,642.8564367
158,150.943456,638.9418626
159,150.762837,647.0977558
160,150.563694,644.5837519
161,150.393881,652.944959
162,150.311291,654.8685932
163,150.130672,644.5413401
164,149.968578,644.7992522
165,149.789504,658.348355
166,149.608113,650.7027892
167,149.432126,651.3484496
168,149.280067,646.2895087
169,149.104851,642.2547369
170,149.017629,646.1186939
171,148.864026,644.6376267
172,148.720457,642.9676108
173,148.538295,638.9991519
174,148.367711,650.765863
175,148.151586,662.5004707
176,147.956301,647.6194164
177,147.763333,643.5578808
178,147.594292,643.7435634
179,147.391289,645.0778029
180,147.21839,651.6902151
181,147.040087,647.2811945
182,146.85638,641.0605865
183,146.664955,644.7923745
184,146.495143,648.2328236
185,146.285965,649.9413398
186,146.0984,655.1347349
187,145.86375,651.7636155
188,145.68699,647.4932988
189,145.5056,647.1367363
190,145.325753,648.6180806
191,145.092647,654.844503
192,144.848735,661.4674859
193,144.578578,654.3455025
194,144.261338,646.9280771
195,144.028232,651.6787463
196,143.874629,646.4717899
197,143.713307,641.044543
198,143.525742,637.5257477
199,143.32737,643.3343775
200,143.111245,645.7793637
201,142.901295,645.0365357
202,142.673592,645.4045055
203,142.500692,639.1927918
204,142.286111,641.1430964
205,142.053005,655.6739175
206,141.88628,647.6859152
207,141.670927,652.7132699
208,141.442452,647.5701157
209,141.257203,641.2622781
210,141.057287,641.012456
211,140.858915,645.0640472
212,140.652824,639.0919612
213,140.438243,647.8854138
214,140.2391,648.9987622
215,140.017572,652.413915
216,139.785238,659.1860194
217,139.572972,657.6839983
218,139.350672,657.5463119
219,139.151528,643.380224
220,138.923054,644.6192863
221,138.78952,637.2026746
222,138.61276,650.2360522
223,138.415932,648.7327426
224,138.206754,637.7434255
225,138.004523,648.8267662
226,137.749032,650.7050827
227,137.537539,640.56783
228,137.301345,644.3315752
229,137.047399,649.3014806
230,136.785733,655.8207625
231,136.572696,651.2108285
232,136.333415,636.9300161
233,136.087959,638.6416704
234,135.864887,641.857057
235,135.58624,647.0530429
236,135.287525,648.9987622
237,135.025087,641.3287454
238,134.792753,631.5409968
239,134.505616,644.9838057
240,134.227741,647.0874374
241,133.882713,640.0338401
242,133.55621,655.0785235
243,133.293001,659.9376669
244,133.079964,666.2933552
245,132.900117,650.4275615
246,132.632276,649.2349737
247,132.380645,645.8962941
248,132.108946,650.1924757
249,131.807914,652.1661781
250,131.558599,645.4813105
251,131.300793,638.5293865
252,131.064599,649.7853856
253,130.799846,657.4832061
254,130.543584,653.0539232
255,130.247184,645.6246045
256,129.939206,656.294578
257,129.668278,648.6765581
258,129.415103,642.6146074
259,129.112528,636.9059582
260,128.840829,638.2337864
261,128.515097,638.7459348
262,128.247257,625.4353007
263,127.942367,638.0435976
264,127.666808,647.121832
265,127.398967,646.3731972
266,127.090989,645.2210925
267,126.794589,655.3297559
268,126.495874,664.6229304
269,126.201789,655.1978296
270,125.915424,651.573234
